"","mid","Hotelling.T2","ac_vip_c1","ab_vip_c1","bc_vip_c1"
"1","Quinate",165.64282,1.91859897158214,1.77244684901794,1.45293861784188
"2","Succinylacetone",132.40461,1.66882928738151,1.56395011736215,1.24777159714167
"3","Theophylline",126.70456,2.71060418593088,2.83777150049771,1.81247053662902
"4","Theobromine",126.09532,2.09445336196891,2.28504464643017,1.33399271182337
"5","Ribulose 5-phosphate",104.70831,1.89724823471534,1.69920598422136,1.4753046449158
"6","S-Nitroso-L-glutathione",104.06761,1.91044033389081,1.93148782356833,1.3268150666966
"7","Uracil",76.58352,1.22909733868361,1.65649845585812,0.55561607606256
"8","Phenethyl Caffeiate",70.24284,1.76852320261624,2.77182433897847,0.519851989238356
"9","Thymine",62.81372,2.1001866742338,2.06129528594763,1.50325972572748
"10","Stavudine",62.59064,2.96381532723863,2.91822727972622,2.11472928887694
"11","Oxypurinol",59.25074,1.66345742927618,1.39869076457903,1.3591256693548
"12","N-Acetyl-L-aspartic acid",54.58414,1.10933130049135,1.14216299553815,0.755598503768617
"13","Raffinose",53.96326,1.3536419834428,1.35358469487238,0.950893999120034
"14","Tamsulosin",50.37102,1.38577470064506,0.995173603848931,1.25467758602813
"15","Tridecanoic acid Tridecylic acid",46.2342,1.09022944913486,0.653745555288066,1.08011272526337
"16","Nicotinuric acid",46.09064,1.39437703125827,1.2793228616917,1.06231179806204
"17","Tartaric acid",41.99952,1.17910377744547,1.022646479776,0.940907628038234
"18","Nicotinate D-ribonucleotide",33.99948,0.941897412066191,0.802398145609402,0.762073623263953
"19","Taurolithocholic acid",33.56632,1.25662495684541,0.870150394791335,1.16098627079359
"20","p-Hydroxyphenylacetic acid",31.99296,1.48094697817519,1.84372599592045,0.779056766283377
"21","Vanylglycol",31.88972,0.929519176506875,0.878036798846608,0.690001819771837
"22","Pyrocatechol",30.86593,1.41187223057912,1.12503654351939,1.19829294178684
"23","Phenol",27.0138,1.53332340374017,1.92217828616459,0.797072074447144
"24","Pantetheine",26.46028,0.980058836547329,0.102450135618258,1.46789678540096
"25","Xanthopterin",25.52217,2.45889205613083,3.50535488556579,0.973716218376361
"26","N-Acetyl-L-glutamate",25.40148,1.03547190528294,0.843685508022856,0.865453632294422
"27","Sinigrin",24.98092,1.20923671001583,2.12574218106541,0.189484075408448
"28","Propionic acid",24.09217,0.711168179687784,0.803115069314819,0.4333465843263
