"id","MS2 name","MS2 score","MS1 name","MS1 ppm","type","mzmed","rtmed","QC01_pos.QC01","QC010_pos.QC010","QC02_pos.QC02","QC03_pos.QC03","QC04_pos.QC04","QC05_pos.QC05","QC06_pos.QC06","QC07_pos.QC07","QC08_pos.QC08","QC09_pos.QC09","A01_pos.A01","A02_pos.A02","A03_pos.A03","A04_pos.A04","A05_pos.A05","A06_pos.A06","A07_pos.A07","A08_pos.A08","A09_pos.A09","A10_pos.A10","A13_pos.A13","A14_pos.A14","A15_pos.A15","A16_pos.A16","A17_pos.A17","A18_pos.A18","B01_pos.B01","B02_pos.B02","B03_pos.B03","B04_pos.B04","B05_pos.B05","B06_pos.B06","B07_pos.B07","B08_pos.B08","B09_pos.B09","B10_pos.B10","B13_pos.B13","B14_pos.B14","B15_pos.B15","B16_pos.B16","B17_pos.B17","B18_pos.B18","C01_pos.C01","C02_pos.C02","C03_pos.C03","C04_pos.C04","C05_pos.C05","C06_pos.C06","C07_pos.C07","C08_pos.C08","C09_pos.C09","C10_pos.C10","C11_pos.C11","C12_pos.C12","C13_pos.C13","C14_pos.C14","C15_pos.C15","C16_pos.C16","C17_pos.C17","C18_pos.C18","D01_pos.D01","D02_pos.D02","D03_pos.D03","D04_pos.D04","D05_pos.D05","D06_pos.D06","D07_pos.D07","D08_pos.D08","D09_pos.D09","D10_pos.D10","D11_pos.D11","D12_pos.D12","D13_pos.D13","D14_pos.D14","D15_pos.D15","D16_pos.D16","D17_pos.D17","D18_pos.D18"
15,"Urea",0.9996,NA,NA,"MS2 forward",61.04065843,103.1935,1927483.425,2217416.968,2033088.252,1920380.131,2067488.912,2257483.232,2037521.49,2093714.225,2197180.49,2083016.015,2009342.191,2142886.571,1995073.949,2155211.981,2205817.298,2004379.764,2209994.69,1911376.856,1198881.356,1965118.27,1911929.693,1937281.647,1827817.094,1886584.309,1886856.792,2050629.773,2146772.174,2202093.93,1664619.733,1931250.426,1888837.708,1853027.188,1629447.012,1768755.343,1747134.339,1533388.508,1800928.765,1464110.458,1494215.066,1856200.092,1689768.248,1891571.233,1992923.883,1838676.128,1792727.397,2027168.276,1963787.731,1743980.721,1837316.514,1673911.319,1558917.07,1512695.76,1797066.584,1746453.95,1738006.587,1639061.268,1658996.704,1765324.124,1677790.923,2097849.294,2375818.139,2072442.851,1965051.978,2192214.884,1952023.348,2132027.532,2135639.21,1853342.27,2125079.615,1813783.175,2088357.231,1671371.514,2181616.954,1824896.709,1991127.648,2004678.322,2202610.763,1969133.153
60,NA,NA,NA,NA,"Unmapped",70.02895301,76.89,91445.64405,86804.9119,87655.23,82697.80333,93839.29605,90791.23938,142314.017,84566.06925,83100.97063,97698.4507,77438.4009,60201.45142,76018.90685,75011.80365,105818.5639,77628.33845,77510.61519,60487.99624,44735.5,71285.98085,80079.10158,54827.8831,69756.05871,73641.19737,64930.736,72738.89053,81948.26742,74290.32967,60177.8877,77444.3551,66851.3043,95621.47968,72941.29489,68026.245,56958.3693,69742.13205,87816.32519,59646.91085,62849.92252,70784.8702,76696.85024,102802.0557,86429.93985,76811.24175,86426.985,83536.07668,90289.14685,94371.02045,81438.469,70385.57905,63481.30755,65568.56735,74514.64575,76270.43421,98235.53763,86872.72748,76828.6361,83860.2808,87049.91717,110952.736,87867.461,60411.49467,68726.98,80509.03095,83125.90526,83356.85322,77673.7845,63601.5072,79331.28873,76608.315,65299.47535,65954.27143,94755.45733,61019.12429,76381.0425,79744.482,80956.54921,69542.72811
63,NA,NA,NA,NA,"Unmapped",70.06537919,198.131,187604.775,160333.5048,168091.6893,151638.6596,148902.2665,167787.7194,140947.3199,144204.1956,171910.5376,152573.6556,191398.4135,105995.364,138443.1654,158791.9957,123717.2778,168728.4068,128108.1942,135356.2072,97714.40339,117149.097,158060.5551,113959.0811,95487.30088,123066.2505,90517.47376,160391.0618,224771.2887,152917.5976,110508.4557,194816.4702,106195.8345,175445.1462,147360.8667,167596.4974,102317.8634,127053.4173,166893.1523,139441.8909,104795.1248,141199.8977,138928.8372,197516.4648,254685.153,133771.036,139542.8044,183188.5663,160813.1523,165754.3124,127394.2447,146564.6898,127924.0479,140272.5438,180729.1643,126294.1018,184994.8923,132672.6019,112093.3562,198831.5105,158117.6449,238333.5551,247386.7386,111979.0046,131056.6856,159695.835,105715.234,129096.8364,125781.8535,140786.071,146256.165,129283.8763,142303.7307,123063.7246,230830.5812,126450.8103,110235.7236,133002.5952,134043.4852,161246.904
89,"Pyrrolidine",0.8115,NA,NA,"MS2 reverse",72.0812864,326.716,95162.742,91574.79193,105385.0998,94016.9088,97193.51364,91155.948,88938.751,93754.804,86138.29367,78672.748,110916.1736,98261.2665,90287.64758,114411.9312,77214.52512,101992.859,93926.6939,94658.57777,72511.28113,68066.18479,96525.74557,68720.204,70204.418,76880.1891,72624.56213,60574.24759,106586.5317,107570.8796,77865.3816,149108.5416,76098.1935,144604.7813,112431.8876,106678.401,73349.34963,72243.80172,98664.72219,82980.68469,81043.18155,88259.62737,87731.79463,89827.20637,136145.9251,134075.613,115925.7813,143622.181,104849.0736,126373.271,116277.6439,85947.70947,95609.9475,70105.008,121791.836,98907.173,100316.095,92187.04095,91664.10406,94586.33032,119003.7111,89933.13711,100657.9168,79718.05659,90010.59087,131560.5015,83472.55695,103426.2993,84985.69552,89820.649,61533.90173,75643.86869,64134.46316,78202.84185,85815.59143,83681.36113,68494.74347,75803.29453,66386.57934,79271.74631
96,NA,NA,NA,NA,"Unmapped",73.03979803,76.882,123715.9191,121707.9467,120671.4568,129985.9723,134651.4858,134647.4435,128607.6398,121892.6606,120299.1942,130359.0429,105805.7581,81556.89836,104288.1936,104570.8678,103562.9504,111802.3506,108030.7226,80951.13906,42787.49563,85845.66169,113193.7568,66850.18895,81108.65906,113047.1067,98151.3225,108541.0969,118985.2388,103651.9471,82097.8125,113076.3506,86343.78433,131624.3443,100472.8086,90392.58118,72354.17719,83620.11647,119346.0701,79002.51133,78187.6748,100079.1468,119085.4176,143795.2714,124804.7756,108400.3296,114791.14,117356.8752,112848.856,115530.0108,109305.108,89482.436,78463.42,90903.291,106549.7551,102032.0846,135047.5627,113605.032,100082.3093,106703.6617,123594.0915,140393.824,123171.6216,72755.30363,99543.9418,107148.0296,101286.25,99274.37635,111022.08,80683.99571,110702.7363,101373.575,75335.92293,77578.26214,150508.6266,77373.85333,117471.0653,110587.2813,124366.9158,105027.986
105,"Methylguanidine",0.9992,NA,NA,"MS2 forward",74.07145376,247.0385,68563.47643,77760.25911,77800.12283,70895.706,70419.95333,56721.5666,83151.13456,78885.76737,67505.3525,81057.91817,81525.33744,88186.02,54689.4575,79812,87167.48121,53253.06845,59813.68714,71754.12067,54191.5,82541.96923,48690.37979,49597.77669,44670.16721,62292.05285,55002.21988,48239.8686,113485.6852,108146.857,46442.67,84002.5165,88352.0634,66538.472,80221.84306,88518.312,76138.06667,57213.66288,66845.515,50417.1486,45203.51615,63681.32,68998.01005,75120.25635,118730.5096,142699.48,85119.4365,135942.39,109897.3173,90493.19521,81655.29304,87914.76429,58865.50114,70578.70947,78490.13143,73220.19492,85730.46733,72997.76106,66409.45853,90759.66868,98937.71668,79124.41217,70863.51594,72481.0555,61590.9075,73910.85347,91813.7955,65167.79037,60331.1708,71236.046,76936.16984,53889.21232,66156.02871,44160.942,58658.985,59002.12381,63435.62858,63388.79394,72749.005,42018.38433
123,"Trimethylamine N-oxide",0.9904,NA,NA,"MS2 forward",76.07668588,312.464,5792299.862,6277347.116,5532038.722,5794231.091,6131412.777,6362077.297,5936075.796,6321804.134,6278025.381,6270756.987,6187056.441,5300787.147,5359334.5,6307741.69,4986201.54,5931263.838,6319484.236,5872041.956,4996078.459,6417982.58,5621930.676,5349063.292,4714267.926,5640593.505,5735839.671,6136991.952,6759323.531,5469836.817,4623671.251,6433496.878,4659490.167,5818711.054,5130610.401,5362516.896,6371343.584,5308856.508,5316878.913,4450392.272,4611497.971,5134618.771,5079493.597,5819936.386,6970820.159,4555162.348,5039348.671,6048401.536,4950008.475,5890026.483,5050224.674,6226799.668,5438037.746,6224305.287,5273637.296,5114851.98,4577623.961,4958095.594,5452462.971,4480805.969,7984574.074,6555810.945,8326286.441,4985583.399,5708920.531,6518753.257,4856726.723,7101933.186,6254369.115,6310373.959,7093019.602,6356291.331,5662492.867,4560569.105,4918503.767,4558559.695,5702834.949,4988609.811,7667525.935,5854262.192
140,NA,NA,NA,NA,"Unmapped",79.02140242,58.046,192199.3862,179870.1289,192596.7774,187111.6937,180815.5941,206659.2023,187050.4261,173073.6541,182052.1825,188733.3251,157815.9688,132775.1991,152162.9625,178592.6196,121543.479,164151.4229,215055.036,144934.0241,81774.74244,149157.6321,128069.12,192888.5765,155985.8167,126358.393,124748.4151,224591.4113,115954.8365,114464.3603,90016.25506,107988.6761,88932.9225,111654.9951,103882.634,90588.43125,72345.86471,77507.46,91941.04706,83578.86447,103669.457,90291.25,94111.4725,394094.8456,77558.20588,58261.074,75896.59076,76706.16188,67822.92227,53192.42873,80087.36867,53613.38328,48524.86765,82771.74233,150786.5056,92826.74619,55390.67733,63952.10153,93258.68445,56149.60838,38255.61912,914910.7175,206553.0745,111288.2672,216301.4095,225787.3947,112092.4363,151239.6538,207696.4353,131974.7018,127769.6909,153450.8879,236254.2626,255816.681,194359.7666,185937.5988,168390.4171,148622.9718,110790.0613,408863.75
152,NA,NA,NA,NA,"Unmapped",81.03357192,178.4895,25716.317,24216.44817,28189.99989,24016.75065,21960.02956,30560.03744,20945.34586,19944.74224,23692.66,27805.86467,33313.5,32953.88856,60653.97716,26961.44482,13739.70688,35530.81217,30183.75617,20103.77118,20334.1318,36525.48679,21300.73263,19415.41556,25730.77258,14701.54894,30501.14923,33801.73071,29794.66,31985.7355,18232.57729,35228.0115,11460.26276,26813.58006,19180.82008,11136.08933,53573.65998,23322.4565,15567.32125,13182.64207,19446.44667,15113.34271,23242.52368,41754.74231,30376.5255,10315.36924,16994.41242,8821.656222,36723.62113,47842.62624,7862.8355,13536.76137,16080.377,53173.16676,36031.95094,33707.092,17179.89082,6711.473644,57176.92834,34991.62902,19827.504,40905.51995,39655.85853,23329.13389,31602.96824,21424.23329,11030.37041,28797.635,22812.36617,27993.931,26360.5888,26339.70267,18193.5156,17120.11633,29845.67914,15396.11318,26013.9215,16601.48814,35342.37288,35834.90307
164,NA,NA,NA,NA,"Unmapped",82.06533608,289.111,164051.7603,143550.3337,154707.5644,139629.0482,127588.9322,161894.8567,132993.8998,131341.8611,146707.5176,128418.4313,225103.155,193945.3693,199401.2479,201060.1919,183417.4907,201486.7497,257103.9119,211420.7145,270290.6334,233654.859,143048.167,153308.9058,225602.0814,279283.1063,178869.501,268871.5342,172563.4561,106726.9008,115610.5696,153388.308,116439.7569,75518.84424,123814.7825,135646.6711,142543.4987,169948.2285,142009.7439,131981.2044,137302.5685,234777.5643,180589.4577,140981.753,29400.54095,10562.32,25499.72789,24896.502,46315.63267,57562.15933,33388.31146,65484.6785,83549.07772,109130.2575,33304.31568,59512.84361,65728.01448,46750.97,36990.35327,37035.47575,12740.15434,26427.72587,159516.8574,243130.9074,117844.695,233146.2922,204211.4287,147477.447,178385.3335,155789.1264,155880.9576,209911.872,138315.22,122324.7835,195450.8565,117453.0104,187129.3321,379598.738,210921.452,160650.0314
