"","ab_vip_c1"
"Propionic acid",0.803115069314819
"Pyruvate",1.52623466024406
"Oxalate",0.148665563650681
"Phenol",1.92217828616459
"p-Cresol",0.496113253384708
"Pyrocatechol",1.12503654351939
"Uracil",1.65649845585812
"Succinate",0.245403765160413
"Nicotinate",0.631693967748521
"Taurine",0.199480707710542
"N-Acetyl-L-alanine",0.186101348190378
"Pyruvaldehyde",0.665717655227893
"Salicylamide",0.450626127439184
"Tyramine",0.222210862898491
"Salicylic acid",0.415395630156401
"Thymine",2.06129528594763
"p-Hydroxycinnamaldehyde",0.390784091788426
"Sarcosine",1.12369436216206
"Tartaric acid",1.022646479776
"Xanthine",0.294562580383897
"Penicillic Acid",0.349820784074229
"p-Hydroxyphenylacetic acid",1.84372599592045
"Ribitol",0.820368987412133
"Propylene glycol",0.669544326111205
"Oxypurinol",1.39869076457903
"Urocanic acid",1.00313124946399
"Pelargonic acid",0.357906330398818
"Pimelic acid",0.620793078281481
"Phenylpyruvate",0.345825147592114
"O-Acetyl-L-serine",0.12294303189649
"Vanylglycol",0.878036798846608
"Uric acid",0.714368967967012
"Vanillic acid",0.271880175798421
"N-Acetyl-beta-alanine",0.0336583387556486
"Vanillin",0.00984504565608487
"Suberic acid",0.529386128456352
"N-Acetylaspartate",0.910149460263542
"Succinylacetone",1.56395011736215
"N-Carboxyethyl-.gamma.-aminobutyric acid",0.56398045662978
"Zingerone",0.744556576317237
"N-Formylmethionine",0.00407541581956808
"Theophylline",2.83777150049771
"Nicotinuric acid",1.2793228616917
"Nicotinamide",0.756723838182998
"Quinolinate",0.546259424374894
"Pyridoxal Vitamin B6",0.500593480712459
"N-Acetyl-L-glutamate",0.843685508022856
"Quinate",1.77244684901794
"Sedoheptulose",0.845001557201853
"Scytalone",0.659941102201677
"Salicyluric acid",1.54086653420724
"Xanthopterin",3.50535488556579
"N-Acetyl-L-aspartic acid",1.14216299553815
"N-Acetyl-L-Histidine",0.0636197214330432
"Theobromine",2.28504464643017
"Saccharin",0.0582196829304615
"Phenacemide",1.79426274369544
"Sebacic acid",1.06630187612915
"N-Acetylmannosamine",0.588812191928152
"Xanthurenic acid",0.335806944911881
"Pantothenol",0.226502460360805
"N-Acetyl-L-phenylalanine",0.4845759547806
"Phosphocreatine",0.505771203233532
"sn-Glycerol 3-phosphoethanolamine",0.144143962988043
"O-Succinyl-L-homoserine",1.06960303026968
"Pantothenate",0.857746611209024
"Primidone",1.50354574593736
"O-Phospho-L-threonine",0.319276057864114
"Stavudine",2.91822727972622
"Traumatic Acid",0.812270795285939
"Phenylpropionylglycine",0.201089446138461
"Tetrahydrobiopterin",0.399659001650971
"N-Acetyl-D-glucosamine",0.0425813596985054
"Phosphorylcholine",0.138690046644767
"Pseudouridine",0.00147360995477673
"Ribulose 5-phosphate",1.69920598422136
"Pyridoxamine 5'-phosphate",0.175148978937639
"Suberylglycine",0.0477499178527094
"N-Acetyl-DL-methionine",0.888427424919802
"Pectin Galacturonic acid",1.35024441924626
"Palmitic acid",0.0263198074283537
"Salsalate",0.818321416265216
"Thymidine",1.40769818725647
"Propionylglycine",0.187055405867144
"Pinosylvin",1.02471113245259
"Perseitol",0.543657421066107
"Tridecanoic acid Tridecylic acid",0.653745555288066
"Ribothymidine",0.235099025484729
"Pantetheine",0.102450135618258
"Oleic acid",0.263819957789844
"Xanthosine",0.666200299364487
"Stearic acid",1.14803492958079
"Pentobarbital",0.400133664250374
"Photinus luciferin",0.013284118536869
"Sepiapterin",0.66278845524418
"Nitrofurantoin",0.441507007728104
"Nname,cis-9,10-Epoxystearic acid",0.524649537568365
"N-Acetylglucosamine 1-phosphate",0.243439933704394
"Salidroside",0.265063659707376
"N-Acetyl-D-Glucosamine 6-Phosphate",0.871543202261885
"Oxazepam",0.366956936311332
"N-Acetylaspartylglutamate NAAG",0.211295778619101
"Xylitol",0.239321840759106
"Pyridoxal 5'-phosphate",1.22483598293438
"N-Acetylneuraminic acid",0.211709763020925
"Prunasin",0.924380739508181
"Picrotoxinin",0.330612336552887
"Sulfaphenazole",0.388577087512807
"S-Methyl-5'-thioadenosine",0.270961789736434
"Nicotinate D-ribonucleotide",0.802398145609402
"Nilutamide",1.06250713337073
"Temazepam",1.23571029201354
"p-Hydroxyphenylbutazone",0.484972808830646
"S-Nitroso-L-glutathione",1.93148782356833
"Sulfamethoxypyridazine",0.519263911328133
"Norethindrone Acetate",0.953803647305666
"Sucrose",0.373580816594438
"Sinigrin",2.12574218106541
"Uridine 5'-monophosphate UMP",0.484566184730148
"Sulpiride",0.0304012759362792
"Perindopril",0.493462229834413
"Rosiglitazone",1.01784463162305
"Thiamine monophosphate",1.96487738605255
"Phenylacetylglycine",0.0911579072419035
"Nafcillin",1.18556595303743
"pregnenolone sulfate",0.409525612982655
"PGE3",0.310494306789931
"Pravastatin",0.651165266477505
"N-Formylmethionyl-Leucylphenylalanine",0.834765168810351
"Vindoline",0.388304367627713
"Troglitazone",0.898877293045512
"Tamsulosin",0.995173603848931
"Taurolithocholic acid",0.870150394791335
"Nomilin",1.20336548633849
"Parthenolide",0.538705584094767
"Taurochenodeoxycholate",0.0825223321379112
"Sildenafil",0.0216291277795941
"Taurocholate",0.524882422467779
"Raffinose",1.35358469487238
"Phenethyl Caffeiate",2.77182433897847
"Naringin",0.324444583034657
"Stachyose",0.587482149161066
