"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Propionic acid",0.711168179687784,0.69212379781789,0.684292623839425,0.6847996359209,0.684009651740581
"Pyruvate",0.759477229596584,0.738266651730691,0.734601217738588,0.730758015103037,0.729702363461014
"Oxalate",0.112789939876816,0.193028167468547,0.213149498199004,0.21349832554666,0.213649516371568
"Phenol",1.53332340374017,1.49774449290554,1.48053670758736,1.47661994480965,1.48212206940443
"p-Cresol",0.51037710067778,0.496057135655867,0.500248231055292,0.498106169931085,0.497602734600465
"Pyrocatechol",1.41187223057912,1.37544445101241,1.35969541124948,1.35318541366053,1.35224678065995
"Uracil",1.22909733868361,1.19587259682959,1.18236434624625,1.17611525551872,1.17430105473953
"Succinate",0.580587789430187,0.566974789572681,0.594970104216525,0.592125856405451,0.592316079958693
"Nicotinate",0.288529309939965,0.333692937494199,0.333633152156298,0.334948050409751,0.334443157900552
"Taurine",0.0794047101313685,0.0807457894246379,0.135084307461187,0.179553160325976,0.186525055940777
"N-Acetyl-L-alanine",0.275014091143817,0.29619848540552,0.320279935128404,0.321604183543106,0.322571393084288
"Pyruvaldehyde",0.116674492191055,0.1134923317449,0.260968948151356,0.259920804886236,0.259512832667751
"Salicylamide",0.0380938091410802,0.118160653685596,0.128756366002976,0.12814324621314,0.131295242017345
"Tyramine",0.251004979464722,0.342150488712934,0.365235645615668,0.364587790193163,0.370720477753762
"Salicylic acid",0.464709142659671,0.453006695376336,0.447902908501648,0.455467995707884,0.45830677357229
"Thymine",2.1001866742338,2.04931933607893,2.02573484673189,2.0148071363113,2.01179268662599
"p-Hydroxycinnamaldehyde",0.144934793657672,0.144664869879533,0.165551228566551,0.167305683529515,0.174985275223029
"Sarcosine",0.0862322091537129,0.150453717827432,0.18470724367156,0.186958252675861,0.186879084092521
"Tartaric acid",1.17910377744547,1.16831326163119,1.16344410393192,1.15847849811974,1.15666575860908
"Xanthine",0.0772080299322674,0.140629980146062,0.205294704657717,0.209257636398038,0.209074995312646
"Penicillic Acid",0.613123306899559,0.661156830796561,0.669949434209378,0.666190608502665,0.668776558103534
"p-Hydroxyphenylacetic acid",1.48094697817519,1.44893475099245,1.43495959320541,1.42689165869325,1.42896813262991
"Ribitol",0.533756028847713,0.525972599750957,0.519914890351504,0.517270367203863,0.516933162093733
"Propylene glycol",4.32655117311068,4.64406014692714,4.62816106710628,4.60700614343739,4.60086906975948
"Oxypurinol",1.66345742927618,1.62193693073926,1.60394792092403,1.59722849931855,1.5967126136928
"Urocanic acid",0.992712457006108,0.991636197866632,0.980213482987863,0.979976071816281,0.980054197357439
"Pelargonic acid",0.283266592124802,0.300061866617982,0.312501645104738,0.345354198912042,0.346025170592694
"Pimelic acid",0.334070939919336,0.331283016049462,0.38046269711611,0.386786164278584,0.392385971302485
"Phenylpyruvate",0.254155703494825,0.247029052766451,0.313548430725542,0.32440657718929,0.324337165661609
"O-Acetyl-L-serine",0.984423251966514,1.00776810557168,0.998149221979587,0.992973045514499,0.993653405187861
"Vanylglycol",0.929519176506875,0.90893898552334,0.899307645969414,0.89440524688975,0.893326371372076
"Uric acid",0.306147716473529,0.299114387131014,0.324994371977021,0.328786132299468,0.33748243725044
"Vanillic acid",0.205684353697866,0.205825852018525,0.210948683421653,0.215036471594474,0.222047445493179
"N-Acetyl-beta-alanine",0.154091727230983,0.173785963458888,0.180388771791199,0.179424909109799,0.179554876561634
"Vanillin",1.31014825562676,1.30166892411068,1.31679547376486,1.30955989735911,1.31384492480919
"Suberic acid",0.0719766652907897,0.0984500405030039,0.111173268543455,0.113164212427267,0.119956700806053
"N-Acetylaspartate",0.38893683018186,0.390718660490485,0.386820468865789,0.38611365869644,0.386928725839962
"Succinylacetone",1.66882928738151,1.63215450548891,1.6144257424262,1.60575874133427,1.60323235469908
"N-Carboxyethyl-.gamma.-aminobutyric acid",0.348333525723828,0.343173006660343,0.354401497055402,0.353094742240534,0.353046009564036
"Zingerone",0.261191893068943,0.266377016809235,0.274787275443226,0.283948180923352,0.288583951309815
"N-Formylmethionine",2.77187577126298,2.71720722673357,2.73106542337936,2.79399151477094,2.79117748427267
"Theophylline",2.71060418593088,2.64193304669841,2.61153947045504,2.59837912002308,2.59511718606628
"Nicotinuric acid",1.39437703125827,1.35581474633607,1.34019296321206,1.33281849827254,1.33406208533034
"Nicotinamide",0.236619315615639,0.24405867743396,0.250149090120834,0.250103544907621,0.253044884261335
"Quinolinate",0.397404401710775,0.405394444086513,0.406330151974772,0.406804886602729,0.406590628173456
"Pyridoxal Vitamin B6",0.338016017761833,0.346499023958226,0.384208685421198,0.385591459281119,0.40664169020625
"N-Acetyl-L-glutamate",1.03547190528294,1.04285951899207,1.04954173396384,1.04576590579898,1.04412606212443
"Quinate",1.91859897158214,1.86621954453599,1.84467706259543,1.83430293725269,1.83144238658829
