"","ad_vip_c1"
"Propionic acid",1.15313109314508
"Pyruvate",0.255001858089799
"Oxalate",0.182723335835739
"Phenol",0.436436048526388
"p-Cresol",0.88838008846989
"Pyrocatechol",2.69385514560559
"Uracil",0.416281558399336
"Succinate",0.396313413760464
"Nicotinate",0.506208655766247
"Taurine",1.21507907374295
"N-Acetyl-L-alanine",0.580589853942372
"Pyruvaldehyde",0.141552488555123
"Salicylamide",0.491047164227308
"Tyramine",0.105463555308088
"Salicylic acid",0.33027299085546
"Thymine",0.740593583733167
"p-Hydroxycinnamaldehyde",0.585988495462585
"Sarcosine",1.16255830707781
"Tartaric acid",2.26430822266744
"Xanthine",0.405952831271133
"Penicillic Acid",0.847610554472684
"p-Hydroxyphenylacetic acid",0.488107357679576
"Ribitol",0.693096294561093
"Propylene glycol",0.218772599155853
"Oxypurinol",0.0588566498249702
"Urocanic acid",0.149850767492446
"Pelargonic acid",0.798924330096733
"Pimelic acid",0.669272495311744
"Phenylpyruvate",0.662895819030954
"O-Acetyl-L-serine",2.82496713710719
"Vanylglycol",0.251408241837269
"Uric acid",1.68060489173741
"Vanillic acid",0.741917014991075
"N-Acetyl-beta-alanine",3.24722142973955
"Vanillin",0.881238283573407
"Suberic acid",0.604557662327785
"N-Acetylaspartate",0.402587700272536
"Succinylacetone",0.236311444246173
"N-Carboxyethyl-.gamma.-aminobutyric acid",0.125267598915499
"Zingerone",0.347660739457236
"N-Formylmethionine",0.0819947323828319
"Theophylline",0.0209317972554697
"Nicotinuric acid",1.14086516657953
"Nicotinamide",0.270810273560223
"Quinolinate",0.326990393047067
"Pyridoxal Vitamin B6",1.447795192585
"N-Acetyl-L-glutamate",0.448730004701061
"Quinate",0.755703734142353
"Sedoheptulose",0.356947266668022
"Scytalone",0.747072223352271
"Salicyluric acid",1.79840209506393
"Xanthopterin",0.688802177618531
"N-Acetyl-L-aspartic acid",0.439981269402274
"N-Acetyl-L-Histidine",0.292302023695023
"Theobromine",0.448382670084291
"Saccharin",0.897093410637012
"Phenacemide",0.586298421427057
"Sebacic acid",0.88612629073821
"N-Acetylmannosamine",0.249761165562442
"Xanthurenic acid",0.239452695264108
"Pantothenol",0.139276539222965
"N-Acetyl-L-phenylalanine",0.930853084056811
"Phosphocreatine",1.36754049358102
"sn-Glycerol 3-phosphoethanolamine",1.17096486088789
"O-Succinyl-L-homoserine",0.704746971043473
"Pantothenate",0.86834950204847
"Primidone",0.565630192223215
"O-Phospho-L-threonine",0.154176187457183
"Stavudine",0.00379337930683386
"Traumatic Acid",2.71903666348596
"Phenylpropionylglycine",0.717121603120441
"Tetrahydrobiopterin",2.86193529446951
"N-Acetyl-D-glucosamine",0.269474639200958
"Phosphorylcholine",0.214691215038172
"Pseudouridine",0.7829078048617
"Ribulose 5-phosphate",0.643744014698709
"Pyridoxamine 5'-phosphate",0.782743408228069
"Suberylglycine",0.154131024018645
"N-Acetyl-DL-methionine",1.50090843516532
"Pectin Galacturonic acid",0.885509433833003
"Palmitic acid",0.720517053773303
"Salsalate",0.300149096057128
"Thymidine",2.26423808164525
"Propionylglycine",1.5891367561065
"Pinosylvin",1.56220971194978
"Perseitol",0.779523650328411
"Tridecanoic acid Tridecylic acid",0.680514806808417
"Ribothymidine",0.258524332572691
"Pantetheine",1.28591645726075
"Oleic acid",1.13366270981434
"Xanthosine",0.368452870771337
"Stearic acid",0.798665422230125
"Pentobarbital",0.0769102615766162
"Photinus luciferin",0.130703919975596
"Sepiapterin",0.405666323578383
"Nitrofurantoin",0.135478692892269
"Nname,cis-9,10-Epoxystearic acid",0.254722395390676
"N-Acetylglucosamine 1-phosphate",0.371932489760053
"Salidroside",2.95599422689094
"N-Acetyl-D-Glucosamine 6-Phosphate",2.14096604724477
"Oxazepam",1.2957156844246
"N-Acetylaspartylglutamate NAAG",0.278619169255373
"Xylitol",0.349647402172686
"Pyridoxal 5'-phosphate",0.340935505934243
"N-Acetylneuraminic acid",0.693913315102239
"Prunasin",1.19904863646918
"Picrotoxinin",0.241666817548134
"Sulfaphenazole",0.00516634880513673
"S-Methyl-5'-thioadenosine",0.00526756911297338
"Nicotinate D-ribonucleotide",0.210678087451954
"Nilutamide",0.174658109923346
"Temazepam",0.00498951986760821
"p-Hydroxyphenylbutazone",0.53954629780443
"S-Nitroso-L-glutathione",0.196800829659265
"Sulfamethoxypyridazine",1.39508211401781
"Norethindrone Acetate",1.19710141915733
"Sucrose",0.144279980210322
"Sinigrin",1.12603348560569
"Uridine 5'-monophosphate UMP",0.934291274007883
"Sulpiride",1.05154640864138
"Perindopril",1.02782834912781
"Rosiglitazone",0.239266049050804
"Thiamine monophosphate",0.186441608243986
"Phenylacetylglycine",0.625190203182632
"Nafcillin",0.272891638630415
"pregnenolone sulfate",0.416033800100695
"PGE3",0.853096099129111
"Pravastatin",0.000764033257809108
"N-Formylmethionyl-Leucylphenylalanine",0.404215809449606
"Vindoline",0.497244744472827
"Troglitazone",0.829346093601124
"Tamsulosin",0.260543277101227
"Taurolithocholic acid",1.72575294879482
"Nomilin",0.154906208738139
"Parthenolide",2.26324345925517
"Taurochenodeoxycholate",1.40296575549742
"Sildenafil",1.7173474154067
"Taurocholate",0.504261395395255
"Raffinose",0.0436111450784541
"Phenethyl Caffeiate",0.166332237218375
"Naringin",0.390268822150981
"Stachyose",0.363518347489657
