sample,order,class
A01,26,a
A02,71,a
A03,40,a
A04,54,a
A05,39,a
A06,63,a
A07,45,a
A08,15,a
A09,18,a
A10,67,a
A13,4,a
A14,65,a
A15,22,a
A16,35,a
A17,49,a
A18,56,a
B01,68,b
B02,66,b
B03,51,b
B04,9,b
B05,53,b
B06,8,b
B07,30,b
B08,14,b
B09,70,b
B10,23,b
B13,72,b
B14,6,b
B15,43,b
B16,76,b
B17,2,b
B18,27,b
C01,33,c
C02,25,c
C03,38,c
C04,31,c
C05,59,c
C06,77,c
C07,7,c
C08,74,c
C09,42,c
C10,48,c
C11,12,c
C12,29,c
C13,36,c
C14,24,c
C15,13,c
C16,60,c
C17,32,c
C18,52,c
D01,62,d
D02,58,d
D03,20,d
D04,41,d
D05,16,d
D06,75,d
D07,50,d
D08,11,d
D09,57,d
D10,3,d
D11,61,d
D12,21,d
D13,17,d
D14,34,d
D15,47,d
D16,44,d
D17,69,d
D18,5,d
QC01,1,q
QC02,10,q
QC03,19,q
QC04,28,q
QC05,37,q
QC06,46,q
QC07,55,q
QC08,64,q
QC09,73,q
QC10,78,q
