"mid","Hotelling.T2","ac_vip_c1","ab_vip_c1","bc_vip_c1"
"Flavone",320.26067,2.15249834276665,2.83011496958737,0.886902134615953
"His-His",314.66541,2.26305714635589,3.06664814878749,0.844891013949592
"Hydroxyisocaproic acid",311.26021,2.88714575765102,1.77677482036581,3.12901839154862
"L-Threonine",292.44433,2.32144252440568,2.79333983423219,1.20517955323413
"Glucosaminic acid",288.27967,2.07186605719083,2.33923283509466,1.22332773072735
"Methyl acetoacetate",251.36593,2.2222559085135,2.96104619356168,0.877981469632149
"Allopurinol",241.57654,2.75649327407982,2.98140129449743,1.75319931694115
"Dulcin",229.59236,2.15853784854943,3.16914965331982,0.571388139493333
"2-Butoxyethanol",229.00788,2.42921917833559,2.54526643341623,1.62395400517509
"Glycyl-L-leucine",215.73429,2.30040667386316,2.70917367673017,1.25078586481347
"His-Ile",214.08335,2.31890296765962,2.28538763262981,1.68879396972343
"Capric acid",211.53153,2.16776717362486,2.603888019984,1.12975710175757
"Formylanthranilic acid",171.29495,2.19111980049643,2.45162983765311,1.31510717878291
"cis-4-Hydroxy-D-proline",167.8685,2.96494108048652,2.43507415151108,2.62704377607348
"Caffeine",167.07603,2.9444206615927,3.11767592391158,1.93706339577901
"His-Phe",165.47139,2.04974229020718,2.2443896763007,1.27736677729728
"Hordenine",155.98899,2.50549888064545,2.74780472645303,1.55718121960207
"1-Methyladenosine",155.82729,2.62706803967259,0.831892292200546,3.60094882474182
"DL-Norvaline",153.83086,2.09955000908618,1.57625759333715,2.00250146935996
"His-Tyr",149.94405,2.39642460867787,0.767277308250202,3.27671550139727
"Allopurinol riboside",137.97068,2.27523363118217,2.61714721200378,1.29701250611177
"L-Alanine",129.63659,2.38874387988904,0.706314895885015,3.32240338488402
"3-3-Indolyl-2-oxopropanoic acid",126.12196,2.1993658314643,1.55610990380296,2.18902917305838
"2-Octenoic acid",112.45102,2.19783925564945,1.47980732956818,2.25975795983439
"7,8-Dihydro-.alpha.-ionone",110.47779,2.01775225696645,1.90578995935194,1.5489997313836
"Indole-2-carboxylic acid",109.38803,2.38580247728488,2.02927771417338,2.0468240403923
"S-2-Hydroxyglutarate",107.98737,3.31104490651307,1.90290534750989,3.71784306995927
"1-Methylxanthine",103.60983,2.035607354358,2.79347319563985,0.72632007895255
"DL-Homoserine",100.95715,2.08054435076667,1.8711407447359,1.68744633323872
"2'-Deoxyuridine",94.04254,2.17635030029729,2.06107951288369,1.66547844711714
"Ethanolamine",75.24002,2.63496022745042,0.262542336297774,4.16100495145049
"Deoxythymidine triphosphate dTTP",74.06371,2.64170966007937,3.64090887505496,0.927523157048883
"Larixinic Acid",71.25331,2.23024935614486,2.36548192262298,1.46338499382391
"Homocitrate",68.20712,2.05657855776275,1.83156495610277,1.6853181592343
"Glycitein",62.25001,3.09979051875979,2.1172164841741,3.15818611416982
"Daidzein",48.27949,3.6817942845114,0.800536905423016,5.39757396896226
"--Medicarpin",38.67458,2.6475379412549,2.6149242156741,1.92270193673343
"4-Methoxycinnamic acid",33.06938,2.11242628268699,2.65393114810105,0.989004917268395
"3-Mercapto-2-butanone",20.67141,2.12684939265016,1.19614219234179,2.41330953199191
"delta-Tocotrienol",13.97511,2.43078969991146,3.80702909272413,0.414711770111065
