"name","QC01","QC10","QC02","QC03","QC04","QC05","QC06","QC07","QC08","QC09","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A13","A14","A15","A16","A17","A18","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B13","B14","B15","B16","B17","B18","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","C16","C17","C18","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","D13","D14","D15","D16","D17","D18"
95,77145.541,79666.71337,81944.18467,79506.79579,78044.93384,80111.68667,106781.814,74434.296,82086.911,73486.12667,66804.08753,68507.96,74837.87953,89262.37895,95433.81353,99393.9768,70703.53461,82698.74363,54869.77333,59504.19194,84905.45567,53306.58387,39762.97137,52191.62747,78509.085,95049.10168,59590.55822,98291.28,47988.96,68260.626,56656.23056,81912.103,65401.40213,72521.67228,73861.82056,40413.17932,64639.01664,46216.73795,21814.10583,57776.24189,59519.55464,82279.94779,60640.99896,76890.4585,47106.78739,67771.91372,74886.11026,69739.29311,60463.20217,58096.49116,59120.80184,50940.91239,68703.09222,56983.69512,55951.16356,37497.88958,26894.32961,38933.7935,101232.5161,71863.057,87709.45856,69976.72076,81184.33244,90342.721,80783.12652,118843.1872,92246.60511,92610.85547,127602.7473,89291.358,94879.279,62214.90633,119001.6756,46486.07572,61277.964,62803.937,89099.1255,102243.3727
105,154879.7309,149690.4118,178776.3875,184464.9768,182746.9164,135804.8011,146753.0412,171985.3135,203173.9955,195868.4648,102824.0829,122888.5624,98693.04667,140980.8336,132594.7045,122662.3496,117464.9795,73419.12082,133412.1675,138497.4596,164406.8133,101224.8716,144596.6604,168560.3071,130126.4806,178225.4894,124677.7946,130834.4241,113354.1522,90290.464,201313.4779,95255.75,94162.223,88591.83338,152994.8349,130853.6801,154442.7256,104018.5641,147268.374,113094,134435.0706,238238.5315,168111.7914,114781.7807,81600.2205,137611.169,199554.3601,142179.012,110241.4378,93223.32741,139263.3051,176384.8683,101536.521,134389.1551,142159.6896,114567.2911,151688.3963,139778.8282,594200.6405,245527.7498,119147.1995,130474.3032,148515.6685,90603.88659,99424.66286,115741.6388,140468.4494,78605.35059,160889.4224,152240.742,131405.3891,108285.6369,145388.9664,150686.4795,176948.817,163941.3768,201500.3491,159388.2025
106,50813.92647,42690.67863,46910.26218,50189.6661,47880.35479,50858.86909,50506.71619,43183.18032,46350.8999,46911.01778,48786.72941,35452.56,26103.33,29919.47294,24431.31456,31771.64,70336.67875,15670.8121,18342.08905,49765.10032,44948.75735,37950.82195,41971.83165,35590.12625,99330.5222,51426.42041,65235.94412,54816.81882,18365.90245,18414.89075,25049.5011,18774.23333,53270.20324,25237.14133,28739.82045,37796.6979,46534.03156,32174.17576,24400.48295,42883.11176,75293.19542,45228.24839,71266.47721,59948.88405,17136.19337,7246.498235,59552.31071,19191.44737,131017.398,31497.8895,19972.9706,52564.9306,61159.37138,28480.297,63763.02058,53841.43929,65993.34736,39442.15157,81893.439,78573.39459,65883.99024,29400.43681,25473.89967,22148.984,22243.872,35159.00625,59859.16658,29365.556,34032.28667,39616.26568,49818.58555,14459.016,54875.68625,35392.107,42921.857,45506.3634,74530.08806,27848.28383
140,135168.6836,136843.6299,133577.444,121790.0111,116175.9451,131641.8358,153385.05,125665.7916,137159.2502,144685.8953,193742.5369,150526.3217,163390.7544,138884.1708,70934.90473,163662.8589,162175.3531,122688.3023,142860.2147,209054.82,103036.257,105710.5688,168701.0994,92390.76,200362.1992,184153.5358,194235.944,174559.0022,132342.7284,94983.7725,77079.61244,126678.7988,84836.7454,71421.91257,156894.3086,149723.0611,73842.17428,68884.7962,141173.5353,91999.7802,129547.9575,183046.239,132876.0011,52116.28063,94546.58547,44072.52157,36239.56386,74730.8962,35818.24629,64032.309,87692.97905,130437.9747,40023.34,26903.52,22982.65962,30511.91081,111480.1061,22539.39282,139068.4113,162945.4569,198993.2212,124196.4603,190165.7965,121873.5595,73065.8832,163725.8357,114528.7771,170667.2406,114402.7593,155890.5963,98769.13567,106912.5689,69019.4575,119252.7701,185677.6807,50086.64783,206230.1214,142717.7181
174,352399.1221,300951.921,342292.7857,319997.5458,343190.0878,351398.6111,306653.5806,333221.4923,343693.658,316937.0385,299237.2833,345967.6449,309912.2497,346029.6679,418339.1877,485521.4279,334203.6316,287624.9072,162512.4463,357486.9227,205127.52,270074.2927,231625.9513,333864.1,431213.6555,336376.3911,474575.8039,474542.9867,265724.1756,318701.7155,224929.5622,318101.6332,193578.6604,243215.9578,319247.0138,166864.0417,242303.8193,110957.028,172502.295,323359.5017,244314.2529,440724.2916,315022.3542,248990.216,180203.0756,485007.417,268107.134,285090.3079,142801.0981,211886.5022,228933.1489,145697.6789,234202.8752,222074.2216,174822.4407,83641.99645,207170.5393,187226.3727,572093.2564,195802.7678,380147.1795,317678.9117,210870.6457,388607.4594,231739.1452,315464.3533,357787.1294,226405.9268,280107.3278,218457.2969,264206.6396,170344.9801,171695.8304,198937.5764,187907.3118,206842.8914,360684.3984,259045.8532
176,1032841.399,1462843.987,1062026.085,1215600.779,1278819.758,1003560.131,1346421.443,1485832.013,1342279.472,1375111.485,1554261.12,1537609.457,1287985.354,1270229.813,728737.7994,940038.9426,1248765.5,1319204.282,1662104.917,2191930.832,1662926.924,1233228.733,1166399.138,1395821.617,1310593.977,1099881.752,1574501.036,2137863.722,1351435.078,1868740.001,2309671.147,1426035.439,730084.1945,1874506.541,1436937.443,1408411.229,2895784.872,1598361.943,2634151.392,2041678.839,1419433.458,1151360.56,1765921.532,2868468.532,2113379.87,2647718.856,1848031.094,1669668.141,1506485.166,2810296.527,2871584.104,2165686.236,1966693.081,2514264.057,2081742.029,3595282.835,3747213.775,4121417.226,2710195.091,1838609.034,1070269.125,1489658.688,1092015.203,793338.4186,1452185.77,1242000.966,937871.7899,1340394.833,875714.8611,1044433.606,1480476.271,1387862.037,1026980.393,1250519.305,1157516.615,788852.2544,1098709.723,882949.1365
196,621492.7333,700622.7303,663238.3842,688588.7445,714119.0489,709310.1901,726547.4043,756193.7565,772530.5475,713783.3577,757303.4211,670780.3954,662554.7997,673138.6821,588730.5457,639994.6947,721219.5396,618521.6213,658102.41,818532.78,595044.1575,872256.6669,479233.7081,689978.0528,693712.3945,841048.8497,798328.284,767477.3667,658835.6498,624141.2854,662936.865,635989.042,528396.2133,675798.8389,722369.544,695640.7563,619206.5326,654655.4183,462734.1853,873300.7907,545391.84,893103.584,843154.4023,737174.8315,656532.8425,683102.27,762989.8286,736715.3962,481978.8992,835355.9067,696642.9169,885773.178,688380.12,701086.5369,627506.9277,747084.3105,549936.1366,798841.2771,771325.632,887508.8408,947080.3141,630117,762988.8813,628954.2264,572371.4191,760149.1567,707551.599,713994.2016,816211.5972,653787.4376,803049.9199,709305.2225,706251.0234,772082.7489,662544.7215,720731.7828,679141.5643,671096.6369
199,60700.00127,56352.71513,54212.29625,60948.6746,58337.32113,58182.10069,59491.5336,57835.53967,53577.0375,54221.06627,91981.71218,73183.87765,54077.91716,88441.86617,58981.54625,51379.154,69832.49768,54920.50667,39400.32295,70326.65526,62135.0347,45799.07526,60667.3275,95178.78642,90617.5197,109313.5803,27106.83193,35652.645,26559.00569,36755.77067,37685.00267,28725.816,36607.96125,33950.23947,21064.4135,19784.16706,27181.84333,33983.42573,7785.875,79950.20329,34075.72067,34097.54795,27476.74572,20296.4728,20541.59568,20012.3593,26605.51056,18816.44375,21050.58217,19953.90131,2465.631143,7096.83,19024.94432,3594.488333,7806.063158,14076.96745,16828.3375,14816.00075,22466.61153,22171.56413,59548.98026,56754.99,80051.11579,70654.71692,90686.4157,75685.25779,93646.328,63648.36658,73921.86032,58986.78022,68319.15395,48776.29516,93840.1601,85486.86106,133270.2098,72466.92379,60460.40921,79013.163
212,81290.88243,69839.36563,65157.47307,82785.17836,84404.01074,77944.35716,79405.56686,77963.77421,80607.22468,77892.57092,69432.68713,58090.39018,68623.44288,51659.90456,47664.19964,59223.9452,81010.54549,51366.53445,33462.17635,45226.03248,45023.49977,51975.62553,46167.95321,31546.15742,36787.56729,66407.78241,73598.01464,47012.77113,50151.69939,64067.63171,46293.23331,61136.48808,62613.33321,69494.31668,33012.44609,35283.49967,57772.1217,51723.3574,43646.80775,56906.16761,51317.489,87339.04747,111838.6965,60822.49752,59756.75893,83142.07748,52639.90956,47834.11846,63191.22473,50397.62141,68808.819,46429.84027,82947.1106,56097.93064,66800.37268,61840.49037,44573.33414,44996.20755,161014.6901,85904.27661,77069.89519,68021.38049,70286.79964,78828.66756,40762.92272,63963.508,78073.11657,66562.91533,64949.53475,43461.31916,78598.55733,50337.79781,75800.38175,74975.84787,71075.41947,48016.81251,60301.48335,64030.43305
241,911444.4842,875452.56,970299.3491,970341.3375,924582.8704,855555.5402,1027729.963,943705.4611,928563.5044,907775.454,713700.3845,716074.0852,690704.0874,769826.4212,652201.3694,735736.3849,745781.92,700041.5624,605948.4133,668837.8793,674402.8218,724168.6853,644712.061,786146.494,757906.061,755924.3227,859600.9059,927951.1533,674937.9389,868988.6434,797587.7873,929535.9219,712846.6576,814205.1794,920781.7953,605934.721,923397.287,765458.4943,694103.4634,774487.0166,803480.0426,886255.5222,817580.49,812377.0406,718161.4933,921839.7998,810600.312,768398.794,954289.5353,760547.8,820202.5889,721085.88,866606.6256,700373.4758,763020.5964,695975.4016,709522.3337,844267.5383,965624.2489,975017.1313,814699.9,684874.0824,720168.1651,758156.9667,663524.0796,715357.8118,728047.9452,811105.8957,759389.1135,699566.878,756220.2783,641052.0955,781292.2376,641915.5173,943473.6016,622077.2211,770869.9048,729357.392
