id,MS2 name,MS2 score,MS1 name,MS1 ppm,type,mz,rt
95,Propionic acid,0.998,,,MS2 forward,73.02948649,233.8995
105,Glycine,0.9988,,,MS2 forward,74.02525055,335.9895
106,Acetohydroxamic acid,0.9988,,,MS2 forward,74.02493627,184.978
140,,,,,Unmapped,77.03968982,178.477
174,,,,,Unmapped,79.95762146,280.621
176,,,Potassium cyate,7.410911579,MS1 mz matched,79.95757497,152.64
196,,,Sulfurous acid;Sulfite;Sulfurous acid,3.2532875673094;2.82167800189133,MS1 mz matched,80.9727313,27
199,,,"Tiglic acid;Dihydro-5-methyl-2(3H)-furanone;2-Ethylacrylic acid;Angelic acid;Isopropenyl acetate;Ethyl acrylate;Glutaral;Dihydro-2-methyl-3(2H)-furanone;Dihydro-3-methyl-2(3H)-furanone;3-Methylbutyrolactone;Methyl methacrylate;2,4-Pentanedione;4-Pentenoic acid;2,3-Pentanedione;Senecioic acid;2-Pentenoic acid;5-Valerolactone;delta-Valerolactone;gamma-Valerolactone;Tiglic acid;(E)-2,3-Dimethylacrylic acid;Glutaral;1,5-Pentanedial;Glutaraldehyde;Methyl methacrylate;MMA;Methyl 2-methylpropenoate;Pentane-2,4-dione;Acetylacetone;2,4-Dioxopentane;Ethyl acrylate",15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.6967702618325;15.9916203908779;15.9916203908779;15.9916203908779;15.9916203908779;15.9916203908779;15.9916203908779,MS1 mz matched,81.03463173,130.361
212,,,,,Unmapped,82.02988132,285.3755
241,,,"Gamma-Butyrolactone;But-2-enoic acid;Isocrotonic acid;Diacetyl;Methyl acrylate;Ethenyl acetate;Oxolan-3-one;Diacetyl;Biacetyl;Dimethylglyoxal;2,3-Butanedione;gamma-Butyrolactone;1,4-Lactone;2-Butenoate;2-Butenoic acid;Crotonic acid;3-Methylacrylic acid;2-Butyne-1,4-diol;1,4-Butynediol;Cyclopropanecarboxylate;Succinic aldehyde;Succindialdehyde;beta-Butyrolactone;Vinyl acetate;Methyl acrylate",23.4848400084556;23.4848400084556;23.4848400084556;23.4848400084556;23.4848400084556;23.4848400084556;23.4848400084556;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137;23.2458668848137,MS1 mz matched,85.03003224,416.158
