id,A01_neg.A01,A02_neg.A02,A03_neg.A03,A04_neg.A04,A05_neg.A05,A06_neg.A06,A07_neg.A07,A08_neg.A08,A09_neg.A09,A10_neg.A10,A13_neg.A13,A14_neg.A14,A15_neg.A15,A16_neg.A16,A17_neg.A17,A18_neg.A18,Mean A,B01_neg.B01,B02_neg.B02,B03_neg.B03,B04_neg.B04,B05_neg.B05,B06_neg.B06,B07_neg.B07,B08_neg.B08,B09_neg.B09,B10_neg.B10,B13_neg.B13,B14_neg.B14,B15_neg.B15,B16_neg.B16,B17_neg.B17,B18_neg.B18,Mean B,C01_neg.C01,C02_neg.C02,C03_neg.C03,C04_neg.C04,C05_neg.C05,C06_neg.C06,C07_neg.C07,C08_neg.C08,C09_neg.C09,C10_neg.C10,C11_neg.C11,C12_neg.C12,C13_neg.C13,C14_neg.C14,C15_neg.C15,C16_neg.C16,C17_neg.C17,C18_neg.C18,Mean C,D01_neg.D01,D02_neg.D02,D03_neg.D03,D04_neg.D04,D05_neg.D05,D06_neg.D06,D07_neg.D07,D08_neg.D08,D09_neg.D09,D10_neg.D10,D11_neg.D11,D12_neg.D12,D13_neg.D13,D14_neg.D14,D15_neg.D15,D16_neg.D16,D17_neg.D17,D18_neg.D18,Mean D,QC01_neg.QC01,QC010_neg.QC010,QC02_neg.QC02,QC03_neg.QC03,QC04_neg.QC04,QC05_neg.QC05,QC06_neg.QC06,QC07_neg.QC07,QC08_neg.QC08,QC09_neg.QC09,Mean QC
95,0.226946789,0.225352445,0.252310073,0.329876542,0.318429536,0.336501278,0.25371024,0.277220886,0.400876412,0.211741667,0.305597909,0.197552423,0.125532249,0.167283405,0.272830326,0.32539905,0.264197577,0.222102121,0.394506044,0.167804637,0.240175224,0.184615709,0.287718191,0.217724678,0.26405193,0.265771869,0.135991132,0.236149647,0.162983905,0.077028983,0.208907611,0.195867726,0.27320492,0.22091277,0.227143077,0.28465704,0.165155525,0.244848163,0.294666682,0.265349907,0.256149695,0.212232264,0.205395551,0.16789475,0.244201026,0.214811105,0.187591566,0.130462032,0.103716696,0.140418581,0.374036443,0.240077594,0.219933761,0.290815781,0.241811565,0.267946973,0.312841694,0.263697088,0.384187365,0.299183465,0.31863309,0.426682508,0.289403062,0.318740051,0.198685598,0.40178162,0.165555331,0.201733315,0.202282149,0.31936901,0.32717353,0.290584622,0.216456361,0.253096126,0.250973002,0.234280665,0.230360173,0.234017205,0.320489382,0.231757478,0.256454814,0.233197877,0.246108308
105,0.349313887,0.404233872,0.332735908,0.52100639,0.442422541,0.415277049,0.421507472,0.246113941,0.974704064,0.492833899,0.591744994,0.375136001,0.456493651,0.540265623,0.452208176,0.610152058,0.476634346,0.46469111,0.525122586,0.396369339,0.317687277,0.655984878,0.334588065,0.313470951,0.322563502,0.550510709,0.44032517,0.564234993,0.366822768,0.520027413,0.408925825,0.442400683,0.791054694,0.463423748,0.629696579,0.424934935,0.286088864,0.497165272,0.785219328,0.540974621,0.467033,0.340554093,0.483824008,0.581342027,0.360905482,0.50660602,0.476629208,0.398600607,0.584979046,0.504126183,2.19546745,0.820250542,0.604688737,0.395053013,0.450867018,0.490172459,0.313746066,0.3245479,0.374160911,0.455581399,0.270446328,0.537987651,0.493428904,0.441446866,0.345814176,0.490872201,0.536654247,0.582533576,0.528030814,0.722262612,0.510034044,0.459091121,0.434564365,0.475557002,0.547544,0.543558283,0.539402229,0.396704417,0.440456944,0.535490824,0.634753441,0.621560998,0.51695925
106,0.165738236,0.116618873,0.088005341,0.110569899,0.081518823,0.107563836,0.252393827,0.052531347,0.134006583,0.177085764,0.161782846,0.140644482,0.132505651,0.114072655,0.345187806,0.176057512,0.147267718,0.243143243,0.220015106,0.064220679,0.06479285,0.08162441,0.065944937,0.177339285,0.091888613,0.103412504,0.127186621,0.170005605,0.113462633,0.08616188,0.15505696,0.247775829,0.150177295,0.135138028,0.266942946,0.221937445,0.060079177,0.026180341,0.234330262,0.073021227,0.555049441,0.115064925,0.06938944,0.173247306,0.217387322,0.107362011,0.213782951,0.187324237,0.254500188,0.142252025,0.302581935,0.262495256,0.193496024,0.21844969,0.101596153,0.084076005,0.076698218,0.07260977,0.113659405,0.194141268,0.101033921,0.113798345,0.128400652,0.167361922,0.046175401,0.185275056,0.126045313,0.141303137,0.146569235,0.267147408,0.089113075,0.131858554,0.142574639,0.135625595,0.143673518,0.14789262,0.14132534,0.14856572,0.151588231,0.134454485,0.144808853,0.148865511,0.143937451
140,0.658181982,0.49514647,0.550859183,0.513257999,0.236685174,0.554085499,0.581944708,0.411272994,1.043731127,0.743907522,0.370855611,0.391759845,0.532591698,0.296128741,0.696287368,0.630446628,0.544196409,0.723943801,0.700617404,0.462767342,0.334200698,0.251165797,0.444962264,0.28242595,0.260047697,0.564541915,0.503821003,0.269772102,0.242923096,0.498505595,0.332653245,0.426318108,0.607792474,0.431653656,0.497713829,0.192940275,0.33147858,0.159226372,0.142597766,0.284342377,0.151742424,0.233916398,0.304660072,0.429906927,0.142260565,0.101418044,0.077055647,0.106156531,0.429917698,0.081290552,0.513833459,0.544362499,0.262490001,0.659796218,0.429173303,0.627637723,0.4220277,0.238506003,0.529280634,0.371451245,0.58719067,0.382543929,0.505258481,0.331807742,0.341429233,0.233028226,0.424706356,0.611269887,0.16132165,0.739216119,0.456689352,0.447351915,0.37925875,0.434743586,0.40911179,0.358875546,0.342909008,0.384543826,0.46036191,0.391271074,0.428511069,0.45914032,0.404872688
174,1.016568645,1.138037894,1.044844975,1.278781403,1.395852775,1.643747301,1.199245329,0.964169807,1.18730956,1.272093181,0.738309932,1.000886329,0.731246323,1.070093541,1.498529276,1.151579092,1.14570596,1.768808615,1.90464583,0.929166808,1.121352973,0.732938465,1.117339478,0.644433456,0.88555105,1.1487244,0.561500735,0.885223265,0.391291348,0.609132293,1.16920483,0.803992529,1.463394764,1.008543802,1.179979686,0.921789508,0.63178865,1.752247629,1.054965191,1.084735496,0.604970568,0.774042481,0.795352039,0.480200965,0.832460092,0.837151907,0.586140006,0.291005838,0.798943277,0.67525045,2.113784532,0.654131057,0.892718854,1.260443294,1.097771285,0.695973589,1.345682468,0.756456705,1.019809562,1.160411192,0.778962895,0.936632633,0.708044005,0.887583028,0.544002978,0.579691239,0.708495518,0.61861006,0.666210218,1.292845678,0.828933396,0.882586652,0.988767863,0.956105282,1.048350756,0.942928677,1.01297194,1.026483454,0.920374104,1.037513307,1.073763064,1.005755073,1.001301352
176,5.280134557,5.057865539,4.342342153,4.694239869,2.431545286,3.182529927,4.481029083,4.422207208,12.14327335,7.799838504,5.985327875,4.570304589,3.682338167,4.473855368,4.55450197,3.765427251,5.054172543,5.868379665,8.580620379,4.725609234,6.575167479,7.526119773,5.008983065,2.430488358,6.825091784,5.170432397,4.739331085,10.57934682,5.636643396,9.301596112,7.382312096,4.67109013,3.823013723,6.177764093,6.614614826,10.61938995,7.409470736,9.565748737,7.271751582,6.352893275,6.38215811,10.26629292,9.97636333,7.137825592,6.990492758,9.478006654,6.979609033,12.50864803,14.45095072,14.86429928,10.01369689,6.142360929,9.056920741,3.548661186,5.147664741,3.604170403,2.747197911,4.740311186,4.015047811,3.041800088,4.611707184,2.928245837,3.385123608,4.97355257,4.432188611,3.467361644,4.453594634,3.810662905,2.540775895,3.938241087,2.825391789,3.789538838,2.897965174,4.647363133,3.252700306,3.58198008,3.7746094,2.931536542,4.041079276,4.626263676,4.193531318,4.363722706,3.831075161
196,2.572710539,2.20648815,2.233751825,2.487639958,1.964389639,2.166721161,2.588000495,2.073394401,4.808070401,2.912693868,2.141726333,3.232554141,1.512947427,2.211501798,2.410750028,2.879317029,2.525166075,2.975478174,3.080379664,2.303773138,2.196043045,2.160195946,2.233926489,1.759058551,2.460588428,2.599252258,2.340844629,2.262184848,2.308650526,1.633986001,3.157685169,1.794782578,2.965489158,2.389519912,3.158204659,2.72910332,2.301792003,2.467929955,3.00226144,2.803116482,2.041882396,3.051638269,2.420253978,2.919395411,2.446805905,2.642881858,2.103888455,2.599243264,2.120802411,2.881100158,2.849913317,2.964958578,2.639176214,3.140207517,2.177432381,2.518226794,2.177963019,1.868368839,2.457353328,2.294802487,2.456539005,2.729276751,2.118996628,2.697787915,2.265192393,2.384493147,2.749692527,2.181164884,2.321369978,2.434331067,2.147474695,2.395592964,1.74379561,2.225834249,2.031320817,2.029047043,2.107818915,2.071992178,2.180621583,2.354473236,2.413529457,2.265090998,2.142352409
199,0.312480195,0.240733569,0.182319479,0.326844269,0.196800963,0.173945661,0.25058464,0.184103299,0.287857214,0.250252675,0.223640949,0.169729847,0.19152759,0.305064859,0.314908873,0.37423326,0.249064209,0.101030852,0.143096966,0.092869783,0.129325293,0.1227975,0.100900105,0.121869812,0.123613066,0.075794619,0.066574106,0.09930508,0.119842976,0.027493129,0.289084327,0.112136826,0.113218568,0.114934563,0.102919686,0.075139803,0.072018455,0.072301181,0.104689074,0.071594382,0.089179865,0.072893587,0.008566015,0.023390246,0.067623025,0.013550122,0.02617196,0.04897635,0.064897679,0.053435374,0.083010201,0.074069988,0.062468166,0.197444876,0.19612255,0.264206818,0.244665437,0.296023993,0.244669639,0.303723187,0.218985945,0.24718249,0.19118261,0.229513239,0.155768898,0.316829585,0.304452578,0.438739141,0.233405194,0.216715719,0.252838055,0.252914997,0.170313167,0.179029024,0.166037685,0.179595918,0.17219049,0.169957882,0.178554794,0.180075846,0.167384654,0.17206292,0.173520238
212,0.235876666,0.191084531,0.231358585,0.190913472,0.159038903,0.200504436,0.290695579,0.172189753,0.244473348,0.160933796,0.162051864,0.192619936,0.145752865,0.101111019,0.127842071,0.227345961,0.189612049,0.274309818,0.188692449,0.175367162,0.225422161,0.15084763,0.214743354,0.208443052,0.253029306,0.118786396,0.11872966,0.211062402,0.182403067,0.154123631,0.205761593,0.168876262,0.290003313,0.196287579,0.418914367,0.225171659,0.209506092,0.300377897,0.207130901,0.182003263,0.267706843,0.184107527,0.239053343,0.153026831,0.294830536,0.211472044,0.223966504,0.215154402,0.171894931,0.162283278,0.594921121,0.286986011,0.252694864,0.25553848,0.235054691,0.231979923,0.272970457,0.133060757,0.206776444,0.253214582,0.229013621,0.217180515,0.140862891,0.264046148,0.160755614,0.255922448,0.267018696,0.233987539,0.154655018,0.216146061,0.20489409,0.218504332,0.228087436,0.221875262,0.199559818,0.243940992,0.249129848,0.227686139,0.238323738,0.242746807,0.251831998,0.247181108,0.235036315
241,2.42458234,2.355478774,2.328654953,2.844957536,2.176169764,2.490857513,2.676139334,2.346663732,4.427035346,2.380014628,2.427359826,2.683745016,2.035364869,2.519738676,2.633832223,2.587894598,2.58365557,3.203849576,3.72446405,2.360078562,3.057539232,2.598959261,3.265016818,2.373103699,2.964526908,3.313185308,2.038982081,3.373503413,2.69939896,2.450986719,2.800393853,2.6441026,2.942750639,2.863177605,3.062412419,3.007510273,2.517860913,3.330447219,3.189602231,2.923668129,4.042805621,2.778356809,2.849520938,2.376607083,3.080301344,2.640193836,2.558235061,2.421426001,2.736238948,3.044934466,3.567812727,3.257303223,2.965846513,2.701277507,2.366650961,2.376898031,2.625370443,2.165914776,2.312555219,2.361278298,2.790657495,2.539271752,2.267372804,2.540467134,2.047223514,2.637852442,2.28611545,3.106011446,2.003618294,2.763124298,2.333906112,2.456975888,2.557347504,2.781257597,2.97176598,2.859280285,2.729031337,2.499194869,3.084575247,2.938306792,2.901005504,2.880697605,2.820246272
