sample,batch,class,order
A01,1,1,26
A02,1,1,71
A03,1,1,40
A04,1,1,54
A05,1,1,39
A06,1,1,63
A07,1,1,45
A08,1,1,15
A09,1,1,18
A10,1,1,67
A13,1,1,4
A14,1,1,65
A15,1,1,22
A16,1,1,35
A17,1,1,49
A18,1,1,56
B01,1,2,68
B02,1,2,66
B03,1,2,51
B04,1,2,9
B05,1,2,53
B06,1,2,8
B07,1,2,30
B08,1,2,14
B09,1,2,70
B10,1,2,23
B13,1,2,72
B14,1,2,6
B15,1,2,43
B16,1,2,76
B17,1,2,2
B18,1,2,27
C01,1,3,33
C02,1,3,25
C03,1,3,38
C04,1,3,31
C05,1,3,59
C06,1,3,77
C07,1,3,7
C08,1,3,74
C09,1,3,42
C10,1,3,48
C11,1,3,12
C12,1,3,29
C13,1,3,36
C14,1,3,24
C15,1,3,13
C16,1,3,60
C17,1,3,32
C18,1,3,52
D01,1,4,62
D02,1,4,58
D03,1,4,20
D04,1,4,41
D05,1,4,16
D06,1,4,75
D07,1,4,50
D08,1,4,11
D09,1,4,57
D10,1,4,3
D11,1,4,61
D12,1,4,21
D13,1,4,17
D14,1,4,34
D15,1,4,47
D16,1,4,44
D17,1,4,69
D18,1,4,5
QC01,1,NA,1
QC02,1,NA,10
QC03,1,NA,19
QC04,1,NA,28
QC05,1,NA,37
QC06,1,NA,46
QC07,1,NA,55
QC08,1,NA,64
QC09,1,NA,73
QC10,1,NA,78
