"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C01",-0.12166,0.065019,-0.0045884,-0.074623,-0.010227,-0.0033508,-0.00028357,-0.065693
"C02",-0.16319,0.11123,0.032955,0.011788,0.025787,-0.090259,-0.0029183,0.015005
"C03",-0.093576,-0.084013,-0.0020125,0.034076,0.055841,-0.0055724,0.0074982,0.043554
"C04",-0.14554,0.079338,-0.019381,0.0049462,0.048582,0.011637,0.10259,0.043264
"C05",-0.10917,-0.026403,-0.019483,0.022794,0.086074,-0.0015687,0.023352,-0.043891
"C06",-0.069093,-0.091725,-0.045679,-0.030109,0.058699,-0.011234,-0.02229,-0.0023277
"C07",-0.098625,0.030819,-0.092821,-0.014235,0.018964,-0.1129,-0.00087941,0.12165
"C08",-0.094529,-0.045618,0.030381,-0.041489,-0.0015671,-0.07272,-0.050447,0.027179
"C09",-0.034211,-0.10289,-0.03624,-0.13929,-0.083853,-0.040304,-0.093568,-0.011486
"C10",-0.05617,-0.20091,0.039156,-0.015923,0.032364,0.10751,0.03969,0.023297
"C13",-0.16195,0.16703,-0.088341,0.084814,-0.091549,0.19199,-0.14581,0.071821
"C14",-0.040707,-0.11129,-0.13132,-0.029493,0.042034,0.068298,-0.0053521,-0.076669
"C15",-0.099981,-0.089579,0.082572,0.027545,-0.067977,-0.046974,0.021097,0.069246
"C16",-0.1177,-0.069359,0.093527,0.053664,-0.043281,-0.0022739,0.031896,-0.010319
"C17",-0.18563,0.13143,0.12327,-0.057219,0.02538,0.054342,-0.0091058,-0.15309
"C18",-0.050924,-0.1291,-0.076289,0.088749,-0.12568,-0.067779,0.092204,-0.058137
"B01",0.10892,0.044003,-0.028091,-0.043913,0.0015489,0.0361,0.09139,-0.016464
"B02",0.071758,0.10955,0.013065,-0.0049917,0.012867,-0.038988,0.024015,-0.017161
"B03",0.10753,-0.055033,0.057055,0.082933,0.029366,-0.040931,-0.13373,-0.031438
"B04",0.099514,0.10454,-0.048324,-0.03343,-0.049419,-0.092594,0.053025,0.027024
"B05",0.12933,0.0074379,-0.024637,-0.093077,0.01314,0.052602,0.02204,0.01464
"B06",0.10447,0.057322,-0.047344,0.0062271,0.031146,-0.036131,-0.010431,-0.065922
"B07",0.10001,0.0040436,-0.0056109,0.074564,0.088028,-0.079571,-0.13132,0.025393
"B08",0.074824,0.062084,0.037926,0.034095,0.01466,-0.037813,0.011749,0.049886
"B09",0.11141,-0.014367,-0.00056584,-0.019163,0.056063,0.09192,0.050224,0.087289
"B10",0.14215,-0.05018,0.034384,-0.071598,-0.053936,-0.0056411,-0.10576,-0.041434
"B13",0.092905,0.069628,0.033044,-0.063821,-0.045282,0.0017845,0.019685,0.058689
"B14",0.11901,-0.014865,-0.036988,0.041434,0.024474,0.046678,-0.012486,-0.053347
"B15",0.10592,-0.057828,0.087773,0.014593,-0.013981,0.088547,0.022773,0.097072
"B16",0.096045,0.021693,0.037136,0.020583,-0.023018,0.0061555,-0.0096698,-0.029809
"B17",0.081622,0.062399,0.027127,0.012968,-0.018139,0.027457,0.055987,0.013273
"B18",0.097233,0.015603,-0.021661,0.1166,-0.037114,0.0015811,0.064836,-0.1111
