"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Propionic acid",0.43335,0.39121,0.38427,0.38851,0.38779
"Pyruvate",0.018619,0.029059,0.050421,0.37937,0.38564
"Oxalate",0.26749,0.49422,0.58332,0.60309,0.6239
"Phenol",0.79707,0.78639,0.7759,0.76269,0.75922
"p-Cresol",0.36878,0.33336,0.40659,0.3991,0.39876
"Pyrocatechol",1.1983,1.1263,1.0885,1.069,1.0807
"Uracil",0.55562,0.51162,0.49472,0.49259,0.48914
"Succinate",0.64918,0.59183,0.63199,0.62484,0.62195
"Nicotinate",0.86528,0.94817,0.91635,0.90673,0.90117
"Taurine",0.25659,0.2449,0.2484,0.27232,0.2712
"N-Acetyl-L-alanine",0.2572,0.29791,0.38739,0.37938,0.37873
"Pyruvaldehyde",0.31338,0.4331,0.43337,0.44452,0.4792
"Salicylamide",0.27029,0.45171,0.59867,0.65234,0.64909
"Tyramine",0.19705,0.34027,0.35256,0.4592,0.5444
"Salicylic acid",0.36194,0.33591,0.35214,0.34925,0.36377
"Thymine",1.5033,1.4263,1.384,1.3557,1.3494
"p-Hydroxycinnamaldehyde",0.075216,0.11918,0.13652,0.20065,0.22749
"Sarcosine",0.93178,0.84956,0.82402,0.80892,0.80328
"Tartaric acid",0.94091,0.95494,0.98451,1.0236,1.0307
"Xanthine",0.10227,0.1033,0.23925,0.25236,0.25227
"Penicillic Acid",0.62027,0.86878,0.87356,0.86895,0.88583
"p-Hydroxyphenylacetic acid",0.77906,0.71762,0.69509,0.68204,0.67815
"Ribitol",0.16856,0.21039,0.2053,0.2043,0.20563
"Propylene glycol",6.6366,6.8555,6.667,6.5355,6.4858
"Oxypurinol",1.3591,1.263,1.2214,1.1962,1.1885
"Urocanic acid",0.68982,0.77784,0.75465,0.76221,0.7607
"Pelargonic acid",0.14523,0.35609,0.34661,0.44623,0.47574
"Pimelic acid",0.02821,0.13275,0.19005,0.22435,0.22264
"Phenylpyruvate",0.11252,0.11401,0.44576,0.59133,0.59332
"O-Acetyl-L-serine",1.4889,1.6208,1.6127,1.5785,1.5765
"Vanylglycol",0.69,0.64798,0.63128,0.62508,0.62089
"Uric acid",0.07889,0.071774,0.13367,0.13729,0.1916
"Vanillic acid",0.096816,0.11281,0.17856,0.33201,0.51258
"N-Acetyl-beta-alanine",0.19496,0.23896,0.23709,0.23471,0.24966
"Vanillin",1.8708,1.8733,1.9093,1.8986,1.8874
"Suberic acid",0.48357,0.52082,0.50366,0.49291,0.49117
"N-Acetylaspartate",0.1021,0.12961,0.12846,0.13123,0.14123
"Succinylacetone",1.2478,1.171,1.1318,1.1083,1.0999
"N-Carboxyethyl-.gamma.-aminobutyric acid",0.089406,0.092381,0.21798,0.23413,0.24532
