id,A01_pos.A01,A02_pos.A02,A03_pos.A03,A04_pos.A04,A05_pos.A05,A06_pos.A06,A07_pos.A07,A08_pos.A08,A09_pos.A09,A10_pos.A10,A13_pos.A13,A14_pos.A14,A15_pos.A15,A16_pos.A16,A17_pos.A17,A18_pos.A18,Mean A,B01_pos.B01,B02_pos.B02,B03_pos.B03,B04_pos.B04,B05_pos.B05,B06_pos.B06,B07_pos.B07,B08_pos.B08,B09_pos.B09,B10_pos.B10,B13_pos.B13,B14_pos.B14,B15_pos.B15,B16_pos.B16,B17_pos.B17,B18_pos.B18,Mean B,C01_pos.C01,C02_pos.C02,C03_pos.C03,C04_pos.C04,C05_pos.C05,C06_pos.C06,C07_pos.C07,C08_pos.C08,C09_pos.C09,C10_pos.C10,C11_pos.C11,C12_pos.C12,C13_pos.C13,C14_pos.C14,C15_pos.C15,C16_pos.C16,C17_pos.C17,C18_pos.C18,Mean C,D01_pos.D01,D02_pos.D02,D03_pos.D03,D04_pos.D04,D05_pos.D05,D06_pos.D06,D07_pos.D07,D08_pos.D08,D09_pos.D09,D10_pos.D10,D11_pos.D11,D12_pos.D12,D13_pos.D13,D14_pos.D14,D15_pos.D15,D16_pos.D16,D17_pos.D17,D18_pos.D18,Mean D,QC01_pos.QC01,QC010_pos.QC010,QC02_pos.QC02,QC03_pos.QC03,QC04_pos.QC04,QC05_pos.QC05,QC06_pos.QC06,QC07_pos.QC07,QC08_pos.QC08,QC09_pos.QC09,Mean QC
15,2.154729309,2.155582685,2.161551271,2.368306207,2.415375648,1.976941218,2.451301565,2.044279543,2.75845758,1.990696076,1.991919372,2.031236799,1.826356902,1.900743098,2.007044847,2.303842269,2.158647774,2.269328035,2.368041766,1.915993179,1.996715363,2.076641269,2.013634143,1.770352304,1.919542432,1.725253417,1.580338737,1.869195427,1.545108151,1.537703966,1.968708448,1.660304307,2.140217665,1.897317413,2.194484234,2.126987402,2.102266002,2.186676273,2.181894983,2.072854585,2.093599946,1.816811209,1.4759324,1.633287208,1.736766543,1.826583266,1.838443514,1.783412858,1.665619197,1.800313426,1.866168961,2.150893974,1.919610888,2.464337905,1.999894014,2.103787749,2.284241648,2.10466843,2.345351775,2.134071188,1.935141618,1.997910385,1.734899301,2.022500475,1.667062458,2.086891742,1.997063957,2.255261372,2.019526615,2.185616845,1.936241873,2.070803853,1.456317192,2.018663357,1.767117106,1.637376506,1.838420301,1.996282976,1.849058447,1.850315051,1.90917987,1.97186394,1.829459475
60,0.083041501,0.060558131,0.082362243,0.082428514,0.115871601,0.076565661,0.085973913,0.064693874,0.102930101,0.072213833,0.083429383,0.05748695,0.069700333,0.074193874,0.069066661,0.081720715,0.07888983,0.086626566,0.079888783,0.069265322,0.08006954,0.073498203,0.103909256,0.079248842,0.073825509,0.056245029,0.071877539,0.091145123,0.062946704,0.06467916,0.075075296,0.075359512,0.116315353,0.078748484,0.095171292,0.088855531,0.101349772,0.090109124,0.100317073,0.112167182,0.09279815,0.076394315,0.060102054,0.070795665,0.072014329,0.079769809,0.10391243,0.09452358,0.077135326,0.085522419,0.096823657,0.113758206,0.089528884,0.091141284,0.058296704,0.073579213,0.083888711,0.089626217,0.091697288,0.077616755,0.066408631,0.074583938,0.073276516,0.063240244,0.065784231,0.090641201,0.066775886,0.086513396,0.080335135,0.080331941,0.068381126,0.076784357,0.069092093,0.079024332,0.076188063,0.070510748,0.083442318,0.080286313,0.129150508,0.074735066,0.072208315,0.092485152,0.082712291
63,0.205247157,0.106623362,0.149995443,0.17449238,0.135470739,0.166418634,0.142096186,0.144767854,0.224827115,0.118673899,0.164673357,0.11948592,0.095411019,0.123989861,0.09628321,0.180196207,0.146790771,0.23760313,0.164441332,0.127196286,0.201420299,0.116754685,0.190651459,0.160103795,0.181884165,0.101036446,0.130943617,0.173219465,0.147156112,0.107845171,0.149758333,0.13650638,0.223479941,0.159375038,0.280443502,0.154746833,0.163636755,0.197602782,0.178673797,0.197011688,0.145164201,0.159076749,0.121114362,0.15145501,0.17466485,0.13208862,0.195685484,0.144357035,0.112540818,0.202772416,0.175870686,0.244359883,0.173959193,0.256604033,0.108059019,0.140309494,0.16639969,0.113981995,0.142013876,0.125689502,0.146999823,0.137503889,0.123661146,0.137816155,0.122746447,0.22080798,0.13838063,0.124859081,0.133987722,0.133009292,0.158553527,0.146187961,0.141745478,0.145962341,0.146101724,0.129291891,0.132404555,0.148373978,0.127910225,0.127440121,0.149376958,0.144432154,0.139303943
89,0.118941578,0.098843442,0.097821627,0.125724286,0.084550105,0.100596649,0.104182446,0.101240419,0.166838271,0.068952128,0.100564107,0.072053027,0.070148334,0.077457174,0.077250565,0.068053977,0.095826133,0.11267139,0.115677325,0.089623796,0.154162977,0.083664493,0.157138075,0.122154357,0.115772777,0.07243073,0.074455807,0.102404743,0.087571352,0.083401931,0.093609237,0.086202044,0.101634964,0.103286,0.149915453,0.155099169,0.135941934,0.154923111,0.116494092,0.150204306,0.132496969,0.093284967,0.090520414,0.075693749,0.117705147,0.103445148,0.106113219,0.100305923,0.092030015,0.096461062,0.132365141,0.092207121,0.116400386,0.104408294,0.076927412,0.096365481,0.137083266,0.089999976,0.113774823,0.084923298,0.093784984,0.057851584,0.072354015,0.06211197,0.078001223,0.082089502,0.091576158,0.077580937,0.076364756,0.065874383,0.077947636,0.085501094,0.07190056,0.083366674,0.091598489,0.080161774,0.086424903,0.080608823,0.080712252,0.082855589,0.074847513,0.074474682,0.080695126
96,0.113461395,0.082040104,0.112990437,0.114910198,0.113401699,0.110271855,0.119826478,0.086579869,0.098448017,0.086963021,0.11792946,0.070092319,0.081043864,0.113895524,0.104403316,0.12194379,0.103012584,0.12577792,0.111463065,0.094495365,0.116909378,0.094928784,0.143032588,0.109161125,0.098098584,0.071448021,0.086180448,0.123870046,0.083373098,0.080463315,0.106145163,0.117008964,0.162697114,0.107815811,0.137427282,0.125397906,0.134611381,0.126591116,0.125382366,0.137316261,0.124551849,0.097121449,0.074286635,0.098150062,0.102974509,0.106713434,0.142851769,0.12361019,0.100481824,0.108818563,0.137470917,0.143943719,0.119316735,0.127760829,0.0702084,0.106571901,0.111645986,0.109206672,0.109207471,0.110940566,0.084245075,0.104078052,0.096964702,0.07296019,0.077378253,0.143973583,0.084673578,0.13305423,0.111406381,0.123407381,0.103273658,0.104497606,0.093474018,0.110798905,0.104885066,0.110830129,0.119732698,0.119068171,0.116711919,0.107722354,0.104530693,0.123402938,0.111115689
105,0.08742415,0.088708502,0.059252975,0.087703324,0.095448617,0.052524071,0.066344677,0.076743359,0.124687029,0.083616328,0.050727446,0.052003192,0.044634481,0.062759554,0.058505724,0.054196545,0.071579998,0.119964405,0.116296708,0.053455956,0.086850008,0.097136742,0.072305544,0.087158971,0.096064533,0.075184522,0.058965466,0.069379385,0.053206332,0.046519158,0.067541184,0.067794914,0.08499479,0.078301164,0.130738677,0.165075291,0.099816457,0.146639034,0.122103016,0.10755809,0.093045219,0.095419947,0.055731958,0.076205213,0.075856418,0.076579622,0.090684709,0.07942665,0.066674556,0.092558555,0.110046188,0.081125094,0.098071372,0.073503795,0.069943752,0.065939323,0.07701355,0.098993486,0.071688283,0.060286875,0.074380129,0.072332148,0.051545498,0.064069785,0.044047088,0.056112028,0.064568594,0.071850704,0.063858303,0.072187721,0.041316533,0.0663132,0.051803387,0.070790378,0.067622214,0.060447909,0.062617735,0.050158644,0.075459969,0.069715112,0.058656929,0.076732577,0.064400485
123,6.634724493,5.332193102,5.806539807,6.931412746,5.459903586,5.850069016,7.009501727,6.280339331,11.49527468,6.501518474,5.857136203,5.608484557,4.710501828,5.682926082,6.101198302,6.894789907,6.384782115,7.145202724,5.882038846,5.321889681,6.651577591,5.122774462,6.323034721,5.57427635,5.81967357,6.291549566,5.471406331,5.518422462,4.696597404,4.745714911,5.445839269,4.990924114,6.584965158,5.724117947,7.675835022,5.269428791,5.909460302,6.524320791,5.499779068,7.000747345,5.754669936,6.758374414,5.148558739,6.720504195,5.096681946,5.349527273,4.842158334,5.394753451,5.474228474,4.569617009,8.881061459,6.721576377,6.032849051,8.636512595,4.811055895,6.11197933,6.792403332,5.236514931,7.812531194,6.249777054,6.588889419,6.668558404,6.079847656,5.483925042,4.548811247,4.704943678,4.988630435,6.459346483,5.02555955,7.60836827,5.756475928,6.086896136,4.376393467,5.714690012,4.808330503,4.940343689,5.452079408,5.625958332,5.387011203,5.586879624,5.455118384,5.936142348,5.328294697
140,0.169234835,0.133561862,0.164860077,0.196250769,0.133090424,0.161904306,0.238536657,0.15501164,0.188152195,0.151099055,0.133427166,0.202243373,0.155861204,0.127306711,0.132694577,0.252324039,0.168472431,0.122574516,0.123090293,0.103609568,0.111649243,0.097775355,0.12133244,0.112865812,0.098311131,0.071439813,0.079880631,0.095426198,0.088202624,0.106686741,0.095764001,0.092470481,0.445898487,0.122936083,0.085402288,0.067396628,0.089001163,0.082741796,0.075355646,0.063223273,0.091258588,0.058190296,0.04594178,0.08937027,0.145726909,0.097085744,0.058591626,0.069584342,0.093630961,0.057262512,0.042550861,0.93804448,0.125019953,0.214248962,0.107392462,0.23157263,0.235265701,0.120857884,0.166372237,0.207543941,0.137799554,0.120123684,0.146777102,0.228803938,0.255157146,0.185920719,0.203479613,0.190728306,0.149723796,0.109935277,0.402034323,0.189652071,0.145216953,0.16374784,0.167401026,0.159537316,0.160782027,0.182747868,0.169748968,0.152953437,0.158189263,0.178662303,0.1638987
152,0.035723918,0.033149133,0.065715199,0.029627228,0.015045015,0.03504442,0.033479487,0.021501635,0.046785981,0.037000899,0.022191894,0.020357033,0.025710217,0.014811884,0.032443996,0.03797558,0.03166022,0.03149559,0.034396152,0.02098587,0.03642216,0.012599735,0.029137587,0.020839468,0.012085445,0.052902709,0.024036558,0.016157422,0.013911934,0.020012433,0.016029396,0.022837251,0.04724339,0.025693319,0.033448747,0.011932858,0.019928727,0.009515789,0.040802315,0.056864624,0.008959606,0.014692379,0.015224382,0.057412108,0.034822909,0.035253612,0.018172692,0.007302551,0.057405171,0.035685175,0.022053685,0.041939827,0.02896762,0.041133382,0.022512464,0.033834188,0.022323599,0.011892928,0.031679039,0.022795617,0.029229475,0.024783116,0.025194154,0.01761978,0.017075978,0.028549788,0.016848637,0.029464807,0.016724452,0.035069694,0.035236337,0.025664857,0.019430058,0.022045857,0.024502149,0.020477437,0.019526956,0.027024113,0.01900798,0.017626119,0.020587089,0.026322112,0.021654987
164,0.241390624,0.195094451,0.216040123,0.220939798,0.200842627,0.198728538,0.285176804,0.226121312,0.621900777,0.23669609,0.149032894,0.16074415,0.225421854,0.281379122,0.190263041,0.302071887,0.246990256,0.182414834,0.114769745,0.133068868,0.158587818,0.128017142,0.08206427,0.134521579,0.147210603,0.140758299,0.175151808,0.147392817,0.139282684,0.141298739,0.249007947,0.177440578,0.159513759,0.150656343,0.032374053,0.012218531,0.0299026,0.026855486,0.051459659,0.068417033,0.038045577,0.07107503,0.079101572,0.117830074,0.032186799,0.062243361,0.069526343,0.050868313,0.037138014,0.037769531,0.014170586,0.027095958,0.04768214,0.165460239,0.234619761,0.126164716,0.242933517,0.220180434,0.162233595,0.17825436,0.162665055,0.146552714,0.200782522,0.133953422,0.122009411,0.186964434,0.128533945,0.211953038,0.382410358,0.209294119,0.157966625,0.187385126,0.123949911,0.130683495,0.134468527,0.119052119,0.113452644,0.143162944,0.120692466,0.116073063,0.127477483,0.121565879,0.125057853
