"","RSD"
"X15",0.031742
"X60",0.029665
"X63",0.043577
"X89",0.047064
"X96",0.025418
"X105",0.082522
"X123",0.003492
"X140",0.006309
"X152",0.098924
"X164",0.063684
"X185",0.0309
"X188",0.037162
"X201",0.020118
"X222",0.011033
"X224",0.016456
"X232",0.039595
"X233",0.032852
"X298",0.059915
"X299",0.021007
"X330",0.039507
"X347",0.116957
"X349",0.0298
"X360",0.038923
"X373",0.018988
"X376",0.093071
"X385",0.026857
"X418",0.120852
"X421",0.048233
"X432",0.034863
"X434",0.009991
"X436",0.13175
"X461",0.080198
"X465",0.045704
"X484",0.022935
"X511",0.030457
"X512",0.135388
"X515",0.047594
"X516",0.013636
"X524",0.070844
"X529",0.019399
"X534",0.150757
"X543",0.134504
"X549",0.094407
"X552",0.02577
"X575",0.044783
"X578",0.055572
"X599",0.070991
"X628",0.005522
"X638",0.118092
"X647",0.020155
"X662",0.092947
"X663",0.125885
"X673",0.108797
"X676",0.020745
"X691",0.075884
"X707",0.097813
"X722",0.049692
"X725",0.040529
"X749",0.182675
"X750",0.030282
"X755",0.068073
"X766",0.03996
"X804",0.150011
"X813",0.030681
"X814",0.097064
"X815",0.071372
"X844",0.039147
"X852",0.036905
"X859",0.092073
"X864",0.050544
"X867",0.035097
"X868",0.020713
"X887",0.01914
"X890",0.022536
"X893",0.008962
"X897",0.080952
"X902",0.026368
"X913",0.093832
"X933",0.041898
"X945",0.065921
"X950",0.047514
"X968",0.053428
"X969",0.048916
"X989",0.010568
"X999",0.109467
"X1000",0.033431
"X1012",0.091951
"X1029",0.029737
"X1041",0.03696
"X1056",0.050897
"X1058",0.034042
"X1059",0.02544
"X1060",0.002826
"X1063",0.061342
"X1073",0.09798
"X1075",0.04242
"X1077",0.090326
"X1079",0.04136
"X1084",0.052168
"X1088",0.093749
"X1101",0.035
"X1103",0.010302
"X1113",0.069786
"X1117",0.018114
"X1146",0.052786
"X1148",0.160174
"X1151",0.009207
"X1152",0.038157
"X1190",0.103128
"X1201",0.020374
"X1210",0.057922
"X1216",0.060515
"X1236",0.056552
"X1247",0.048766
"X1256",0.021481
"X1267",0.016998
"X1268",0.014966
"X1278",0.027747
"X1279",0.038701
"X1294",0.009202
"X1295",0.0267
"X1299",0.164205
"X1300",0.054448
"X1301",0.050902
"X1302",0.013044
"X1303",0.095689
"X1311",0.136925
"X1314",0.170032
"X1330",0.063628
"X1332",0.005028
"X1338",0.005852
"X1339",0.040036
"X1356",0.114344
"X1377",0.110529
"X1393",0.047269
"X1415",0.131697
"X1424",0.015567
"X1429",0.03298
"X1458",0.021928
"X1465",0.032191
"X1488",0.031849
"X1489",0.040384
"X1491",0.139976
"X1492",0.028977
"X1499",0.01299
"X1552",0.055109
"X1558",0.01617
"X1564",0.017083
"X1583",0.164943
"X1584",0.063537
"X1586",0.03216
"X1591",0.040933
"X1595",0.021684
"X1596",0.015093
"X1626",0.021987
"X1627",0.017781
"X1639",0.029445
"X1648",0.128664
"X1657",0.086409
"X1659",0.003111
"X1666",0.162423
"X1672",0.147443
"X1678",0.069849
"X1694",0.043739
"X1701",0.030439
"X1706",0.073863
"X1711",0.265207
"X1715",0.00825
"X1724",0.02808
"X1737",0.058209
"X1743",0.016492
"X1748",0.000628
"X1749",0.052876
"X1752",0.041291
"X1755",0.067253
"X1758",0.002796
"X1759",0.022803
"X1760",0.044576
"X1761",0.060248
"X1762",0.068094
"X1766",0.069471
"X1776",0.034162
"X1788",0.006648
"X1791",0.034347
"X1797",0.107275
"X1810",0.128274
"X1820",0.206339
"X1835",0.014522
"X1838",0.047061
"X1862",0.126064
"X1867",0.059407
"X1868",0.081545
"X1876",0.209212
"X1885",0.013695
"X1888",0.084195
"X1889",0.006958
"X1892",0.073892
"X1895",0.053719
"X1900",0.158233
"X1904",0.026494
"X1909",0.020869
"X1911",0.051139
"X1915",0.070505
"X1921",0.01064
"X1929",0.016529
"X1933",0.018554
"X1948",0.053481
"X1949",0.091599
"X1951",0.031387
"X1955",0.011351
"X1956",0.137856
"X1959",0.030895
"X1960",0.053853
"X1973",0.055454
"X1983",0.060629
"X1987",0.057068
"X1989",0.08986
"X1992",0.041624
"X1993",0.065349
"X2006",0.052522
"X2007",0.229819
"X2024",0.048068
"X2026",0.110194
"X2031",0.049368
"X2032",0.019119
"X2037",0.039119
"X2042",0.089195
"X2052",0.044842
"X2054",0.006054
"X2060",0.059453
"X2069",0.034632
"X2083",0.074354
"X2086",0.001111
"X2126",0.039178
"X2131",0.02234
"X2148",0.040466
"X2153",0.009278
"X2176",0.07426
"X2180",0.183084
"X2196",0.109509
"X2200",0.045807
"X2205",0.004312
"X2209",0.002697
"X2212",0.186194
"X2222",0.078792
"X2226",0.017969
"X2232",0.154426
"X2238",0.1072
"X2252",0.041328
"X2253",0.065864
"X2258",0.030447
"X2259",0.165501
"X2280",0.06594
"X2289",0.071165
"X2291",0.007727
"X2298",0.011727
"X2299",0.002263
"X2309",0.019323
"X2312",0.017338
"X2313",0.07829
"X2316",0.099608
"X2317",0.018844
"X2318",0.054469
"X2322",0.083516
"X2339",0.0654
"X2370",0.147117
"X2378",0.05707
"X2379",0.074392
"X2392",0.062233
"X2393",0.034544
"X2395",0.040497
"X2399",0.03789
"X2418",0.118525
"X2419",0.118437
"X2453",0.025598
"X2460",0.128304
"X2462",0.111521
"X2467",0.011246
"X2469",0.122067
"X2471",0.055039
"X2472",0.023164
"X2487",0.082721
"X2497",0.02145
"X2502",0.069357
"X2504",0.042223
"X2511",0.05578
"X2515",0.021361
"X2534",0.033734
"X2540",0.039327
"X2548",0.011633
"X2555",0.036035
"X2558",0.166092
"X2562",0.118517
"X2584",0.104618
"X2586",0.063945
"X2587",0.030659
"X2589",0.039171
"X2607",0.091949
"X2612",0.01317
"X2616",0.020034
"X2621",0.102436
"X2625",0.08452
"X2656",0.082564
"X2661",0.04854
"X2675",0.19083
"X2696",0.046517
"X2699",0.042576
"X2700",0.155799
"X2701",0.134192
"X2705",0.131967
"X2716",0.034211
"X2717",0.132954
"X2740",0.108783
"X2746",0.071321
"X2747",0.048407
"X2754",0.014385
"X2767",0.19193
"X2768",0.016977
"X2774",0.011641
"X2775",0.04378
"X2804",0.099734
"X2810",0.055393
"X2829",0.064467
"X2833",0.017271
"X2836",0.010759
"X2864",0.079402
"X2872",0.083695
"X2876",0.034197
"X2878",0.045008
"X2880",0.14399
"X2881",0.063478
"X2890",0.04441
"X2906",0.014904
"X2923",0.030757
"X2931",0.034857
"X2940",0.056417
"X2949",0.094026
"X2950",0.024157
"X2962",0.059448
"X2979",0.075862
"X2980",0.101447
"X2981",0.023495
"X2986",0.093394
"X3005",0.013459
"X3035",0.059459
"X3064",0.053437
"X3066",0.096279
"X3068",0.040768
"X3069",0.006462
"X3079",0.014514
"X3080",0.15465
"X3106",0.101262
"X3114",0.071548
"X3117",0.003569
"X3133",0.041669
"X3151",0.145871
"X3158",0.037429
"X3159",0.213637
"X3185",0.042916
"X3186",0.00536
"X3191",0.117905
"X3212",0.045243
"X3238",0.031797
"X3245",0.035852
"X3246",0.005706
"X3267",0.136208
"X3269",0.046021
"X3284",0.098659
"X3295",0.030631
"X3301",0.102406
"X3305",0.039335
"X3319",0.093478
"X3320",0.072101
"X3330",0.001938
"X3339",0.029684
"X3350",0.051984
"X3361",0.082556
"X3391",0.008385
"X3408",0.051189
"X3410",0.067491
"X3417",0.029249
"X3419",0.115825
"X3430",0.006936
"X3446",0.027488
"X3454",0.110978
"X3475",0.095469
"X3481",0.004887
"X3486",0.017033
"X3490",0.017785
"X3500",0.019918
"X3502",0.100099
"X3512",0.002321
"X3515",0.098899
"X3517",0.06503
"X3523",0.196015
"X3525",0.209625
"X3527",0.044121
"X3528",0.023062
"X3529",0.007203
"X3532",0.042259
"X3541",0.159126
"X3548",0.033039
"X3584",0.105179
"X3586",0.095205
"X3595",0.086697
"X3596",0.048048
"X3599",0.027308
"X3619",0.051369
"X3625",0.131696
"X3632",0.057114
"X3647",0.072219
"X3649",0.034557
"X3667",0.070911
"X3673",0.023199
"X3678",0.061529
"X3679",0.014465
"X3680",0.028833
"X3693",0.010873
"X3712",0.006176
"X3715",0.10929
"X3720",0.006895
"X3746",0.133113
"X3765",0.052933
"X3775",0.007621
"X3799",0.082313
"X3803",0.02295
"X3813",0.143122
"X3815",0.121279
"X3830",0.025388
"X3831",0.022245
"X3846",0.124236
"X3860",0.072177
"X3874",0.013698
"X3878",0.139273
"X3887",0.005287
"X3892",0.134853
"X3897",0.067061
"X3900",0.010016
"X3907",0.02215
"X3917",0.068783
"X3921",0.028155
"X3924",0.033157
"X3928",0.045588
"X3929",0.138101
"X3947",0.00386
"X3948",0.049426
"X4003",0.126143
"X4005",0.053442
"X4015",0.004561
"X4036",0.204448
"X4041",0.093922
"X4051",0.022906
"X4075",0.011603
"X4077",0.031296
"X4080",0.018453
"X4086",0.028974
"X4099",0.137157
"X4103",0.008729
"X4104",0.080319
"X4116",0.05399
"X4118",0.070874
"X4119",0.049355
"X4120",0.058991
"X4128",0.004078
"X4143",0.007002
"X4146",0.076272
"X4156",0.015806
"X4166",0.047699
"X4178",0.024243
"X4206",0.010597
"X4211",0.192984
"X4218",0.001783
"X4219",0.012801
"X4224",0.068814
"X4227",0.01251
"X4249",0.007903
"X4252",0.099717
"X4258",0.111949
"X4259",0.088941
"X4267",0.128984
"X4270",0.106951
"X4274",0.006163
"X4286",0.098053
"X4298",0.035141
"X4301",0.023242
"X4322",0.055441
"X4324",0.110707
"X4334",0.031959
"X4342",0.029044
"X4365",0.137429
"X4366",0.066323
"X4373",0.046353
"X4395",0.030693
"X4406",0.114049
"X4415",0.07184
"X4434",0.148605
"X4448",0.024306
"X4490",0.025315
"X4502",0.026156
"X4504",0.054301
"X4508",0.038196
"X4510",0.032563
"X4519",0.003522
"X4526",0.28523
"X4533",0.069659
"X4534",0.005708
"X4546",0.178892
"X4558",0.208255
"X4565",0.00315
"X4566",0.010517
"X4568",0.126365
"X4573",0.072968
"X4587",0.051115
"X4590",0.012281
"X4608",0.091869
"X4619",0.019387
"X4628",0.021395
"X4632",0.03569
"X4649",0.024784
"X4654",0.132852
"X4659",0.012633
"X4667",0.091584
"X4683",0.123458
"X4709",0.004781
"X4711",0.028978
"X4717",0.083121
"X4727",0.121214
"X4728",0.023339
"X4732",0.010171
"X4750",0.065087
"X4753",0.0574
"X4757",0.068084
"X4758",0.006337
"X4763",0.025934
"X4764",0.070561
"X4771",0.05305
"X4775",0.084879
"X4782",0.11094
"X4791",0.029964
"X4793",0.048123
"X4797",0.015027
"X4800",0.084231
"X4809",0.053813
"X4822",0.036087
"X4847",0.120635
"X4865",0.117257
"X4871",0.007557
"X4873",0.03594
"X4879",0.051943
"X4880",0.087513
"X4883",0.063378
"X4885",0.036502
"X4886",0.10542
"X4887",0.030314
"X4891",0.100311
"X4901",0.04036
"X4912",0.037626
"X4917",0.08924
"X4924",0.02355
"X4945",0.011739
"X4950",0.059758
"X4963",0.003757
"X4968",0.202517
"X4987",0.101271
"X4988",0.072296
"X5008",0.195684
"X5010",0.022311
"X5011",0.120036
"X5020",0.108142
"X5027",0.03891
"X5032",0.015084
"X5037",0.0753
"X5042",0.096514
"X5051",0.011875
"X5069",0.050101
"X5071",0.074393
"X5084",0.063085
"X5101",0.033656
"X5111",0.118628
"X5121",0.066421
"X5136",0.028639
"X5137",0.059209
"X5143",0.046639
"X5144",0.105319
"X5145",0.027931
"X5146",0.0226
"X5168",0.036278
"X5175",0.018654
"X5194",0.027289
"X5203",0.003861
"X5209",0.007621
"X5212",0.01729
"X5213",0.002136
"X5225",0.193989
"X5226",0.102011
"X5238",0.021568
"X5240",0.067746
"X5245",0.099927
"X5250",0.110238
"X5251",0.050595
"X5254",0.022474
"X5255",0.03024
"X5258",0.033465
"X5259",0.060399
"X5265",0.004153
"X5276",0.034608
"X5277",0.075018
"X5281",0.055229
"X5285",0.009986
"X5292",0.108212
"X5296",0.024683
"X5300",0.005708
"X5301",0.017038
"X5309",0.020397
"X5325",0.093822
"X5346",0.014553
"X5348",0.079134
"X5351",0.018036
"X5352",0.076321
"X5361",0.161861
"X5386",0.019312
"X5389",0.031193
"X5423",0.09729
"X5432",0.052434
"X5449",0.009457
"X5453",0.124042
"X5455",0.034612
"X5458",0.11658
"X5464",0.069643
"X5517",0.075592
"X5526",0.159156
"X5539",0.03802
"X5544",0.032524
"X5548",0.125246
"X5558",0.024352
"X5560",0.163736
"X5576",0.084446
"X5585",0.009112
"X5586",0.010318
"X5592",0.010438
"X5605",0.043147
"X5606",0.05672
"X5620",0.096654
"X5646",0.002692
