"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",60,84.5945945945946,95.045045045045,98.9189189189189,99.7297297297297,99.954954954955,100,100,100,100,100,100,100,100,100,100,100,100,100,100
