"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68"
"X95",0.0160400061320516,-0.00365618656085312,0.00198497620995715,-0.0249715395765013,-0.0021366331014806,0.0224471327955035,0.0211653718993918,0.0120480780070213,-0.00127945647443559,-0.000375699549453304,-0.00675846848665547,-0.000565250323565392,0.0209976866075506,0.00192773723710533,-0.00724905780686815,0.0287904340239474,0.023623039908741,-0.0120536572608189,-0.0231427108400858,-0.0125071235895369,-0.00292122395531642,-0.0157579149370458,0.00340829133994029,0.0220099121832175,-0.0193656604445329,0.0122734217126349,-0.00484051398502709,0.00989854599323399,0.0265170810842295,-0.0214060883885673,0.0102470221327634,0.0108661147690994,-0.0113887260713234,-0.0125143635110293,-0.00128570160619302,-0.00284744229868264,0.00763369504508407,-0.014265079997364,0.0109506037050957,0.0185509323156021,-0.00204538691413859,-0.0041595725414651,-0.00172104716097681,0.000199303257597208,-0.0092886574875526,-0.0115737466536547,0.0049799448482457,0.00943328716944222,0.00420115573934778,0.00170140109323165,-0.00576284316727302,-0.00486439988583856,-0.00361694725496807,-0.00989250548041187,-0.00966789416543617,0.00640691411975464,0.00165053914212278,-0.00791016270802623,-0.0100428896102945,-0.0195887420130057,0.0057261361557646,-0.00476659123648078,-0.00512342256535646,0.0102009115836367,-0.000504665938722645,-0.00749146278182979,0.0160820202493254,0.00906397899503283
"X105",-0.00536187370691373,0.016378402156459,-0.0121131087769255,0.0210090005344674,-0.0369065026131298,0.00218357097663373,-0.0128380299294213,0.0456391165992479,-0.0167687389488647,0.0137506747277344,0.00691924999847115,0.0115029462848895,-0.000211244553519689,0.00732219340253717,-0.00421225546528926,0.0052408967374944,0.0122625826660618,-0.014075198280217,-0.00442366716212836,0.00125799255563851,-0.00537355495281644,0.0179036888659667,-0.00710622448497787,-0.0382673650334742,0.0115345672632347,0.0169564964821552,-0.000558904104003487,0.00239175562617269,-0.0319059077056654,-0.0210006984834631,0.0129333872712372,-0.0111960781940501,-0.0106233562096057,0.0145174544416976,-0.0069941072984038,-0.00953891686909851,0.0034847274289637,-0.00289004607426616,0.00677332429018842,0.00298104850745126,0.00549413393683786,-0.00608555723237478,0.0155459291526466,-0.0197422614256142,-0.0126501049432083,-0.0150987185013246,-0.00580472273499006,-0.00628519584705675,0.00427283407626191,-0.0112881245517351,-0.000929794625190791,0.0161661173346962,-0.0190063916141318,-0.00485281718445349,0.0126530818741436,-0.00455914137591563,0.026206679512263,-0.0156622672473348,-0.0019112541694348,-0.0131484755635283,-0.0217124075932189,-0.00602620095746605,-0.0260459515306006,-0.0131083299172377,-0.0094744260423242,0.0154496981390076,0.0119423184102427,0.0250543488384613
"X106",-0.00622171629289867,0.00181306603281204,-0.00872260592827465,0.0113319391452598,-0.0248817041088931,0.00896683564154734,0.0226356308098779,0.00199000917418054,-0.032943567611958,0.0184388710205374,-0.0132820496443359,0.0177172975415953,-0.0117265376256577,-0.0285923857465097,-0.0318297353543662,-0.0109486050424194,-0.0466039281185586,0.0481558818524478,-0.0054312198672794,-0.0209693599445926,0.00124247717373466,0.0112572211054696,-0.00968525046222258,0.0424875439821085,0.00577591422008547,-0.0259759094349955,-0.00790556121487234,-0.0119533009012272,-0.00291253720942059,0.0212815773091973,0.00887671897694326,-0.0082433987762116,0.0273975299857208,-0.00334363898034397,-0.0202114458926239,-0.0322083927777242,-0.00824313441276802,0.0178310954552986,0.00968567534343925,0.0041912292915824,-0.0205058644252322,-0.000792698760530548,-0.0158943854179543,-0.0429663395268842,0.0063542439732073,-0.00178841668433009,-0.0141362932011157,0.0287968292149911,-0.0233109209980009,0.00573879508146237,-0.0278591197738222,-0.00194806685887561,0.0277848469075751,0.0377657257062305,0.0072628992254805,-0.0202249906162278,-0.00782180994685353,0.0183313281435205,-0.013397782961486,0.037555124172873,0.0241688970129964,-0.0300180932362144,0.0372990613830715,-0.00509385843461546,0.0048144980463364,0.0324379120192353,-0.00182039315669215,-0.00827515314368486
"X140",0.0228045948360491,0.015463340538276,-0.0376169745950639,-0.0254198686276517,-0.0246021974078437,0.00560626751251228,-0.0240769831877652,-0.00326625768694555,0.00762246580707443,-0.000199695058088528,0.0141449883769489,0.0181382566514847,-0.0178220688573676,0.0137305322604876,-0.0082504251036311,-0.012615899584262,-0.00747544764349796,-0.00319607067531572,-0.0128281461135227,0.0125859756675581,0.0113127594264148,0.00740802007478086,0.00763683390080233,0.0127114174379709,-0.000967676184150945,-0.0022450071857577,-0.0121505725355731,-0.0172540960131347,-0.00424275692982137,0.00473063963696337,0.00956805756950741,-0.008488160755057,0.0168306697452423,-0.0152712852787703,0.0104869032253482,-0.0229938735611517,-0.00693502678156167,0.00872765249868726,-0.00654873121148399,-0.00405606275717724,0.000261534258616488,-0.00844690201989779,0.0030448245632407,0.00564227980167929,-0.0176976028910773,0.00113893365019966,-0.00427234960814331,-0.0017590871723384,-0.00709196833475246,-0.00348984978001588,0.0113129614250328,-0.0156718506473075,-0.00482761761609697,0.0201074495693286,0.0158141540103946,0.00429526748187717,0.0144686484817586,0.00604182944328952,-0.00146348183711107,0.0124369855994605,-0.00768630684109019,0.0131181532588253,0.000559127878082303,0.0131830226344022,-0.00274282375908334,-0.00817146637239693,-0.000647578411167486,-0.0225537055538513
"X174",0.0100923719174269,-0.00737892703101071,0.00901577162885273,-0.0188088582278193,-0.021335869827747,0.00629619900501928,-0.00344405709117208,0.00987846986465949,0.0112224710941503,0.0124307600769114,0.00925102556775257,0.020580137397339,-0.0147521420373993,0.0336443064292399,0.00199130733170989,-0.00267512294250818,0.00558742562663431,-0.000780672150814477,0.0083400036692638,0.0187488343779777,0.0035332133116069,0.0111213975400256,-0.0258738557287864,0.0151279746569229,-0.0185821538467114,-0.00206757112754188,0.00617640382516892,-0.0205272870706073,0.00559816275168562,-0.028877717738954,0.00436746834646008,0.0420633583693017,0.0166753993208199,0.0228686813740725,-0.00716877657031202,0.0122703723118155,-0.0175184914714009,0.0162679182227982,-0.00478121599810887,0.0239302186533696,0.0107809020262905,-0.0162494988538833,-0.00606701634768537,0.00461909184186856,-0.024690085143797,0.01274376821386,-0.00601666635799593,0.0036050337485929,-0.00115313208435778,-0.0229462146531664,0.0154194064388053,-0.0152363442195042,-0.00527441382925619,-0.00455357888802884,-0.000403858551470969,0.00996341815804737,-0.00329340651614715,0.0103660633505889,-0.00272491153102093,0.0205033762212818,0.0145195021783421,-0.0266596335839474,0.0032375528172135,-0.0189140872774898,0.0231743593327,0.0184260780661402,-0.00621938389696079,-0.0165167261171437
"X176",-0.0322207017108574,0.050448346109163,-0.00457101764507567,-0.00405770530612638,0.0100154941634864,0.0159312146109736,-0.0212869111680649,0.000127986842654088,0.0226599730305112,-0.00690195908644013,0.00861136878269773,0.0206258484362615,0.016522322857376,-0.00878237725850555,0.0236607315338537,-0.0293745428310478,-0.00671991325354126,0.0247171510457885,0.00617496608444048,-0.00156276614460246,0.0114848162727315,0.0300246324158152,-0.000130575912328041,-0.021578922929054,-0.028949916007382,-0.0131495975843675,-0.00193389302716665,-0.00307798915665893,0.0255966701518936,-0.00867827557130137,0.00443835338628122,0.000560972281083506,-0.0198494728346172,0.0154617367204303,-0.0105492390461213,0.014856070575208,-0.00115988602746533,-0.0347988601696249,-0.00520688170961485,-0.0297190924259173,0.00139278962905548,-0.00821199623658412,0.00775193022646469,-0.00334278803333607,0.00507385124754007,-0.000420971936228399,0.0113376467247104,0.000486674614996137,0.0121345219860455,0.00399733762885476,-0.0114225852842153,0.017194005132153,0.0122447774236077,0.00986481643569345,-0.00354755334663791,0.00929094835036244,-0.00923704519689529,0.0127038715129204,0.0177992133881869,0.00130056968295593,0.00162861070363701,0.00777801995368591,0.00946012887877704,-0.00235648517124005,0.021551320380657,-0.00314969364308152,-0.0074446157948653,-0.00939709257259814
"X196",0.00205435143954759,0.0283052745934691,-0.0141177859289407,-0.00467804871213853,-0.00490348442748608,0.0150975440410615,-0.00216505993338248,-0.0120091568973696,0.017381100861971,-0.0142855634599825,0.00549781035597764,-0.0194292774304523,0.0137861272045574,0.0136947204621601,-0.0108174425037085,0.0117372782450039,-0.00924344116594845,-0.00375912982479178,0.00497747959311421,-0.000818795371261016,-0.0134458927497891,-0.0177433341137875,0.0205300135672895,0.00136175392281228,-0.0119342781326479,-0.00605675612542311,0.00480056712027831,-0.0087377825093854,-0.00439260896296489,-0.0118634796735857,0.0136377703594555,-0.000953437424792299,0.00220571585480093,-0.00717811242309555,0.0151622889729728,0.00325743013680907,-0.00252052803460461,-0.00407741825808039,-0.00694992916132305,0.012374744139639,-0.000753839029992155,0.0140318995064253,0.0035078916325517,-0.0055023921731877,-0.0122726666445983,0.00523225573473727,-0.0110360756546865,-0.00292240069487114,-0.00308322411241542,-0.00383910364174152,0.014604629697193,0.000961168968858219,-0.00684556096388652,0.00169785256203623,0.00307446971489109,0.00255347154263008,0.00623054969677192,0.00123812468493211,-9.54075606645861e-07,-0.00404684239013354,0.0124030908811744,-0.014693109039322,-0.00117430430812943,0.00865317059950329,-0.00721549522811959,0.00448493339099448,-0.00904359185267803,0.0395861078112665
"X199",0.037677348027368,0.00287975669859953,0.00808441110079424,0.0101973945791574,-0.00737437548814367,0.00554753256810463,0.00675145250548653,-0.00958493701373827,0.000989162035338341,-3.66924416155607e-05,0.0209207762681655,0.00768057371435732,-0.00764335111156251,-0.0189398987458701,-0.0093636282732758,0.00668221134518357,0.00590513002379018,0.0117459031650913,0.00113055919700363,-0.015484613936453,0.0106623016515615,-0.0197220104024037,-0.0115464632394591,-0.0254017831958885,-0.0142020087573281,0.00758859420327195,-0.0177497546649515,-0.00579777914314049,0.00100018254437036,0.00188568681695794,0.0391171163318002,-0.00277419701452538,0.0181976271850563,-0.0203174512216301,0.00153654664117412,0.014759099583657,0.0112956413498883,-0.0262623651924843,0.0189340044077334,0.0340489671156754,-0.000964416794925823,-0.00476378450570005,-0.000351504461122171,-0.000378359080253911,-0.0216042000302863,0.0103037027391206,0.00353489448548495,0.0264017862289075,-0.000476340844699225,-0.0286774711879505,-0.00747879419870702,0.0123547104993942,-0.00805664853572793,0.0236733173544695,0.00872320295623433,-0.0161991652347943,-0.021650095840103,-0.000723232343935863,0.00180633571307612,0.0148708477072767,0.00489135132006705,-0.0120000529728952,0.0193818747761171,0.0487901737100943,0.00379666691179059,0.00588117622162738,0.00881470269938371,0.00311120426044953
"X212",-0.00227486777859065,-0.00817685252622419,-0.0100677385806656,-0.00607404280542027,0.00105114957424047,0.000867976186025123,-0.00256864434329084,0.0274679365755749,-0.0018276373097168,0.0164528460486063,0.0196901222334265,-0.0227937799546229,0.00649597007877025,-0.00901460848851254,-0.0091282316721974,-0.00444970630033482,0.0226776824986088,0.0131701313256514,-0.00239271749413249,-0.00118950419849899,0.000362057614362214,-0.0124658818360871,0.00718390765681511,-0.030079656455115,0.00881879986109042,-0.0104426230895911,-0.00319182683320898,-0.0226764348863378,0.0125567998724657,-0.0252956928117041,-0.00483420566897481,-0.00630795571170838,0.00934315401909993,-0.00550178406705852,-0.00108408990232154,-0.00167359254406009,-0.00255425633500903,-0.0202598331536338,0.00378960039076195,-0.0247267346687979,-0.0166657199020192,0.00562897097925991,0.0261563472932658,0.0112566621583656,-0.0112265185796349,0.00382076104340366,-0.00448484436449926,-0.0156415190204043,-0.0165887968283597,-0.00845578687522086,-0.0060485055399431,-0.0144779810205753,0.00383868306276944,0.0178545531463241,-0.0134559670095321,-0.0138090584849181,0.00064147350917119,0.00687103818497489,-0.00150789745469657,0.00696893148031722,-0.0058063709875728,0.00241487249592407,0.012427043532377,-0.0241128259684234,-0.00274141833881034,0.00579549860506672,-4.41670048837946e-05,0.0118666060860201
"X241",-0.00578359173401018,0.0218792244268014,-0.000172871268495855,-0.0131481958923975,-0.0085157284104494,0.00403774205049672,0.00265185391866579,0.00339004403405201,0.00746937429765143,-0.00508305174947558,-0.0099881888775692,-0.00798411794229067,-0.00190773254442289,0.00385825691678613,0.00539710383587667,-4.22799434261835e-05,0.00938484495819013,-0.000761973790020072,0.00994755269374861,0.00744735916828684,0.0103417619883635,0.00371387255068197,-0.010739023286108,-0.00412065778168007,-0.013151142626074,-0.00288708832949348,-0.00824193380155352,-0.00384266763270259,-0.00203907200833738,0.00571716711758256,0.0134281004969055,0.010545712799406,-0.0016774867626906,-0.0165339138399736,0.0119467776088959,-0.00952279998611068,-5.74350288342046e-05,0.00183489043872748,-0.00378601935745707,-0.00666408832664712,0.000983573521218777,-0.00704568985691765,-0.0152680877171849,0.0131459181436499,0.0219052162878912,0.000660889240769468,0.00209522885710594,0.0078348975126162,0.00507313406998597,0.00550544647490746,-0.00716245646883975,-0.0209921969141335,0.0120955098480433,0.00387054911395151,-0.00323023131004272,-0.00321291926177765,-0.000104399315430752,0.0160049987127037,-0.0126869046882105,-0.0118938199534407,-0.00361728414904112,-0.00339695428825958,-0.00763073762310048,0.00104220416905229,0.0201926916687067,-0.0142919787062648,-0.00497671099062659,-0.0401565356272608
