"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68"
"B17",-0.0818926448967386,-0.0024147693854479,0.213091389523137,-0.135810634945134,0.128397582680876,-0.0851699406793493,0.150637155279338,-0.153609079104654,0.00850329733182714,-0.0524497346444769,0.0281267182710189,-0.155470819352067,0.0374923652569583,-0.0311159797146002,0.0570011830925034,-0.038509408627372,0.122413421491376,-0.0194396225990003,-0.030346323377818,0.0488198866643729,-0.102797520131287,0.0284228496008472,0.015474732275531,-0.176115752522091,-0.0326393937103317,-0.0554064405998252,0.0338511753168971,0.0821504215185567,0.0103159437155927,-0.0659830397290964,-0.00710139082933053,0.104842365344721,0.0381243334809385,0.0772811588472018,-0.00893929032001867,-0.0042599254941754,-0.0305487112328811,-0.0857249447755509,0.0422635541650674,0.025670161423265,0.00179638130883143,0.0244602838949443,-0.00494187680045074,-0.0130030245394121,-0.0189135914382551,-0.0361811483156891,-0.0535235527034225,0.0454192376225343,0.141538724357855,-0.0261411176801891,-0.0265211470240926,-0.04520224631061,-0.0663377717549155,-0.0384703069571225,0.00438292005222067,0.0401954014961439,0.0322716197356377,0.00826711845158069,0.00911310244283773,-0.0278384784943226,-0.0362726978149655,0.0446858998036168,0.00982666759211812,0.000791532736218622,0.00848283516865408,-0.0367490781583043,0.0264464909730475,5.75630851578496e-14
"D10",0.268454488592869,-0.0472459769161593,0.218884577057047,-0.0712301747175846,0.0567094215211617,-0.0259326221399391,0.16859980940752,-0.210347715910479,-0.0678075063620774,-0.167226122897201,-0.0343119740689883,-0.0862410732701512,0.193293906491088,0.150378231177417,-0.0312167122655054,-0.0792994076233719,-0.0352494633416722,-0.0193312501636744,-0.0419330526131356,0.0547810388107722,-0.0557057864555133,0.00609682571058299,-0.0785114820066167,-0.0274074600791525,-0.00673240853001333,0.0740973475242678,0.0302763590741765,0.0866182531107352,-0.016595405591838,0.0386840337588182,-0.0614728121699933,-0.0616575573993404,-0.0594256894372645,0.00624382528581372,0.0284275541558937,-0.0189500305187981,0.0350527074945431,-0.0573167284651598,0.0118588558641573,0.00946745228610457,-0.0267577759088879,-0.0287839273873508,-0.0659232042612651,-0.064775944259527,-0.0416109124719936,-0.0201818341963252,0.131238257146086,-0.00409888762249446,-0.0485339798496448,0.0586641054254599,-0.0223310371767381,0.0748322371907947,0.0518065492126302,-0.00340117103612145,0.0400214504729524,-0.0378656078720023,-0.00798927187963413,0.0046569329112607,0.0202869728639713,-0.00582178490361633,-0.010966864784582,-0.0489761279468161,0.0495794633403809,-0.0255216222767332,0.0230786933184852,-0.00058948786556124,-0.0235505874545156,5.75002420894269e-14
"A13",0.20127584131073,-0.0460063421633922,0.0823519314199293,-0.266920736322917,-0.00393344255914819,0.0863399114312847,0.0111096585660039,-0.0901786815592676,0.138650434776912,-0.120837112212086,0.0102875929572702,-0.162992480082312,-0.101410146493763,-0.0152667381135616,0.059704793391279,-0.0395336088262009,0.0295878287015414,-0.126497936244242,0.0257492718311653,0.0751054884308619,0.0249974850899827,-0.0772824757692501,0.138819112786607,0.0654389493983911,0.114821205687709,0.0368866258096642,-0.0520322248541975,-0.0719616783029648,-0.00573007990868773,-0.0468697874541521,0.0918833995252093,-0.046953838903607,-0.020339986385038,0.0480574948962865,0.0413772278996094,0.0540149785668769,0.0035092273055744,0.148324634185017,-0.0170949153342638,0.0239761024753167,-0.00355762237262118,-0.00694065587347212,-0.0805322661033223,-0.0166815314191187,0.00358685219215231,0.0624267964766898,0.0423096263575257,0.0449030109856851,0.0591286036451007,-0.0114827443354101,-0.0532748784032364,-0.0399300640068964,-0.0087547216656016,0.0043033274750252,-0.0524574254997498,-0.00885656739048825,0.00487322326202431,0.0532782063250765,-0.0258296428751909,0.0407453228918401,0.0614278863455555,-0.0358459547759155,0.00517409926001527,0.00663453786249753,0.0090192711474164,0.00619156650189968,-0.0172915021259718,5.75059959842376e-14
"D18",0.24701628165559,0.308718127012285,0.265622817509307,0.0664541596314458,0.038960615686633,0.133046271565888,0.0174662647122951,-0.0593080359680773,0.0096259829200827,-0.136731050825055,-0.079434356328706,0.0279320474661798,-0.0366624014556669,-0.0956181821806778,-0.0984386564921745,0.0635736186151335,0.0413517044869125,-0.0100180832186405,0.0610862397525153,0.0693802966270008,-0.122269115911964,0.0268741318499392,-0.0224879216472666,0.0503777973601559,0.0375330863305497,0.0708498899697064,0.0201444245159521,-0.142352517262238,0.00070675264988416,-0.0142791117490277,0.153223352546797,-0.00512747810771231,0.0176379727497477,-0.0507680753467423,0.0344997889092292,0.00115262316037601,-0.00464125383635581,-0.0797611758261173,-0.040153478708715,0.00152405828318989,-0.0623307915661048,-0.0915614857049701,0.0723093602911425,0.0485949155143319,-0.0575297086014326,0.0312126205149407,-0.0104090219881142,-0.0247551953506617,-0.0276464189956388,-0.0101672336011132,-0.0158403158164876,0.00952562209232979,-0.0431092427332707,0.0427692240543977,0.00517807075743976,0.0594700725769439,-0.0669232780372671,-0.00616218878329662,-0.0106677354532177,-0.0171153727013127,-0.0761169444688161,0.0118695134949395,-0.0204599115605051,0.0149626268319142,0.0299059641788007,-0.00308032339472841,-0.0329288583346004,5.75788874045136e-14
"B14",-0.0307912680659064,-0.037277915454794,0.316944643961366,-0.00781468690218642,-0.0442575404808959,0.207473186139725,-0.121657664295905,-0.153359234912872,-0.034428205010554,0.113881571858719,0.175791358043004,-0.114301261910968,0.0478747961869381,-0.0694330599832609,5.88652498523661e-05,0.0167851335065787,0.018391370185806,-0.00154324916535421,0.018337382602326,-0.0398754125042018,0.0169903529534512,-0.0172638529479175,0.00829336733177323,-0.085418794511041,0.0146608663324346,0.0216742134222911,-0.0450072731146434,-0.0246033571526011,-0.0377804733561929,0.00861531388485842,-0.0801387670553976,-0.00225899921609534,-0.0465169568344794,-0.00972038728372057,0.0158059666949968,0.0582023415087599,0.0114194043917112,-0.0405326431984245,-0.00714287301830165,-0.0073755724876066,0.00414345929979798,-0.0259461663440328,-0.0418382898156384,0.0222773800716183,0.059244287369283,0.0363191158504213,-0.010159444528826,-0.0619374977041294,-0.0179582960161668,0.0265172537975594,0.0324873818589714,0.0964734646820463,0.00466516675272897,0.0472277745430082,-0.00095019189782428,-0.00283988414032674,-0.0112047201435283,0.0119343143238708,-0.0636726094490755,0.0004850263363122,0.0670797243511061,0.106120334243081,-0.0677695117045292,-0.0122703605628345,0.0101847589129309,0.0295422076467457,0.0686545642408632,5.75433323495196e-14
"C07",-0.363345798270656,0.105601307721371,-0.116477163644755,-0.0832721652218085,0.0633052462618394,0.3189035104107,0.0662869280318808,0.025470433443533,0.061004031754953,-0.134521984074937,0.0820631278640873,0.0159641176346528,0.112121102922174,0.0173704461759962,0.0320208213665639,0.0453523305837457,0.00734672340943152,-0.0393842877599893,-0.0714970626957526,0.0301201979052933,-0.050169142820675,-0.0243578205700236,0.0097098101336763,-0.0710940994252229,0.136911777135318,0.108491137715382,0.0320499535752919,-0.0608208946374072,0.00191085387186832,0.0617075867412533,0.0645079383980088,-0.0147641780323515,0.108603392123702,-0.00731191400368144,-0.130236975459985,0.0621156355881887,-0.0100255295320863,0.0334396877363999,-0.0366372952966817,-0.0342176128432905,-0.0136558955173411,0.110112915877133,-0.0294359513738853,0.00190793163443149,0.0470925823088783,-0.0459878147071923,-0.0334459068579993,-0.0868138079346699,-0.0388265341075144,0.0159937999135862,0.00994595782496397,0.00933952274694526,-0.010213142607068,-0.0313454913877288,0.0406886136654828,-0.00120592531136824,0.0688638865518406,-0.0499540838663014,0.0696382898470381,-0.00387713107322385,0.00302522556132902,0.00534610494996549,0.00791798692372522,-0.012111121167978,-0.0206109977563033,-0.0200809841679446,-0.0105517813163053,5.75152887827019e-14
"B06",-0.0893601780771986,0.180207671659383,-0.0930598403568322,0.00139388954666606,0.0105142949710434,-0.00918108177640327,0.171137891006318,-0.249640828225866,-0.230453863575723,-0.0015129293051032,0.00995682352814542,-0.0845546457465726,-0.0205810929634693,-0.107723172790997,0.00260697492869326,0.113374870850909,-0.0153651769427003,0.00830515140639697,-0.0558692046362035,0.0284280827460413,-0.013002822005494,-0.0304783605509552,-0.0219621976656935,0.0966563312952006,0.035583397547209,-0.0387003382571755,0.0392622494497846,0.0101936476175905,-0.0180915598709257,0.0224196101466095,-0.01453567098871,0.0222675930503221,-0.054187955393457,-0.00814879508041029,0.0116343406256763,0.00072007202141356,0.0091228354180917,-0.0302798462123438,0.0456487973315905,-0.0492753876081943,-0.0819643766144455,0.0381772889493264,0.0348244962715045,0.0525313180637077,-0.0543386233115459,0.0264696209169627,-0.0628182938137443,-0.0156344072166109,-0.000926499948577527,0.0160254281930193,0.0188860927529283,-0.00620353915864817,0.00652588581110381,-0.00481838371648609,-0.0891743847672076,-0.0360075685353998,0.0368680144604458,-0.0197811638599588,-0.0089361758579723,0.0423053177300597,-0.00414252431017621,-0.0869595407195597,0.0148868180273096,-0.00387880608983768,-0.0815534944954935,0.0554513232476062,0.07561167514594,5.75389887645661e-14
"B04",-0.11632127192645,0.114318668045457,-0.140227869446745,-0.0688084698657214,-0.0155076063313928,0.0134002507404482,-0.111267646243045,-0.209234398036509,-0.0537651818706097,-0.0837958869817674,0.132337026848064,-0.0602062506843049,-0.0385442433935992,0.0705057036369145,-0.0679889767876653,-0.127907899874316,-0.0454963394931116,-0.0592354727486709,0.0514208067935917,0.0739085510444594,0.0772660141555262,0.0565904169271954,-0.00566018489580048,-0.0519899139009744,0.00498111436888064,-0.0977222448836414,-0.0138981326163792,-0.0275815939867643,-0.0686184060614889,0.037341537703375,-0.0672178768905076,0.0799200675600981,-0.0383067155987462,0.0256182111844368,0.00749168781995026,0.0564229120138049,-0.0503307585168627,0.0766496031919574,-0.0200785426366258,-0.01399180033244,0.0123396082974291,-0.0458357935351667,-0.000866024685988756,0.0403486757435401,-0.00663158437168729,-0.0128970580385204,-0.0896817241424751,0.0175570816219756,-0.0505255002825518,-0.010308667881268,-0.0140584534818641,-0.0056501873917754,0.0587055596309571,-0.0264703292634691,0.0535443919181177,-0.0176399806964502,-0.0446855809836788,-0.0498667559420937,-0.0423298812371111,-0.0390634978819294,-0.0300534499348683,0.0236376888302416,0.0614527576442282,0.099867054070905,-0.0292299158482584,0.0115662202476669,-0.0579697113958122,5.75534493110416e-14
"D08",0.207075123349027,-0.00435274385472874,-0.0213064691131524,-0.106686752458457,-0.2063696083765,0.0383450133838591,0.0995455029740773,-0.0689757828598592,0.0791947730810523,-0.0444773772353493,0.0682297995038086,0.166058028028414,-0.037109102819425,0.0784017888184526,-0.00435898076246569,0.168965533456572,0.0197421871068187,-0.072761794155835,-0.0353884911037439,0.00833958440568772,-0.0370547218412126,0.0450184063765291,0.000253690707936975,-0.0429998015085536,-0.115524223560245,0.070278498112559,-0.0622483650528082,0.0233912516274856,-0.0214565896535343,0.0105628857188039,0.0122610435102328,0.0958432690409524,0.0438992306614902,0.0189638986100387,0.0364840206447049,0.0618227970960714,0.0204094759935312,0.0279977988223026,0.0278541153161714,-0.0690918145788569,0.0836058711257522,-0.0185296101048339,0.106468898109738,0.037200086639602,0.00213438920475763,-0.092288362627274,0.0469207399045973,0.0535357231376098,-0.035972025859263,0.113367567586985,0.0374733727364899,-0.0383784832267513,-0.082928062409334,0.0142549098674258,-0.000159726420221266,-0.0422826785501137,0.0260264207226946,0.0155757091558661,-0.0519707640836504,0.00732419430380505,0.0370610861730846,-0.0214668378017671,-0.00499374343507687,0.0176225022484629,0.025360595469954,0.0102457925495931,-0.00153745005461658,5.75424717640452e-14
"C11",-0.337100329101924,0.115555847003334,-0.00692312771240293,0.0545889182246773,-0.222082877418019,0.138859787299616,-0.0942226793721776,0.0415035782262638,-0.186459899354907,0.0574494385996408,-0.169138952281645,0.0287869729305897,0.024630005628547,0.0507238766297356,0.0940921765716405,-0.0964789126679815,0.0733142621644649,-0.180919116558825,0.0193760826085709,0.0419477252709198,0.274170048813094,0.139297053877126,-0.0733890625050253,0.0509897853636052,0.0717497395073745,0.0816694397281044,-0.0548862256122354,0.0469775192699732,0.0712868457768989,0.0470774634809427,0.0292588365468774,0.040394968692328,0.104902278514018,0.0578810932283935,0.0813834999220584,-0.0617497520125928,-0.0600667542501351,-0.0597322650324735,0.0499656095564763,-0.00734348278629487,-0.0238872201512438,-0.00248282054773789,-0.0390515793171428,0.0230588743780926,-0.0164494094374983,-0.014900891299283,0.0262966022280071,0.00768989937982907,0.0366195764352718,-0.00855237198191719,-0.0148754518866874,0.0299668231284938,-0.0298630285805064,-0.0141388198257699,0.00688547643155758,0.0131372919384108,-0.00427407429435976,-0.0110933539422231,-0.00698056611175039,0.0112187261980943,-0.000401098482815142,-0.00328082973952347,-0.0204099347385101,-0.007200659734949,-7.83222466673664e-05,0.0119346995183782,0.000127203039263758,5.75478453410626e-14
