"","Standard deviation","Proportion of Variance","Cumulative Proportion"
"PC1",0.260674893699223,0.17194,0.17194
"PC2",0.153913184175458,0.05994,0.23188
"PC3",0.140302920781919,0.04981,0.28169
"PC4",0.13115889822162,0.04353,0.32521
"PC5",0.124550269866888,0.03925,0.36447
"PC6",0.118206677098889,0.03536,0.39982
"PC7",0.114042977701196,0.03291,0.43273
"PC8",0.108205316789397,0.02963,0.46236
"PC9",0.10603145040907,0.02845,0.4908
"PC10",0.100965298764708,0.02579,0.5166
"PC11",0.09854585704055,0.02457,0.54117
"PC12",0.094154920536108,0.02243,0.5636
"PC13",0.09131288252036,0.0211,0.5847
"PC14",0.0860077836445145,0.01872,0.60342
"PC15",0.0847784723428449,0.01819,0.6216
"PC16",0.083025568468665,0.01744,0.63904
"PC17",0.0811442644044784,0.01666,0.6557
"PC18",0.0769636966259628,0.01499,0.67069
"PC19",0.0763492820709067,0.01475,0.68544
"PC20",0.0756469040146331,0.01448,0.69992
"PC21",0.073697768448849,0.01374,0.71366
"PC22",0.0724169733920576,0.01327,0.72693
"PC23",0.068894733286853,0.01201,0.73894
"PC24",0.0676385006929866,0.01158,0.75052
"PC25",0.0675177282117708,0.01153,0.76205
"PC26",0.0649084016957815,0.01066,0.77271
"PC27",0.063893786527705,0.01033,0.78304
"PC28",0.062890145993782,0.01001,0.79305
"PC29",0.062048649053718,0.00974,0.80279
"PC30",0.061096697480798,0.00945,0.81224
"PC31",0.0601019093945359,0.00914,0.82138
"PC32",0.0577813671771122,0.00845,0.82983
"PC33",0.0575254139041338,0.00837,0.8382
"PC34",0.0561826787777119,0.00799,0.84619
"PC35",0.0555184255489359,0.0078,0.85399
"PC36",0.0546065908231817,0.00755,0.86153
"PC37",0.0530372212863631,0.00712,0.86865
"PC38",0.0522579970302001,0.00691,0.87556
"PC39",0.0515363740938434,0.00672,0.88228
"PC40",0.049935600568508,0.00631,0.88859
"PC41",0.0489340338528999,0.00606,0.89465
"PC42",0.0487898724029931,0.00602,0.90067
"PC43",0.0475318162036287,0.00572,0.90639
"PC44",0.0468960974785567,0.00556,0.91195
"PC45",0.0461172249558886,0.00538,0.91733
"PC46",0.0454216869410965,0.00522,0.92255
"PC47",0.0445191250512219,0.00501,0.92757
"PC48",0.0433871875410853,0.00476,0.93233
"PC49",0.0429697068012727,0.00467,0.937
"PC50",0.0419031965119555,0.00444,0.94145
"PC51",0.0416925336470324,0.0044,0.94585
"PC52",0.0410972105432761,0.00427,0.95012
"PC53",0.0406240729110412,0.00418,0.95429
"PC54",0.040038922792808,0.00406,0.95835
"PC55",0.0395345382965764,0.00395,0.96231
"PC56",0.0391696774560804,0.00388,0.96619
"PC57",0.0389778883897094,0.00384,0.97003
"PC58",0.0376173090458752,0.00358,0.97361
"PC59",0.0367144375326689,0.00341,0.97702
"PC60",0.0358200468371056,0.00325,0.98027
"PC61",0.035239109041588,0.00314,0.98341
"PC62",0.0347719794949431,0.00306,0.98647
"PC63",0.0345349289052498,0.00302,0.98949
"PC64",0.0337394455417797,0.00288,0.99237
"PC65",0.0325024539415495,0.00267,0.99504
"PC66",0.0317588294471921,0.00255,0.99759
"PC67",0.0308334297550536,0.00241,1
"PC68",5.79861607446401e-14,0,1
