"V1" "V2"
"X15" -0.015924251921617 -0.639086881293898
"X60" 0.004835405380096 0.160280268310833
"X63" 0.00750906634231909 0.248531599342169
"X89" 0.014878585370146 0.44770299660032
"X96" 0.00246386391921652 0.095462050704587
"X105" 0.0220048348725769 0.563644806709981
"X123" -0.00945038280475302 -0.326598499866
"X140" -0.0183420592438813 -0.333559340870341
"X152" -0.00416704092960541 -0.0761785445601298
"X164" -0.0466075052647777 -0.788771322286628
"X185" 0.0164635065286928 0.435225606952108
"X188" -0.000342012111541155 -0.0122820634048592
"X201" -0.00418393059721662 -0.0856541692489455
"X222" -0.0122735282520634 -0.281582701971345
"X224" -0.0243038875172471 -0.607175856207801
"X232" 0.00433399666466934 0.191258985441261
"X233" -0.0124572584199391 -0.25326720771522
"X298" -0.0313543071159683 -0.732851491217034
"X299" -0.0138000050898931 -0.37591915607497
"X330" 0.0124992543404997 0.382278157782963
"X347" -0.0113816712660488 -0.332335376977192
"X349" 0.0348577192451168 0.716775993159348
"X360" 0.0118604488680132 0.240724055571383
"X373" 0.00491770250865136 0.186885200409256
"X376" -0.0222244628524541 -0.563306302168477
"X385" 0.0105450506382697 0.221514890487464
"X418" -0.00805911445379453 -0.146084808226276
"X421" -0.0437477535402276 -0.774814677645105
"X432" 0.0012790807599519 0.0340297279876461
"X434" -0.0419541296829915 -0.707825149276021
"X436" -0.00689714480759345 -0.126569328124776
"X461" 0.0142808037173328 0.340719187280937
"X465" 0.00221049918766298 0.0484304330044179
"X484" 0.00341332065489281 0.0766454095532254
"X511" -0.00707619669912533 -0.169739377521186
"X512" 0.014144592093976 0.217691732414386
"X515" 0.0359446148659467 0.785634333077916
"X516" 0.00556541002947536 0.162001010467305
"X524" -0.0199366231321316 -0.485033971989676
"X529" -0.0314545721042063 -0.588417962020932
"X534" -0.00453743883547365 -0.0678135360097493
"X543" 0.0606372126186235 0.772811608585027
"X549" 0.00970069241870652 0.273296089244585
"X552" -0.0138973231147378 -0.420510040318973
"X575" -0.0111480321051014 -0.285009386462337
"X578" -0.00994760733224178 -0.227227087390611
"X599" -0.0213994481378102 -0.494201981190555
"X628" 0.0560806453206429 0.903487470645724
"X638" -0.00190465874725966 -0.0358716914871865
"X647" -0.010067785905366 -0.144113438019255
