"","Comp 1","Comp 2"
"A13",-0.197478502395341,0.00934113996328954
"A08",-0.276388632761116,0.0381670574877432
"A09",-0.214071909903341,0.0325678755084309
"A15",-0.305390254012293,0.0473711974950375
"A01",-0.225108512532148,0.0140199278003168
"A16",-0.26073534837284,-0.101743910793873
"A05",-0.27284995342336,-0.115851386343993
"A03",-0.26930577091287,-0.0546917201448073
"A07",-0.259491838599891,-0.0717457762167989
"A17",-0.2665757553667,0.00317978815252955
"A04",-0.289219747391997,0.00489125807952483
"A18",-0.265632386264237,-0.00977226921295133
"A06",-0.301650582276952,0.00187050842648734
"A14",-0.249263101504674,-0.0187776167590861
"A10",-0.195987292360682,-0.00228198248138493
"A02",-0.235766183306195,0.0157059180349522
"B17",0.0827606154331618,0.153872732992738
"B14",0.0457705561082817,0.136579806304726
"B06",0.065584163347862,0.195850889780736
"B04",0.0728070849083594,0.169649845328649
"B08",0.105913796751949,0.191430352316181
"B10",-0.011429938725047,0.169916474431511
"B18",0.0407804746974426,0.106194370553905
"B07",0.0709991247999485,0.156292890264115
"B15",0.0775659395653612,0.163672200922987
"B03",0.0383566637944774,0.156978435977343
"B05",0.160540799265083,0.0944059841218214
"B02",0.125777169233727,0.185120157245206
"B01",0.0793982080189232,0.139078339873931
"B09",0.0667522035380876,0.150215211136342
"B13",0.135056402931591,0.151715825049257
"B16",0.0792711009228842,0.123396210389282
"C07",0.43475516478151,-0.0554853951033519
"C11",0.366842989794941,-0.0837611299989698
"C15",0.462900834166429,-0.0322303426445864
"C14",0.471642425718386,-0.19963950476714
"C02",0.494164906057418,-0.0767296026934992
"C12",0.436847396903612,-0.00226702442111845
"C04",0.4967569546541,-0.0461748961636311
"C17",0.481972743698266,-0.161828399150354
"C01",0.417141021390216,-0.0658917896044955
"C13",0.435720362336226,-0.0991237660338843
"C03",0.428009446106343,0.00417101281014569
"C09",0.402743839243074,-0.0430891678425741
"C10",0.343263943446001,0.0158419493811403
"C18",0.374404179834131,-0.112190889911218
"C05",0.444785715024528,-0.080578342435674
"C16",0.454401137465902,-0.0758739738545388
"C08",0.377926612202703,-0.0357460348547865
"C06",0.371984866562034,-0.0381276142652213
"D10",-0.28650691744132,-5.31722931888111e-05
"D18",-0.266342149416619,-0.00576465571964635
"D08",-0.264357739753374,-0.0152300214091713
"D05",-0.230426071165167,-0.0717556388603035
"D13",-0.281923237461835,-0.0939047240100051
"D03",-0.298284903258274,-0.0507518494127602
"D12",-0.261669606471009,-0.00994664875271706
"D14",-0.210904205480529,-0.080260351488942
"D04",-0.350245323647492,-0.115512231081423
"D16",-0.299349486330622,-0.117458252382836
"D15",-0.277120780918047,-0.0712082105229216
"D07",-0.288291695487847,-0.0500057671114835
"D09",-0.268692740012674,-0.02798634004864
"D02",-0.241489479924591,-0.0448506734379752
"D11",-0.226445210208875,-0.17235073041439
"D01",-0.262098563950104,-0.0276158459376936
"D17",-0.263640716831063,-0.0521245475097879
"D06",-0.269464304833841,-0.0411151637365044
