"R2" "Q2" "correlation.coefficient"
"q2r2$val[5:6]" 0.959568013720987 -0.212725132730169 0.125
"q2r2$val[5:6]" 0.919420015341968 -0.0941262931338387 0
"q2r2$val[5:6]" 0.914678015514836 -0.916901621996021 0.125
"q2r2$val[5:6]" 0.924875426407209 -0.284969643492416 0
"q2r2$val[5:6]" 0.919078553146101 -0.667924610812437 -0.125
"q2r2$val[5:6]" 0.930018951264848 -0.0820807559578838 -0.125
"q2r2$val[5:6]" 0.907836060801561 -0.485283882743995 -0.375
"q2r2$val[5:6]" 0.899762588663406 -0.23199534892827 0.375
"q2r2$val[5:6]" 0.912029663865634 -0.449978652356195 -0.375
"q2r2$val[5:6]" 0.908701007613929 -0.148552295738526 0
"q2r2$val[5:6]" 0.925299459155853 -0.393049084373679 0.125
"q2r2$val[5:6]" 0.909500485095338 -0.0476721216976057 0.375
"q2r2$val[5:6]" 0.912022708115099 -0.582808039435845 -0.125
"q2r2$val[5:6]" 0.922571869141224 -0.0507887856147835 0.5
"q2r2$val[5:6]" 0.884498312376976 -0.286751798915355 -0.125
"q2r2$val[5:6]" 0.862699182972467 -0.397958926541784 -0.125
"q2r2$val[5:6]" 0.899170206469966 -0.830119088827132 0
"q2r2$val[5:6]" 0.924641183665173 -0.353486520082162 0.25
"q2r2$val[5:6]" 0.939314141820793 0.00975162102925498 -0.125
"q2r2$val[5:6]" 0.90543804030854 -0.153940402473135 0.125
"RQ_line" 0.941808983517598 0.316666730206753 1
