"","foldChanges"
"X95",1.34328358208955
"X105",0.880361173814898
"X106",0.905930470347648
"X140",2.30434782608696
"X174",1.49240121580547
"X176",0.596673596673597
"X196",1.04008438818565
"X199",4.64393939393939
"X212",0.871794871794872
"X241",0.960493827160494
"X264",0.625
"X265",0.852607709750567
"X267",1.28164556962025
"X279",1.19672131147541
"X285",0.702380952380952
"X286",0.946547884187082
"X289",0.781376518218624
"X324",3.14553990610329
"X329",0.859872611464968
"X330",1.32577319587629
"X344",0.840220385674931
"X365",1.21596244131455
"X417",1.02267002518892
"X436",1.28482972136223
"X448",1.22494887525562
"X463",2.96039603960396
"X465",5.71900826446281
"X471",1.15736040609137
"X477",1.12078651685393
"X484",1.18911917098446
"X493",0.669833729216152
"X513",1.33012048192771
"X515",0.880886426592798
"X517",0.625954198473282
"X520",1.06197183098592
"X528",1.17154811715481
"X533",1.4778156996587
"X535",0.829545454545454
"X536",13.8409090909091
"X545",0.975609756097561
"X580",0.562955254942768
"X589",1.0393811533052
"X591",0.753846153846154
"X596",0.931914893617021
"X625",3.14798206278027
"X644",0.437704918032787
"X646",0.140127388535032
"X654",0.88
"X663",2.60909090909091
"X669",1.18181818181818
"X674",1.73841059602649
"X725",0.86013986013986
"X788",1.00488997555012
"X792",4.73333333333333
"X796",1.70110701107011
"X813",1.30878186968839
"X814",1.45907473309609
"X817",0.832386363636364
"X820",2.83009708737864
"X829",0.834728033472803
"X831",0.515923566878981
"X862",0.944303797468354
"X867",1.36120401337793
"X868",0.987179487179487
"X869",1.03260869565217
"X884",1.24578313253012
"X886",0.826424870466321
"X898",6.82178217821782
"X899",1.0311004784689
"X919",0.864978902953586
"X950",0.721340388007055
"X951",0.772334293948127
"X954",1.2133676092545
"X990",2.10285714285714
"X995",0.722875816993464
"X997",1.52189781021898
"X1015",1.64233576642336
"X1016",0.944214876033058
"X1029",1.12636165577342
"X1045",1.35537190082645
"X1050",1.18895348837209
"X1051",0.933333333333333
"X1055",0.434584755403868
"X1070",0.991769547325103
"X1072",1.17272727272727
"X1090",1.3989898989899
"X1103",1.00849256900212
"X1114",0.687861271676301
"X1116",1.61098398169336
"X1128",0.764976958525346
"X1130",0.394396551724138
"X1134",1.18051575931232
"X1154",1.53253012048193
"X1159",1.17866666666667
"X1167",1.01301518438178
"X1186",0.951338199513382
"X1188",0.990338164251208
"X1212",0.956730769230769
"X1213",0.94647201946472
"X1221",2.59565217391304
"X1222",1.3159509202454
"X1226",1.22189349112426
"X1228",1.09638554216867
"X1237",2.00324675324675
"X1256",0.91725768321513
"X1264",2.02350813743219
"X1268",1
"X1269",0.976303317535545
"X1271",1.57792207792208
"X1284",0.963519313304721
"X1285",1.02444987775061
"X1292",0.952718676122931
"X1298",0.92798353909465
"X1303",1.09315068493151
"X1320",0.984615384615385
"X1325",2.81621621621622
"X1329",1.12164948453608
"X1332",1.1820652173913
"X1336",1.04895104895105
"X1348",2.12173913043478
"X1349",0.890489913544669
"X1350",3.29145728643216
"X1364",0.352826510721248
"X1380",0.826966292134832
"X1386",1.04449152542373
"X1389",2.43307086614173
"X1410",1.17543859649123
"X1413",0.863636363636364
"X1415",1.1130604288499
"X1425",20.9310344827586
"X1444",1
"X1445",0.865748709122203
"X1453",0.913256955810147
"X1475",0.824175824175824
"X1484",0.928436911487759
"X1506",0.796581196581197
"X1510",0.728194726166329
"X1511",0.86
"X1513",0.892008639308855
"X1514",0.751277683134583
"X1534",0.654885654885655
"X1557",1.04059829059829
"X1595",1.4297520661157
"X1601",0.846153846153846
"X1607",1.4078431372549
"X1618",0.63953488372093
"X1649",3.03508771929825
"X1658",5.23308270676692
"X1694",0.677966101694915
"X1696",0.624761904761905
"X1739",0.723404255319149
"X1741",1.01570680628272
"X1774",1.20245398773006
"X1775",0.859188544152745
"X1776",0.940334128878282
"X1785",1.23429951690821
"X1800",0.594805194805195
"X1812",1.25634517766497
"X1813",0.723865877712032
"X1832",1.11290322580645
"X1836",1.3601108033241
"X1837",0.947916666666667
"X1847",0.553459119496855
"X1862",0.762357414448669
"X1868",0.991202346041056
"X1870",2.64478764478764
"X1882",1.66779661016949
"X1892",1.00486618004866
"X1893",0.908878504672897
"X1896",0.396301188903567
"X1898",0.859956236323851
"X1911",2.03125
"X1921",1.01503759398496
"X1928",0.0937330439500814
"X1942",1.91973244147157
"X1949",0.951388888888889
"X1951",1.416
"X1952",1.34336283185841
"X1955",2.05211726384365
"X1957",1.17128463476071
"X1959",0.852150537634409
"X1960",1.1609756097561
"X1964",0.158221797323136
"X1979",2.49579831932773
"X1991",0.690944881889764
"X2020",0.552083333333333
"X2027",0.868098159509202
"X2028",0.122073578595318
"X2029",1.57045454545455
"X2035",0.098014888337469
"X2078",0.551102204408818
"X2079",1.2295719844358
"X2086",0.945454545454546
"X2094",1.13973799126638
"X2095",1.79009433962264
"X2104",0.762755102040816
"X2111",2.61924686192469
"X2116",1.10049019607843
"X2128",0.405535499398315
"X2133",0.947275922671353
"X2153",1.18604651162791
"X2154",0.909975669099757
"X2164",0.825806451612903
"X2183",0.717996289424861
"X2190",1.57303370786517
"X2194",0.967065868263473
"X2203",5.66233766233766
"X2205",1.07009345794393
"X2216",1.94385026737968
"X2222",0.845714285714286
"X2240",2.65730337078652
"X2248",0.822709163346614
"X2249",0.91705069124424
"X2257",1.49909255898367
"X2272",0.895412844036697
"X2273",1.16666666666667
"X2288",1.37864077669903
"X2291",1.18051575931232
"X2294",0.429260450160772
"X2304",1.90967741935484
"X2306",0.97979797979798
"X2310",1.35304054054054
"X2322",1.92805755395683
"X2328",1
"X2331",0.970189701897019
"X2332",17.8837209302326
"X2335",1.02314049586777
"X2339",1.26807228915663
"X2351",1.27049180327869
"X2365",4.24275362318841
"X2370",0.846315789473684
"X2371",0.0790340285400659
"X2374",0.848591549295775
"X2383",1.05182926829268
"X2393",1.17709637046308
"X2398",0.375482625482626
"X2403",0.88728323699422
"X2404",1.8527397260274
"X2411",1.10144927536232
"X2420",1.01545253863135
"X2427",1.1671826625387
"X2458",1.13541666666667
"X2470",0.49636803874092
"X2474",0.497803806734993
"X2500",0.916913946587537
"X2505",0.88968824940048
"X2510",0.991208791208791
"X2519",1.32967032967033
"X2520",0.0492424242424242
"X2523",0.885117493472585
"X2529",0.662745098039216
"X2532",0.0869565217391304
"X2546",0.73469387755102
"X2547",2.6044776119403
"X2554",4.64150943396226
"X2578",1.18021978021978
"X2586",0.341463414634146
"X2604",1.11904761904762
"X2611",1.19087136929461
"X2616",0.949481865284974
"X2622",0.121026894865526
"X2627",0.939024390243902
"X2646",1.42605633802817
"X2650",0.883190883190883
"X2652",1.13375796178344
"X2654",0.42257217847769
"X2668",0.777358490566038
"X2670",0.857142857142857
"X2671",1.14369501466276
"X2704",0.464462809917355
"X2713",1.63050847457627
"X2716",0.0644171779141104
"X2731",0.714285714285714
"X2733",0.930051813471503
"X2742",0.518167456556082
"X2759",0.710144927536232
"X2763",0.341312056737589
"X2765",0.78125
"X2769",1.42071197411003
"X2777",10.6851851851852
"X2781",1.26548672566372
"X2785",1.22727272727273
"X2790",0.963570127504554
"X2793",2.13302752293578
"X2813",1.01113585746102
"X2819",0.985611510791367
"X2821",0.953771289537713
"X2831",1.61872146118721
"X2836",1.08495145631068
"X2844",1.17614678899083
"X2848",0.886426592797784
"X2851",0.513698630136986
"X2852",1.00898203592814
"X2863",1.01207243460765
"X2867",2.1
"X2871",0.980113636363636
"X2875",0.990588235294118
"X2882",0.116817724068479
"X2899",0.886836027713626
"X2903",1.01133144475921
"X2904",1.353125
"X2907",0.861507128309572
"X2908",2.77222222222222
"X2910",0.874358974358974
"X2921",0.764112903225806
"X2927",0.984520123839009
"X2928",1.38957055214724
"X2937",0.905339805825243
"X2941",1.10062893081761
"X2945",1.14772727272727
"X2948",1.07250755287009
"X2971",0.163023110555903
"X2977",0.888888888888889
"X3009",0.714285714285714
"X3014",0.91220556745182
"X3015",0.736180904522613
"X3017",1.36521739130435
"X3037",2.48327137546468
"X3044",0.752049180327869
"X3050",2.54752851711027
"X3052",0.108864696734059
"X3055",0.725050916496945
"X3067",1.02083333333333
"X3074",0.314375987361769
"X3089",5.69230769230769
"X3094",1.51601423487544
"X3096",0.0290178571428571
"X3097",0.972972972972973
"X3101",0.685082872928177
"X3106",1.05351681957187
"X3116",0.971223021582734
"X3129",1.090625
"X3130",0.0703324808184143
"X3132",0.572881355932203
"X3136",2.14102564102564
"X3170",0.0397058823529412
"X3178",1.04849884526559
"X3184",1.08031088082902
"X3185",0.711409395973154
"X3198",1.13099041533546
"X3222",1.30641330166271
"X3227",0.902439024390244
"X3232",2.44736842105263
"X3243",3.30337078651685
"X3248",0.881889763779528
"X3257",0.0871165644171779
"X3259",0.91609977324263
"X3266",0.777310924369748
"X3269",0.852904820766378
"X3280",0.921113689095128
"X3294",1.04494382022472
"X3309",0.475728155339806
"X3313",0.45771144278607
"X3349",0.537562604340568
"X3356",0.662280701754386
"X3364",3.38695652173913
"X3391",0.733067729083665
"X3398",0.696969696969697
"X3427",0.953290870488323
"X3430",0.791666666666667
"X3439",0.647279549718574
"X3442",1.56762295081967
"X3448",1.08629441624365
"X3472",0.042068361086766
"X3483",1.1740412979351
"X3487",0.635514018691589
"X3494",0.850877192982456
"X3495",0.822815533980583
"X3508",1.16933638443936
"X3529",0.873831775700935
"X3533",3.22346368715084
"X3537",0.8525
"X3544",1.43081761006289
"X3547",0.800475059382423
"X3552",1.32727272727273
"X3561",0.344370860927152
"X3580",1.38081395348837
"X3590",9.84545454545455
"X3594",1.25761772853186
"X3614",3.60283687943262
"X3615",0.518617021276596
"X3620",3.16
"X3621",0.527932960893855
"X3680",0.876750700280112
"X3682",0.629716981132075
"X3690",1
"X3697",0.417757009345794
"X3698",0.986301369863014
"X3701",4.29565217391304
"X3725",1.35140186915888
"X3732",1.33085501858736
"X3733",0.947242206235012
"X3749",0.697228144989339
"X3752",1.11602209944751
"X3753",0.629080118694362
"X3757",1.25227963525836
"X3760",0.00797165633303809
"X3778",1.52121212121212
"X3780",0.101781170483461
"X3784",7.48701298701299
"X3788",16.6
"X3791",0.200823892893924
"X3797",1.96428571428571
"X3821",0.640983606557377
"X3838",0.849152542372881
"X3840",11.469387755102
"X3854",1.28142076502732
"X3865",0.498402555910543
"X3874",0.521028037383178
"X3880",0.0391676866585067
"X3881",0.0214899713467049
"X3888",0.790774299835255
"X3892",1.96124031007752
"X3894",1.75710594315245
"X3920",1.1266149870801
"X3928",1.06060606060606
"X3947",3.66891891891892
"X3962",0.859050445103858
"X3971",0.406483790523691
"X3982",1.32329317269076
"X3983",2.61811023622047
"X3985",0.0645833333333333
"X3987",1.02696078431373
"X3988",1.53691275167785
"X3995",0.96875
"X4004",0.799457994579946
"X4036",1.62370062370062
"X4059",1.16272965879265
"X4062",0.622754491017964
"X4063",16.4583333333333
"X4064",1.16666666666667
"X4072",0.770685579196217
"X4074",0.947826086956522
"X4075",1.12316176470588
"X4080",0.91304347826087
"X4084",1.01479289940828
"X4107",1.45990566037736
"X4109",0.872941176470588
"X4110",0.754201680672269
"X4119",3.26143790849673
"X4120",0.554830287206266
"X4142",1.26524390243902
"X4158",1.03244837758112
"X4163",0.884803921568627
"X4168",1.6701030927835
"X4169",0.85969387755102
"X4174",2.06923076923077
"X4184",0.198540145985401
"X4192",1.75378787878788
"X4197",0.744282744282744
"X4203",1.01960784313725
"X4208",0.759009009009009
"X4221",1.00757575757576
"X4233",1.21957671957672
"X4238",6.00680272108844
"X4243",4.25
"X4246",1.07741935483871
"X4249",0.567331670822943
"X4255",1.01680672268908
"X4262",0.796909492273731
"X4271",6.25108225108225
"X4284",0.173669467787115
"X4298",0.390222984562607
"X4304",0.907975460122699
"X4317",0.547619047619048
"X4318",2.64772727272727
"X4322",1.0757180156658
"X4323",0.981176470588235
"X4326",1.13122171945701
"X4331",1.29818181818182
"X4344",1.17632241813602
"X4354",0.835266821345708
"X4357",1.22916666666667
"X4375",9.48387096774193
"X4377",1.22254335260116
"X4397",4.84172661870504
"X4399",8.19540229885057
"X4415",1.18260869565217
"X4418",1.1993006993007
"X4419",5.3448275862069
"X4420",1.85217391304348
"X4421",1.46056782334385
"X4424",0.0167106420404573
"X4458",0.908333333333333
"X4460",1.87732342007435
"X4474",0.524074074074074
"X4475",0.396313364055299
"X4476",1.09782608695652
"X4499",0.760180995475113
"X4503",1.32047477744807
"X4512",1.08728652751423
"X4516",7.11881188118812
"X4517",0.127725856697819
"X4547",0.931909212283044
"X4574",0.878326996197719
"X4585",1.516
"X4588",1.43092105263158
"X4596",0.865800865800866
"X4600",0.929061784897025
"X4606",1.22303921568627
"X4607",3.31351351351351
"X4612",0.0483304042179262
"X4616",2.46022727272727
"X4618",0.506086956521739
"X4619",0.869668246445498
"X4623",1.3236797274276
"X4626",0.845986984815618
"X4632",1.11725663716814
"X4634",1.66842336407554
"X4648",1.26373626373626
"X4654",1.02577319587629
"X4690",0.776714513556619
"X4705",1.0539629005059
"X4712",0.869565217391304
"X4713",0.990853658536585
"X4724",2.42307692307692
"X4725",0.962174940898345
"X4727",0.971563981042654
"X4766",1.31062670299728
"X4782",0.767441860465116
"X4792",3.78082191780822
"X4802",0.748071979434447
"X4814",1.43529411764706
"X4826",0.496415770609319
"X4828",1.06738544474394
"X4831",0.867881548974943
"X4840",1.02597402597403
"X4856",0.741279069767442
"X4858",4.27857142857143
"X4860",0.951986754966887
"X4865",0.428312159709619
"X4871",0.69433962264151
"X4874",2.44292237442922
"X4881",1.18556701030928
"X4884",0.884792626728111
"X4909",0.736245954692557
"X4912",1.22608695652174
"X4916",2.21472392638037
"X4921",0.700381679389313
"X4927",0.814925373134328
"X4938",0.986363636363636
"X4944",9.57352941176471
"X4950",0.288782816229117
