"","V1"
"X15",0.0117363846523229
"X60",0.883062076367134
"X63",0.448104663644341
"X89",0.324945672207732
"X96",0.601131165390262
"X105",0.440944173420102
"X123",0.403105812786411
"X140",0.000151769102287068
"X152",0.294142606407679
"X164",0.000653314601429349
"X185",0.119782480709818
"X188",0.782723248744966
"X201",0.279006295732455
"X222",0.526660329949028
"X224",0.218375375783858
"X232",0.368107590694627
"X233",0.981314397795742
"X298",0.185384987667307
"X299",0.374675195585797
"X330",0.167935137771958
"X347",0.782723248744966
"X349",5.48504474563279e-07
"X360",0.834794329195149
"X373",0.477883667948771
"X376",0.617432243296385
"X385",0.929036737597555
"X418",0.725787028559867
"X421",0.00135619197292396
"X432",0.516069292669759
"X434",0.0276144680613174
"X436",0.545656909236819
"X461",0.101336482186282
"X465",0.489668312619691
"X484",0.340335024991578
"X511",0.866111671489163
"X512",0.477883667948771
"X515",0.0443806548012681
"X516",0.834794329195149
"X524",0.992147189151884
"X529",0.10328511636535
"X534",0.526660329949028
"X543",0.233406475156658
"X549",0.817952624339216
"X552",0.691018549849153
"X575",0.279006295732455
"X578",0.785833335526282
"X599",0.584547135127127
"X628",7.90030986688051e-10
"X638",0.358048575288635
"X647",0.929036737597555
"X662",0.881783020824337
"X663",0.817952624339216
"X673",0.834794329195149
"X676",0.412363102487588
"X691",0.111653735457629
"X707",0.968184102012376
"X722",0.748467048182825
"X725",0.119782480709818
"X749",0.813451695074039
"X750",0.218637273878413
"X755",0.692906039857833
"X766",0.47735677301153
"X804",0.779208545179787
"X813",0.992147189151884
"X814",0.340335024991578
"X815",0.440944173420102
"X844",0.748467048182825
"X852",0.703220051371768
"X859",0.209169455710589
"X864",0.423470038038921
"X867",9.35886842234627e-05
"X868",0.00309856809637025
"X887",0.526660329949028
"X890",0.779208545179787
"X893",0.185384987667307
"X897",0.68982214780949
"X902",0.735773728822429
"X913",0.185384987667307
"X933",0.00293451966541784
"X945",0.0751523531986353
"X950",0.294142606407679
"X968",0.483522633656657
"X969",0.000358327400716719
"X989",1.26060652079147e-09
"X999",0.888472704536424
"X1000",0.0639338669966779
"X1012",0.929036737597555
"X1029",0.852748662645401
"X1041",0.195462457553298
"X1056",0.577806897293339
"X1058",0.967532241858229
"X1059",5.57631036808705e-06
"X1060",0.981314397795742
"X1063",0.937457408123665
"X1073",0.000292965776259724
"X1075",0.057062806014958
"X1077",0.0275428751242252
"X1079",0.440944173420102
"X1084",0.00581628559851885
"X1088",0.164432979878333
"X1101",0.0970620156049841
"X1103",0.797744211797308
"X1113",0.191727553312233
"X1117",0.0269949777026723
"X1146",0.000785785667630174
"X1148",0.866111671489163
"X1151",0.797744211797308
"X1152",0.545656909236819
"X1190",0.0581394236520248
"X1201",0.914063973575842
"X1210",0.981043578956325
"X1216",0.601131165390262
"X1236",0.782723248744966
"X1247",0.112186321898242
"X1256",0.144861506439996
"X1267",0.681358196523892
"X1268",0.344714151928064
"X1278",0.584547135127127
"X1279",0.914063973575842
"X1294",0.937457408123665
"X1295",0.0377210579067829
"X1299",0.372092018954433
"X1300",0.521800466262758
"X1301",0.945202943520736
"X1302",0.914063973575842
"X1303",0.176970611927223
"X1311",0.853813533034878
"X1314",0.406305043354785
"X1330",0.459982360651993
"X1332",0.477883667948771
"X1338",0.230789191889997
"X1339",0.00112902118028968
"X1356",0.951187544990457
"X1377",0.000137931792469197
"X1393",0.937457408123665
"X1415",0.144274793953644
"X1424",0.445705663258497
"X1429",0.681358196523892
"X1458",0.0634425396447073
"X1465",1.28310624141307e-07
"X1488",5.57771771067617e-08
"X1489",0.703220051371768
"X1491",0.937457408123665
"X1492",0.833810839401472
"X1499",0.372092018954433
"X1552",0.358048575288635
"X1558",0.748467048182825
"X1564",0.19226920782703
"X1583",0.584547135127127
"X1584",0.000803011913562963
"X1586",0.449983123317072
"X1591",0.937457408123665
"X1595",0.782723248744966
"X1596",1.02545291368529e-09
"X1626",0.00867535121587975
"X1627",0.951622105592864
"X1639",0.992147189151884
"X1648",0.261414928549028
"X1657",0.511106227164497
"X1659",0.952114518521173
"X1666",0.0898497948643135
"X1672",0.852748662645401
"X1678",4.56215552502422e-07
"X1694",0.945202943520736
"X1701",0.00316101271872132
"X1706",0.812196599655116
"X1711",0.279006295732455
"X1715",0.295785780049074
"X1724",0.306612580529468
"X1737",0.506487523499898
"X1743",0.601131165390262
"X1748",0.00351482315011971
"X1749",0.0098575365594575
"X1752",0.981314397795742
"X1755",0.945202943520736
"X1758",0.0639338669966779
"X1759",0.725787028559867
"X1760",0.195462457553298
"X1761",0.567167817156043
"X1762",0.0451304458951721
"X1766",1
"X1776",0.406305043354785
"X1788",0.32365863333155
"X1791",0.372092018954433
"X1797",0.0293609357019998
"X1810",0.981314397795742
"X1820",0.233406475156658
"X1835",0.393294464818204
"X1838",0.358048575288635
"X1862",0.211759860987122
"X1867",0.10277964890078
"X1868",0.0377210579067829
"X1876",0.797744211797308
"X1885",1.28310624141307e-07
"X1888",0.218637273878413
"X1889",0.151974902505237
"X1892",0.584547135127127
"X1895",0.0576575976509944
"X1900",0.722015404885836
"X1904",0.782723248744966
"X1909",0.106760626743331
"X1911",0.163941647997539
"X1915",0.638402088858114
"X1921",0.0705123740004975
"X1929",0.442036300326575
"X1933",2.41525880736577e-07
"X1948",0.782723248744966
"X1949",0.771822178186033
"X1951",0.0259805245830182
"X1955",0.0505054243053967
"X1956",0.00066529749408046
"X1959",0.981314397795742
"X1960",0.858512259026398
"X1973",0.460195426851587
"X1983",0.945202943520736
"X1987",0.303481528392694
"X1989",0.000186604166645925
"X1992",0.260853901111257
"X1993",0.981314397795742
"X2006",0.477883667948771
"X2007",0.0111796533571824
"X2024",0.895503952853123
"X2026",0.771822178186033
"X2031",4.01668040790176e-06
"X2032",0.251071650294371
"X2037",0.499548493716043
"X2042",0.937457408123665
"X2052",0.945202943520736
"X2054",0.0252613949019392
"X2060",0.0377210579067829
"X2069",0.233406475156658
"X2083",0.660767932273385
"X2086",0.319684546234442
"X2126",1.28310624141307e-07
"X2131",0.166004887494735
"X2148",0.539340612525438
"X2153",0.945202943520736
"X2176",0.000151769102287068
"X2180",0.544526043779002
"X2196",0.0451304458951721
"X2200",0.722015404885836
"X2205",0.851815128845611
"X2209",0.981314397795742
"X2212",0.358048575288635
"X2222",0.199642929590566
"X2226",0.199642929590566
"X2232",0.218637273878413
"X2238",0.10328511636535
"X2252",0.0598811400123964
"X2253",0.395336258448495
"X2258",0.0760750524119609
"X2259",0.941012262205851
"X2280",0.00750119576132605
"X2289",0.0996899974439717
"X2291",7.2969814272657e-06
"X2298",0.881783020824337
"X2299",0.611345286663495
"X2309",0.279006295732455
"X2312",0.638402088858114
"X2313",0.545656909236819
"X2316",0.477883667948771
"X2317",0.268811207033563
"X2318",0.0036439507885316
"X2322",0.248507435908513
"X2339",0.144861506439996
"X2370",0.0158240596283612
"X2378",0.899234031974431
"X2379",0.937457408123665
"X2392",0.428137648642618
"X2393",0.0639338669966779
"X2395",0.881783020824337
"X2399",0.00650317978051102
"X2418",1.28310624141307e-07
"X2419",0.151320433928048
"X2453",1.21631002316817e-06
"X2460",0.372092018954433
"X2462",0.545656909236819
"X2467",0.888623003226226
"X2469",0.782723248744966
"X2471",0.016242465221107
"X2472",0.239725530905124
"X2487",0.782723248744966
"X2497",0.059606244058552
"X2502",0.617432243296385
"X2504",7.43316719163431e-07
"X2511",0.992147189151884
"X2515",0.992147189151884
"X2534",0.248507435908513
"X2540",0.0171452299137657
"X2548",0.208345559162853
"X2555",0.945202943520736
"X2558",0.549789128319865
"X2562",0.190628880002052
"X2584",0.0451304458951721
"X2586",0.981314397795742
"X2587",0.166004887494735
"X2589",0.473147978469169
"X2607",0.516572360917012
"X2612",0.829472659132501
"X2616",0.0233469306545748
"X2621",0.0768212060182539
"X2625",0.0744745621963279
"X2656",0.119782480709818
"X2661",1.28310624141307e-07
"X2675",0.834794329195149
"X2696",0.000151769102287068
"X2699",0.513722355551452
"X2700",0.852748662645401
"X2701",0.0370045661192234
"X2705",0.0257502940135947
"X2716",0.32365863333155
"X2717",0.945202943520736
"X2740",0.162225666100935
"X2746",0.2152806448061
"X2747",0.145390298869633
"X2754",0.00651525479067112
"X2767",0.00589202086297818
"X2768",0.790335794249219
"X2774",0.817952624339216
"X2775",0.0815894158106284
"X2804",0.866111671489163
"X2810",0.771822178186033
"X2829",0.428137648642618
"X2833",0.584547135127127
"X2836",0.989350975153072
"X2864",0.952114518521173
"X2872",1.28310624141307e-07
"X2876",0.440944173420102
"X2878",0.601131165390262
"X2880",0.981314397795742
"X2881",0.534436228459899
"X2890",0.914063973575842
"X2906",0.779208545179787
"X2923",0.770897873845717
"X2931",0.748467048182825
"X2940",0.000365948731909158
"X2949",0.326553597264755
"X2950",0.00605072451962536
"X2962",0.499548493716043
"X2979",0.0802531401781542
"X2980",0.000184543135741635
"X2981",0.584547135127127
"X2986",0.412901077350249
"X3005",0.893613474812765
"X3035",0.136843532928025
"X3064",0.823811938519749
"X3066",0.193403819685523
"X3068",1.28310624141307e-07
"X3069",0.00101010393683388
"X3079",0.000625554594654987
"X3080",0.601131165390262
"X3106",0.241051263545683
"X3114",0.881783020824337
"X3117",0.511106227164497
"X3133",0.263900895772999
"X3151",1.28310624141307e-07
"X3158",0.944417628799254
"X3159",0.511106227164497
"X3185",0.511106227164497
"X3186",0.281340523154481
"X3191",0.460195426851587
"X3212",0.97221668786218
"X3238",5.58880036865888e-09
"X3245",0.308297409797428
"X3246",0.945202943520736
"X3267",0.989350975153072
"X3269",0.372092018954433
"X3284",0.406305043354785
"X3295",0.0705123740004975
"X3301",0.834794329195149
"X3305",0.00107151755905397
"X3319",0.01259720782829
"X3320",4.56215552502422e-07
"X3330",0.054822855110518
"X3339",1.28310624141307e-07
"X3350",1
"X3361",0.94350747974056
"X3391",0.617432243296385
"X3408",0.165403475249904
"X3410",0.00650317978051102
"X3417",0.945843165599162
"X3419",0.881783020824337
"X3430",3.95820778657991e-10
"X3446",0.47735677301153
"X3454",0.852748662645401
"X3475",0.584547135127127
"X3481",0.372092018954433
"X3486",0.372092018954433
"X3490",0.914063973575842
"X3500",0.000353982043311808
"X3502",0.195462457553298
"X3512",0.0228212300512817
"X3515",0.642923521034543
"X3517",0.000151769102287068
"X3523",0.617432243296385
"X3525",0.106760626743331
"X3527",0.00499195672445359
"X3528",1
"X3529",0.0391756199253097
"X3532",0.584547135127127
"X3541",0.164721716624812
"X3548",0.0970620156049841
"X3584",0.657139697076383
"X3586",0.601131165390262
"X3595",0.0502112833027209
"X3596",0.0130732114691962
"X3599",0.771822178186033
"X3619",0.812844671187989
"X3625",0.0970620156049841
"X3632",1.28310624141307e-07
"X3647",0.0098575365594575
"X3649",0.638402088858114
"X3667",0.248507435908513
"X3673",1.28310624141307e-07
"X3678",0.129189344176175
"X3679",2.41525880736577e-07
"X3680",0.748467048182825
"X3693",0.446090692819487
"X3712",0.752044799089571
"X3715",1.28310624141307e-07
"X3720",0.0712198744619996
"X3746",0.881783020824337
"X3765",0.438722681959682
"X3775",1.28310624141307e-07
"X3799",0.866111671489163
"X3803",1.28310624141307e-07
"X3813",0.308233213277276
"X3815",0.881783020824337
"X3830",0.945843165599162
"X3831",0.914063973575842
"X3846",0.567167817156043
"X3860",0.914063973575842
"X3874",0.895503952853123
"X3878",0.192938696177971
"X3887",0.813451695074039
"X3892",0.279006295732455
"X3897",0.378280916716378
"X3900",3.95820778657991e-10
"X3907",0.0970620156049841
"X3917",0.511106227164497
"X3921",0.914063973575842
"X3924",0.914063973575842
"X3928",0.748467048182825
"X3929",0.176970611927223
"X3947",0.728134261810418
"X3948",0.914063973575842
"X4003",0.0743912874747369
"X4005",0.812488472932302
"X4015",0.365905518974494
"X4036",0.511106227164497
"X4041",0.567167817156043
"X4051",0.309977670732992
"X4075",0.881783020824337
