"","V1"
"X95",0.00192277939592658
"X105",0.818409310258342
"X106",0.489663230099079
"X140",4.61960956165489e-05
"X174",0.000710293382745281
"X176",0.00240126075136915
"X196",0.711840582751129
"X199",2.43239327928299e-09
"X212",0.271237951232372
"X241",0.399132020761737
"X264",5.60426801624252e-05
"X265",0.106818819879916
"X267",0.0698071472027652
"X279",0.0495295402287144
"X285",0.00650976291872056
"X286",0.734210155156901
"X289",0.489663230099079
"X324",8.6963679883133e-07
"X329",0.122741462914224
"X330",0.432646853524981
"X344",0.0528820172364596
"X365",0.0373795398127396
"X417",0.416475344013324
"X436",0.000387528412608658
"X448",0.256729591472276
"X463",4.90243934715434e-06
"X465",8.71517850136447e-06
"X471",0.95586338085772
"X477",0.285020824823568
"X484",0.00805504250680877
"X493",1.85742903931997e-05
"X513",0.00530061600598081
"X515",0.878266750597512
"X517",3.46040471070552e-05
"X520",0.711840582751129
"X528",0.0585246916839598
"X533",0.00307066427983041
"X535",0.0416566300936358
"X536",1.25226649186393e-09
"X545",0.878266750597512
"X580",0.000822490400333874
"X589",0.548863848808358
"X591",0.381934899822823
"X596",0.798706502614032
"X625",4.11133532849344e-08
"X644",1.06496263134544e-07
"X646",1.28315561207757e-08
"X654",0.58886295409397
"X663",1.09446386768854e-06
"X669",0.711840582751129
"X674",5.60426801624252e-05
"X725",0.0119551669872864
"X788",0.917079311586579
"X792",4.68663676508471e-07
"X796",6.74961009937103e-08
"X813",1.16854607250433e-05
"X814",0.0416566300936358
"X817",0.000454062757193065
"X820",0.00023963491636821
"X829",0.95586338085772
"X831",1.06015727115658e-06
"X862",0.650259078700175
"X867",6.90513067126786e-05
"X868",0.990884473638072
"X869",0.637108651116009
"X884",0.217360192311415
"X886",0.0160652157595738
"X898",6.30394126763497e-06
"X899",0.69069616512304
"X919",0.838591683120077
"X950",0.381934899822823
"X951",0.0100340165405821
"X954",0.205437124359804
"X990",2.15309099710242e-06
"X995",0.132062302413883
"X997",0.000822490400333874
"X1015",0.000394326332693037
"X1016",0.896710147386133
"X1029",0.119735643630086
"X1045",0.16097418416018
"X1050",0.0995861099196215
"X1051",0.694537856110286
"X1055",0.00363327483200994
"X1070",0.896710147386133
"X1072",0.285570444170937
"X1090",0.070994774616499
"X1103",0.884455148119887
"X1114",0.0742298226796702
"X1116",8.02799892918269e-06
"X1128",0.0210976481959359
"X1130",2.25155652494656e-08
"X1134",0.416475344013324
"X1154",0.0100340165405821
"X1159",0.0350301623425137
"X1167",0.896710147386133
"X1186",0.760336113719607
"X1188",0.0634658512670101
"X1212",0.441118719944994
"X1213",0.381934899822823
"X1221",0.00524828713045622
"X1222",0.018539321935901
"X1226",0.0742298226796702
"X1228",0.381934899822823
"X1237",0.015187214985868
"X1256",0.194885740556953
"X1264",0.000822490400333874
"X1268",0.798706502614032
"X1269",1
"X1271",1.99172269543755e-05
"X1284",0.878266750597512
"X1285",0.285020824823568
"X1292",0.896710147386133
"X1298",0.896710147386133
"X1303",0.16097418416018
"X1320",0.878266750597512
"X1325",1.98422907869067e-07
"X1329",0.224731928226785
"X1332",0.0459625688715216
"X1336",0.733802219572358
"X1348",2.04344461704452e-10
"X1349",0.878266750597512
"X1350",1.28315561207757e-08
"X1364",4.99843403279642e-07
"X1380",0.230050724011478
"X1386",0.552554534348265
"X1389",2.47427473073007e-05
"X1410",0.95586338085772
"X1413",0.112011389950369
"X1415",0.217360192311415
"X1425",1.28315561207757e-08
"X1444",0.990884473638072
"X1445",0.262075606172048
"X1453",1
"X1475",0.0625609243185185
"X1484",0.990884473638072
"X1506",0.0383501940780962
"X1510",4.30676288563796e-05
"X1511",0.859205087562007
"X1513",0.172923788920771
"X1514",0.000998569927640431
"X1534",0.026883419303457
"X1557",0.629355329951971
"X1595",0.0061380518363467
"X1601",0.0997525123356875
"X1607",0.00160737155053077
"X1618",1.06496263134544e-07
"X1649",6.68335553399644e-08
"X1658",6.30394126763497e-06
"X1694",0.00785523101337592
"X1696",0.0004561515532092
"X1739",0.0926639002711721
"X1741",0.935938383136424
"X1774",0.00598252014346426
"X1775",0.122741462914224
"X1776",0.917079311586579
"X1785",0.0167885228691271
"X1800",2.10915252357246e-05
"X1812",0.0308899481117297
"X1813",0.399132020761737
"X1832",0.670465473226018
"X1836",0.0073318973320712
"X1837",0.546815874363183
"X1847",4.18769066171939e-07
"X1862",0.629355329951971
"X1868",0.779151907310062
"X1870",5.84514505021108e-07
"X1882",8.02799892918269e-06
"X1892",0.878266750597512
"X1893",0.0651509528637794
"X1896",1.25831511281536e-08
"X1898",0.25187789858027
"X1911",3.35759051826964e-07
"X1921",0.650018000358063
"X1928",0.0111614679158575
"X1942",8.74659678761091e-06
"X1949",0.670465473226018
"X1951",0.838591683120077
"X1952",0.0181194604010489
"X1955",4.68663676508471e-07
"X1957",0.129378392690323
"X1959",0.00217641280938408
"X1960",0.256729591472276
"X1964",3.82765319082739e-06
"X1979",6.89004108691881e-06
"X1991",1.99172269543755e-05
"X2020",0.171404401265786
"X2027",0.608855430027939
"X2028",1.02651204093531e-09
"X2029",0.0046549381817574
"X2035",7.93447529943267e-13
"X2078",0.0167885228691271
"X2079",0.0585246916839598
"X2086",0.547545648654397
"X2094",0.0495295402287144
"X2095",8.02799892918269e-06
"X2104",0.0203280684515955
"X2111",0.00127304460351617
"X2116",0.629355329951971
"X2128",3.75247085468634e-05
"X2133",0.935938383136424
"X2153",0.510739385813994
"X2154",0.111146607379866
"X2164",0.193833777977101
"X2183",0.000454062757193065
"X2190",7.07961133298892e-05
"X2194",0.878266750597512
"X2203",1.06496263134544e-07
"X2205",0.432646853524981
"X2216",0.00127304460351617
"X2222",0.271237951232372
"X2240",1.58823783851759e-07
"X2248",0.132062302413883
"X2249",0.529827887356081
"X2257",0.151228441097007
"X2272",0.285020824823568
"X2273",0.269859024373694
"X2288",0.000233166696563877
"X2291",0.0416566300936358
"X2294",1.28315561207757e-08
"X2304",2.73355383508729e-05
"X2306",0.931744673101503
"X2310",0.432646853524981
"X2322",1.39835671634516e-05
"X2328",0.670465473226018
"X2331",0.69828067649443
"X2332",1.28315561207757e-08
"X2335",0.818409310258342
"X2339",0.349205267274246
"X2351",9.64229683042766e-05
"X2365",1.99172269543755e-05
"X2370",0.0416566300936358
"X2371",3.07005511134285e-10
"X2374",0.568120317485328
"X2383",0.58886295409397
"X2393",0.369259103155628
"X2398",2.03406037369881e-05
"X2403",0.838591683120077
"X2404",4.90243934715434e-06
"X2411",0.416475344013324
"X2420",0.878266750597512
"X2427",0.16097418416018
"X2458",0.285020824823568
"X2470",0.0926639002711721
"X2474",0.00598252014346426
"X2500",0.524588642301796
"X2505",0.255159971451646
"X2510",0.859205087562007
"X2519",0.00116214914345939
"X2520",1.28315561207757e-08
"X2523",0.305009642395126
"X2529",0.015187214985868
"X2532",1.28315561207757e-08
"X2546",0.000170458527850565
"X2547",1.61210763179038e-05
"X2554",1.28315561207757e-08
"X2578",0.012635625760517
"X2586",1.28315561207757e-08
"X2604",0.151228441097007
"X2611",0.207706896327079
"X2616",0.836037500583571
"X2622",1.28315561207757e-08
"X2627",0.538061432102297
"X2646",0.0309567750468599
"X2650",0.0230105251898828
"X2652",0.0421504690658986
"X2654",2.36494144563986e-06
"X2668",0.00110663255882805
"X2670",0.00807821919189057
"X2671",0.711840582751129
"X2704",0.000387528412608658
"X2713",0.00023963491636821
"X2716",1.28315561207757e-08
"X2731",0.00442398989279918
"X2733",0.175774421680653
"X2742",0.00475299933977732
"X2759",0.000722263149941614
"X2763",0.000611298839798803
"X2765",0.0290966648235095
"X2769",0.0245192077917389
"X2777",1.28315561207757e-08
"X2781",0.0074719257496869
"X2785",0.227025772259184
"X2790",0.974198993893132
"X2793",8.6963679883133e-07
"X2813",0.818409310258342
"X2819",0.889142015604328
"X2821",0.859205087562007
"X2831",0.00052517285207626
"X2836",0.308192776152076
"X2844",0.629355329951971
"X2848",0.279925898796435
"X2851",0.193833777977101
"X2852",0.917079311586579
"X2863",0.896710147386133
"X2867",0.0184434998433392
"X2871",0.878266750597512
"X2875",0.990884473638072
"X2882",8.68885173661189e-06
"X2899",0.0516720348201148
"X2903",0.917079311586579
"X2904",0.0137778402103629
"X2907",0.0185276715847706
"X2908",2.23891717493182e-08
"X2910",0.261093933457507
"X2921",0.000816549905911341
"X2927",0.75605548496594
"X2928",0.00578755814176465
"X2937",0.224916904027665
"X2941",0.878266750597512
"X2945",0.155331668413646
"X2948",0.568120317485328
"X2971",1.28315561207757e-08
"X2977",0.246032775036519
"X3009",0.000213403312700522
"X3014",0.670465473226018
"X3015",0.00145719745199765
"X3017",0.0294269182135376
"X3037",2.47427473073007e-05
"X3044",0.00410375242172416
"X3050",4.61960956165489e-05
"X3052",0.114613068442955
"X3055",4.7747633818861e-08
"X3067",0.884602190586216
"X3074",1.28315561207757e-08
"X3089",1.58823783851759e-07
"X3094",0.000334029221191951
"X3096",1.28315561207757e-08
"X3097",0.799825391153143
"X3101",0.032099403441866
"X3106",0.75605548496594
"X3116",0.804787934103279
"X3129",0.277302508841204
"X3130",8.45313787286070e-11
"X3132",0.141403413517536
"X3136",0.00023963491636821
"X3170",1.74409424070018e-11
"X3178",0.798706502614032
"X3184",0.626782772832583
"X3185",2.15309099710242e-06
"X3198",0.525494977984955
"X3222",0.0029940040910598
"X3227",0.281718616218703
"X3232",0.000454062757193065
"X3243",0.00650976291872056
"X3248",0.568120317485328
"X3257",1.28315561207757e-08
"X3259",0.00524828713045622
"X3266",0.00014613606476833
"X3269",0.399132020761737
"X3280",0.120119145846719
"X3294",0.779151907310062
"X3309",2.04344461704452e-10
"X3313",5.60426801624252e-05
"X3349",0.230050724011478
"X3356",0.000774148030777963
"X3364",0.000276646473563627
"X3391",0.0245192077917389
"X3398",1.40978167852051e-07
"X3427",0.856686019948227
"X3430",0.450574216740795
"X3439",0.0294087118856008
"X3442",0.0742298226796702
"X3448",0.315887035159767
"X3472",8.37572996856802e-11
"X3483",0.34469654011492
"X3487",1.18682202609531e-06
"X3494",0.510739385813994
"X3495",0.381934899822823
"X3508",0.0146896676709883
"X3529",0.0995861099196215
"X3533",1.28315561207757e-08
