"","V1"
"X15",0.991242131129863
"X60",0.948812489518752
"X63",0.941813389151723
"X89",0.847352522879091
"X96",0.799574965067182
"X105",1
"X123",0.963636016114767
"X140",0.761579190657281
"X152",0.702542868572956
"X164",0.318455313678607
"X185",0.629790578922732
"X188",0.948812489518752
"X201",0.496663232563231
"X222",0.695529410316571
"X224",0.799574965067182
"X232",0.868848826682201
"X233",0.987600202923799
"X298",0.813503237459825
"X299",0.369130859169883
"X330",0.675212050932027
"X347",0.987600202923799
"X349",0.9975517208745
"X360",0.995516886032373
"X373",0.84991321945905
"X376",0.963636016114767
"X385",0.9975517208745
"X418",0.976258502071707
"X421",0.450245373344624
"X432",0.61183781340644
"X434",0.976258502071707
"X436",0.941813389151723
"X461",0.876321936648548
"X465",0.953138958379265
"X484",0.93259842159195
"X511",0.975528252577587
"X512",0.813503237459825
"X515",0.761579190657281
"X516",0.976258502071707
"X524",0.46040360964654
"X529",0.727016995601885
"X534",0.9975517208745
"X543",0.9975517208745
"X549",0.976258502071707
"X552",0.913910143357948
"X575",0.155942124999596
"X578",0.314744065962146
"X599",0.711088316645373
"X628",0.989373695098243
"X638",0.923313575202966
"X647",0.995516886032373
"X662",0.873953767235483
"X663",0.991242131129863
"X673",0.963636016114767
"X676",0.987600202923799
"X691",0.9975517208745
"X707",0.622456509986909
"X722",0.962266235150765
"X725",0.962266235150765
"X749",0.94744793127896
"X750",0.00725281635259833
"X755",0.976258502071707
"X766",0.716466515911015
"X804",0.641987565831209
"X813",0.811947540951546
"X814",0.473508195649322
"X815",0.975528252577587
"X844",0.649974801217511
"X852",0.953138958379265
"X859",0.975528252577587
"X864",0.983310171557911
"X867",0.983310171557911
"X868",0.975528252577587
"X887",0.702542868572956
"X890",0.36833602080281
"X893",0.171900677152637
"X897",0.953138958379265
"X902",0.860236676816094
"X913",0.9975517208745
"X933",0.677445895199559
"X945",0.102497671285545
"X950",0.839943330259758
"X968",0.799574965067182
"X969",0.781636218294804
"X989",0.895032039141817
"X999",0.895032039141817
"X1000",0.9061553763146
"X1012",0.983310171557911
"X1029",0.93259842159195
"X1041",0.15019937765922
"X1056",0.799574965067182
"X1058",0.727016995601885
"X1059",0.9975517208745
"X1060",0.923313575202966
"X1063",0.450245373344624
"X1073",0.945061642604068
"X1075",0.923313575202966
"X1077",0.901156203841573
"X1079",0.629551973759052
"X1084",1
"X1088",0.995516886032373
"X1101",0.987600202923799
"X1103",0.702542868572956
"X1113",0.913910143357948
"X1117",0.837383448584646
"X1146",0.941813389151723
"X1148",0.675212050932027
"X1151",0.675212050932027
"X1152",0.976258502071707
"X1190",0.895032039141817
"X1201",0.941813389151723
"X1210",0.744977559611017
"X1216",0.60738872453276
"X1236",0.781636218294804
"X1247",0.895032039141817
"X1256",0.963636016114767
"X1267",0.57402964524768
"X1268",0.962266235150765
"X1278",0.975528252577587
"X1279",0.976258502071707
"X1294",0.953138958379265
"X1295",0.998940393947872
"X1299",0.9975517208745
"X1300",0.67670955316005
"X1301",0.948812489518752
"X1302",0.963636016114767
"X1303",0.985917760212979
"X1311",0.971650766727993
"X1314",0.9975517208745
"X1330",0.976258502071707
"X1332",0.9975517208745
"X1338",0.910055210930028
"X1339",0.989855882417049
"X1356",0.712739142490845
"X1377",0.702542868572956
"X1393",0.702542868572956
"X1415",0.622456509986909
"X1424",0.36833602080281
"X1429",0.948812489518752
"X1458",0.702542868572956
"X1465",0.989373695098243
"X1488",0.9061553763146
"X1489",0.953138958379265
"X1491",0.991242131129863
"X1492",0.971650766727993
"X1499",0.941813389151723
"X1552",0.976258502071707
"X1558",0.9061553763146
"X1564",0.970533096692421
"X1583",0.702542868572956
"X1584",0.9975517208745
"X1586",0.854125821361545
"X1591",0.873953767235483
"X1595",0.983310171557911
"X1596",0.854125821361545
"X1626",0.404448589413515
"X1627",0.948812489518752
