"","V1"
"X15",0.127479002830102
"X60",0.507496407950291
"X63",0.560896259254069
"X89",0.601472157424665
"X96",0.823908585503011
"X105",0.0606320777013204
"X123",0.670504074367536
"X140",0.00843496629834654
"X152",0.991059213858461
"X164",9.61386640142615e-07
"X185",0.366271464162081
"X188",0.738532719089128
"X201",0.18900976124009
"X222",0.298253718228214
"X224",0.00854486231764464
"X232",0.967790506148449
"X233",0.029566986146478
"X298",1.90745901651052e-06
"X299",0.940571541862938
"X330",0.485348901265167
"X347",0.0210740946897739
"X349",0.200843204912166
"X360",0.686672457402468
"X373",0.712417542419672
"X376",0.000214798338679908
"X385",0.38838139014617
"X418",0.0180570609671822
"X421",5.09329305357811e-07
"X432",0.356004918479856
"X434",3.25621162847846e-07
"X436",0.834727725503209
"X461",0.991059213858461
"X465",0.238163155064421
"X484",0.103369158684621
"X511",0.9205585367567
"X512",0.979925558887663
"X515",1.04059631676107e-05
"X516",0.438313164033106
"X524",0.0417980643978791
"X529",0.0241389484484656
"X534",0.772268738082716
"X543",3.25621162847846e-07
"X549",0.559723533093916
"X552",0.0132330731882256
"X575",0.212601750253961
"X578",0.967790506148449
"X599",0.354191651968317
"X628",0.00228739731485245
"X638",0.369930469457108
"X647",0.942701932168483
"X662",0.740686300145935
"X663",0.853246312805106
"X673",0.00522332954347572
"X676",0.512103622082027
"X691",0.823908585503011
"X707",0.729775774101285
"X722",0.887636749460384
"X725",0.0118719791068648
"X749",0.200843204912166
"X750",0.853246312805106
"X755",0.67821078026679
"X766",0.601472157424665
"X804",0.553527303539893
"X813",0.887636749460384
"X814",0.36314571418834
"X815",0.270485341523223
"X844",0.420363210221703
"X852",0.0146314872306999
"X859",0.430571996312683
"X864",0.157954119839659
"X867",0.9205585367567
"X868",0.785607271520257
"X887",0.507496407950291
"X890",0.991059213858461
"X893",0.357850720438769
"X897",0.460320240746252
"X902",0.616169081318235
"X913",0.0267352989761739
"X933",0.0667897095098965
"X945",0.38838139014617
"X950",0.230486393020682
"X968",0.34172424639972
"X969",0.34172424639972
"X989",0.0146314872306999
"X999",0.878786983646142
"X1000",5.93095030446414e-05
"X1012",0.0255568878940096
"X1029",0.5499977313609
"X1041",0.27860651780824
"X1056",0.0332276415948241
"X1058",0.0417980643978791
"X1059",0.000396231990107654
"X1060",0.0106740360617875
"X1063",0.0693185554843089
"X1073",6.22112117048759e-08
"X1075",0.0229664446251609
"X1077",0.000100440189618377
"X1079",0.7563162460238
"X1084",0.0873251649836995
"X1088",0.0222605212928183
"X1101",0.210448219194371
"X1103",0.834727725503209
"X1113",0.310597979128879
"X1117",0.0635196380251319
"X1146",6.93790252273942e-07
"X1148",0.0493208220883848
"X1151",0.598773241115268
"X1152",0.740686300145935
"X1190",0.00093584727130301
"X1201",0.953046029119729
"X1210",0.125053719534221
"X1216",0.219317604893504
"X1236",0.628320542317906
"X1247",0.609557471824692
"X1256",0.507496407950291
"X1267",0.653987802748149
"X1268",0.065517724530748
"X1278",0.470478426559765
"X1279",0.9205585367567
"X1294",0.507496407950291
"X1295",0.00469170444465013
"X1299",0.116946850219383
"X1300",0.911944069949155
"X1301",0.720421830312509
"X1302",0.834727725503209
"X1303",0.905583237129634
"X1311",0.896477028042111
"X1314",0.616169081318235
"X1330",0.0693185554843089
"X1332",0.834727725503209
"X1338",0.743498608043249
"X1339",6.22112117048759e-08
"X1356",0.00179188286170948
"X1377",0.686672457402468
"X1393",0.887636749460384
"X1415",0.158105101002401
"X1424",0.967790506148449
"X1429",0.785607271520257
"X1458",2.23243920868147e-05
"X1465",0.0217626256838599
"X1488",0.138504369778262
"X1489",0.834727725503209
"X1491",0.616169081318235
"X1492",0.953046029119729
"X1499",0.0843438532378108
"X1552",0.280744993304772
"X1558",0.853246312805106
"X1564",0.210870317825178
"X1583",0.785607271520257
"X1584",0.886614652949712
"X1586",0.103369158684621
"X1591",0.989772456812051
"X1595",0.653987802748149
"X1596",1.30518618725721e-05
"X1626",0.0322017797420918
"X1627",0.543605649476981
"X1639",0.0132330731882256
"X1648",0.299559845238356
"X1657",0.746137904282026
"X1659",0.905583237129634
"X1666",0.0267352989761739
"X1672",0.403800272629202
"X1678",0.029566986146478
"X1694",0.0843438532378108
"X1701",0.230993128934221
"X1706",0.241199668303131
"X1711",0.978110817132381
"X1715",0.623800912106681
"X1724",0.230486393020682
"X1737",0.834727725503209
"X1743",0.310597979128879
"X1748",0.00307843697774528
"X1749",9.88060421195089e-07
"X1752",0.776075658743946
"X1755",0.443484970030571
"X1758",1.43434265172775e-06
"X1759",0.0740855929220582
"X1760",3.23342772836093e-05
"X1761",0.065517724530748
"X1762",0.219317604893504
"X1766",0.871071617766655
"X1776",0.109890549704402
"X1788",0.967790506148449
"X1791",0.0118719791068648
"X1797",0.0180570609671822
"X1810",0.80213183110618
"X1820",0.453382514872764
"X1835",0.10725313397667
"X1838",0.797634944184753
"X1862",0.294908590454816
"X1867",0.0347640675098586
"X1868",0.967790506148449
"X1876",0.785607271520257
"X1885",0.0867777276310284
"X1888",0.979925558887663
"X1889",0.0147184484500741
"X1892",0.772268738082716
"X1895",6.22112117048759e-08
"X1900",0.553864787900994
"X1904",0.18900976124009
"X1909",0.229066755221001
"X1911",0.635503848090301
"X1915",0.635503848090301
"X1921",0.295429264765859
"X1929",0.0328874137644701
"X1933",0.000173167957330638
"X1948",0.9205585367567
"X1949",0.0575505356388194
"X1951",0.130961299473551
"X1955",0.0635196380251319
"X1956",1.60135980789703e-06
"X1959",0.635503848090301
"X1960",0.543605649476981
"X1973",0.740686300145935
"X1983",0.420363210221703
"X1987",0.38838139014617
"X1989",0.324654281848548
"X1992",0.670504074367536
"X1993",0.0935466861911458
"X2006",0.12456792468746
"X2007",0.438313164033106
"X2024",0.785607271520257
"X2026",0.975001923772999
"X2031",0.0859527730006381
"X2032",0.2936320649313
"X2037",0.000371407502686326
"X2042",0.18232141416419
"X2052",0.470478426559765
"X2054",0.281475974883809
"X2060",0.327055202696344
"X2069",0.200843204912166
"X2083",0.470478426559765
"X2086",0.537274583610747
"X2126",0.000132136613661157
"X2131",0.000679558371707969
"X2148",0.0761233652455297
"X2153",0.876963856436873
"X2176",0.003539726017833
"X2180",0.632906088384939
"X2196",0.616169081318235
"X2200",0.756559641060233
"X2205",0.771720525264672
"X2209",1
"X2212",0.670504074367536
"X2222",2.24962850826934e-08
"X2226",0.393322368690169
"X2232",0.000679558371707969
"X2238",0.940244214666854
"X2252",4.22979630971439e-10
"X2253",0.557177225055138
"X2258",0.232905777016089
"X2259",2.59946226150917e-05
"X2280",0.00130912493471263
"X2289",1.4133068581421e-06
"X2291",0.00015824101980121
"X2298",0.871071617766655
"X2299",0.369647386219087
"X2309",0.221420355495023
"X2312",0.219317604893504
"X2313",0.9205585367567
"X2316",0.969497960673939
