"","V1"
"X15",0.00219878417918118
"X60",0.878662474507894
"X63",0.361231025804508
"X89",0.0759609267934488
"X96",0.870011274957444
"X105",0.161908788524894
"X123",0.209173268727414
"X140",8.34252348962386e-05
"X152",0.478702060510671
"X164",0.11137555713284
"X185",0.0383907070193073
"X188",0.427198541433527
"X201",0.00231921500408843
"X222",0.993733420014128
"X224",0.0172363701635325
"X232",0.706415093554781
"X233",0.882337425583009
"X298",0.270485341523223
"X299",0.00352556488663685
"X330",0.725950667492764
"X347",0.822329208022813
"X349",2.22876834545261e-07
"X360",0.785607271520257
"X373",0.870011274957444
"X376",0.460798185064726
"X385",0.804018942524043
"X418",0.882337425583009
"X421",0.152775313478145
"X432",0.0881461989668909
"X434",0.0318108093476133
"X436",0.478702060510671
"X461",0.265425831921388
"X465",0.143930278440753
"X484",0.152775313478145
"X511",0.511076629523133
"X512",0.68516549516969
"X515",0.00967881606831105
"X516",0.993733420014128
"X524",0.0971819932159684
"X529",0.360628969683747
"X534",0.59320344238073
"X543",0.258286326777575
"X549",0.721992899473202
"X552",0.993733420014128
"X575",0.678027036162212
"X578",0.0230580078659659
"X599",0.0647233485178059
"X628",8.10913251781298e-10
"X638",0.270485341523223
"X647",0.57780140855994
"X662",0.85588957895382
"X663",0.785607271520257
"X673",0.563455023314542
"X676",0.239753623512479
"X691",0.118876666229604
"X707",0.416831187417093
"X722",0.68516549516969
"X725",0.0351203877769827
"X749",0.474601089808966
"X750",0.191869606320751
"X755",0.771232830989379
"X766",0.963949179727198
"X804",0.563455023314542
"X813",0.478788611122535
"X814",0.103645657009677
"X815",0.118876666229604
"X844",0.127188285562763
"X852",0.444390046920829
"X859",0.494067022932576
"X864",0.626272523079815
"X867",0.000100404229850792
"X868",0.0221632001420884
"X887",0.882337425583009
"X890",0.0191897927617039
"X893",0.224742272341633
"X897",0.460798185064726
"X902",0.890497897297399
"X913",0.201111353383344
"X933",3.11864477413048e-05
"X945",5.49177583736383e-05
"X950",0.0116339102651772
"X968",0.785607271520257
"X969",0.000151013272755608
"X989",3.49938065839927e-08
"X999",0.506222206570255
"X1000",0.182818320677536
"X1012",1
"X1029",0.830766470468419
"X1041",0.666639450998943
"X1056",0.17629326918607
"X1058",0.361231025804508
"X1059",6.33850081521379e-08
"X1060",0.898112520465915
"X1063",0.224742272341633
"X1073",0.000100404229850792
"X1075",0.0140662421895034
"X1077",0.00124795876941094
"X1079",0.993733420014128
"X1084",0.00194534972477213
"X1088",0.0502880263337622
"X1101",0.0128346379216666
"X1103",0.0971819932159684
"X1113",0.00895087825833371
"X1117",0.0626914422961364
"X1146",0.00191917508685824
"X1148",0.563455023314542
"X1151",0.574336190541572
"X1152",0.870011274957444
"X1190",0.0570157658727573
"X1201",0.668060716484411
"X1210",0.494067022932576
"X1216",0.118876666229604
"X1236",0.993733420014128
"X1247",0.0133233725764673
"X1256",0.258286326777575
"X1267",0.427198541433527
"X1268",0.200067040815646
"X1278",0.59320344238073
"X1279",0.993733420014128
"X1294",0.626272523079815
"X1295",0.0085286438681373
"X1299",0.57780140855994
"X1300",0.0788211148507833
"X1301",0.672885152224061
"X1302",0.914195067454467
"X1303",0.172706324866011
"X1311",0.993106393400752
"X1314",0.460798185064726
"X1330",0.188406446815044
"X1332",0.308544233025493
"X1338",0.489714243938822
"X1339",0.00398940569051597
"X1356",0.68516549516969
"X1377",0.000330358001826578
"X1393",0.68516549516969
"X1415",0.00457070596400699
"X1424",0.00574524236052054
"X1429",0.785607271520257
"X1458",0.11137555713284
"X1465",3.49938065839927e-08
"X1488",3.49938065839927e-08
"X1489",0.408578974080435
"X1491",0.839984197326277
"X1492",0.993733420014128
"X1499",0.201111353383344
"X1552",0.236270242280925
"X1558",0.460798185064726
"X1564",0.244000802524318
"X1583",0.882337425583009
"X1584",0.00138743474210596
"X1586",0.0662348746925522
"X1591",0.771232830989379
"X1595",0.839984197326277
"X1596",3.49938065839927e-08
"X1626",0.0971819932159684
"X1627",0.721992899473202
"X1639",0.668060716484411
"X1648",0.0180142718963712
"X1657",0.0971819932159684
"X1659",0.839984197326277
"X1666",0.00457070596400699
"X1672",0.499171684038801
"X1678",1.19978765430832e-07
"X1694",0.0921589520912056
"X1701",9.70638254569036e-05
"X1706",0.100194039038515
"X1711",0.0106464529553994
"X1715",0.882337425583009
"X1724",0.224742272341633
"X1737",0.0326844764299141
"X1743",0.258286326777575
"X1748",0.00972288433350941
"X1749",0.70483222634426
"X1752",0.963941378215291
"X1755",0.533643059106154
"X1758",0.045869112230916
"X1759",0.211820111105678
"X1760",0.127188285562763
"X1761",0.494067022932576
"X1762",0.530141097623379
"X1766",0.75470388513307
"X1776",0.427198541433527
"X1788",0.286007394530868
"X1791",0.103645657009677
"X1797",0.107526830283974
"X1810",0.993733420014128
"X1820",0.804018942524043
"X1835",0.256583554563492
"X1838",0.345568589143118
"X1862",0.0662276909001481
"X1867",0.0281163730613058
"X1868",0.00298153997775897
"X1876",0.0116339102651772
"X1885",2.52998648303114e-08
"X1888",0.331373705982669
"X1889",0.0151341992839702
"X1892",0.0971819932159684
"X1895",0.0150989488084131
"X1900",0.951534317779564
"X1904",0.494067022932576
"X1909",0.0960470491117729
"X1911",0.0166717531806981
"X1915",0.478702060510671
"X1921",0.0759609267934488
"X1929",0.882337425583009
"X1933",3.49938065839927e-08
"X1948",0.544875315054822
"X1949",0.839984197326277
"X1951",0.0101449294566867
"X1955",0.0629883325073315
"X1956",0.0128346379216666
"X1959",0.822329208022813
"X1960",0.191869606320751
"X1973",0.010669753374524
"X1983",0.270485341523223
"X1987",0.89812549282386
"X1989",8.03242452666417e-06
"X1992",0.00322228713775495
"X1993",0.314606477714056
"X2006",0.00581416329413714
"X2007",0.010669753374524
"X2024",0.503914161072376
"X2026",0.245050734464175
"X2031",4.21735335104501e-08
"X2032",0.0971819932159684
"X2037",0.895305717500295
"X2042",0.803550025954859
"X2052",0.737450126624468
"X2054",0.258286326777575
"X2060",0.0215413188254024
"X2069",0.609920876905492
"X2083",0.672885152224061
"X2086",0.702722110677315
"X2126",3.49938065839927e-08
"X2131",0.0424320225596368
"X2148",0.496407692794714
"X2153",0.622310812143497
"X2176",2.910267531907e-05
"X2180",0.573106862918128
"X2196",0.0604767066455802
"X2200",0.870011274957444
"X2205",0.424634476693993
"X2209",0.345568589143118
"X2212",0.201111353383344
"X2222",0.0399185571691636
"X2226",0.00219878417918118
"X2232",0.57780140855994
"X2238",0.120955792198574
"X2252",0.0826665434088231
"X2253",0.89812549282386
"X2258",0.000631171044446532
"X2259",0.804018942524043
"X2280",0.0140662421895034
"X2289",5.49177583736383e-05
"X2291",0.00143776726933757
"X2298",0.647724250527606
"X2299",0.614136811826294
"X2309",0.202718302169923
"X2312",0.286007394530868
"X2313",0.888815417725719
"X2316",0.804018942524043
"X2317",0.177654779069046
"X2318",0.000944871470306715
"X2322",0.427198541433527
"X2339",0.427198541433527
"X2370",0.571370411490501
"X2378",0.946584700108748
"X2379",0.37598869618312
"X2392",0.161908788524894
"X2393",0.00191917508685824
"X2395",0.00142295204297228
"X2399",0.00105300397974074
"X2418",3.49938065839927e-08
"X2419",0.127188285562763
"X2453",9.82070754703963e-07
"X2460",0.184653015602821
"X2462",0.191869606320751
"X2467",0.623075673181283
"X2469",0.236270242280925
"X2471",0.0971819932159684
"X2472",1
"X2487",0.494067022932576
"X2497",0.647566472358628
"X2502",0.903403875800505
"X2504",3.49938065839927e-08
"X2511",0.882337425583009
"X2515",0.771232830989379
"X2534",0.180663254280225
"X2540",0.000399355406615931
"X2548",1
"X2555",0.668060716484411
"X2558",0.558610170687977
"X2562",0.901525912486643
"X2584",0.0235979934840719
"X2586",0.275669034026895
"X2587",0.361231025804508
"X2589",0.865997492435389
"X2607",0.285629865763905
"X2612",0.129576071120127
"X2616",0.0114769480187284
"X2621",0.0528171235781913
"X2625",0.426151611377627
"X2656",0.57780140855994
"X2661",3.49938065839927e-08
"X2675",0.0383907070193073
"X2696",8.03242452666417e-06
"X2699",0.11137555713284
"X2700",0.918637643040419
"X2701",0.0278391370042284
"X2705",0.0786796182540817
"X2716",0.993733420014128
"X2717",0.965383645359062
"X2740",0.00754211119182915
"X2746",0.763314099606569
"X2747",0.809836857144697
"X2754",0.000330358001826578
"X2767",0.000149044278266348
"X2768",0.963949179727198
"X2774",0.59320344238073
"X2775",0.172706324866011
"X2804",0.465523140189275
"X2810",0.600987586105723
"X2829",0.361231025804508
"X2833",0.0318108093476133
"X2836",0.574592494891514
"X2864",0.609920876905492
"X2872",3.49938065839927e-08
"X2876",0.361231025804508
"X2878",0.857619012921743
"X2880",0.738625976640662
"X2881",0.634541085421
"X2890",0.103645657009677
"X2906",0.0455379643564372
"X2923",0.688630488083783
"X2931",0.0463997711218745
"X2940",0.000625141868310939
"X2949",0.530141097623379
"X2950",0.0235979934840719
