"","V1"
"X95",0.000248920148963546
"X105",0.727653724205046
"X106",0.219077502283526
"X140",0.000439919960489407
"X174",0.269285233738423
"X176",6.34649478151807e-05
"X196",0.78853246162826
"X199",2.13272882897667e-09
"X212",0.522336066820962
"X241",0.0566687635897736
"X264",4.00107066296204e-06
"X265",0.054875650175232
"X267",0.00165045619385898
"X279",0.419742666667221
"X285",0.0158907683783563
"X286",0.505460427186425
"X289",0.198924302804038
"X324",2.36130547460452e-07
"X329",0.0740161178556057
"X330",0.505460427186425
"X344",0.0992058749310695
"X365",0.569043654572313
"X417",0.505460427186425
"X436",3.46751280605978e-06
"X448",0.103268629847106
"X463",1.71325428508302e-07
"X465",2.86069300767907e-06
"X471",0.955394826939298
"X477",0.244297411534851
"X484",0.00746409670319052
"X493",2.12906580287134e-05
"X513",0.001555039275043
"X515",0.955394826939298
"X517",9.22612469446127e-06
"X520",0.447941880605059
"X528",0.416393168739778
"X533",7.86884919207466e-05
"X535",0.188841472012472
"X536",1.16387742634129e-09
"X545",0.809529252692939
"X580",6.86415446129436e-05
"X589",1
"X591",0.93867709275642
"X596",0.498027762523877
"X625",3.47945901719738e-05
"X644",1.60696388010285e-06
"X646",3.40387060392958e-09
"X654",0.310213895965365
"X663",1.62310062968485e-08
"X669",0.385940874125013
"X674",2.35122723329071e-05
"X725",0.092619215293043
"X788",0.866774855157046
"X792",5.59141604675107e-09
"X796",8.34873692120443e-08
"X813",1.33135004810141e-05
"X814",0.117194356085976
"X817",0.000132694664118887
"X820",3.3559874161997e-05
"X829",0.727653724205046
"X831",1.06700997706046e-06
"X862",0.941390722843213
"X867",0.000278613837130869
"X868",0.558101004531785
"X869",0.416003186288374
"X884",0.116913543036604
"X886",0.00239065538145907
"X898",5.51328825455704e-07
"X899",0.529447839569606
"X919",0.769479308382709
"X950",0.78853246162826
"X951",0.120105789137299
"X954",0.43684558551958
"X990",3.11776262410753e-07
"X995",0.00471089438869022
"X997",0.000381775743658431
"X1015",0.0324748765648368
"X1016",0.212037245786137
"X1029",0.385940874125013
"X1045",0.63835999213165
"X1050",0.103268629847106
"X1051",0.881074790221143
"X1055",0.00210395837780404
"X1070",0.160655557240792
"X1072",0.355181214867621
"X1090",0.000893101870965488
"X1103",0.881558598761278
"X1114",0.0343483785229914
"X1116",2.56948102022456e-06
"X1128",0.462594162798325
"X1130",5.51328825455704e-07
"X1134",0.461190613573278
"X1154",0.0158907683783563
"X1159",0.0905765938785471
"X1167",0.944918263812504
"X1186",0.886948555481884
"X1188",0.305192767380267
"X1212",0.123549468251541
"X1213",0.487963719957074
"X1221",0.00100415742621088
"X1222",0.000173282864642476
"X1226",0.0847653375114602
"X1228",0.117194356085976
"X1237",0.0058828505216115
"X1256",0.014537260110746
"X1264",0.000381775743658431
"X1268",0.652410389203655
"X1269",0.955394826939298
"X1271",3.95562943732922e-08
"X1284",0.748850307144875
"X1285",0.652410389203655
"X1292",0.708672990514441
"X1298",0.385940874125013
"X1303",0.324651796601748
"X1320",0.269774928883415
"X1325",5.33653308326782e-06
"X1329",0.892904328331096
"X1332",0.233399455552652
"X1336",0.988428621038367
"X1348",1.83079710378023e-08
"X1349",0.487963719957074
"X1350",1.62310062968485e-08
"X1364",1.33135004810141e-05
"X1380",0.385940874125013
"X1386",0.706290047852373
"X1389",0.000330203637987951
"X1410",0.453770658155086
"X1413",0.0424981981442033
"X1415",0.53106226584624
"X1425",3.40387060392958e-09
"X1444",0.881558598761278
"X1445",0.220609384566916
"X1453",0.596377222168662
"X1475",0.0845280311974254
"X1484",0.809529252692939
"X1506",0.0436158413791506
"X1510",5.14461871002525e-07
"X1511",0.78853246162826
"X1513",0.0426744486769002
"X1514",0.000933124678466244
"X1534",0.00186501736479837
"X1557",0.584082203264396
"X1595",1.71325428508302e-07
"X1601",0.0436158413791506
"X1607",9.37384454896506e-07
"X1618",5.96645004988682e-08
"X1649",2.57499423205641e-08
"X1658",3.52121492714639e-06
"X1694",0.000157430066172961
"X1696",8.75871114876259e-05
"X1739",0.0403887729014746
"X1741",0.988428621038367
"X1774",9.50590230174049e-06
"X1775",0.296900474811716
"X1776",0.397142407939197
"X1785",0.000507777193600321
"X1800",1.16172591702064e-05
"X1812",0.159066762745279
"X1813",0.769479308382709
"X1832",0.337127860718556
"X1836",0.000904440573262653
"X1837",0.927131212453546
"X1847",2.49035594679815e-05
"X1862",0.78853246162826
"X1868",0.0905765938785471
"X1870",1.62310062968485e-08
"X1882",0.0318634922005051
"X1892",0.596377222168662
"X1893",0.285954981936422
"X1896",3.74646540913562e-09
"X1898",0.652410389203655
"X1911",3.39326302684734e-07
