"","AUC"
"X95",0.815972222222222
"X105",0.534722222222222
"X106",0.590277777777778
"X140",0.909722222222222
"X174",0.868055555555556
"X176",0.829861111111111
"X196",0.552083333333333
"X199",1
"X212",0.635416666666667
"X241",0.621527777777778
"X264",0.90625
"X265",0.6875
"X267",0.690972222222222
"X279",0.722222222222222
"X285",0.795138888888889
"X286",0.513888888888889
"X289",0.590277777777778
"X324",0.965277777777778
"X329",0.680555555555556
"X330",0.600694444444444
"X344",0.736111111111111
"X365",0.71875
"X417",0.604166666666667
"X436",0.871527777777778
"X448",0.638888888888889
"X463",0.944444444444444
"X465",0.9375
"X471",0.510416666666667
"X477",0.631944444444444
"X484",0.784722222222222
"X493",0.916666666666667
"X513",0.805555555555556
"X515",0.524305555555556
"X517",0.930555555555556
"X520",0.548611111111111
"X528",0.715277777777778
"X533",0.8125
"X535",0.729166666666667
"X536",1
"X545",0.524305555555556
"X580",0.850694444444444
"X589",0.579861111111111
"X591",0.611111111111111
"X596",0.559027777777778
"X625",0.993055555555556
"X644",0.986111111111111
"X646",1
"X654",0.572916666666667
"X663",0.996527777777778
"X669",0.552083333333333
"X674",0.90625
"X725",0.763888888888889
"X788",0.506944444444444
"X792",0.972222222222222
"X796",1
"X813",0.913194444444444
"X814",0.729166666666667
"X817",0.864583333333333
"X820",0.878472222222222
"X829",0.510416666666667
"X831",0.965277777777778
"X862",0.538194444444444
"X867",0.90625
"X868",0.503472222222222
"X869",0.583333333333333
"X884",0.649305555555556
"X886",0.760416666666667
"X898",0.940972222222222
"X899",0.552083333333333
"X919",0.53125
"X950",0.611111111111111
"X951",0.78125
"X954",0.652777777777778
"X990",0.954861111111111
"X995",0.677083333333333
"X997",0.850694444444444
"X1015",0.885416666666667
"X1016",0.520833333333333
"X1029",0.677083333333333
"X1045",0.642361111111111
"X1050",0.690972222222222
"X1051",0.538194444444444
"X1055",0.8125
"X1070",0.520833333333333
"X1072",0.628472222222222
"X1090",0.704861111111111
"X1103",0.527777777777778
"X1114",0.704861111111111
"X1116",0.9375
"X1128",0.763888888888889
"X1130",0.996527777777778
"X1134",0.604166666666667
"X1154",0.78125
"X1159",0.711805555555556
"X1167",0.534722222222222
"X1186",0.53125
"X1188",0.711805555555556
"X1212",0.59375
"X1213",0.611111111111111
"X1221",0.802083333333333
"X1222",0.743055555555556
"X1226",0.704861111111111
"X1228",0.611111111111111
"X1237",0.767361111111111
"X1256",0.6875
"X1264",0.850694444444444
"X1268",0.538194444444444
"X1269",0.5
"X1271",0.923611111111111
"X1284",0.524305555555556
"X1285",0.631944444444444
"X1292",0.520833333333333
"X1298",0.520833333333333
"X1303",0.666666666666667
"X1320",0.524305555555556
"X1325",0.982638888888889
"X1329",0.652777777777778
"X1332",0.71875
"X1336",0.548611111111111
"X1348",1
"X1349",0.524305555555556
"X1350",1
"X1364",1
"X1380",0.645833333333333
"X1386",0.583333333333333
"X1389",0.920138888888889
"X1410",0.510416666666667
"X1413",0.677083333333333
"X1415",0.638888888888889
"X1425",1
"X1444",0.503472222222222
"X1445",0.604166666666667
"X1453",0.5
"X1475",0.6875
"X1484",0.503472222222222
"X1506",0.732638888888889
"X1510",0.881944444444444
"X1511",0.527777777777778
"X1513",0.673611111111111
"X1514",0.829861111111111
"X1534",0.746527777777778
"X1557",0.5625
"X1595",0.791666666666667
"X1601",0.684027777777778
"X1607",0.833333333333333
"X1618",0.986111111111111
"X1649",0.989583333333333
"X1658",0.940972222222222
"X1694",0.784722222222222
"X1696",0.888888888888889
"X1739",0.694444444444444
"X1741",0.513888888888889
"X1774",0.784722222222222
"X1775",0.684027777777778
"X1776",0.517361111111111
"X1785",0.763888888888889
"X1800",0.9375
"X1812",0.736111111111111
"X1813",0.607638888888889
"X1832",0.559027777777778
"X1836",0.798611111111111
"X1837",0.5625
"X1847",0.989583333333333
"X1862",0.565972222222222
"X1868",0.541666666666667
"X1870",0.989583333333333
"X1882",0.9375
"X1892",0.524305555555556
"X1893",0.722222222222222
"X1896",1
"X1898",0.652777777777778
"X1911",0.975694444444444
"X1921",0.5625
"X1928",0.777777777777778
"X1942",0.961805555555556
"X1949",0.527777777777778
"X1951",0.53125
"X1952",0.774305555555556
"X1955",0.972222222222222
"X1957",0.694444444444444
"X1959",0.826388888888889
"X1960",0.638888888888889
"X1964",0.947916666666667
"X1979",1
"X1991",0.923611111111111
"X2020",0.663194444444444
"X2027",0.569444444444444
"X2028",1
"X2029",0.809027777777778
"X2035",1
"X2078",0.763888888888889
"X2079",0.715277777777778
"X2086",0.607638888888889
"X2094",0.722222222222222
"X2095",0.9375
"X2104",0.756944444444444
"X2111",0.840277777777778
"X2116",0.565972222222222
"X2128",0.913194444444444
"X2133",0.513888888888889
"X2153",0.586805555555556
"X2154",0.715277777777778
"X2164",0.65625
"X2183",0.829861111111111
"X2190",0.892361111111111
"X2194",0.524305555555556
"X2203",0.986111111111111
"X2205",0.600694444444444
"X2216",0.840277777777778
"X2222",0.635416666666667
"X2240",0.982638888888889
"X2248",0.677083333333333
"X2249",0.583333333333333
"X2257",0.670138888888889
"X2272",0.631944444444444
"X2273",0.642361111111111
"X2288",0.913194444444444
"X2291",0.729166666666667
"X2294",0.975694444444444
"X2304",0.930555555555556
"X2306",0.527777777777778
"X2310",0.600694444444444
"X2322",0.916666666666667
"X2328",0.559027777777778
"X2331",0.552083333333333
"X2332",1
"X2335",0.534722222222222
"X2339",0.618055555555556
"X2351",0.888888888888889
"X2365",0.923611111111111
"X2370",0.701388888888889
"X2371",1
"X2374",0.576388888888889
"X2383",0.572916666666667
"X2393",0.5625
"X2398",0.916666666666667
"X2403",0.53125
"X2404",0.944444444444444
"X2411",0.604166666666667
"X2420",0.524305555555556
"X2427",0.666666666666667
"X2458",0.631944444444444
"X2470",0.694444444444444
"X2474",0.809027777777778
"X2500",0.59375
"X2505",0.642361111111111
"X2510",0.527777777777778
"X2519",0.815972222222222
"X2520",1
"X2523",0.611111111111111
"X2529",0.767361111111111
"X2532",1
"X2546",0.885416666666667
"X2547",0.927083333333333
"X2554",1
"X2578",0.809027777777778
"X2586",1
"X2604",0.680555555555556
"X2611",0.645833333333333
"X2616",0.559027777777778
"X2622",1
"X2627",0.597222222222222
"X2646",0.729166666666667
"X2650",0.739583333333333
"X2652",0.711805555555556
"X2654",0.961805555555556
"X2668",0.84375
"X2670",0.788194444444444
"X2671",0.552083333333333
"X2704",0.868055555555556
"X2713",0.878472222222222
"X2716",1
"X2731",0.836805555555556
"X2733",0.666666666666667
"X2742",0.795138888888889
"X2759",0.864583333333333
"X2763",0.857638888888889
"X2765",0.71875
"X2769",0.75
"X2777",1
"X2781",0.791666666666667
"X2785",0.690972222222222
"X2790",0.506944444444444
"X2793",0.965277777777778
"X2813",0.534722222222222
"X2819",0.510416666666667
"X2821",0.527777777777778
"X2831",0.861111111111111
"X2836",0.638888888888889
"X2844",0.565972222222222
"X2848",0.65625
"X2851",0.65625
"X2852",0.517361111111111
"X2863",0.520833333333333
"X2867",0.760416666666667
"X2871",0.524305555555556
"X2875",0.503472222222222
"X2882",0.996527777777778
"X2899",0.697916666666667
"X2903",0.538194444444444
"X2904",0.767361111111111
"X2907",0.770833333333333
"X2908",1
"X2910",0.59375
"X2921",0.836805555555556
"X2927",0.545138888888889
"X2928",0.802083333333333
"X2937",0.645833333333333
"X2941",0.524305555555556
"X2945",0.649305555555556
"X2948",0.576388888888889
"X2971",1
"X2977",0.645833333333333
"X3009",0.895833333333333
"X3014",0.559027777777778
"X3015",0.864583333333333
"X3017",0.715277777777778
"X3037",0.920138888888889
"X3044",0.809027777777778
"X3050",0.909722222222222
"X3052",0.684027777777778
"X3055",0.954861111111111
"X3067",0.53125
"X3074",1
"X3089",0.982638888888889
"X3094",0.871527777777778
"X3096",1
"X3097",0.527777777777778
"X3101",0.739583333333333
"X3106",0.545138888888889
"X3116",0.510416666666667
"X3129",0.621527777777778
"X3130",1
"X3132",0.673611111111111
"X3136",0.878472222222222
"X3170",1
"X3178",0.538194444444444
"X3184",0.572916666666667
"X3185",0.954861111111111
"X3198",0.552083333333333
"X3222",0.809027777777778
"X3227",0.645833333333333
"X3232",0.864583333333333
"X3243",0.795138888888889
"X3248",0.576388888888889
"X3257",1
"X3259",0.802083333333333
"X3266",0.888888888888889
"X3269",0.607638888888889
"X3280",0.684027777777778
"X3294",0.541666666666667
"X3309",1
"X3313",0.90625
"X3349",0.645833333333333
"X3356",0.840277777777778
"X3364",0.944444444444444
"X3391",0.75
"X3398",0.961805555555556
"X3427",0.538194444444444
"X3430",0.635416666666667
"X3439",0.743055555555556
"X3442",0.704861111111111
"X3448",0.586805555555556
"X3472",1
"X3483",0.604166666666667
"X3487",0.961805555555556
"X3494",0.586805555555556
"X3495",0.611111111111111
"X3508",0.739583333333333
"X3529",0.690972222222222
"X3533",1
"X3537",0.618055555555556
"X3544",0.940972222222222
"X3547",0.663194444444444
"X3552",0.809027777777778
"X3561",1
"X3580",0.798611111111111
"X3590",0.930555555555556
"X3594",0.763888888888889
"X3614",0.989583333333333
"X3615",0.625
"X3620",0.996527777777778
"X3621",0.895833333333333
"X3680",0.659722222222222
"X3682",0.913194444444444
"X3690",0.513888888888889
"X3697",0.78125
"X3698",0.541666666666667
"X3701",1
"X3725",0.652777777777778
"X3732",0.774305555555556
"X3733",0.559027777777778
"X3749",0.90625
"X3752",0.513888888888889
"X3753",0.746527777777778
"X3757",0.763888888888889
"X3760",1
"X3778",0.784722222222222
"X3780",1
"X3784",0.927083333333333
"X3788",1
"X3791",0.996527777777778
"X3797",0.972222222222222
"X3821",0.885416666666667
"X3838",0.604166666666667
"X3840",1
"X3854",0.916666666666667
"X3865",0.913194444444444
"X3874",0.774305555555556
"X3880",1
"X3881",1
"X3888",0.642361111111111
"X3892",0.878472222222222
"X3894",0.927083333333333
"X3920",0.701388888888889
"X3928",0.590277777777778
"X3947",0.993055555555556
"X3962",0.743055555555556
"X3971",0.916666666666667
"X3982",0.729166666666667
"X3983",0.986111111111111
"X3985",1
"X3987",0.565972222222222
"X3988",0.743055555555556
"X3995",0.5
"X4004",0.520833333333333
"X4036",0.743055555555556
"X4059",0.590277777777778
"X4062",0.965277777777778
"X4063",0.809027777777778
"X4064",0.777777777777778
"X4072",0.84375
"X4074",0.552083333333333
"X4075",0.649305555555556
"X4080",0.649305555555556
"X4084",0.534722222222222
"X4107",0.777777777777778
"X4109",0.760416666666667
"X4110",0.895833333333333
"X4119",1
"X4120",0.888888888888889
"X4142",0.725694444444444
"X4158",0.541666666666667
"X4163",0.576388888888889
"X4168",0.996527777777778
"X4169",0.809027777777778
"X4174",0.8125
"X4184",1
"X4192",0.777777777777778
"X4197",0.715277777777778
"X4203",0.534722222222222
"X4208",0.805555555555556
"X4221",0.506944444444444
"X4233",0.815972222222222
"X4238",0.996527777777778
"X4243",0.847222222222222
"X4246",0.572916666666667
"X4249",0.895833333333333
"X4255",0.534722222222222
"X4262",0.788194444444444
"X4271",0.996527777777778
"X4284",1
"X4298",0.777777777777778
"X4304",0.506944444444444
"X4317",0.996527777777778
"X4318",0.947916666666667
"X4322",0.552083333333333
"X4323",0.569444444444444
"X4326",0.559027777777778
"X4331",0.701388888888889
"X4344",0.565972222222222
"X4354",0.71875
"X4357",0.715277777777778
"X4375",0.961805555555556
"X4377",0.652777777777778
"X4397",1
"X4399",0.958333333333333
"X4415",0.663194444444444
"X4418",0.645833333333333
"X4419",1
"X4420",0.975694444444444
"X4421",0.940972222222222
"X4424",1
"X4458",0.614583333333333
"X4460",0.861111111111111
"X4474",0.895833333333333
"X4475",1
"X4476",0.614583333333333
"X4499",0.902777777777778
"X4503",0.777777777777778
"X4512",0.538194444444444
"X4516",0.944444444444444
"X4517",0.958333333333333
"X4547",0.538194444444444
"X4574",0.548611111111111
"X4585",0.798611111111111
"X4588",0.909722222222222
"X4596",0.541666666666667
"X4600",0.649305555555556
"X4606",0.697916666666667
"X4607",0.805555555555556
"X4612",1
"X4616",0.979166666666667
"X4618",0.993055555555556
"X4619",0.722222222222222
"X4623",0.71875
"X4626",0.791666666666667
"X4632",0.614583333333333
"X4634",0.5625
"X4648",0.795138888888889
"X4654",0.559027777777778
"X4690",0.944444444444444
"X4705",0.541666666666667
"X4712",0.791666666666667
"X4713",0.59375
"X4724",0.986111111111111
"X4725",0.527777777777778
"X4727",0.506944444444444
"X4766",0.770833333333333
"X4782",0.802083333333333
"X4792",0.993055555555556
"X4802",0.59375
"X4814",0.663194444444444
"X4826",0.982638888888889
"X4828",0.638888888888889
"X4831",0.586805555555556
"X4840",0.506944444444444
"X4856",0.947916666666667
"X4858",0.986111111111111
"X4860",0.5625
"X4865",0.864583333333333
"X4871",0.84375
"X4874",0.989583333333333
"X4881",0.684027777777778
"X4884",0.569444444444444
"X4909",0.725694444444444
"X4912",0.75
"X4916",0.881944444444444
"X4921",0.795138888888889
"X4927",0.743055555555556
"X4938",0.552083333333333
"X4944",0.996527777777778
"X4950",0.989583333333333
"X4956",0.697916666666667
"X4969",0.506944444444444
"X4986",0.600694444444444
"X5008",0.982638888888889
"X5017",0.861111111111111
"X5031",0.579861111111111
"X5032",1
"X5048",0.725694444444444
"X5057",0.979166666666667
"X5059",0.565972222222222
"X5083",0.579861111111111
"X5094",0.680555555555556
"X5095",0.732638888888889
"X5097",0.986111111111111
"X5098",0.795138888888889
"X5100",0.552083333333333
"X5104",1
"X5124",1
"X5133",0.784722222222222
"X5141",1
"X5143",0.798611111111111
"X5152",0.579861111111111
"X5197",0.996527777777778
"X5213",1
"X5219",0.614583333333333
"X5221",0.868055555555556
"X5245",0.986111111111111
"X5249",1
"X5253",0.951388888888889
"X5255",1
"X5260",0.520833333333333
"X5273",0.652777777777778
"X5299",1
"X5301",1
"X5304",0.611111111111111
"X5308",0.795138888888889
"X5312",0.75
"X5320",1
"X5359",0.649305555555556
"X5369",0.888888888888889
"X5370",0.965277777777778
"X5371",0.96875
"X5372",0.75
"X5374",1
"X5378",0.888888888888889
"X5384",0.770833333333333
"X5395",0.583333333333333
"X5412",0.625
"X5421",0.565972222222222
"X5427",0.746527777777778
"X5432",0.711805555555556
"X5441",0.729166666666667
"X5451",0.732638888888889
"X5466",0.840277777777778
"X5473",0.607638888888889
"X5475",0.934027777777778
"X5480",0.770833333333333
"X5481",0.982638888888889
"X5482",0.857638888888889
"X5492",0.513888888888889
"X5493",0.979166666666667
"X5496",0.506944444444444
"X5498",0.8125
"X5509",0.503472222222222
"X5518",0.861111111111111
"X5529",1
"X5576",0.725694444444444
"X5578",0.736111111111111
"X5581",0.552083333333333
"X5583",0.541666666666667
"X5585",0.833333333333333
"X5593",0.878472222222222
"X5597",0.590277777777778
"X5600",0.659722222222222
"X5603",1
"X5636",0.809027777777778
"X5641",0.913194444444444
"X5668",0.885416666666667
"X5687",1
"X5693",0.888888888888889
"X5694",0.930555555555556
"X5695",1
"X5714",1
"X5716",0.6875
"X5717",0.736111111111111
"X5722",0.892361111111111
"X5723",0.513888888888889
"X5726",0.666666666666667
"X5727",0.822916666666667
"X5730",1
"X5732",0.565972222222222
"X5741",0.555555555555556
"X5770",0.538194444444444
"X5772",0.993055555555556
"X5783",0.871527777777778
"X5792",0.611111111111111
"X5797",0.850694444444444
"X5800",0.746527777777778
"X5805",1
"X5814",0.71875
"X5835",0.503472222222222
"X5852",1
"X5859",0.96875
"X5862",0.9375
"X5867",0.635416666666667
"X5869",0.510416666666667
"X5882",0.815972222222222
