"","AUC"
"X15",0.50390625
"X60",0.5546875
"X63",0.55078125
"X89",0.61328125
"X96",0.66015625
"X105",0.50390625
"X123",0.58984375
"X140",0.578125
"X152",0.61328125
"X164",0.71484375
"X185",0.6328125
"X188",0.5390625
"X201",0.66796875
"X222",0.67578125
"X224",0.6484375
"X232",0.53515625
"X233",0.52734375
"X298",0.62890625
"X299",0.75390625
"X330",0.6484375
"X347",0.51171875
"X349",0.52734375
"X360",0.5234375
"X373",0.6484375
"X376",0.5859375
"X385",0.5
"X418",0.5
"X421",0.68359375
"X432",0.66796875
"X434",0.515625
"X436",0.5625
"X461",0.59375
"X465",0.53515625
"X484",0.546875
"X511",0.578125
"X512",0.61328125
"X515",0.6171875
"X516",0.57421875
"X524",0.7109375
"X529",0.609375
"X534",0.5234375
"X543",0.515625
"X549",0.51953125
"X552",0.55078125
"X575",0.75
"X578",0.765625
"X599",0.63671875
"X628",0.5390625
"X638",0.578125
"X647",0.5078125
"X662",0.55078125
"X663",0.53125
"X673",0.515625
"X676",0.52734375
"X691",0.5703125
"X707",0.6484375
"X722",0.58984375
"X725",0.56640625
"X749",0.6015625
"X750",0.8828125
"X755",0.52734375
"X766",0.61328125
"X804",0.63671875
"X813",0.62890625
"X814",0.7265625
"X815",0.55859375
"X844",0.66015625
"X852",0.52734375
"X859",0.56640625
"X864",0.52734375
"X867",0.515625
"X868",0.515625
"X887",0.6640625
"X890",0.7109375
"X893",0.7421875
"X897",0.53515625
"X902",0.609375
"X913",0.5546875
"X933",0.65234375
"X945",0.796875
"X950",0.62109375
"X968",0.66796875
"X969",0.6171875
"X989",0.58984375
"X999",0.59765625
"X1000",0.5546875
"X1012",0.5234375
"X1029",0.58984375
"X1041",0.71875
"X1056",0.625
"X1058",0.6328125
"X1059",0.54296875
"X1060",0.57421875
"X1063",0.6875
"X1073",0.56640625
"X1075",0.5390625
"X1077",0.5625
"X1079",0.7265625
"X1084",0.51953125
"X1088",0.515625
"X1101",0.515625
"X1103",0.58203125
"X1113",0.55078125
"X1117",0.6171875
"X1146",0.51953125
"X1148",0.640625
"X1151",0.69140625
"X1152",0.51953125
"X1190",0.5625
"X1201",0.58203125
"X1210",0.61328125
"X1216",0.63671875
"X1236",0.6640625
"X1247",0.57421875
"X1256",0.54296875
"X1267",0.66796875
"X1268",0.61328125
"X1278",0.55859375
"X1279",0.51953125
"X1294",0.52734375
"X1295",0.5078125
"X1299",0.51171875
"X1300",0.62890625
"X1301",0.6015625
"X1302",0.5546875
"X1303",0.51953125
"X1311",0.546875
"X1314",0.51171875
"X1330",0.515625
"X1332",0.515625
"X1338",0.578125
"X1339",0.5234375
"X1356",0.62890625
"X1377",0.6015625
"X1393",0.72265625
"X1415",0.66015625
"X1424",0.7578125
"X1429",0.56640625
"X1458",0.671875
"X1465",0.546875
"X1488",0.546875
"X1489",0.59765625
"X1491",0.51953125
"X1492",0.55859375
"X1499",0.58203125
"X1552",0.515625
"X1558",0.58203125
"X1564",0.5390625
"X1583",0.6171875
"X1584",0.546875
"X1586",0.61328125
"X1591",0.58203125
"X1595",0.52734375
"X1596",0.58984375
"X1626",0.734375
"X1627",0.5703125
"X1639",0.58984375
"X1648",0.57421875
"X1657",0.625
"X1659",0.52734375
"X1666",0.65234375
"X1672",0.53515625
"X1678",0.5625
"X1694",0.69921875
"X1701",0.55078125
"X1706",0.58203125
"X1711",0.59375
"X1715",0.6171875
"X1724",0.5078125
"X1737",0.59375
"X1743",0.55859375
"X1748",0.59765625
"X1749",0.72265625
"X1752",0.52734375
"X1755",0.59765625
"X1758",0.53515625
"X1759",0.6328125
"X1760",0.51953125
"X1761",0.57421875
"X1762",0.62109375
"X1766",0.53515625
"X1776",0.51171875
"X1788",0.52734375
"X1791",0.5234375
"X1797",0.609375
"X1810",0.5390625
"X1820",0.6640625
"X1835",0.5546875
"X1838",0.53515625
"X1862",0.57421875
"X1867",0.5859375
"X1868",0.50390625
"X1876",0.8046875
"X1885",0.53515625
"X1888",0.55078125
"X1889",0.58203125
"X1892",0.6796875
"X1895",0.578125
"X1900",0.5
"X1904",0.546875
"X1909",0.5
"X1911",0.60546875
"X1915",0.5078125
"X1921",0.62109375
"X1929",0.609375
"X1933",0.62890625
"X1948",0.59765625
"X1949",0.515625
"X1951",0.5078125
"X1955",0.5625
"X1956",0.6875
"X1959",0.5546875
"X1960",0.6484375
"X1973",0.7109375
"X1983",0.59765625
"X1987",0.5703125
"X1989",0.53125
"X1992",0.7265625
"X1993",0.65234375
"X2006",0.6875
"X2007",0.51953125
"X2024",0.6015625
"X2026",0.59375
"X2031",0.56640625
"X2032",0.5390625
"X2037",0.61328125
"X2042",0.515625
"X2052",0.53515625
"X2054",0.83984375
"X2060",0.53515625
"X2069",0.80078125
"X2083",0.66015625
"X2086",0.58984375
"X2126",0.5390625
"X2131",0.61328125
"X2148",0.5078125
"X2153",0.5546875
"X2176",0.5
"X2180",0.53125
"X2196",0.53125
"X2200",0.60546875
"X2205",0.5703125
"X2209",0.72265625
"X2212",0.52734375
"X2222",0.5390625
"X2226",0.67578125
"X2232",0.6796875
"X2238",0.6015625
"X2252",0.58203125
"X2253",0.6328125
"X2258",0.70703125
"X2259",0.5234375
"X2280",0.6171875
"X2289",0.95703125
"X2291",0.58203125
"X2298",0.546875
"X2299",0.70703125
"X2309",0.51953125
"X2312",0.5546875
"X2313",0.60546875
"X2316",0.71484375
"X2317",0.52734375
"X2318",0.5
"X2322",0.51953125
"X2339",0.578125
"X2370",0.890625
"X2378",0.5625
"X2379",0.65234375
"X2392",0.57421875
"X2393",0.60546875
"X2395",0.7734375
"X2399",0.6328125
"X2418",0.5859375
"X2419",0.59375
"X2453",0.5234375
"X2460",0.58203125
"X2462",0.609375
"X2467",0.58984375
"X2469",0.64453125
"X2471",0.6328125
"X2472",0.66796875
"X2487",0.578125
"X2497",0.6953125
"X2502",0.5546875
"X2504",0.5078125
"X2511",0.5546875
"X2515",0.59765625
"X2534",0.515625
"X2540",0.62109375
"X2548",0.640625
"X2555",0.59765625
"X2558",0.5625
"X2562",0.640625
"X2584",0.56640625
"X2586",0.671875
"X2587",0.5546875
"X2589",0.546875
"X2607",0.5234375
"X2612",0.65234375
"X2616",0.53515625
"X2621",0.5625
"X2625",0.6796875
"X2656",0.60546875
"X2661",0.59765625
"X2675",0.71484375
"X2696",0.6640625
"X2699",0.61328125
"X2700",0.515625
"X2701",0.50390625
"X2705",0.56640625
"X2716",0.6875
"X2717",0.54296875
"X2740",0.60546875
"X2746",0.65625
"X2747",0.703125
"X2754",0.66015625
"X2767",0.5234375
"X2768",0.5390625
"X2774",0.515625
"X2775",0.53515625
"X2804",0.609375
"X2810",0.50390625
"X2829",0.5
"X2833",0.66796875
"X2836",0.6171875
"X2864",0.61328125
"X2872",0.56640625
"X2876",0.58203125
"X2878",0.59765625
"X2880",0.5703125
"X2881",0.5703125
"X2890",0.70703125
"X2906",0.70703125
"X2923",0.64453125
"X2931",0.7421875
"X2940",0.5078125
"X2949",0.52734375
"X2950",0.59375
"X2962",0.671875
"X2979",0.66796875
"X2980",0.6484375
"X2981",0.71875
"X2986",0.55859375
"X3005",0.51953125
"X3035",0.6875
"X3064",0.5390625
"X3066",0.609375
"X3068",0.6171875
"X3069",0.63671875
"X3079",0.6171875
"X3080",0.87109375
"X3106",0.66796875
"X3114",0.5234375
"X3117",0.53515625
"X3133",0.58203125
"X3151",0.58984375
"X3158",0.51953125
"X3159",0.65625
"X3185",0.9375
"X3186",0.59765625
"X3191",0.62109375
"X3212",0.58203125
"X3238",0.51953125
"X3245",0.5859375
"X3246",0.578125
"X3267",0.62109375
"X3269",0.91015625
"X3284",0.625
"X3295",0.94921875
"X3301",0.6875
"X3305",0.7578125
"X3319",0.78515625
"X3320",0.50390625
"X3330",0.50390625
"X3339",0.53515625
"X3350",0.59375
"X3361",0.51953125
"X3391",0.58984375
"X3408",0.5234375
"X3410",0.578125
"X3417",0.5546875
"X3419",0.57421875
"X3430",0.5390625
"X3446",0.6171875
"X3454",0.62109375
"X3475",0.58203125
"X3481",0.5078125
"X3486",0.515625
"X3490",0.66015625
"X3500",0.55078125
"X3502",0.61328125
"X3512",0.53125
"X3515",0.51171875
"X3517",0.51953125
"X3523",0.55859375
"X3525",0.58984375
"X3527",0.55859375
"X3528",0.50390625
"X3529",0.53125
"X3532",0.5390625
"X3541",0.62109375
"X3548",0.51171875
"X3584",0.51171875
"X3586",0.5546875
"X3595",0.9296875
"X3596",0.640625
"X3599",0.60546875
"X3619",0.60546875
"X3625",0.53515625
"X3632",0.50390625
"X3647",0.9375
"X3649",0.6640625
"X3667",0.5390625
"X3673",0.59765625
"X3678",0.75
"X3679",0.5078125
"X3680",0.53125
"X3693",0.5234375
"X3712",0.640625
"X3715",0.53125
"X3720",0.6328125
"X3746",0.6328125
"X3765",0.55859375
"X3775",0.5546875
"X3799",0.5390625
"X3803",0.58984375
"X3813",0.6328125
"X3815",0.51171875
"X3830",0.50390625
"X3831",0.6328125
"X3846",0.671875
"X3860",0.6015625
"X3874",0.55859375
"X3878",0.55859375
"X3887",0.6015625
"X3892",0.51953125
"X3897",0.5
"X3900",0.859375
"X3907",0.5625
"X3917",0.61328125
"X3921",0.55078125
"X3924",0.73046875
"X3928",0.54296875
"X3929",0.5703125
"X3947",0.55859375
"X3948",0.60546875
"X4003",0.58203125
"X4005",0.6328125
"X4015",0.63671875
"X4036",0.55859375
"X4041",0.59765625
"X4051",0.56640625
"X4075",0.55078125
"X4077",0.6015625
"X4080",0.7578125
"X4086",0.65625
"X4099",0.72265625
"X4103",0.57421875
"X4104",0.515625
"X4116",0.5390625
"X4118",0.640625
"X4119",0.57421875
"X4120",0.6796875
"X4128",0.546875
"X4143",0.6328125
"X4146",0.56640625
"X4156",0.51171875
"X4166",0.5234375
"X4178",0.6015625
"X4206",0.5390625
"X4211",0.52734375
"X4218",0.6328125
"X4219",0.609375
"X4224",0.58984375
"X4227",0.5390625
"X4249",0.640625
"X4252",0.90625
"X4258",0.5703125
"X4259",0.6171875
"X4267",0.625
"X4270",0.578125
"X4274",0.72265625
"X4286",0.67578125
"X4298",0.7421875
"X4301",0.8984375
"X4322",0.58984375
"X4324",0.5078125
"X4334",0.546875
"X4342",0.51953125
"X4365",0.71875
"X4366",0.50390625
"X4373",0.5078125
"X4395",0.640625
"X4406",0.54296875
"X4415",0.703125
"X4434",0.80078125
"X4448",0.65234375
"X4490",0.5
"X4502",0.5
"X4504",0.97265625
"X4508",0.62109375
"X4510",0.53125
"X4519",0.56640625
"X4526",0.6796875
"X4533",0.57421875
"X4534",0.6015625
"X4546",0.5234375
"X4558",0.5
"X4565",0.53125
"X4566",0.61328125
"X4568",0.5625
"X4573",0.51171875
"X4587",0.51953125
"X4590",0.62109375
"X4608",0.69921875
"X4619",0.5703125
"X4628",0.52734375
"X4632",0.625
"X4649",0.57421875
"X4654",0.66015625
"X4659",0.515625
"X4667",0.5234375
"X4683",0.61328125
"X4709",0.53515625
"X4711",0.53515625
"X4717",0.52734375
"X4727",0.703125
"X4728",0.51953125
"X4732",0.69921875
"X4750",0.703125
"X4753",0.5859375
"X4757",0.58984375
"X4758",0.54296875
"X4763",0.71484375
"X4764",0.59375
"X4771",0.58984375
"X4775",0.55078125
"X4782",0.52734375
"X4791",0.55859375
"X4793",0.61328125
"X4797",0.57421875
"X4800",0.5625
"X4809",0.515625
"X4822",0.66796875
"X4847",0.56640625
"X4865",0.51953125
"X4871",0.5078125
"X4873",0.5703125
"X4879",0.53515625
"X4880",0.9453125
"X4883",0.640625
"X4885",0.54296875
"X4886",0.56640625
"X4887",0.5078125
"X4891",0.58984375
"X4901",0.6328125
"X4912",0.5078125
"X4917",0.94140625
"X4924",0.54296875
"X4945",0.60546875
"X4950",0.59765625
"X4963",0.5390625
"X4968",0.59375
"X4987",0.5
"X4988",0.71484375
"X5008",0.515625
"X5010",0.5859375
"X5011",0.56640625
"X5020",0.91796875
"X5027",0.5703125
"X5032",0.58203125
"X5037",0.57421875
"X5042",0.703125
"X5051",0.52734375
"X5069",0.62890625
"X5071",0.6796875
"X5084",0.6953125
"X5101",0.6328125
"X5111",0.5234375
"X5121",0.984375
"X5136",0.67578125
"X5137",0.6171875
"X5143",0.6484375
"X5144",0.65234375
"X5145",0.546875
"X5146",0.5234375
"X5168",0.51953125
"X5175",0.546875
"X5194",0.64453125
"X5203",0.51171875
"X5209",0.58203125
"X5212",0.80859375
"X5213",0.9609375
"X5225",0.68359375
"X5226",0.60546875
"X5238",0.51953125
"X5240",0.57421875
"X5245",0.59765625
"X5250",0.57421875
"X5251",0.5703125
"X5254",0.5859375
"X5255",0.671875
"X5258",0.65234375
"X5259",0.58984375
"X5265",0.609375
"X5276",0.52734375
"X5277",0.55859375
"X5281",0.52734375
"X5285",0.5703125
"X5292",0.7265625
"X5296",0.58984375
"X5300",0.5234375
"X5301",0.53515625
"X5309",0.65234375
"X5325",0.6875
"X5346",0.5234375
"X5348",0.6640625
"X5351",0.515625
"X5352",0.7734375
"X5361",0.640625
"X5386",0.65234375
"X5389",0.546875
"X5423",0.6796875
"X5432",0.55078125
"X5449",0.53125
"X5453",0.60546875
"X5455",0.68359375
"X5458",0.5625
"X5464",0.64453125
"X5517",0.73046875
"X5526",0.640625
"X5539",0.51171875
"X5544",0.5078125
"X5548",0.61328125
"X5558",0.51171875
"X5560",0.59765625
"X5576",0.57421875
"X5585",0.703125
"X5586",0.51171875
"X5592",0.59375
"X5605",0.53125
"X5606",0.69140625
"X5620",0.58203125
"X5646",0.5078125
"X5648",0.55859375
"X5649",0.56640625
"X5659",0.55078125
"X5661",0.56640625
"X5664",0.52734375
"X5675",0.6015625
"X5677",0.6171875
"X5684",0.546875
"X5685",0.53125
"X5690",0.5078125
"X5701",0.9453125
"X5702",0.5234375
"X5705",0.6484375
"X5707",0.546875
"X5712",0.57421875
"X5737",0.87109375
"X5742",0.56640625
"X5743",0.51171875
"X5744",0.5625
"X5745",0.59765625
"X5763",0.5703125
"X5766",0.546875
"X5768",0.54296875
"X5774",0.55859375
"X5784",0.80078125
"X5791",0.51953125
"X5793",0.64453125
"X5817",0.515625
"X5822",0.57421875
"X5837",0.5703125
"X5853",0.99609375
"X5868",0.57421875
"X5878",0.5546875
"X5883",0.5625
"X5884",0.515625
"X5885",0.5703125
"X5894",0.6875
"X5918",0.6875
"X5919",0.53125
"X5925",0.51953125
"X5930",0.6171875
"X5933",0.61328125
"X5938",0.73046875
"X5948",0.59375
"X5962",0.625
"X5971",0.55859375
"X5981",0.5
"X5984",0.59765625
"X5986",0.51171875
"X5987",0.6484375
"X5999",0.640625
"X6008",0.69921875
"X6019",0.53515625
"X6029",0.578125
"X6032",0.65234375
"X6033",0.68359375
"X6044",0.6171875
"X6049",0.53515625
"X6055",0.7734375
"X6073",0.6015625
"X6080",0.625
"X6085",0.66015625
"X6086",0.57421875
"X6100",0.52734375
"X6101",0.515625
"X6109",0.60546875
"X6124",0.61328125
"X6140",0.52734375
"X6147",0.50390625
"X6164",0.51953125
"X6178",0.765625
"X6186",0.69921875
"X6206",0.671875
"X6220",0.609375
"X6229",0.5625
"X6242",0.53515625
"X6245",0.640625
"X6259",0.56640625
"X6280",0.53125
"X6298",0.63671875
"X6304",0.60546875
"X6305",0.7109375
"X6313",0.68359375
"X6316",0.515625
"X6322",0.66796875
