"","AUC"
"X15",0.71875
"X60",0.600694444444444
"X63",0.555555555555556
"X89",0.614583333333333
"X96",0.541666666666667
"X105",0.739583333333333
"X123",0.59375
"X140",0.815972222222222
"X152",0.503472222222222
"X164",0.982638888888889
"X185",0.572916666666667
"X188",0.559027777777778
"X201",0.680555555555556
"X222",0.649305555555556
"X224",0.871527777777778
"X232",0.513888888888889
"X233",0.774305555555556
"X298",0.972222222222222
"X299",0.517361111111111
"X330",0.642361111111111
"X347",0.767361111111111
"X349",0.677083333333333
"X360",0.569444444444444
"X373",0.590277777777778
"X376",0.909722222222222
"X385",0.628472222222222
"X418",0.791666666666667
"X421",0.982638888888889
"X432",0.618055555555556
"X434",0.989583333333333
"X436",0.538194444444444
"X461",0.513888888888889
"X465",0.670138888888889
"X484",0.715277777777778
"X511",0.520833333333333
"X512",0.506944444444444
"X515",0.951388888888889
"X516",0.618055555555556
"X524",0.760416666666667
"X529",0.78125
"X534",0.524305555555556
"X543",0.989583333333333
"X549",0.59375
"X552",0.784722222222222
"X575",0.670138888888889
"X578",0.506944444444444
"X599",0.635416666666667
"X628",0.833333333333333
"X638",0.631944444444444
"X647",0.520833333333333
"X662",0.559027777777778
"X663",0.534722222222222
"X673",0.829861111111111
"X676",0.586805555555556
"X691",0.541666666666667
"X707",0.604166666666667
"X722",0.527777777777778
"X725",0.805555555555556
"X749",0.673611111111111
"X750",0.534722222222222
"X755",0.565972222222222
"X766",0.579861111111111
"X804",0.569444444444444
"X813",0.527777777777778
"X814",0.649305555555556
"X815",0.65625
"X844",0.621527777777778
"X852",0.798611111111111
"X859",0.538194444444444
"X864",0.690972222222222
"X867",0.520833333333333
"X868",0.548611111111111
"X887",0.604166666666667
"X890",0.503472222222222
"X893",0.663194444444444
"X897",0.579861111111111
"X902",0.611111111111111
"X913",0.777777777777778
"X933",0.743055555555556
"X945",0.628472222222222
"X950",0.666666666666667
"X968",0.638888888888889
"X969",0.638888888888889
"X989",0.788194444444444
"X999",0.541666666666667
"X1000",0.923611111111111
"X1012",0.760416666666667
"X1029",0.590277777777778
"X1041",0.666666666666667
"X1056",0.767361111111111
"X1058",0.743055555555556
"X1059",0.888888888888889
"X1060",0.809027777777778
"X1063",0.736111111111111
"X1073",1
"X1075",0.795138888888889
"X1077",1
"X1079",0.538194444444444
"X1084",0.697916666666667
"X1088",0.784722222222222
"X1101",0.673611111111111
"X1103",0.503472222222222
"X1113",0.579861111111111
"X1117",0.743055555555556
"X1146",0.982638888888889
"X1148",0.753472222222222
"X1151",0.59375
"X1152",0.559027777777778
