"","AUC"
"X15",0.854166666666667
"X60",0.552083333333333
"X63",0.635416666666667
"X89",0.732638888888889
"X96",0.53125
"X105",0.690972222222222
"X123",0.649305555555556
"X140",0.920138888888889
"X152",0.611111111111111
"X164",0.711805555555556
"X185",0.760416666666667
"X188",0.621527777777778
"X201",0.840277777777778
"X222",0.503472222222222
"X224",0.798611111111111
"X232",0.597222222222222
"X233",0.527777777777778
"X298",0.65625
"X299",0.84375
"X330",0.513888888888889
"X347",0.534722222222222
"X349",1
"X360",0.548611111111111
"X373",0.510416666666667
"X376",0.614583333333333
"X385",0.545138888888889
"X418",0.527777777777778
"X421",0.694444444444444
"X432",0.711805555555556
"X434",0.767361111111111
"X436",0.611111111111111
"X461",0.670138888888889
"X465",0.697916666666667
"X484",0.694444444444444
"X511",0.604166666666667
"X512",0.569444444444444
"X515",0.798611111111111
"X516",0.503472222222222
"X524",0.71875
"X529",0.621527777777778
"X534",0.586805555555556
"X543",0.659722222222222
"X549",0.5625
"X552",0.520833333333333
"X575",0.555555555555556
"X578",0.805555555555556
"X599",0.743055555555556
"X628",1
"X638",0.65625
"X647",0.590277777777778
"X662",0.534722222222222
"X663",0.548611111111111
"X673",0.59375
"X676",0.663194444444444
"X691",0.708333333333333
"X707",0.583333333333333
"X722",0.569444444444444
"X725",0.763888888888889
"X749",0.572916666666667
"X750",0.680555555555556
"X755",0.552083333333333
"X766",0.510416666666667
"X804",0.572916666666667
"X813",0.621527777777778
"X814",0.715277777777778
"X815",0.708333333333333
"X844",0.704861111111111
"X852",0.618055555555556
"X859",0.607638888888889
"X864",0.579861111111111
"X867",0.961805555555556
"X868",0.805555555555556
"X887",0.527777777777778
"X890",0.767361111111111
"X893",0.670138888888889
"X897",0.590277777777778
"X902",0.53125
"X913",0.677083333333333
"X933",0.9375
"X945",0.927083333333333
"X950",0.802083333333333
"X968",0.548611111111111
"X969",0.909722222222222
"X989",1
"X999",0.618055555555556
"X1000",0.684027777777778
"X1012",0.503472222222222
"X1029",0.506944444444444
"X1041",0.565972222222222
"X1056",0.673611111111111
"X1058",0.635416666666667
"X1059",0.996527777777778
"X1060",0.559027777777778
"X1063",0.670138888888889
"X1073",0.916666666666667
"X1075",0.795138888888889
"X1077",0.885416666666667
"X1079",0.503472222222222
"X1084",0.871527777777778
"X1088",0.739583333333333
"X1101",0.798611111111111
"X1103",0.708333333333333
"X1113",0.8125
"X1117",0.708333333333333
"X1146",0.857638888888889
"X1148",0.59375
"X1151",0.579861111111111
"X1152",0.53125
"X1190",0.715277777777778
"X1201",0.572916666666667
"X1210",0.607638888888889
"X1216",0.708333333333333
"X1236",0.5625
"X1247",0.770833333333333
"X1256",0.659722222222222
"X1267",0.621527777777778
"X1268",0.659722222222222
"X1278",0.586805555555556
"X1279",0.503472222222222
"X1294",0.517361111111111
"X1295",0.805555555555556
"X1299",0.590277777777778
"X1300",0.708333333333333
"X1301",0.520833333333333
"X1302",0.520833333333333
"X1303",0.6875
"X1311",0.517361111111111
"X1314",0.614583333333333
"X1330",0.6875
"X1332",0.677083333333333
"X1338",0.559027777777778
"X1339",0.84375
"X1356",0.569444444444444
"X1377",0.895833333333333
"X1393",0.569444444444444
"X1415",0.833333333333333
"X1424",0.836805555555556
"X1429",0.548611111111111
"X1458",0.711805555555556
"X1465",1
"X1488",1
"X1489",0.625
"X1491",0.538194444444444
"X1492",0.503472222222222
"X1499",0.677083333333333
"X1552",0.666666666666667
"X1558",0.614583333333333
"X1564",0.628472222222222
"X1583",0.527777777777778
"X1584",0.861111111111111
"X1586",0.729166666666667
"X1591",0.548611111111111
"X1595",0.538194444444444
"X1596",1
"X1626",0.71875
"X1627",0.5625
"X1639",0.572916666666667
"X1648",0.795138888888889
"X1657",0.71875
"X1659",0.538194444444444
"X1666",0.833333333333333
"X1672",0.59375
"X1678",0.993055555555556
"X1694",0.722222222222222
"X1701",0.9375
"X1706",0.704861111111111
"X1711",0.798611111111111
"X1715",0.520833333333333
"X1724",0.652777777777778
"X1737",0.774305555555556
"X1743",0.659722222222222
"X1748",0.809027777777778
"X1749",0.565972222222222
"X1752",0.506944444444444
"X1755",0.569444444444444
"X1758",0.753472222222222
"X1759",0.673611111111111
"X1760",0.704861111111111
"X1761",0.607638888888889
"X1762",0.600694444444444
"X1766",0.555555555555556
"X1776",0.590277777777778
"X1788",0.652777777777778
"X1791",0.715277777777778
"X1797",0.6875
"X1810",0.503472222222222
"X1820",0.545138888888889
"X1835",0.673611111111111
"X1838",0.638888888888889
"X1862",0.743055555555556
"X1867",0.791666666666667
"X1868",0.847222222222222
"X1876",0.802083333333333
"X1885",1
"X1888",0.642361111111111
"X1889",0.819444444444444
"X1892",0.71875
"X1895",0.802083333333333
"X1900",0.524305555555556
"X1904",0.607638888888889
"X1909",0.729166666666667
"X1911",0.777777777777778
"X1915",0.611111111111111
"X1921",0.711805555555556
"X1929",0.534722222222222
"X1933",1
"X1948",0.625
"X1949",0.538194444444444
"X1951",0.815972222222222
"X1955",0.732638888888889
"X1956",0.798611111111111
"X1959",0.541666666666667
"X1960",0.673611111111111
"X1973",0.805555555555556
"X1983",0.65625
"X1987",0.524305555555556
"X1989",0.954861111111111
"X1992",0.840277777777778
"X1993",0.645833333333333
"X2006",0.826388888888889
"X2007",0.805555555555556
"X2024",0.611111111111111
"X2026",0.711805555555556
"X2031",1
"X2032",0.715277777777778
"X2037",0.538194444444444
"X2042",0.552083333333333
"X2052",0.524305555555556
"X2054",0.659722222222222
"X2060",0.78125
"X2069",0.583333333333333
"X2083",0.576388888888889
"X2086",0.552083333333333
"X2126",1
"X2131",0.756944444444444
"X2148",0.614583333333333
"X2153",0.541666666666667
"X2176",0.9375
"X2180",0.597222222222222
"X2196",0.732638888888889
"X2200",0.538194444444444
"X2205",0.59375
"X2209",0.590277777777778
