"","AUC"
"X15",0.929012345679012
"X60",0.555555555555555
"X63",0.648148148148148
"X89",0.802469135802469
"X96",0.506172839506173
"X105",0.861111111111111
"X123",0.703703703703704
"X140",0.938271604938272
"X152",0.540123456790123
"X164",0.996913580246914
"X185",0.839506172839506
"X188",0.540123456790123
"X201",0.660493827160494
"X222",0.697530864197531
"X224",0.950617283950617
"X232",0.558641975308642
"X233",0.722222222222222
"X298",0.984567901234568
"X299",0.910493827160494
"X330",0.641975308641975
"X347",0.796296296296296
"X349",1
"X360",0.645061728395062
"X373",0.598765432098765
"X376",0.947530864197531
"X385",0.666666666666667
"X418",0.780864197530864
"X421",1
"X432",0.546296296296296
"X434",1
"X436",0.546296296296296
"X461",0.657407407407407
"X465",0.515432098765432
"X484",0.524691358024691
"X511",0.651234567901235
"X512",0.577160493827161
"X515",0.990740740740741
"X516",0.617283950617284
"X524",0.925925925925926
"X529",0.851851851851852
"X534",0.604938271604938
"X543",1
"X549",0.66358024691358
"X552",0.805555555555556
"X575",0.638888888888889
"X578",0.87037037037037
"X599",0.888888888888889
"X628",1
"X638",0.509259259259259
"X647",0.537037037037037
"X662",0.580246913580247
"X663",0.515432098765432
"X673",0.79320987654321
"X676",0.762345679012346
"X691",0.66358024691358
"X707",0.716049382716049
"X722",0.546296296296296
"X725",0.947530864197531
"X749",0.790123456790124
"X750",0.685185185185185
"X755",0.66358024691358
"X766",0.604938271604938
"X804",0.654320987654321
"X813",0.66358024691358
"X814",0.867283950617284
"X815",0.820987654320988
"X844",0.546296296296296
"X852",0.842592592592593
"X859",0.574074074074074
"X864",0.623456790123457
"X867",1
"X868",0.774691358024691
"X887",0.601851851851852
"X890",0.756172839506173
"X893",0.570987654320988
"X897",0.509259259259259
"X902",0.555555555555556
"X913",0.969135802469136
"X933",1
"X945",0.882716049382716
"X950",0.895061728395062
"X968",0.632716049382716
"X969",0.972222222222222
"X989",1
"X999",0.614197530864197
"X1000",0.959876543209876
"X1012",0.774691358024691
"X1029",0.546296296296296
"X1041",0.635802469135802
"X1056",0.648148148148148
"X1058",0.62962962962963
"X1059",1
"X1060",0.858024691358025
"X1063",0.641975308641975
"X1073",1
"X1075",0.978395061728395
"X1077",1
"X1079",0.521604938271605
"X1084",0.972222222222222
"X1088",0.524691358024691
"X1101",0.950617283950617
"X1103",0.768518518518518
"X1113",0.753086419753086
"X1117",0.91358024691358
"X1146",1
"X1148",0.712962962962963
"X1151",0.694444444444444
"X1152",0.558641975308642
"X1190",0.935185185185185
"X1201",0.527777777777778
"X1210",0.601851851851852
"X1216",0.537037037037037
"X1236",0.598765432098765
"X1247",0.824074074074074
"X1256",0.709876543209877
"X1267",0.682098765432099
"X1268",0.833333333333333
"X1278",0.537037037037037
"X1279",0.506172839506173
"X1294",0.58641975308642
"X1295",0.981481481481482
"X1299",0.75
"X1300",0.703703703703704
"X1301",0.512345679012346
"X1302",0.564814814814815
"X1303",0.608024691358025
"X1311",0.524691358024691
"X1314",0.567901234567901
"X1330",0.808641975308642
"X1332",0.682098765432099
"X1338",0.549382716049383
"X1339",1
"X1356",0.916666666666667
"X1377",0.910493827160494
"X1393",0.530864197530864
"X1415",0.922839506172839
"X1424",0.891975308641975
"X1429",0.537037037037037
"X1458",0.981481481481482
"X1465",1
"X1488",1
"X1489",0.58641975308642
"X1491",0.533950617283951
"X1492",0.521604938271605
"X1499",0.753086419753086
"X1552",0.722222222222222
"X1558",0.679012345679012
"X1564",0.518518518518519
"X1583",0.58641975308642
"X1584",0.876543209876543
"X1586",0.873456790123457
"X1591",0.54320987654321
"X1595",0.617283950617284
"X1596",1
"X1626",0.910493827160494
"X1627",0.669753086419753
"X1639",0.861111111111111
"X1648",0.864197530864198
"X1657",0.648148148148148
"X1659",0.518518518518519
"X1666",0.947530864197531
"X1672",0.694444444444444
"X1678",0.978395061728395
"X1694",0.925925925925926
"X1701",0.972222222222222
"X1706",0.811728395061728
"X1711",0.830246913580247
"X1715",0.555555555555556
"X1724",0.762345679012346
"X1737",0.746913580246914
"X1743",0.537037037037037
"X1748",0.947530864197531
"X1749",0.984567901234568
"X1752",0.533950617283951
"X1755",0.558641975308642
"X1758",0.987654320987654
"X1759",0.558641975308642
"X1760",0.959876543209877
"X1761",0.817901234567901
"X1762",0.75
"X1766",0.598765432098765
"X1776",0.614197530864198
"X1788",0.623456790123457
"X1791",0.925925925925926
"X1797",0.898148148148148
"X1810",0.537037037037037
"X1820",0.641975308641975
"X1835",0.79320987654321
"X1838",0.672839506172839
"X1862",0.824074074074074
"X1867",0.882716049382716
"X1868",0.820987654320988
"X1876",0.814814814814815
"X1885",1
"X1888",0.614197530864197
"X1889",0.947530864197531
"X1892",0.688271604938272
"X1895",1
"X1900",0.570987654320988
"X1904",0.688271604938272
"X1909",0.820987654320988
"X1911",0.777777777777778
"X1915",0.728395061728395
"X1921",0.848765432098765
"X1929",0.777777777777778
"X1933",1
"X1948",0.549382716049383
"X1949",0.898148148148148
"X1951",0.929012345679012
"X1955",0.888888888888889
"X1956",1
"X1959",0.564814814814815
"X1960",0.768518518518518
"X1973",0.950617283950617
"X1983",0.533950617283951
"X1987",0.601851851851852
"X1989",0.58641975308642
"X1992",0.938271604938272
"X1993",0.598765432098765
"X2006",0.919753086419753
"X2007",0.873456790123457
"X2024",0.641975308641975
"X2026",0.638888888888889
"X2031",1
"X2032",0.827160493827161
"X2037",0.861111111111111
"X2042",0.743827160493827
"X2052",0.679012345679012
"X2054",0.533950617283951
"X2060",0.811728395061728
"X2069",0.570987654320988
"X2083",0.694444444444444
"X2086",0.54320987654321
"X2126",1
"X2131",0.950617283950617
"X2148",0.777777777777778
"X2153",0.561728395061728
"X2176",0.947530864197531
"X2180",0.537037037037037
"X2196",0.734567901234568
"X2200",0.512345679012346
"X2205",0.657407407407407
"X2209",0.660493827160494
"X2212",0.638888888888889
"X2222",1
"X2226",0.694444444444444
"X2232",0.932098765432099
"X2238",0.737654320987654
"X2252",1
"X2253",0.589506172839506
"X2258",0.731481481481482
"X2259",0.876543209876543
"X2280",0.981481481481482
"X2289",0.728395061728395
"X2291",0.950617283950617
"X2298",0.58641975308642
"X2299",0.595679012345679
"X2309",0.521604938271605
"X2312",0.777777777777778
"X2313",0.552469135802469
"X2316",0.54320987654321
"X2317",0.904320987654321
"X2318",1
"X2322",0.691358024691358
"X2339",0.981481481481482
"X2370",0.549382716049383
"X2378",0.524691358024691
"X2379",0.737654320987654
"X2392",0.885802469135803
"X2393",0.944444444444444
"X2395",0.570987654320988
"X2399",1
"X2418",1
"X2419",0.734567901234568
"X2453",1
"X2460",0.734567901234568
"X2462",0.601851851851852
"X2467",0.533950617283951
"X2469",0.774691358024691
"X2471",0.981481481481482
"X2472",0.580246913580247
"X2487",0.716049382716049
"X2497",0.901234567901235
"X2502",0.796296296296296
"X2504",1
"X2511",0.716049382716049
"X2515",0.842592592592593
"X2534",0.617283950617284
"X2540",0.87962962962963
"X2548",0.524691358024691
"X2555",0.796296296296296
"X2558",0.882716049382716
"X2562",0.564814814814815
"X2584",0.694444444444444
"X2586",0.817901234567901
"X2587",0.719135802469136
"X2589",0.685185185185185
"X2607",0.728395061728395
"X2612",0.509259259259259
"X2616",0.932098765432099
"X2621",0.975308641975309
"X2625",0.561728395061728
"X2656",0.91358024691358
"X2661",1
"X2675",0.895061728395062
"X2696",1
"X2699",0.719135802469136
"X2700",0.675925925925926
"X2701",0.861111111111111
"X2705",0.824074074074074
"X2716",0.740740740740741
"X2717",0.567901234567901
"X2740",0.907407407407407
"X2746",0.561728395061728
"X2747",0.533950617283951
"X2754",0.904320987654321
"X2767",1
"X2768",0.589506172839506
"X2774",0.669753086419753
"X2775",0.845679012345679
"X2804",0.552469135802469
"X2810",0.62962962962963
"X2829",0.709876543209876
"X2833",0.814814814814815
"X2836",0.546296296296296
"X2864",0.651234567901235
"X2872",1
"X2876",0.666666666666667
"X2878",0.521604938271605
"X2880",0.533950617283951
"X2881",0.783950617283951
"X2890",0.814814814814815
"X2906",0.626543209876543
"X2923",0.521604938271605
"X2931",0.688271604938272
"X2940",1
"X2949",1
"X2950",1
"X2962",0.688271604938272
"X2979",0.941358024691358
"X2980",0.645061728395062
"X2981",0.728395061728395
"X2986",0.774691358024691
"X3005",0.700617283950617
"X3035",0.512345679012346
"X3064",0.518518518518518
"X3066",0.864197530864198
"X3068",1
"X3069",1
"X3079",0.966049382716049
"X3080",0.669753086419753
"X3106",0.938271604938272
"X3114",0.530864197530864
"X3117",0.66358024691358
"X3133",0.530864197530864
"X3151",1
"X3158",0.777777777777778
"X3159",0.669753086419753
"X3185",0.694444444444444
"X3186",0.975308641975309
"X3191",0.598765432098765
"X3212",0.854938271604938
"X3238",1
"X3245",0.564814814814815
"X3246",0.867283950617284
"X3267",0.611111111111111
"X3269",0.666666666666667
"X3284",0.984567901234568
"X3295",0.805555555555555
"X3301",0.91358024691358
"X3305",0.978395061728395
"X3319",0.725308641975309
"X3320",1
"X3330",0.929012345679012
"X3339",1
"X3350",0.657407407407407
"X3361",0.719135802469136
"X3391",0.728395061728395
"X3408",0.614197530864197
"X3410",1
"X3417",0.515432098765432
"X3419",0.546296296296296
"X3430",1
"X3446",0.728395061728395
"X3454",0.709876543209876
"X3475",0.731481481481482
"X3481",0.638888888888889
"X3486",0.731481481481482
"X3490",0.552469135802469
"X3500",1
"X3502",0.805555555555556
"X3512",0.996913580246914
"X3515",0.861111111111111
"X3517",0.910493827160494
"X3523",0.527777777777778
"X3525",0.521604938271605
"X3527",0.854938271604938
"X3528",0.679012345679012
"X3529",0.530864197530864
"X3532",0.54320987654321
"X3541",0.888888888888889
"X3548",0.922839506172839
"X3584",0.524691358024691
"X3586",0.62037037037037
"X3595",0.561728395061728
"X3596",0.987654320987654
"X3599",0.577160493827161
"X3619",0.62962962962963
"X3625",0.904320987654321
"X3632",1
"X3647",0.614197530864198
"X3649",0.712962962962963
"X3667",0.947530864197531
"X3673",1
"X3678",0.802469135802469
"X3679",1
"X3680",0.722222222222222
"X3693",0.657407407407407
"X3712",0.577160493827161
"X3715",1
"X3720",0.515432098765432
"X3746",0.700617283950617
"X3765",0.601851851851852
"X3775",0.981481481481482
"X3799",0.515432098765432
"X3803",1
"X3813",0.790123456790123
"X3815",0.604938271604938
"X3830",0.679012345679012
"X3831",0.512345679012346
"X3846",0.527777777777778
"X3860",0.660493827160494
"X3874",0.524691358024691
"X3878",0.898148148148148
"X3887",0.509259259259259
"X3892",0.817901234567901
"X3897",0.731481481481482
"X3900",1
"X3907",0.858024691358025
"X3917",0.762345679012346
"X3921",0.740740740740741
"X3924",0.848765432098765
"X3928",0.66358024691358
"X3929",0.790123456790123
"X3947",0.703703703703704
"X3948",0.654320987654321
"X4003",0.558641975308642
"X4005",0.777777777777778
"X4015",0.598765432098765
"X4036",0.604938271604938
"X4041",0.583333333333333
"X4051",0.564814814814815
"X4075",0.589506172839506
"X4077",0.932098765432099
"X4080",0.645061728395062
"X4086",0.540123456790123
"X4099",0.842592592592593
"X4103",0.987654320987654
"X4104",0.783950617283951
"X4116",0.558641975308642
"X4118",0.641975308641975
"X4119",0.731481481481482
"X4120",0.780864197530864
"X4128",0.518518518518518
"X4143",0.697530864197531
"X4146",0.820987654320988
"X4156",0.839506172839506
"X4166",0.876543209876543
"X4178",1
"X4206",0.682098765432099
"X4211",0.802469135802469
"X4218",1
"X4219",0.814814814814815
"X4224",1
"X4227",0.780864197530864
"X4249",0.83641975308642
"X4252",0.771604938271605
"X4258",0.669753086419753
"X4259",0.561728395061728
"X4267",0.589506172839506
"X4270",0.540123456790123
"X4274",0.885802469135803
"X4286",0.796296296296296
"X4298",1
"X4301",0.712962962962963
"X4322",1
"X4324",1
"X4334",0.688271604938272
"X4342",0.780864197530864
"X4365",0.858024691358025
"X4366",0.552469135802469
"X4373",0.709876543209876
"X4395",1
"X4406",0.867283950617284
"X4415",0.805555555555556
"X4434",0.611111111111111
"X4448",0.577160493827161
"X4490",0.993827160493827
"X4502",0.790123456790123
"X4504",0.716049382716049
"X4508",0.549382716049383
"X4510",0.743827160493827
"X4519",0.901234567901235
"X4526",0.722222222222222
"X4533",0.808641975308642
"X4534",0.503086419753086
"X4546",0.709876543209877
"X4558",0.521604938271605
"X4565",0.91358024691358
"X4566",0.549382716049383
"X4568",0.898148148148148
"X4573",0.574074074074074
"X4587",0.555555555555556
"X4590",0.984567901234568
"X4608",0.910493827160494
"X4619",0.509259259259259
"X4628",0.648148148148148
"X4632",0.503086419753086
"X4649",0.540123456790123
"X4654",0.635802469135803
"X4659",0.783950617283951
"X4667",1
"X4683",0.527777777777778
"X4709",0.996913580246914
"X4711",0.87962962962963
"X4717",0.679012345679012
"X4727",0.552469135802469
"X4728",0.506172839506173
"X4732",0.595679012345679
"X4750",0.654320987654321
"X4753",0.546296296296296
"X4757",0.666666666666667
"X4758",1
"X4763",0.645061728395062
"X4764",0.540123456790123
"X4771",0.555555555555556
"X4775",0.783950617283951
"X4782",1
"X4791",1
"X4793",0.524691358024691
"X4797",0.679012345679012
"X4800",0.799382716049383
"X4809",0.966049382716049
"X4822",0.672839506172839
"X4847",0.944444444444444
"X4865",0.672839506172839
"X4871",0.916666666666667
"X4873",0.524691358024691
"X4879",0.783950617283951
"X4880",0.540123456790123
"X4883",0.608024691358025
"X4885",0.641975308641975
"X4886",0.987654320987654
"X4887",1
"X4891",0.978395061728395
"X4901",0.648148148148148
"X4912",0.947530864197531
