"","x"
"1","X950"
"2","X1073"
"3","X1077"
"4","X1989"
"5","X2280"
"6","X2696"
"7","X2980"
"8","X3330"
"9","X3512"
"10","X3517"
"11","X4490"
"12","X4590"
"13","X5285"
"14","X5346"
"15","X6565"
"16","X6592"
"17","X6594"
"18","X6698"
"19","X7064"
"20","X7505"
"21","X8692"
"22","X9114"
"23","X9540"
"24","X10487"
"25","X13229"
"26","X13786"
"27","X13883"
"28","X14025"
"29","X14942"
"30","X15469"
"31","X16520"
"32","X16567"
"33","X16974"
"34","X17554"
"35","X21547"
"36","X23979"
"37","X25860"
"38","X26057"
"39","X628"
"40","X989"
"41","X1059"
"42","X1465"
"43","X1488"
"44","X1596"
"45","X1678"
"46","X1885"
"47","X1933"
"48","X2126"
"49","X2176"
"50","X2418"
"51","X2453"
"52","X2504"
"53","X2661"
"54","X2872"
"55","X2981"
"56","X3068"
"57","X3069"
"58","X3151"
"59","X3238"
"60","X3295"
"61","X3320"
"62","X3339"
"63","X3430"
"64","X3632"
"65","X3673"
"66","X3679"
"67","X3715"
"68","X3775"
"69","X3803"
"70","X3900"
"71","X4178"
"72","X4298"
"73","X4322"
"74","X4395"
"75","X4758"
"76","X4782"
"77","X4791"
"78","X4847"
"79","X5136"
"80","X5213"
"81","X5348"
"82","X5386"
"83","X5517"
"84","X5793"
"85","X5884"
"86","X5918"
"87","X6343"
"88","X6432"
"89","X6441"
"90","X6516"
"91","X6601"
"92","X6818"
"93","X6838"
"94","X6868"
"95","X7170"
"96","X7499"
"97","X7972"
"98","X8156"
"99","X8283"
"100","X8465"
"101","X8704"
"102","X8812"
"103","X9596"
"104","X9696"
"105","X9733"
"106","X9780"
"107","X10342"
"108","X10351"
"109","X11145"
"110","X11455"
"111","X11520"
"112","X11548"
"113","X12094"
"114","X12247"
"115","X12298"
"116","X12590"
"117","X12812"
"118","X13185"
"119","X13556"
"120","X14820"
"121","X17838"
"122","X20225"
"123","X20308"
"124","X22404"
"125","X22687"
"126","X23715"
"127","X24549"
"128","X24642"
"129","X26218"
"130","X26230"
"131","X26471"
"132","X27029"
