"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X95",0.440159142955873,0.1868285350791,1.03699400653986,0.0605297400913724
"X105",0.974954058851027,0.482110240191929,1.97161424426845,0.943718935466519
"X106",0.785192729660331,0.378523610499601,1.62876926461128,0.515952422301352
"X140",0.483478283754207,0.21539225730018,1.08523516022281,0.0781172685145158
"X174",0.416823381370489,0.169075385780317,1.02759920052984,0.0573201097543416
"X176",1.80963682083345,0.791988005538541,4.13489270091835,0.159472728036766
"X196",0.834182821769949,0.407416727854625,1.70798333146589,0.619981325304439
"X199",0.0274885653869673,0.00258862707364961,0.29190038021516,0.00286843056243493
"X212",1.16395486365768,0.571982778000048,2.36858691684639,0.675332082852793
"X241",2.55349899974738,1.00712850219421,6.47420575180336,0.048272188027015
"X264",13.6554762855027,0.913922371011692,204.034870464441,0.0581242115330911
"X265",1.17967092650044,0.579363888203069,2.40198521717776,0.648776094446757
"X267",0.784045839593237,0.383053543900259,1.60480927111206,0.505595718753752
"X279",0.376245531985842,0.157396115641573,0.899391320823159,0.0279146762256468
"X285",1.39796981431341,0.593389760507561,3.29348386473644,0.443511892220362
"X286",1.10810902932057,0.54671233661307,2.24598118357593,0.775801565557029
"X289",2.55640865584202,0.379447133336091,17.2230190756916,0.334863451025763
"X324",0.247405738321448,0.0754784203822933,0.810954959634263,0.0211135249439911
"X329",1.24709581963951,0.595601929757514,2.61122052441221,0.558104541541303
"X330",0.469061915632353,0.176059111457084,1.24968869191598,0.129982126676755
"X344",3.17794228063757,1.15549567236972,8.74024661498905,0.0250908988303691
"X365",0.771184637531563,0.373976417929328,1.5902760619443,0.481645924709287
"X417",1.45671668802453,0.70279945323202,3.01938696652428,0.311729950451053
"X436",0.95467470942934,0.471931991212556,1.93121851833414,0.897325381606413
"X448",0.0308986529896752,0.00302171104561887,0.315955676159242,0.00337520685463767
"X463",0.363775937088996,0.145739512404427,0.908009984538396,0.0302520853014752
"X465",0.263589855886047,0.0979834339882055,0.709095500106587,0.00826950782926077
"X471",0.839047563014236,0.408427776496966,1.72368495364898,0.632829099264203
"X477",1.10962957604252,0.547243612498308,2.24996284635867,0.773013395410421
"X484",0.880750920148453,0.433896282209751,1.78780555434064,0.725181069285064
"X493",4.50220843272897,1.39833996378301,14.4956743686983,0.0116683032470858
"X513",0.510009831248727,0.229521348510223,1.13327160919311,0.0983547718550067
"X515",1.20496786325287,0.591490085803167,2.45472846683579,0.607542695270288
"X517",1.7449023231462,0.777761608876383,3.91467524569591,0.176903432296395
"X520",1.08980882960201,0.538026097970752,2.2074826659116,0.811252543012296
"X528",1.0613973495377,0.524083373082775,2.1495899153964,0.868553449241031
"X533",0.487477402679937,0.216763442583534,1.09628365046842,0.0822668798619707
"X535",1.08359368167881,0.533658465975705,2.20023730875789,0.824186361463799
"X536",0.0192559220644083,0.00146318271258302,0.253413692877763,0.00266471290821245
"X545",1.00026787747207,0.494709299457474,2.0224722433957,0.999405065862708
"X580",1.95311534975073,0.873718299844865,4.3660062632421,0.102874446316981
"X589",0.656175642419224,0.294178664856868,1.463622366747,0.303307335934079
"X591",1.46087462676768,0.689418355994331,3.09558725348349,0.32251509003959
"X596",1.24603790833985,0.608973143875612,2.54955490998974,0.547046713159171
"X625",0.530145785322867,0.221784559832087,1.26724129898126,0.15349076690424
"X644",97.5886928710142,3.98829427216738,2387.87620129588,0.00498502640257826
"X646",6.51977045145821e+57,0,Inf,0.999562174958249
"X654",0.885223223920109,0.436660576790829,1.79457500360259,0.735261698063747
"X663",0.245846158017412,0.0758181796462881,0.79717468414426,0.0194036328615141
"X669",1.05585803392052,0.52154130309537,2.13757986410263,0.87994224705724
"X674",0.152412773895806,0.0372723809843125,0.623240400348749,0.00884384551840549
"X725",2.24702708038117,0.968040489283959,5.21582594515348,0.0595111331225094
"X788",0.799983502411159,0.392538330735366,1.63034678150061,0.538973815397403
"X792",0.195618645709315,0.0643706554083606,0.594473589035051,0.00401360146775287
"X796",0.239150493442547,0.0803983204848571,0.711370065554863,0.0101016092854773
"X813",0.37065271117816,0.140940436404237,0.974762359254273,0.0442395187545782
"X814",1.44454078833078,0.495852113436293,4.2083073412561,0.500201936870314
"X817",2.17488490782348,0.936205300859477,5.05244347360122,0.0708068770625659
"X820",0.584671600167963,0.251899627742375,1.35705194607344,0.211552498799611
"X829",1.11227210052711,0.542257992883808,2.28147716003528,0.771590243177628
"X831",6.38277140628096,1.77173400624139,22.9942929815206,0.00458703719016723
"X862",1.16722301207601,0.572279853341395,2.38067014235262,0.670684216665905
"X867",0.273756767890394,0.0943514527535374,0.794293736648221,0.0171369053989102
