"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X15",0.0610942519090004,0.010043637840529,0.371629052698282,0.00240874030534321
"X60",1.60472080332784,0.77710258375883,3.31375665253523,0.201122061423475
"X63",2.2046231120795,0.960699611740823,5.05919124658324,0.0621259912375547
"X89",2.72428617568232,1.11595693728187,6.65055695167854,0.0277403892585291
"X96",1.72924089852991,0.804995834569597,3.71464541396953,0.16033506533512
"X105",5.04972343815071,1.55435193983755,16.4053623560143,0.00706682614701016
"X123",0.496271808637605,0.229609015261902,1.07263082752877,0.074798195982891
"X140",0.474968113197131,0.128631365339662,1.75380792980266,0.263961211768007
"X152",0.786533222730629,0.392770195927744,1.57505461685498,0.497930891804298
"X164",1.06143309241295e-93,0,Inf,0.999640738908322
"X185",2.77545227970489,1.05497044216966,7.30175467388143,0.0385995536679601
"X188",0.943434758317887,0.476217197553007,1.86904031978655,0.867419620922096
"X201",1.22714071445895,0.608854194576517,2.47329220443363,0.567039364915615
"X222",0.318676982721013,0.11713898495245,0.866961749390203,0.0251180693393762
"X224",0.00126008315420674,1.11922052692763e-05,0.141867444110796,0.00560052940449187
"X232",1.65930800192357,0.791596671476029,3.47816399999981,0.179891537488812
"X233",0.44067557413862,0.181995187314586,1.06703349966463,0.069340213768939
"X298",0.00138325370063866,9.11128009096037e-06,0.210002412529155,0.0101990428787187
"X299",0.500223323014423,0.227457208366555,1.10008987925478,0.0849321703625357
"X330",4.07417816745947,1.38826639747587,11.9565868412456,0.0105508425040851
"X347",0.27414573427936,0.098362220901945,0.764072658531067,0.0133402043392069
"X349",19345.8049826052,1.0506940928251,356202792.973436,0.0488533550766019
"X360",1.90008152864752,0.751681869887521,4.80297578022963,0.174877562628232
"X373",2.2650124519003,0.969531994438452,5.29150294852809,0.0589551605977739
"X376",0.00439612301295705,6.16869710237385e-05,0.313289779418956,0.0126599111344472
"X385",1.81893820495871,0.699437959674507,4.73027828658039,0.219864410530806
"X418",0.554106443549013,0.248170105341986,1.2371915237713,0.149687152666805
"X421",2.2373732410809e-46,0,Inf,0.999637130981834
"X432",0.854012382114561,0.429463105166658,1.6982533308,0.65273944025214
"X434",6.18829085365018e-43,0,Inf,0.999659640797671
"X436",0.553021719163851,0.20193397643378,1.51451988054736,0.249144984459913
"X461",2.4382509949776,1.08356920747998,5.48656040931203,0.031242838673162
"X465",1.28304049799245,0.638379229038623,2.57870689490921,0.484055067446261
"X484",1.3523320406412,0.669445232286663,2.73181712251208,0.400148704276488
"X511",0.664910896298201,0.308790273058491,1.431737132252,0.297003208492746
"X512",1.94658697700799,0.823715409035285,4.60013351394617,0.129008458845217
"X515",1755.86797744123,4.08581433928958,754579.650023849,0.0157353066219334
"X516",1.46305443634526,0.695973264743506,3.07558981378175,0.315450395061833
"X524",0.272584507809567,0.0916977589450216,0.810295854038622,0.0193641627874789
"X529",0.132848079437587,0.0386263858320028,0.456905605588217,0.00136086420424227
"X534",0.763447089720968,0.339184575077278,1.71839022653262,0.514354061312734
"X543",58.9566864289385,5.06143864935467,686.739702974244,0.00113552933545348
"X549",1.86045138579959,0.845456627263898,4.0939762576883,0.122878406825708
"X552",0.161373497279563,0.0426771406351148,0.610195651271218,0.00718959741835164
"X575",0.158449028802328,0.0394614751852477,0.636217845646747,0.00938763998869985
"X578",0.797524594599102,0.398336825475898,1.59675289431393,0.522980100388663
"X599",0.331297220234427,0.126416145901069,0.86822650186593,0.0246104002794851
"X628",2.12412856641976e+26,0,Inf,0.999586979507767
"X638",0.956713862003097,0.483058696058728,1.89480371892032,0.899004896992103
"X647",0.830440770261719,0.416149060254238,1.6571751297277,0.59813911956882
"X662",1.0434770562134,0.525982085169234,2.07011683010734,0.903085267651238
"X663",1.08504407727557,0.542286082276779,2.17103239066699,0.817584858707489
"X673",0.702646276588331,0.331490449399102,1.48936957580046,0.357202090169389
"X676",0.384079574116843,0.162467700844026,0.907978130344788,0.0292637467847264
"X691",0.565306770018881,0.25550561471861,1.25074255053505,0.159194021231983
"X707",1.50697383132729,0.726320972093548,3.1266756923725,0.270765721602266
"X722",0.862205637200263,0.433148990578237,1.71626525050307,0.672937423486837
"X725",0.0362623442386495,0.00339407262539349,0.387427658396045,0.0060584495559566
"X749",2.60374645427149,1.08567545850732,6.24449557647032,0.0320179812883487
"X750",2.9857040202462,1.1914096484578,7.48225306724136,0.0196142142341287
"X755",0.553609103739356,0.260590733943034,1.17610873996039,0.124033657427258
"X766",2.21675042614721,0.971753502205286,5.05681990409308,0.0585040352419859
"X804",0.860606485754235,0.432588911870876,1.71211860266851,0.66882942239234
"X813",1.17549167063286,0.581830473244115,2.37488535109348,0.652262089969651
"X814",3.87029849791907,1.35640856303979,11.0432880410496,0.011410988313209
"X815",0.375065346266844,0.169556874964403,0.82965679804963,0.0154766314709794
"X844",0.890133175757728,0.44847453080824,1.76673816717438,0.739315841436604
"X852",2.56945290612359,0.621071352378883,10.6301606272759,0.19272500261395
"X859",1.66692536369267,0.78688963150729,3.5311688664641,0.182134950607547
"X864",0.724824475347947,0.355988092517206,1.47580925066485,0.375008572439417
"X867",1.19765447107986e+286,0,Inf,0.99951727617672
"X868",2.66104654450754,1.00180057013332,7.0684414874042,0.0495754246274963
"X887",1.12044803112796,0.56165929192239,2.23516962776785,0.746861894982835
"X890",0.817661147594793,0.408882488278781,1.6351146636297,0.569127255703531
"X893",2.87042284172402,1.16034621296893,7.10074906799529,0.0224998027535346
"X897",0.830406142941665,0.415364404927621,1.66016720271304,0.599032587390603
"X902",1.85917959762451,0.863330696820752,4.0037366781375,0.113077994386237
"X913",0.0156545166174982,0.000534183958290077,0.458763103467156,0.0158585875304876
"X933",0.0130636556833483,0.000602457248221456,0.283271718145794,0.00571727112509217
"X945",0.648391819867019,0.312522992248954,1.34521927185302,0.244600267521629
"X950",1.95646706997738e-07,3.47888878510213e-22,110028334.688299,0.372695155674023
"X968",1.56917594588344,0.730047246445568,3.37281341875832,0.248477519464236
"X969",0.00378905784814665,6.48302611736078e-05,0.221454597231307,0.00722421962049808
"X989",932241066019106688,0,Inf,0.999514221827213
"X999",1.27629330697358,0.634353993693609,2.56784795495797,0.494000756827135
"X1000",40767.5977511749,0.6912760230145,2404245151.09609,0.0582088542092971
"X1012",3.53169784537075,1.33632299886545,9.33373868562165,0.0109371010860427
"X1029",0.63057542157725,0.192545589607345,2.06509722247182,0.44614067741674
"X1041",0.230536536049986,0.0755253812899436,0.703698459328441,0.00996053496477275
"X1056",0.387255917093448,0.163129599149139,0.91931290278463,0.0314976584393418
"X1058",0.35228017219944,0.138849804237556,0.893781020479825,0.0280632689614864
"X1059",6.36701407020931e+118,0,Inf,0.999561739889931
"X1060",0.213436529487587,0.0718675123225931,0.633876847096378,0.00542079656759525
"X1063",1.89016234644399,0.776480333715295,4.6011644349316,0.160722571380729
"X1073",1.41008737657166e-78,0,Inf,0.999639380621598
"X1075",0.031780149682812,0.00342705906965323,0.294706888131966,0.00240355903058152
"X1077",2.35508493910271e-65,0,Inf,0.999505979788883
"X1079",0.457133295322904,0.193406828730728,1.08047296501469,0.074482295841021
"X1084",1.51227992953567e+30,2.98389592054114e-30,7.66444489411563e+89,0.321811756438129
"X1088",0.913748292000552,0.460699404892699,1.81232259531221,0.796281304017008
"X1101",0.0244258812643029,0.00123390981874574,0.483522917537269,0.0148071467994222
"X1103",1.40195815741995,0.684018444520275,2.8734410466589,0.356121185285253
"X1113",0.558847811538958,0.253988940162521,1.22962392087641,0.148111398277916
"X1117",28.0489374630779,3.05931579760514,257.163021033502,0.00318678838887083
"X1146",1.67719045372475e-32,0,Inf,0.999547557508614
"X1148",0.936584778698998,0.472707342414131,1.85567468279805,0.851034514150426
"X1151",1.08489819378305,0.54520012082883,2.15884781735631,0.816451862538721
"X1152",1.51640595449996,0.735881431880223,3.12480641476115,0.259054078360493
"X1190",0.0206141131899863,0.00135474795797105,0.313668428218916,0.00519416090706417
"X1201",1.13533598823578,0.568667421272336,2.26668129378564,0.71897651411209
"X1210",0.411388020505958,0.170287513962577,0.993849164143671,0.0484147299020315
"X1216",0.993829543731351,0.501832616709257,1.96818048310618,0.985834786720464
"X1236",1.69346092242887,0.807713996722123,3.55052643315808,0.1631262216891
"X1247",3.65455121496622,1.27986772231099,10.4352538547463,0.0154797297374137
"X1256",3.2395135385998,0.87300600300648,12.0210490313129,0.0789194038456535
"X1267",0.976052637311433,0.492660549600235,1.93374271915145,0.944602001196781
"X1268",0.163864032642884,0.0469806476882268,0.571542167153161,0.00454460629278832
"X1278",1.81378347395308,0.753354634703095,4.36688159711375,0.184107742837483
"X1279",1.03548061281506,0.521034158490948,2.05786910904514,0.920741752289525
"X1294",1.59959371221177,0.769669675908439,3.32441321808267,0.208180439713064
"X1295",0.000792061460889753,2.49876641663322e-06,0.251068428665734,0.0150834745881421
"X1299",4.11190973804783,1.18934630121229,14.2160459713194,0.0254841891426278
"X1300",1.39604588790577,0.690792413999483,2.82131662369421,0.352642416087708
"X1301",0.68541943632907,0.312702381941804,1.50238639303072,0.345489984058898
"X1302",1.00629093351225,0.507902972308165,1.99373009822544,0.985657104022303
"X1303",0.928938764776538,0.468825324916507,1.84061564690056,0.832668219785061
"X1311",1.06466267006389,0.536939288217996,2.11105170714826,0.857617523424321
"X1314",1.25215671919325,0.599389179742422,2.61582374592514,0.549670907651708
"X1330",3.19804843907896,1.29082370477373,7.92324604891589,0.0120220840100707
"X1332",1.84386434923821,0.857801396815641,3.96342993962547,0.117080570503418
"X1338",0.703475413971073,0.345303223502544,1.43316837022846,0.332667391545834
"X1339",7.15476984973824e-47,0,Inf,0.999645729991026
"X1356",0.110993687395053,0.0263937302156129,0.466762315933019,0.00270231426569171
"X1377",5514.26934320486,14.2309391793074,2136694.28322924,0.00460692802514305
"X1393",0.929544104226934,0.468962975757738,1.84247432392064,0.834210931885295
"X1415",0.134825158681475,0.0343301279921529,0.52950060126895,0.00409173941737543
"X1424",0.542320673710236,0.253100086230121,1.16203719056071,0.115542784165262
"X1429",0.897673603366457,0.452144798537447,1.78221202762367,0.757691921824857
"X1458",0.00135444865490252,3.13830895965933e-06,0.584560405730862,0.0328890097913027
"X1465",242762510467461088,0,Inf,0.999536568854297
"X1488",6.56721427206613e+42,0,Inf,0.999656562915833
"X1489",0.872561596383113,0.438703847210848,1.73548452862489,0.697586647835304
"X1491",1.2134225063424,0.596485960880902,2.4684473323124,0.593405024833499
"X1492",1.30867915547064,0.624959227568252,2.74040458387555,0.475588944224613
"X1499",0.602335968071834,0.287481043667183,1.26202623242546,0.179166533727117
