"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X95",0.552208506470989,0.258363079482577,1.18025468356241,0.125437884124366
"X105",1.3846031295587,0.631991819196564,3.03346620660524,0.416085861711426
"X106",1.57924146583867,0.727579090697875,3.42781099582191,0.247819549460278
"X140",0.201831914403792,0.0654667063227696,0.622241807477818,0.00533792659755425
"X174",0.454919014200982,0.202859329172875,1.02017151651542,0.0559361888146746
"X176",2.49128632089829,1.00168920702444,6.19604113648347,0.0495729242499653
"X196",0.961571968537704,0.485549650834079,1.90427621374901,0.910503072982372
"X199",0.00905851088965121,0.000362238486167801,0.226526508560767,0.00418216131856946
"X212",1.90575841372189,0.778473483189909,4.66543204090839,0.158015506455589
"X241",0.620939478577797,0.298153126927939,1.29318058820713,0.202981270983714
"X264",0.974285719880553,0.492247298273227,1.92836541163967,0.940383622748119
"X265",1.86222615086615,0.777898023311218,4.45802165971356,0.162693581819236
"X267",0.534183553659283,0.251096059385245,1.13642591484185,0.103534075117209
"X279",0.964305426872376,0.486815840847769,1.91013701336456,0.916990311281493
"X285",1.12907007582457,0.557877487470217,2.28508815063192,0.735748595703609
"X286",1.06402397065922,0.535956980969664,2.11238410980134,0.859217317639622
"X289",0.536845555435365,0.153962694626864,1.87190248319036,0.328991561973403
"X324",0.147117366676106,0.0306008406085616,0.707285131626623,0.0167434093307233
"X329",1.16065926317691,0.572567671737126,2.35278726287719,0.679413923736261
"X330",1.31218955166509,0.643974665293384,2.67377198560225,0.454370994815645
"X344",0.704361570449176,0.344709852667053,1.43925454432782,0.33641949314478
"X365",0.614823550621905,0.295551291272763,1.27899288401506,0.193067009570683
"X417",0.659963078226203,0.324308896005698,1.34301362061358,0.251619722770646
"X436",0.22582002026105,0.0684109444636099,0.74541700820732,0.0145972238027278
"X448",4.53997313544536,1.64777640225785,12.5085879627375,0.0034352425961266
"X463",0.152780436126734,0.0319956652422923,0.729532000235505,0.0185052899207131
"X465",0.000433303629657792,8.55125445750345e-07,0.219560809946277,0.0148039138133034
"X471",0.716736258748713,0.343569556085234,1.49521648675315,0.374679682783782
"X477",0.527903420657788,0.245758507789788,1.13396693383477,0.101483264657396
"X484",0.470264817094725,0.202778141189427,1.09059584479841,0.0787597180003085
"X493",2.80584180276723,1.11694472718372,7.04846715379244,0.0281394533652861
"X513",0.502153667711778,0.230289711598658,1.09496123055573,0.083289011958771
"X515",1.00933735157929,0.509437908913033,1.99977636424187,0.978745205874068
"X517",6.83887661054792,1.78188422272355,26.2476274821114,0.00508119075914464
"X520",0.75046715444814,0.374172008333477,1.50519263162931,0.418855428108615
"X528",0.554989164733109,0.249937370261857,1.23236062157672,0.147990370171102
"X533",0.497787812505908,0.226383591642001,1.09457008117122,0.0827007284509233
"X535",1.36410939702419,0.623861412664028,2.98270482718859,0.436620520553566
"X536",1.93828427414776e-302,0,Inf,0.99961163492312
"X545",1.08687220548224,0.544644837775807,2.16892020105051,0.813188392693623
"X580",2.82740139291991,1.05538732194904,7.57465858308978,0.0387134884463767
"X589",1.39833543666621,0.660848781185332,2.95883422820162,0.380609056940461
"X591",1.32074458432647,0.63230548899664,2.75873970317056,0.459138917751475
"X596",0.903185851084588,0.454886893394055,1.79329124106624,0.771062650662526
