"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X15",14.1404253877831,1.83125977790209,109.188020487473,0.0110810825137194
"X60",1.10442045357822,0.556100415728033,2.19338900634529,0.776624265979886
"X63",0.834463913494158,0.418294754927446,1.66468743564515,0.607532544112964
"X89",0.395239087095835,0.16925207802037,0.922966133092606,0.0319320978443973
"X96",1.00379655906386,0.506712139051898,1.98852061028925,0.991331347767496
"X105",0.535036072327547,0.247735259656983,1.15552222597644,0.111376659184462
"X123",1.96390942145556,0.875660965414493,4.40460448508886,0.10146245936482
"X140",11.2012236309216,1.85112107166443,67.7791489441061,0.00852738690040913
"X152",1.19621966541513,0.593795016593901,2.40982400986453,0.616097969338929
"X164",2.7018222532733,0.943301809917032,7.73860858904202,0.0641289632105585
"X185",0.35473053374375,0.148409916430909,0.847879674056058,0.019744263700022
"X188",1.61041357062821,0.704198091635095,3.68281581456963,0.258883183774883
"X201",5.30063241442162,1.76193574356583,15.9464975356903,0.00299792842079575
"X222",1.01481263768049,0.512146673829113,2.01083935954578,0.966384202329324
"X224",4.06996037154083,1.35681255787717,12.2084493762567,0.0122643409371056
"X232",0.793097619031309,0.394926170300152,1.5927124627752,0.514641559957579
"X233",0.801909776270778,0.400894666217866,1.60406047639751,0.532560886418977
"X298",1.68721121038695,0.77780945289232,3.65987023925958,0.185507082993478
"X299",5.49914172520849,1.70629157971824,17.7229730682505,0.00430506752920952
"X330",0.806219798762376,0.402618045376404,1.61440941701651,0.543181745773492
"X347",0.861846265116197,0.43376641559691,1.71239394749497,0.671243333858162
"X349",1.06524963594059e-185,0,Inf,0.999647970014035
"X360",0.663801685978453,0.320733867612359,1.3738264736058,0.269512984974469
"X373",0.897711128271981,0.452333881851806,1.78161597474004,0.757654001817085
"X376",1.52716269886315,0.68952544703203,3.3823637964889,0.296638879419537
"X385",0.705844429657991,0.3298849303494,1.51027316813631,0.369380524657194
"X418",0.725635728618266,0.342190778864667,1.53875335973213,0.403018893197367
"X421",2.4613257426811,0.964157318694695,6.28333602216112,0.0596103530861983
"X432",0.31729473086633,0.108831373608525,0.92506363649949,0.0354939395490154
"X434",2.46581079866543,0.942591541269949,6.45053836004424,0.0658419248142804
"X436",1.05976499591135,0.53362901822365,2.10464912552467,0.868295037850536
"X461",0.557077687774637,0.262596823543586,1.18179476060885,0.127335478494056
"X465",2.09522570133076,0.897863977588804,4.88934944389479,0.0871163716872871
"X484",2.21098942510899,0.978917683898325,4.99375414128438,0.0562955073618461
"X511",1.53635951927346,0.669432023154761,3.52597499196193,0.310994761211816
"X512",0.649400067760213,0.30869595694824,1.36613531377633,0.25522002663094
"X515",0.26894584371935,0.104183765075804,0.694271960715607,0.00664489443294025
"X516",0.978352202308847,0.494036890081636,1.93745254854229,0.949940944387085
"X524",1.9014947298857,0.847804544318731,4.26475917357641,0.118908557031715
"X529",1.63439211803977,0.799742557365929,3.34012185659925,0.17791662184687
"X534",0.958828500572646,0.484211458512134,1.89865827697539,0.903994414221688
"X543",0.474242454794696,0.201121703714732,1.11825776023011,0.0882665805276374
"X549",0.930458360739263,0.467428430684166,1.8521611101028,0.837408230691488
"X552",1.00696819255174,0.508294886141311,1.99487535377058,0.984116253962694
"X575",0.776118297199345,0.387054261413397,1.55626657887188,0.475223415142327
"X578",4.09770045590909,1.3265908622979,12.6573682237432,0.0142402473337256
"X599",2.56339700457103,1.12424173454525,5.84483212207174,0.0251895182716786
"X628",2.4336513890485e-20,0,Inf,0.999496863668372
"X638",1.32245043421215,0.64741079830225,2.70133762911293,0.443118620816737
"X647",1.38899652780177,0.678375664754803,2.84401616166864,0.368827774640538
"X662",0.746863775823202,0.364700307795027,1.52949007092803,0.424823400913902
"X663",1.2695682330887,0.612495706157108,2.6315343638581,0.520998664363033
"X673",0.711965329238083,0.348029492125601,1.45647033227333,0.352209768236133
"X676",1.90803288865102,0.851731699442387,4.27433839383621,0.116412522935259
"X691",2.1731070546485,0.885579111412066,5.33254930034786,0.0901353468830463
"X707",0.621459205849692,0.2910534227853,1.32694383333271,0.219038122403356
"X722",1.06560677153865,0.535367654825236,2.12100559552798,0.856417337802482
"X725",3.05456366399494,0.97757237758165,9.54441777546939,0.0547344856796231
"X749",0.664883097233487,0.326471839456517,1.35408166818527,0.260716339748716
"X750",2.06503345500272,0.900368579577959,4.73624165370072,0.0868611338680638
"X755",1.20397941763464,0.604675701695101,2.39726258889559,0.597289605431749
"X766",1.02561126864528,0.517479176370108,2.03269720291097,0.94223818927539
"X804",1.39233622785947,0.690122049323184,2.80906858911574,0.355338679057057
"X813",0.674927078349157,0.329726018862048,1.38153052847041,0.282058010201255
"X814",0.449406360954213,0.181956442538409,1.10996936656132,0.0829477856661468
"X815",3.1988888144158,1.14901309269799,8.90580769881979,0.0260211674830477
"X844",0.345169898960797,0.117670475758644,1.01250766923881,0.0527012368966156
"X852",0.950764969652552,0.480200001775494,1.88245319486909,0.884811516077197
"X859",0.599518041259995,0.282058827354686,1.27427985561413,0.183536009778736
"X864",0.650581323214493,0.316040478997434,1.33924635052511,0.243203070142275
"X867",0.00140590453552696,7.64044805809592e-06,0.258697860123644,0.0135805166433144
"X868",0.288900328973095,0.10624312127974,0.785588742832603,0.0149815585622566
"X887",1.31353915767315,0.641436941967021,2.68987488224432,0.455809688003999
"X890",4.00577173695124,1.28488647853451,12.488424056621,0.0167527687597102
"X893",1.63097367953358,0.771112982647777,3.44965679892638,0.200572177392842
"X897",0.664476119864887,0.32450262636745,1.36063155732592,0.263635001334567
"X902",1.0912834100854,0.549022352533599,2.16912749659811,0.803181708513275
"X913",2.13969166441057,0.900857685941134,5.08213504774078,0.0848087270847178
"X933",38.9965996266815,2.77513325706682,547.986219606275,0.00658774822737713
"X945",15.2854519810069,2.73958686314599,85.2847724621377,0.00187698615717995
"X950",34.7183023092878,0.573119435247382,2103.1576336594,0.0902380122189157
"X968",1.22411747194131,0.590501961745317,2.53760983398438,0.586654678003674
"X969",21.09386685845,2.50490370158261,177.63206576001,0.00503677416186369
"X989",3.1244953241446e-25,0,Inf,0.999635325423881
"X999",0.673659856796128,0.323254417487682,1.40390224574695,0.29168240643044
"X1000",0.540722920483134,0.242392761366276,1.20622940671894,0.133104651396184
"X1012",1.00198755534695,0.50581617311134,1.98486943368093,0.995457443444297
"X1029",1.14449937042423,0.572243312123673,2.28902423348616,0.702729493384963
"X1041",0.769389221757383,0.38396265697579,1.54171184046618,0.459743580671685
"X1056",0.471065627673849,0.207914569423865,1.06727886453871,0.0712375077000979
"X1058",0.727529815739764,0.358867523972151,1.47491650103008,0.377650022185243
"X1059",3.61953220211169e-06,2.15134873292438e-17,608967.442684895,0.342094298957221
"X1060",1.08926878905459,0.548421970136059,2.16349190845524,0.807054668082528
"X1063",1.36099885048828,0.645197890072318,2.87092983336137,0.418316675127097
"X1073",17.1104763716518,2.55501389793231,114.585835287151,0.00342414622563612
"X1075",4.94398001640154,1.46760541804941,16.6549796709423,0.00990585558562345
"X1077",16.2528342950031,2.23219000059146,118.338771587918,0.0059095823823504
"X1079",0.912194532375514,0.460195304393949,1.80814288401228,0.792344735533515
"X1084",0.119413759345343,0.0276039579827127,0.516579757508609,0.00445613049881249
"X1088",0.367002363356297,0.154930127021725,0.869364385728675,0.0227165742824071
"X1101",3.39870896943138,1.16086985845753,9.95048891547726,0.0256037098146945
"X1103",0.392949885458518,0.164826092943041,0.936803207094293,0.0350935907267755
"X1113",9.72500628197768,1.55211971202982,60.9332814031604,0.0151176498565529
"X1117",0.350400139808569,0.141867630432081,0.865456465325583,0.0230123386741563
"X1146",2.77566221644418,0.977089740138665,7.88494692278975,0.0553026535455453
"X1148",0.879616585486442,0.442673723824985,1.74784563849271,0.714264538561128
"X1151",0.71925743672794,0.355805253190496,1.45397308119976,0.358790589889339
"X1152",1.00184042334911,0.505723984909301,1.98464827416942,0.995793619311715
"X1190",2.74039047939665,1.12623747064548,6.66798981147709,0.0262806917883121
"X1201",1.75377581555115,0.710533522435538,4.32876073273679,0.222973462094368
"X1210",0.854022969029397,0.427859600119183,1.70466020027743,0.654527606585189
"X1216",0.559621695023761,0.221941533528564,1.411076316191,0.218613333036833
"X1236",0.991990877762202,0.500795821579676,1.96496428117035,0.981603329317809
"X1247",0.242474784548732,0.0810497496463423,0.725406573104784,0.0112711179090665
"X1256",0.594487848910686,0.258052590547297,1.36954952381181,0.221932581383124
"X1267",0.490317707029172,0.199459926332455,1.20531205564387,0.120405948557183
"X1268",1.9615889165985,0.893190653484643,4.30796164593792,0.0932330093507153
"X1278",1.48684134699023,0.723777734759356,3.05438684412522,0.280189880344839
"X1279",0.956614672457955,0.483244925378522,1.89368078898095,0.898697413049506
"X1294",1.32538085460904,0.643400345061921,2.73023541756901,0.444868811329167
"X1295",5.54829663510179,1.52159214919652,20.231174015545,0.00943352531378526
"X1299",0.734745110856452,0.353322603862156,1.52792482571558,0.409281070124285
"X1300",0.388788100544419,0.165668347561238,0.912402334845908,0.0299587721625616
"X1301",0.769301265849762,0.382374921655439,1.54775955252458,0.462139354811066
"X1302",1.06915045495969,0.5383970110168,2.12312229070832,0.84849854518418
"X1303",1.27487026959609,0.60196960667253,2.69996057323235,0.525884228503524
"X1311",0.988099940071134,0.498787387045586,1.95743019355729,0.972618802508786
"X1314",1.41084128430159,0.496816153250095,4.0064581565402,0.518055456026321
"X1330",0.513429127795724,0.239959304210574,1.09855906665636,0.0858357729057248
"X1332",0.581236942567515,0.27793970425126,1.21550242098489,0.149437014977103
"X1338",1.4785471677387,0.721866228632944,3.02840282661254,0.285050297033881
"X1339",6.00325268655687,1.75358309871297,20.5516595393185,0.00430993167618053
