"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X95",7.86277628751604,1.99170238596394,31.0404061285508,0.00324579675228848
"X105",0.673563166737616,0.295624311920035,1.53467533383495,0.346932820005336
"X106",0.562033539234323,0.251155113866872,1.25771557807776,0.16089980248007
"X140",5.39277087224282,1.83498512872167,15.8486176401715,0.00218633361281828
"X174",1.61190528751607,0.788988995427394,3.29312407521576,0.190268213862533
"X176",0.0252767835211411,0.00213534082264759,0.299210214312506,0.00353435232554815
"X196",1.13591488689047,0.583292453594473,2.21210238930411,0.707839135728784
"X199",5.71110951574258e+29,0,Inf,0.99954873238327
"X212",1.08210474970732,0.556413209995683,2.10446241804402,0.81613591062942
"X241",0.440873887760311,0.198928357816526,0.977084348568143,0.0436855617908094
"X264",0.010595617116644,0.00036281052431455,0.309437280780712,0.00825770720928751
"X265",0.34681333618083,0.113551469822253,1.05925084317408,0.0630337093309268
"X267",4.82874192971015,1.62590587849421,14.3407739231099,0.00457951344934831
"X279",1.3275278228917,0.675524435368841,2.60883252815174,0.411098997042487
"X285",0.65787193875594,0.304438445588406,1.42161903029695,0.286809210122427
"X286",0.782101750746613,0.394881505141782,1.54902962168687,0.480888855232538
"X289",0.289623270101545,0.0504692139719585,1.66203576364234,0.164502937037886
"X324",200067.480686556,18.434839458179,2171269075.54958,0.0100326455925606
"X329",0.489929140665607,0.189399143251527,1.26732655044048,0.141175970079291
"X330",1.35646397839316,0.667263098270626,2.75752477463086,0.399623371228059
"X344",0.492799961949313,0.228512172365948,1.06275215006198,0.0711092427134438
"X365",1.28858296936443,0.65798082964671,2.5235477906364,0.459684835350243
"X417",1.11646348855902,0.573849304351338,2.1721568917721,0.745612878638548
"X436",29.153607547761,3.00899350238732,282.464163639615,0.00360552505883341
"X448",2.81285509628378,0.95063961383996,8.32297926311921,0.0616865853851934
"X463",1206.01891542292,4.22637182072306,344144.265117933,0.0139062647103798
"X465",86.036737070225,2.1123390000085,3504.32393932094,0.018503574569409
"X471",1.32692594588336,0.663658566364441,2.6530697486568,0.423599282443159
"X477",1.68766541632984,0.804237513930059,3.54150920361501,0.166388090261992
"X484",3.19721198615607,1.33149314543555,7.67721900744465,0.00930614232355272
"X493",0.0498546550102281,0.00737336645983662,0.337089800124208,0.00210397039760401
"X513",4.37098085839169,1.58224837608438,12.0748890965572,0.00444038179341618
"X515",0.969543443800671,0.499713192256502,1.88110801152185,0.927122379423631
"X517",0.0111532066118098,0.000551317402871913,0.225630493573625,0.00338526081059842
"X520",1.39757985543494,0.702351155128388,2.78098702914571,0.340317974173823
"X528",1.43243459875848,0.712354989163429,2.88040220246091,0.313294263590818
"X533",11.2630536954894,2.28749397204205,55.4564864860527,0.0029069984749661
"X535",0.991394190038466,0.51104966939495,1.9232229250939,0.979604477743944
"X536",1.2065069322994e+22,0,Inf,0.999639028567469
"X545",0.887976826490321,0.45281737713452,1.74132638056772,0.729509164628101
"X580",0.0126849827927654,0.000671437726379118,0.239648119447343,0.00358211688852953
"X589",0.692836486847276,0.334598422112138,1.4346224183508,0.323074958723283
"X591",0.759906381428016,0.373371586202683,1.54660324961512,0.448883381539009
"X596",0.741770115517274,0.377163263741811,1.45884543159317,0.386689367454964
"X625",79766329.4801295,20.7532582115877,306586428688096,0.0186706886938481
"X644",0.00126341171601465,8.5118339895739e-06,0.187528230240189,0.00889340359544493
"X646",9.85532084061209e-47,0,Inf,0.999620715022823
"X654",0.554899434099172,0.237670033415756,1.29554987449742,0.173371646670936
"X663",52485.8096136966,2.518405576876,1093850901.57813,0.032190434633881
"X669",1.34521141932983,0.681251770252925,2.65627751987129,0.392941737808025
"X674",13.6132296693573,2.63245622735711,70.3981399974594,0.00184207375091387
"X725",0.486272658973741,0.225349186780681,1.04930975009697,0.0661596750827312
"X788",0.921392401275315,0.474230639209917,1.7901921279112,0.809096031326713
"X792",33100.0715761963,0.184425865626996,5940678302.49588,0.0917734856065726
"X796",2579.11869592346,3.36219246111196,1978427.26869419,0.0204605446074273
"X813",10.9230418391234,2.57844496535123,46.2731780676141,0.00117066534297722
"X814",0.971739365296692,0.500073985912838,1.88827537657958,0.932595974336796
"X817",0.103276372362808,0.0236379326791893,0.45122427723181,0.00254636993871599
"X820",42.7345634177215,3.89285625799554,469.126725846179,0.00212713345819826
"X829",0.558150622606195,0.183344525274146,1.69916236686023,0.304586345605913
"X831",0.0276203163114189,0.00267939294813038,0.284721908249835,0.00256630548515994
"X862",0.963861569708248,0.496742744949921,1.87024196126731,0.913334750347027
"X867",5.72383501529652,1.91664868990231,17.0935276010359,0.00177500132951312
"X868",1.30123963353891,0.657168519583032,2.57654548785571,0.449952807728491
"X869",1.44014277553637,0.709138243793178,2.92469237427631,0.312926060244842
"X884",1.93671327145076,0.925774493607144,4.05158958441254,0.0792246099965883
"X886",0.234280623870681,0.0828555659257489,0.662446874968216,0.00620880543557289
"X898",100505519.785285,42.3377159172575,238590091327833,0.0138897278341617
"X899",0.756578869218943,0.384103035932734,1.49025530079085,0.419941027469084
"X919",0.64800445146322,0.281111167901948,1.4937498650449,0.30857491120377
"X950",0.724434317875573,0.332429792570169,1.57869448721288,0.417295433536352
"X951",0.5118631276546,0.238405640704244,1.09898348326993,0.0858175337694046
"X954",1.26418486699732,0.637749496356035,2.50594220313244,0.501890272322672
"X990",29.8192889993661,3.80228699207795,233.85662320607,0.00123339121559158
"X995",0.16303812228725,0.0301380862768172,0.881987962832243,0.035222144288122
"X997",1.54434498578769,0.637022508702856,3.74398298732657,0.336096978988916
"X1015",2.47762239930086,1.11286334914447,5.51605258474593,0.0262917512826456
"X1016",0.570536663344592,0.26506933984508,1.22802616255288,0.151340002750968
"X1029",1.46112238793625,0.728754263842983,2.92949041734666,0.285315902109993
"X1045",1.2390476418917,0.628845820155595,2.44136004354378,0.535625949738329
"X1050",1.66411691271249,0.790026475927348,3.5053066999117,0.180271690531128
"X1051",1.07738222825605,0.554071339448713,2.09495128716977,0.826119483330736
"X1055",0.0868055257288153,0.016703158122588,0.451124227032613,0.00365295657928741
"X1070",0.548572594254347,0.262478352277633,1.14650175359466,0.110379535840765
"X1072",0.67144843764312,0.336898340376017,1.33821675675278,0.2576266380638
"X1090",6.32839796720746,1.73006150638493,23.148668809492,0.00529635705392962
"X1103",1.07392684234887,0.553192290804785,2.08484261600893,0.83309960577894
"X1114",0.223927173170522,0.0525464425710624,0.954267813969104,0.0430430630843895
"X1116",18.943182374888,3.40951749611056,105.247783270689,0.000774085044306472
"X1128",0.716560111040319,0.352433716277754,1.45689350654934,0.357261372833025
"X1130",0.0032205224135766,6.97341256458762e-05,0.148732984321322,0.0033405644639151
"X1134",1.39679065673446,0.687364724736802,2.83841179002566,0.355626563396003
"X1154",6.60299527024934,1.09085152498183,39.9683600750903,0.0399119951218563
"X1159",3.8803206161065,0.965251380326576,15.5989293469716,0.0561105007105196
"X1167",1.03549265251241,0.533645803883033,2.00928223478024,0.917866240254127
"X1186",1.07060533335443,0.551314189867603,2.07902463036947,0.840320548824261
"X1188",0.643981803156036,0.319867010260865,1.29651558145332,0.217705995130202
"X1212",0.520180053625433,0.246589624318306,1.09731822228041,0.0861350744444245
"X1213",0.736698712625825,0.373675691679387,1.45239576795968,0.377588757512434
"X1221",8.01882720123466,1.78929144870475,35.9369010173318,0.00652309274582551
"X1222",15.3014182059484,2.38615603877459,98.1215793555433,0.0040109643996866
"X1226",1.50804550357456,0.712724864474786,3.190854359385,0.282666657678089
"X1228",1.99184541408519,0.828892347182724,4.78644563084331,0.123448690345597
"X1237",8.64560379072386,1.73799436069472,43.0073115290781,0.00840695026156805
"X1256",0.336827279425262,0.139201035564354,0.815027098793196,0.0157927347947605
"X1264",14.6153562131278,2.05446081011866,103.97308928189,0.00737855782013006
"X1268",1.11852028652019,0.573992895628151,2.17962215366458,0.742107717944644
"X1269",1.11271826998994,0.571169349491317,2.1677317759997,0.753588574717503
"X1271",142.526962090156,5.11418957453607,3972.07311668566,0.00348567402676976
"X1284",0.845086593405185,0.430046033488491,1.66068582137566,0.625305713174581
"X1285",0.918185565010223,0.471221139253968,1.78910634851372,0.801973790516214
"X1292",1.02145492186884,0.52642231254716,1.98200215405309,0.949952127091378
"X1298",0.979333051232549,0.504654199100586,1.90049587806024,0.950772118873421
"X1303",1.13962471079342,0.584069904542256,2.22361137143135,0.701542313562241
"X1320",1.00750446506143,0.519347030249389,1.95450284298591,0.982357277449954
"X1325",219.352344276946,4.51275943032384,10662.0908299424,0.00651866321044306
"X1329",1.06708360881539,0.549652478047539,2.07161338059863,0.84787328022821
"X1332",1.65996977431904,0.815027754662348,3.38086603295414,0.162584724122855
"X1336",0.797848790285648,0.405281728073443,1.57066713860072,0.513434534854355
"X1348",32225229400239.4,1.61974077805627e-11,6.4113062038497e+37,0.275886741558604
"X1349",0.96749835901321,0.49829598833444,1.87850814898595,0.922247605504065
"X1350",561.428541055753,3.95975334367635,79601.4244713912,0.0122645712778965
"X1364",0.122629063128734,0.0334858627606037,0.449081668623545,0.00153066682245537
"X1380",0.682781516901612,0.325811634093442,1.43085927891932,0.3120788120909
"X1386",1.18984724032847,0.609993467389946,2.32090428996717,0.610104350842259
"X1389",6.46311710399136,1.94534718752063,21.4727134404962,0.00231693163167078
"X1410",0.711630285696265,0.351330492597288,1.44142815437494,0.344821491184389
"X1413",0.403352873043749,0.175028461506137,0.929526197011921,0.0330422233840817
"X1415",1.32262158742191,0.668913455516918,2.61517816555601,0.421441867434429
"X1425",1.53851740813152e+24,0,Inf,0.999608669714217
"X1444",1.1115405018325,0.57178593302803,2.16081266755033,0.755193942711109
"X1445",0.630877595640577,0.302599577953068,1.31529112953014,0.219116197654959
"X1453",0.746700688015563,0.364261883814964,1.53066225772374,0.425112594891977
"X1475",0.486524368609601,0.231452998220289,1.02269559293279,0.0573292374324077
"X1484",0.85783568257071,0.439300422076108,1.67512258425298,0.653358505108751
"X1506",0.384065385035246,0.158437502594849,0.93100571245098,0.0341541623443342
"X1510",0.0431724252966633,0.00636329628317222,0.292907672855805,0.00129548543376742
"X1511",0.639465301474999,0.278436408762115,1.46861494733568,0.291871709437927
"X1513",2.5055902098988,1.06254490184054,5.90843952953518,0.0358513488066449
"X1514",0.199005312460971,0.0686714295235514,0.576704382921087,0.00293999386522971
"X1534",0.209891519810179,0.0652299708203237,0.675371298410897,0.00883803814539637
"X1557",1.27855388370093,0.650582488814097,2.51267143157591,0.475923312472009
"X1595",3815.01447345431,2.07697275345854,7007475.37897655,0.0315069744852155
"X1601",0.345035438949215,0.137574417401152,0.865345871563769,0.0233115495857561
"X1607",282.809907480064,3.28617285144758,24338.7817331795,0.0130127943430445
"X1618",0.000478982201461586,2.0579072234494e-06,0.111484107107819,0.00597786528986559
"X1649",165.401857517672,5.58989020469752,4894.15238376346,0.00311892168668029
"X1658",250.197787490242,1.11694727899108,56044.6621272551,0.0454941071612186
"X1694",0.0353479260886571,0.00390106813769951,0.320290708766238,0.00295397338785307
"X1696",0.0401511706767373,0.00509034756113701,0.316700674629848,0.00227949605051893
"X1739",0.413983523840558,0.182299074963236,0.940116443520127,0.035068263587662
"X1741",1.1563243932055,0.592450254625184,2.25687488845454,0.670323766773171
"X1774",14.7263859290175,2.58520883586191,83.8873980012766,0.00244554967176669
"X1775",0.647145306776144,0.321888168861156,1.30106381220564,0.221947385604374
"X1776",0.68410227093312,0.335251138263248,1.39595623603333,0.296809673554547
"X1785",4.80924487069179,1.4381119001618,16.0827792494263,0.0107754766630943
"X1800",0.0140286069180069,0.000724379643907514,0.271683244711772,0.00477481730931671
"X1812",1.80916944496993,0.879610084340277,3.7210738472464,0.107101961885224
"X1813",0.676392406737605,0.334178206480683,1.3690500428212,0.277110838831065
"X1832",1.65297242173255,0.750195728866566,3.64213994011471,0.21243374159823
"X1836",5.34649557447071,1.77093961879343,16.1411572842389,0.00294153188613667
"X1837",0.955659922889874,0.492428099287778,1.8546583542629,0.893351293403521
"X1847",0.0687240265135386,0.0125451034005323,0.376480900112242,0.00203015238588265
"X1862",0.729741869507282,0.360278729024388,1.47808669569259,0.38162018658251
"X1868",1.94866134517461,0.860970183482726,4.41046752956911,0.109419803926306
"X1870",264215.92046757,1.68627754544443,41398910171.769,0.0407941040535604
"X1882",2.67889271680554,1.10413747294852,6.49961292318928,0.0293267999689459
"X1892",1.154071707026,0.589823845367477,2.25810047426634,0.675633881338112
"X1893",0.634064385015722,0.31453703105815,1.27818859036359,0.20273959319397
"X1896",1.65264269348504e-47,0,Inf,0.999616966981479
"X1898",0.685183727022066,0.332364887689369,1.41253410683569,0.30570646957651
"X1911",47.2957270368878,3.38528457527819,660.767432163063,0.00415200161660806
"X1921",0.852875296753177,0.427922968808187,1.69982993396615,0.651073358603428
"X1928",3.41811692987906e-05,1.72999573957569e-08,0.0675349833473665,0.00790531827338997
"X1942",122.691324396974,3.04773421027589,4939.131841461,0.0107388101456795
"X1949",1.00796618289842,0.519607448350253,1.95531420708572,0.981275065248576
"X1951",2.02478130295842,0.924783442510908,4.43318850268197,0.077660398616986
"X1952",2.92770847266596,1.10273774718257,7.77290604481406,0.0310596068714194
"X1955",139.184971458976,6.02962374781284,3212.87978989786,0.00205744671590003
"X1957",3.836851958547,1.51686308368941,9.70518243215436,0.00451171527393244
"X1959",0.469186384201692,0.21780232919636,1.01071399893889,0.0532631093990173
"X1960",1.67171894797903,0.779590780153107,3.5847579424724,0.186745818947478
"X1964",3.53939859760462e-15,2.66671693583712e-28,0.0469766485687882,0.0308996024061582
"X1979",5850964.23366116,0.178278562574054,192024110859442,0.0776129872813352
"X1991",0.0114556204824532,0.000463283580449632,0.283263310369511,0.00632014146322209
"X2020",0.430199207127619,0.1488279596781,1.24352546533274,0.119339822709158
"X2027",0.691882657504729,0.341235764749885,1.40284712567183,0.307081659345987
"X2028",2.24520753582041e-38,0,Inf,0.999676692330219
"X2029",3.69438131744062,1.30433441720575,10.4639217815728,0.0138863429202786
"X2035",1.06203470488826e-14,0,Inf,0.999590419008078
"X2078",0.149245096410977,0.0341008691917736,0.653182729081147,0.011554897665902
"X2079",2.4985113728149,1.06015902226457,5.8883233071496,0.0362988536693374
"X2086",0.767889697331989,0.391688204027876,1.50541829241978,0.441912189905105
"X2094",1.06516083119905,0.548613920414937,2.06806199059357,0.852068739142005
"X2095",8.85422430888015,1.92240872326227,40.7807596601655,0.00513030588481982
"X2104",1.45310089898961,0.692510563150407,3.04905417332358,0.323011503712045
"X2111",7.57335806232178,1.42509950843734,40.246840308735,0.0175176736793725
"X2116",0.958834890635858,0.49349808408889,1.86295423861277,0.901278881940297
"X2128",0.144376334657559,0.0422909394152328,0.492883967520557,0.00200600026862514
"X2133",1.12197164482988,0.574221442269494,2.19222111739164,0.736297389239069
"X2153",2.68786180572757,1.12921899420083,6.3978742155343,0.0254396145647476
"X2154",0.201432559149223,0.0657766589385459,0.61686130825395,0.0050151888765095
"X2164",0.500175274022741,0.235811697533535,1.06091134307766,0.0709380792411896
"X2183",0.16825239259681,0.0530382411959475,0.533744463923028,0.0024787136585177
"X2190",22.8452413070345,2.98835228777976,174.646427233783,0.00257077736193525
"X2194",0.985932027792655,0.508195036380996,1.91277343114106,0.966577265046661
"X2203",110104.120933807,0.0833490985805259,145447493171.075,0.106428306570504
"X2205",1.21012188912803,0.616018789402452,2.3771920787794,0.57982908301607
"X2216",4.40347383141942,1.5894987930648,12.1991799355868,0.00435289991392206
"X2222",0.543910882305439,0.241149595194264,1.22678641716964,0.142252296899877
"X2240",934.838465926996,2.20817642124017,395766.818706415,0.0266427768116549
"X2248",0.38112926604326,0.142904571188969,1.01647915266889,0.0539369787926571
"X2249",0.589911537061958,0.2865612983746,1.21438457856194,0.151937313989136
"X2257",2.64974037568506,1.09790600773551,6.39501378903745,0.0301748007321367
"X2272",0.381926907129004,0.167061706488654,0.873139425275973,0.0225148572584349
"X2273",1.03495852826313,0.533372002630721,2.00824030871788,0.919076728133903
"X2288",8.71311716211852,2.150905494198,35.2960234122753,0.00242090347657849
"X2291",1.66059085469806,0.786284013228062,3.50708133488022,0.183633853319296
"X2294",0.372469452145746,0.15964597031558,0.869007169473242,0.0223230151907464
"X2304",768951065599855616,536312.894808426,1.10250144460608e+30,0.00392959202638018
"X2306",2.11220716907253,0.966760704161483,4.61481223417225,0.0607620437698985
"X2310",2.38215915413414,1.05065567291473,5.40108656138729,0.0376803054233773
"X2322",24.4386751365384,3.12915011902011,190.866152058019,0.0023051496047679
"X2328",0.984051737635715,0.50725628131585,1.90901100294293,0.962073734742325
"X2331",0.602565844186746,0.29478106355333,1.23171275727078,0.164930887295892
"X2332",6.10127026894554e+43,0,Inf,0.999631298256936
"X2335",0.766232607953149,0.385981935835529,1.52108778930229,0.446592490588072
"X2339",2.28282639756451,0.87385445289861,5.96357476251486,0.0920325612229042
"X2351",8.11525308370103,2.24906747467213,29.2820617229902,0.00138394625435307
"X2365",72.5304828744753,2.23986912344483,2348.65103989372,0.0157566519101756
"X2370",0.311771480785027,0.124401681098271,0.78135162943742,0.0129059300173121
"X2371",1.69349722050861e-23,0,Inf,0.999637690156754
"X2374",0.758837898633398,0.338340181216956,1.70194079323113,0.503084982224726
"X2383",1.74701746780078,0.838312704454912,3.64072978565386,0.136426595735868
"X2393",1.46117514439957,0.628558370513407,3.39671365901499,0.378234734435796
"X2398",0.0127978461549996,0.000618369977670387,0.264865488496179,0.00481140099320353
"X2403",0.708382874693854,0.349810178235748,1.43451028123414,0.338212032465015
"X2404",20.6445372567713,2.26262537066099,188.363890935119,0.00727785143325588
"X2411",2.44149950623389,0.990919908531316,6.01554150604894,0.0523586136153266
"X2420",0.806407451765674,0.401602759456979,1.61924429787906,0.545212748538196
"X2427",1.10330218778798,0.566057323982346,2.150446016693,0.772794895470568
"X2458",1.11786347163253,0.573992471901181,2.17706468705303,0.743194556577722
"X2470",0.884343604452117,0.451341526732386,1.73275350131713,0.720227198408664
"X2474",0.226961413187547,0.0753377773579937,0.683740413940192,0.0083967071840787
"X2500",1.37791126485304,0.695337118249049,2.73053085184051,0.358259530055841
"X2505",0.834372059940157,0.426677707973185,1.6316219980551,0.59666624306116
"X2510",0.778877440702303,0.389973724382527,1.55561780116217,0.478917561791632
"X2519",6.246085269628,1.93709089401983,20.140294560212,0.00216288443058861
"X2520",3.26157227341262e-52,0,Inf,0.999572448916208
"X2523",4.32014741916451,1.45738777098334,12.8062510849264,0.00830620350472554
"X2529",0.171388755857356,0.0321626869416092,0.913297626148602,0.0388054776493203
"X2532",2.52102165025567e-65,0,Inf,0.999504634302223
"X2546",0.13046074659893,0.0353261716169555,0.481795949691335,0.00224659394322305
"X2547",4.73079964094725,0.511543269516724,43.7508742201425,0.170887251644258
"X2554",8.7715506264243e+28,0,Inf,0.999552429343367
"X2578",1.05002201687137,0.541018428556353,2.03790883585359,0.885284293591663
"X2586",6.39879516921767e-07,3.2159697238765e-16,1273.16433713963,0.191705006935169
"X2604",1.59628050844431,0.79249732613906,3.21529344969943,0.190520735657861
"X2611",0.738073332231501,0.373903687362902,1.45693199121246,0.381384806070321
"X2616",0.942877766208514,0.485354969333524,1.83168719428408,0.862174666701585
"X2622",1.77583902861824e-52,0,Inf,0.999565255015596
"X2627",0.517749506171245,0.243275848139787,1.10189545403018,0.0875989870571123
"X2646",3.71044965067474,1.47432384233807,9.33813604232233,0.00536290005466498
"X2650",0.133589011931887,0.035543245346254,0.502093265122133,0.00288332423247928
"X2652",1.24451695888007,0.631223463187919,2.45368328534232,0.527659914152624
"X2654",0,0,Inf,0.999633127878521
"X2668",0.731244935066906,0.367099144609159,1.45660692189928,0.373325923398151
