"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X95",16,0,0.000289,0.00062,0.000403,0.000507,0.00045,0.000444,0.007206,2.4e-05,0.000399,0.000502,0,9.6e-05
"X105",16,0,0.000214,0.000559,0.000326,0.000447,0.00039,0.00039,0.006233,2.5e-05,0.000337,0.000442,0,9.9e-05
"X106",16,0,0.000176,0.001074,0.000293,0.00049,0.000443,0.000431,0.007084,5.4e-05,0.000327,0.000559,0,0.000218
"X140",16,0,0.000238,0.000918,0.000449,0.000731,0.000583,0.000569,0.009333,4.9e-05,0.000478,0.000688,0,0.000197
"X174",16,0,0.000303,0.000706,0.000423,0.000555,0.000491,0.000469,0.007849,2.7e-05,0.000432,0.000549,0,0.00011
"X176",16,0,0.00032,0.001091,0.000419,0.000627,0.000574,0.000556,0.009192,5.5e-05,0.000456,0.000693,0,0.000222
"X196",16,0,0.000378,0.000755,0.000448,0.000499,0.000493,0.000475,0.007886,2.5e-05,0.00044,0.000546,0,9.9e-05
"X199",16,0,0.000442,0.000827,0.000502,0.000739,0.000613,0.000573,0.009803,3.4e-05,0.000541,0.000684,0,0.000134
"X212",16,0,0.000187,0.000477,0.000296,0.000372,0.00034,0.000343,0.005435,1.8e-05,0.000301,0.000378,0,7.2e-05
"X241",16,0,0.000337,0.000492,0.000358,0.00041,0.000389,0.000388,0.006218,1e-05,0.000367,0.00041,0,4.1e-05
"X264",16,0,0.000157,0.000379,0.000219,0.000337,0.00028,0.000287,0.004487,1.7e-05,0.000243,0.000318,0,7e-05
"X265",16,0,0.000287,0.000507,0.00034,0.000393,0.000376,0.000373,0.006013,1.5e-05,0.000344,0.000407,0,5.9e-05
"X267",16,0,0.000212,0.000677,0.000315,0.000479,0.000405,0.000383,0.006481,3.4e-05,0.000333,0.000477,0,0.000136
"X279",16,0,0.000314,0.000643,0.000442,0.000604,0.000511,0.000524,0.008179,2.6e-05,0.000456,0.000566,0,0.000103
"X285",16,0,0.000171,0.001187,0.000196,0.000274,0.000295,0.000231,0.004716,6.1e-05,0.000165,0.000424,0,0.000243
"X286",16,0,0.000199,0.000601,0.000351,0.000527,0.000425,0.000438,0.006795,3.2e-05,0.000356,0.000493,0,0.000129
"X289",16,0,3.6e-05,0.001047,6.7e-05,0.000207,0.000193,0.00014,0.003093,6e-05,6.5e-05,0.000322,0,0.000242
"X324",16,0,0.00026,0.001607,0.000356,0.000948,0.00067,0.000571,0.010722,9.7e-05,0.000464,0.000876,0,0.000387
