"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X95",16,0,0.000162,0.000526,0.000333,0.000439,0.000382,0.000373,0.006107,2.3e-05,0.000333,0.000431,0,9.2e-05
"X105",16,0,0.000197,0.000704,0.000262,0.000448,0.000386,0.000368,0.006184,3.8e-05,0.000306,0.000467,0,0.000152
"X106",16,0,0.000146,0.000753,0.00029,0.00054,0.000399,0.000345,0.006379,4.2e-05,0.000309,0.000488,0,0.000168
"X140",16,0,0.000263,0.000894,0.000306,0.000563,0.000459,0.000459,0.007337,4.4e-05,0.000365,0.000552,0,0.000176
"X174",16,0,0.000165,0.000571,0.000354,0.000484,0.000409,0.000386,0.006548,2.6e-05,0.000353,0.000466,0,0.000106
"X176",16,0,0.000308,0.001467,0.000577,0.000784,0.000708,0.000679,0.011323,7.1e-05,0.000557,0.000858,0,0.000283
"X196",16,0,0.000368,0.000699,0.000431,0.000517,0.000477,0.000451,0.007635,2.1e-05,0.000433,0.000521,0,8.3e-05
"X199",16,0,9e-05,0.000693,0.000223,0.00029,0.000278,0.00026,0.004443,3.2e-05,0.00021,0.000345,0,0.000127
"X212",16,0,0.000233,0.000441,0.00033,0.000376,0.000349,0.00037,0.005582,1.3e-05,0.00032,0.000378,0,5.4e-05
"X241",16,0,0.000342,0.000553,0.000402,0.000451,0.000429,0.000414,0.006858,1.5e-05,0.000398,0.00046,0,5.8e-05
"X264",16,0,0.000166,0.00179,0.00029,0.000431,0.000455,0.000367,0.007274,9.5e-05,0.000252,0.000658,0,0.000381
"X265",16,0,0.000289,0.000566,0.000328,0.000439,0.000387,0.00037,0.006194,2.1e-05,0.000343,0.000432,0,8.4e-05
"X267",16,0,0.000188,0.000569,0.000296,0.000474,0.000377,0.00036,0.006027,2.7e-05,0.000319,0.000434,0,0.000109
"X279",16,0,0.000309,0.000544,0.00038,0.000466,0.00043,0.000436,0.006885,1.9e-05,0.00039,0.000471,0,7.6e-05
"X285",16,0,0.000192,0.001755,0.000253,0.000348,0.000384,0.000281,0.006141,9.3e-05,0.000186,0.000582,0,0.000372
"X286",16,0,0.000247,0.000797,0.000308,0.000514,0.000439,0.000428,0.007023,4e-05,0.000353,0.000525,0,0.000162
"X289",16,0,3.9e-05,0.004973,0.000141,0.000283,0.000616,0.000159,0.009853,0.000318,-6.2e-05,0.001294,2e-06,0.001272
"X324",16,0,0.000199,0.000689,0.000232,0.000499,0.00037,0.000306,0.005922,4e-05,0.000284,0.000456,0,0.000162
"X329",16,0,0.000277,0.001073,0.000294,0.000465,0.000445,0.000421,0.007119,4.9e-05,0.000342,0.000548,0,0.000194
"X330",16,0,0.000126,0.000798,0.000215,0.00055,0.00041,0.000396,0.006554,5.4e-05,0.000295,0.000524,0,0.000215
"X344",16,0,0.000209,0.000572,0.000348,0.000438,0.00039,0.000368,0.006238,2.4e-05,0.000339,0.000441,0,9.5e-05
"X365",16,0,0.000153,0.000704,0.000457,0.000555,0.000486,0.000527,0.007783,3.7e-05,0.000407,0.000566,0,0.00015
"X417",16,0,0.000314,0.00056,0.000363,0.000506,0.000433,0.000421,0.006932,2.1e-05,0.000388,0.000478,0,8.4e-05
"X436",16,0,0.000277,6e-04,0.000348,0.000469,0.000412,0.000377,0.00659,2.4e-05,0.000361,0.000463,0,9.5e-05
"X448",16,0,0.000105,0.000694,0.000227,0.000298,0.000283,0.000255,0.004531,3.1e-05,0.000216,0.00035,0,0.000126
"X463",16,0,0.000167,0.000733,0.000228,0.000499,0.000372,0.000291,0.005947,4.5e-05,0.000275,0.000468,0,0.000182
"X465",16,0,0.000205,0.000627,0.000302,0.000551,0.000408,0.00036,0.006535,3.7e-05,0.000329,0.000488,0,0.00015
"X471",16,0,0.000322,0.000696,0.000363,0.000451,0.00043,4e-04,0.006886,2.5e-05,0.000376,0.000484,0,0.000101
"X477",16,0,0.000256,0.000606,0.000341,0.00046,0.000409,0.000394,0.006538,2.6e-05,0.000352,0.000465,0,0.000106
"X484",16,0,0.000312,0.000676,0.000376,0.000485,0.000448,0.000411,0.007161,2.8e-05,0.000387,0.000508,0,0.000114
"X493",16,0,0.000266,0.000549,0.000325,0.00037,0.000358,0.000353,0.005727,1.6e-05,0.000323,0.000393,0,6.5e-05
"X513",16,0,0.000327,0.000671,0.00042,0.000526,0.000481,0.000448,0.007689,2.5e-05,0.000427,0.000534,0,0.000101
"X515",16,0,8.9e-05,0.000898,0.000178,0.000555,0.000359,0.000245,0.005738,6.3e-05,0.000224,0.000493,0,0.000252
"X517",16,0,0.000182,0.000427,0.000239,0.000288,0.000273,0.000261,0.004372,1.6e-05,0.00024,0.000307,0,6.3e-05
"X520",16,0,0.000251,0.00064,0.000275,0.000484,0.000389,0.000328,0.006219,3.5e-05,0.000313,0.000464,0,0.000142
"X528",16,0,0.000363,0.001044,0.00046,0.000615,0.000569,0.000528,0.009102,4.8e-05,0.000467,0.000671,0,0.000192
"X533",16,0,0.000118,0.00055,0.000315,0.000391,0.000356,0.000349,0.005701,2.7e-05,3e-04,0.000413,0,0.000106
"X535",16,0,0.000228,0.001052,0.00027,0.000393,0.000379,0.000302,0.00607,5.1e-05,0.000271,0.000487,0,0.000203
"X536",16,0,1e-04,0.000646,0.000233,0.000287,0.000277,0.000267,0.004433,2.8e-05,0.000218,0.000337,0,0.000112
"X545",16,0,0.000246,0.00051,0.000284,0.00041,0.00036,0.000376,0.005764,2.1e-05,0.000316,0.000405,0,8.3e-05
"X580",16,0,0.000264,0.001241,0.000532,0.000789,0.000687,0.000667,0.010985,6.3e-05,0.000553,0.00082,0,0.000251
"X589",16,0,0.000336,0.001679,0.000455,0.000615,0.000602,0.00049,0.009626,7.8e-05,0.000436,0.000767,0,0.000311
"X591",16,0,0.000182,0.000751,0.000285,0.000456,0.000396,0.000395,0.006332,4.2e-05,0.000306,0.000485,0,0.000168
"X596",16,0,0.000111,0.000814,0.000398,0.000631,0.00049,0.000516,0.007841,4.8e-05,0.000389,0.000591,0,0.00019
"X625",16,0,0.000233,0.001216,0.000303,0.00061,0.000509,0.000395,0.008146,7.7e-05,0.000345,0.000674,0,0.000309
"X644",16,0,0.000305,0.000762,0.000352,0.000423,0.000416,0.000395,0.006658,2.7e-05,0.000359,0.000474,0,0.000108
"X646",16,0,0.000364,0.001226,0.000648,0.000842,0.00075,0.000722,0.012004,5.3e-05,0.000637,0.000863,0,0.000212
"X654",16,0,0.000233,0.00071,0.000331,0.000607,0.000489,0.000509,0.007829,3.7e-05,0.000411,0.000567,0,0.000147
"X663",16,0,0.000276,0.000854,0.000345,0.000433,0.000423,0.000398,0.006773,3.3e-05,0.000352,0.000494,0,0.000133
"X669",16,0,0.000122,0.000702,0.000235,0.000493,0.000389,0.000397,0.006225,4.4e-05,0.000295,0.000483,0,0.000176
"X674",16,0,0.00022,0.000522,0.000283,0.00044,0.000366,0.000375,0.005851,2.4e-05,0.000314,0.000417,0,9.7e-05
"X725",16,0,0.000295,0.000502,0.000362,0.000473,0.000411,0.000408,0.006574,1.6e-05,0.000376,0.000445,0,6.5e-05
"X788",16,0,0.000342,0.000503,0.000359,0.000433,4e-04,0.000394,0.0064,1.2e-05,0.000374,0.000426,0,4.8e-05
"X792",16,0,6.3e-05,0.000408,0.000147,0.000311,0.000208,0.000174,0.00333,2.7e-05,0.000151,0.000265,0,0.000107
"X796",16,0,0.000306,0.000515,0.000339,0.000407,0.000384,0.000385,0.006152,1.5e-05,0.000353,0.000416,0,5.9e-05
"X813",16,0,0.00022,0.000515,0.000385,0.000459,0.000413,0.000418,0.0066,1.8e-05,0.000374,0.000451,0,7.3e-05
"X814",16,0,8.8e-05,0.031086,0.000271,0.000572,0.00231,0.000422,0.036957,0.001919,-0.00178,0.0064,5.9e-05,0.007676
"X817",16,0,0.000271,0.000389,0.000293,0.00036,0.000321,0.000309,0.005131,1e-05,3e-04,0.000341,0,3.9e-05
"X820",16,0,0.000125,0.001114,0.000228,0.000505,0.000414,0.000375,0.00662,6.7e-05,0.000271,0.000556,0,0.000267
"X829",16,0,0.000237,0.001696,0.000269,0.000388,0.000428,0.000338,0.006841,8.9e-05,0.000239,0.000617,0,0.000355
"X831",16,0,0.000193,0.000574,0.000284,0.000471,0.000385,0.000387,0.006166,2.9e-05,0.000323,0.000447,0,0.000116
"X862",16,0,0.00021,0.000717,0.000304,0.000404,0.00039,0.000364,0.006246,3.6e-05,0.000313,0.000467,0,0.000144
"X867",16,0,0.000264,0.00044,0.000315,0.000382,0.000349,0.000354,0.005587,1.2e-05,0.000323,0.000375,0,4.9e-05
"X868",16,0,0.000273,0.000581,0.000318,0.000365,0.000367,0.00033,0.005871,2.4e-05,0.000316,0.000418,0,9.6e-05
"X869",16,0,0.000252,0.000441,0.000337,0.000376,0.000355,0.000351,0.005676,1.3e-05,0.000326,0.000383,0,5.3e-05
"X884",16,0,0.000272,0.000736,0.000366,0.000583,0.000493,0.000513,0.007894,3.6e-05,0.000417,0.000569,0,0.000143
"X886",16,0,0.000249,0.000456,0.000294,0.000389,0.000342,0.000333,0.005479,1.7e-05,0.000307,0.000378,0,6.7e-05
"X898",16,0,6.1e-05,0.00197,0.000108,0.00026,0.000301,0.000163,0.004812,0.000116,5.3e-05,0.000548,0,0.000464
"X899",16,0,0.00032,6e-04,0.000403,0.000466,0.000441,0.000449,0.007062,1.7e-05,0.000405,0.000478,0,6.8e-05
"X919",16,0,0.00021,0.000606,0.000318,0.000488,0.000391,0.000368,0.006261,2.9e-05,0.00033,0.000452,0,0.000114
"X950",16,0,0.000322,0.000735,0.000375,0.000433,0.000423,0.000395,0.006763,2.4e-05,0.000371,0.000474,0,9.7e-05
"X951",16,0,1.5e-05,0.000441,0.000198,0.00036,0.000292,0.000308,0.004678,2.7e-05,0.000234,0.000351,0,0.00011
"X954",16,0,6.9e-05,0.001735,0.000185,0.000667,0.000479,0.000297,0.007664,0.000111,0.000243,0.000715,0,0.000443
"X990",16,0,0.000222,0.000607,0.00024,0.000335,0.000304,0.000271,0.004866,2.5e-05,0.000251,0.000357,0,9.9e-05
"X995",16,0,0.000356,0.000994,0.000412,0.00061,0.000547,0.000538,0.008752,4.3e-05,0.000456,0.000638,0,0.000171
"X997",16,0,0.000134,0.00226,0.000211,0.000342,0.000483,0.000255,0.007729,0.000144,0.000176,0.00079,0,0.000577
"X1015",16,0,0.000114,0.000955,0.000438,0.000631,0.00053,0.000551,0.00848,5.4e-05,0.000414,0.000646,0,0.000217
"X1016",16,0,0.000298,0.000531,0.000376,0.000449,0.00041,0.000396,0.006556,1.5e-05,0.000377,0.000442,0,6.1e-05
"X1029",16,0,0.000335,0.000791,0.000396,0.000548,0.000504,0.000497,0.008065,3.2e-05,0.000435,0.000573,0,0.00013
"X1045",16,0,0.000143,0.001173,0.000351,0.000523,0.00049,0.000402,0.007836,6.8e-05,0.000345,0.000634,0,0.000272
"X1050",16,0,0.000204,0.000533,0.000311,0.000459,0.000391,0.000405,0.006258,2.3e-05,0.000341,0.000441,0,9.4e-05
"X1051",16,0,0.000194,0.00067,0.000271,0.000486,0.000386,0.000328,0.006184,3.8e-05,0.000306,0.000467,0,0.00015
"X1055",16,0,0.000235,0.000875,0.00033,0.000624,0.000483,0.00043,0.007728,4.8e-05,0.000381,0.000585,0,0.000192
"X1070",16,0,0.000303,0.000696,0.000397,0.000524,0.000466,0.000458,0.007459,2.6e-05,0.000411,0.000522,0,0.000104
"X1072",16,0,6e-05,0.00031,0.00017,0.000278,0.000215,0.000219,0.00344,1.8e-05,0.000176,0.000254,0,7.3e-05
"X1090",16,0,0.000111,0.000641,0.000184,0.000322,0.000272,0.00025,0.004354,3.5e-05,0.000197,0.000347,0,0.00014
"X1103",16,0,0.00038,0.000599,0.000433,0.000496,0.000472,0.000473,0.007557,1.4e-05,0.000443,0.000502,0,5.5e-05
"X1114",16,0,0.000203,0.000599,0.000298,0.00045,0.000378,0.000372,0.006042,2.6e-05,0.000323,0.000433,0,0.000103
"X1116",16,0,0.000464,0.0012,0.000503,0.000781,0.000692,0.000627,0.011067,5.8e-05,0.000568,0.000815,0,0.000231
"X1128",16,0,0.000201,0.000465,0.000322,0.000379,0.00035,0.000355,0.005597,1.7e-05,0.000314,0.000386,0,6.8e-05
"X1130",16,0,0.000415,0.001928,0.000475,0.000846,0.000741,0.000566,0.011851,0.000104,0.000519,0.000962,0,0.000415
"X1134",16,0,0.000198,0.000737,0.000318,0.000477,0.000405,0.000378,0.006477,3.5e-05,0.000331,0.000478,0,0.000138
"X1154",16,0,0.000187,0.001006,0.000413,0.000663,0.000518,0.000519,0.008289,5.6e-05,4e-04,0.000636,0,0.000222
"X1159",16,0,0.000227,0.000508,0.000317,0.000444,0.000379,0.000385,0.006056,2.3e-05,0.000329,0.000428,0,9.3e-05
"X1167",16,0,0.000379,0.000758,0.000447,0.000553,0.000523,0.000484,0.008365,3e-05,0.000459,0.000586,0,0.000119
"X1186",16,0,0.00024,0.000633,0.000316,0.000453,0.000396,0.000353,0.006334,3e-05,0.000332,0.00046,0,0.000121
