"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X15",18,0,0.000355,0.000549,0.000429,0.000489,0.000457,0.00045,0.008225,1.2e-05,0.000433,0.000481,0,4.9e-05
"X60",18,0,0.000296,0.00062,0.000421,0.000569,0.000483,0.000472,0.008699,2.2e-05,0.000436,0.00053,0,9.4e-05
"X63",18,0,0.00041,0.000763,0.000465,0.000584,0.00055,0.000548,0.009897,2.2e-05,0.000503,0.000596,0,9.3e-05
"X89",18,0,0.000405,0.000811,0.000575,0.000673,0.000621,0.000622,0.011172,2.4e-05,0.000571,0.000671,0,1e-04
"X96",18,0,0.000388,0.000536,0.000413,0.000506,0.000457,0.000458,0.008232,1.2e-05,0.000432,0.000483,0,5.1e-05
"X105",18,0,0.000418,0.001097,0.000597,0.000738,0.000682,0.000654,0.012277,3.8e-05,0.000603,0.000761,0,0.00016
"X123",18,0,0.000368,0.000637,0.000435,0.00056,0.000493,0.000472,0.008865,2e-05,0.00045,0.000535,0,8.5e-05
"X140",18,0,8.9e-05,0.002131,0.000166,0.000265,0.000315,0.000192,0.005678,0.000108,8.8e-05,0.000543,0,0.000458
"X152",18,0,0.000148,0.001478,0.000336,0.00089,0.000617,0.000464,0.011106,9.9e-05,0.000409,0.000825,0,0.000418
"X164",18,0,3.9e-05,0.000478,9.3e-05,0.00023,0.000178,0.000166,0.003212,2.8e-05,0.00012,0.000237,0,0.000117
"X185",18,0,0.000411,0.000883,0.000499,0.000721,0.000605,0.000548,0.010891,3.3e-05,0.000535,0.000675,0,0.000141
"X188",18,0,0.000431,0.000647,0.000492,0.000558,0.000531,0.000533,0.00955,1.4e-05,5e-04,0.000561,0,6.1e-05
"X201",18,0,0.000148,0.001155,0.000305,0.000641,0.000489,0.000388,0.008809,6.6e-05,0.000351,0.000628,0,0.000278
"X222",18,0,0.000223,0.000823,0.000402,0.000611,0.000501,0.000452,0.009014,3.7e-05,0.000423,0.000579,0,0.000156
"X224",18,0,0.000274,0.000386,0.000314,0.000361,0.000341,0.00035,0.006132,7e-06,0.000325,0.000356,0,3.1e-05
"X232",18,0,0.000383,0.000607,0.000458,0.000562,0.000509,0.000504,0.009165,1.4e-05,0.000479,0.00054,0,6.1e-05
"X233",18,0,0.000149,0.001002,0.00019,0.000423,0.000353,0.000249,0.006349,5.6e-05,0.000235,0.00047,0,0.000236
"X298",18,0,0.000132,0.000541,0.000261,0.000378,0.000326,0.000354,0.005868,2.4e-05,0.000275,0.000377,0,0.000103
"X299",18,0,0.000279,0.000632,0.000328,0.000435,0.000396,0.000395,0.007136,2.3e-05,0.000349,0.000444,0,9.6e-05
"X330",18,0,0.000418,0.000842,0.000532,0.00059,0.000574,0.000569,0.010328,2.2e-05,0.000528,0.00062,0,9.3e-05
"X347",18,0,0.000184,0.000478,0.000272,0.000396,0.00033,0.000326,0.005943,2e-05,0.000288,0.000373,0,8.6e-05
"X349",18,0,0.000368,0.001526,0.000497,0.000716,0.000658,0.000609,0.011846,6.4e-05,0.000523,0.000793,0,0.000272
"X360",18,0,0.000388,0.001742,0.000534,0.00085,0.000744,0.000606,0.013395,7.8e-05,0.00058,0.000909,0,0.000331
"X373",18,0,0.000384,0.000569,0.000435,0.000536,0.000483,0.000484,0.008688,1.3e-05,0.000455,0.000511,0,5.6e-05
"X376",18,0,0.000283,0.000552,0.000327,0.000448,0.000384,0.000378,0.006905,1.9e-05,0.000344,0.000423,0,8e-05
"X385",18,0,0.00026,0.001502,0.000431,0.000621,0.000562,0.000476,0.010112,6.5e-05,0.000425,0.000699,0,0.000275
"X418",18,0,0.000126,0.001284,0.000158,0.00029,0.00033,0.000221,0.005946,7.6e-05,0.00017,0.000491,0,0.000323
"X421",18,0,5.7e-05,0.000445,0.000128,0.000246,0.000212,0.00022,0.00381,2.4e-05,0.000161,0.000262,0,0.000102
"X432",18,0,0.00032,0.000796,0.000403,0.000676,0.000554,0.000523,0.009972,3.7e-05,0.000477,0.000631,0,0.000155
"X434",18,0,4.7e-05,0.000268,5.9e-05,0.000106,9.9e-05,9.5e-05,0.001776,1.3e-05,7.2e-05,0.000125,0,5.3e-05
"X436",18,0,0.000323,0.000872,0.000442,0.000703,0.000579,0.000551,0.010426,4.3e-05,0.000489,0.00067,0,0.000182
"X461",18,0,0.000274,0.000888,0.000464,0.000667,0.000567,0.000593,0.010198,4.1e-05,0.000481,0.000652,0,0.000172
"X465",18,0,0.000216,0.000961,0.000392,0.00072,0.00056,0.00046,0.010077,5.3e-05,0.000449,0.000671,0,0.000223
"X484",18,0,0.000197,0.000957,0.000433,0.000759,0.000576,0.000488,0.010376,5.2e-05,0.000467,0.000686,0,0.00022
"X511",18,0,0.000293,0.000706,0.00038,0.000461,0.000434,0.000409,0.007811,2.4e-05,0.000383,0.000485,0,0.000103
"X512",18,0,0.000154,0.001976,0.000293,0.001033,0.000697,5e-04,0.012544,0.000124,0.000435,0.000959,0,0.000527
"X515",18,0,0.000425,0.001265,0.00065,0.000802,0.000735,0.000685,0.013233,4.6e-05,0.000638,0.000833,0,0.000196
"X516",18,0,0.000395,0.000916,0.000459,0.000617,0.000558,0.000531,0.010041,3.1e-05,0.000492,0.000624,0,0.000133
"X524",18,0,0.000127,0.000487,0.00028,0.000373,0.00031,0.000297,0.005577,2.1e-05,0.000265,0.000355,0,9.1e-05
"X529",18,0,4.8e-05,0.000774,0.00011,0.000398,0.000286,0.000201,0.005143,5.3e-05,0.000173,0.000398,0,0.000227
"X534",18,0,0.000198,0.000763,0.00042,0.000633,0.000518,0.000493,0.009322,3.9e-05,0.000436,0.000599,0,0.000164
"X543",18,0,0.000873,0.002752,0.001331,0.001616,0.001581,0.001504,0.02845,0.000114,0.001339,0.001822,0,0.000485
"X549",18,0,0.00031,0.000837,0.000412,0.000639,0.000525,0.000499,0.009445,3.3e-05,0.000455,0.000595,0,0.000141
"X552",18,0,0.000204,0.000601,0.000372,0.000483,0.000421,0.000415,0.00758,2.4e-05,0.00037,0.000472,0,0.000102
"X575",18,0,0.000147,0.00079,0.00032,0.000458,0.000408,0.000423,0.007349,3.7e-05,0.000331,0.000486,0,0.000156
"X578",18,0,0.000134,0.000694,0.000251,0.000394,0.000349,0.000315,0.006289,3.3e-05,0.00028,0.000419,0,0.000139
"X599",18,0,0.000252,0.000771,0.00032,0.000424,0.000395,0.000345,0.007102,3e-05,0.000331,0.000458,0,0.000128
"X628",18,0,0.000457,0.001254,0.00067,0.001071,0.00087,0.00083,0.015655,5.8e-05,0.000748,0.000992,0,0.000245
"X638",18,0,0.000194,0.001335,0.000415,0.000804,0.000657,0.000549,0.011833,7.7e-05,0.000495,0.00082,0,0.000327
"X647",18,0,7.4e-05,0.001437,0.000532,0.000879,0.000764,0.000738,0.01375,7.9e-05,0.000596,0.000932,0,0.000337
"X662",18,0,0.000368,0.000928,0.000472,0.000588,0.000545,0.000501,0.009813,3.3e-05,0.000476,0.000614,0,0.000138
"X663",18,0,0.000319,0.001417,0.000411,0.000568,0.000543,0.000498,0.009769,5.7e-05,0.000421,0.000664,0,0.000244
"X673",18,0,0.000133,0.002858,0.000152,0.000278,0.000426,0.000167,0.007673,0.000162,8.5e-05,0.000768,0,0.000687
"X676",18,0,0.000112,0.000776,0.000233,0.00042,0.000356,0.000323,0.006411,4.3e-05,0.000266,0.000447,0,0.000182
"X691",18,0,0.00022,0.001306,0.000388,0.000637,0.000547,0.000485,0.009847,6.4e-05,0.000413,0.000681,0,0.00027
"X707",18,0,0.000408,0.00116,0.000602,0.000839,0.000726,0.000709,0.013064,4.2e-05,0.000637,0.000814,0,0.000178
"X722",18,0,0.000354,0.00122,0.00047,0.000624,0.000611,0.000551,0.010996,5.5e-05,0.000496,0.000726,0,0.000232
"X725",18,0,9.3e-05,0.000505,0.00014,0.000252,0.000219,0.000197,0.003945,2.6e-05,0.000164,0.000275,0,0.000112
"X749",18,0,0.000354,0.001008,0.000486,0.000754,0.000607,0.000575,0.010932,4.3e-05,0.000516,0.000699,0,0.000183
"X750",18,0,0.000312,0.000785,0.000419,0.000644,0.000528,0.000517,0.009497,3.2e-05,0.000461,0.000594,0,0.000134
"X755",18,0,0.000249,0.000782,0.000391,0.000551,0.000479,0.000475,0.00863,3.4e-05,0.000408,0.000551,0,0.000143
"X766",18,0,0.000425,0.000723,0.000472,0.000567,0.00054,0.000534,0.009728,2.1e-05,0.000497,0.000584,0,8.8e-05
"X804",18,0,0.000283,0.000699,0.000422,0.000577,0.000483,0.000478,0.008699,2.7e-05,0.000426,0.00054,0,0.000115
"X813",18,0,0.000378,0.001134,0.000476,0.00066,0.000597,0.000589,0.010738,4e-05,0.000512,0.000681,0,0.000171
"X814",18,0,0.000393,0.002204,0.000827,0.0017,0.001254,0.001177,0.022569,0.000132,0.000975,0.001533,0,0.000561
"X815",18,0,0,0.000691,3e-06,0.000335,0.000185,1.9e-05,0.003327,6.2e-05,5.4e-05,0.000316,0,0.000263
"X844",18,0,0.000333,0.000818,0.000425,0.000678,0.000558,0.000529,0.010038,3.6e-05,0.000481,0.000634,0,0.000153
"X852",18,0,0.000242,0.003982,0.000474,0.000822,0.000897,0.000621,0.016151,0.000212,0.000451,0.001344,1e-06,0.000898
"X859",18,0,0.000274,0.000724,0.000398,0.000546,0.000465,0.000431,0.008365,2.9e-05,0.000404,0.000525,0,0.000122
"X864",18,0,0.000194,0.00125,0.000314,0.000575,0.000495,0.000459,0.008908,6.3e-05,0.000362,0.000628,0,0.000267
"X867",18,0,0.000386,0.000596,0.000409,0.000507,0.000471,0.00046,0.008478,1.6e-05,0.000438,0.000504,0,6.7e-05
"X868",18,0,6.8e-05,0.000634,0.000473,0.000565,0.000497,0.000518,0.008951,3e-05,0.000434,0.00056,0,0.000127
"X887",18,0,0.00017,0.000983,0.000294,0.000531,0.00041,0.00034,0.007379,4.9e-05,0.000306,0.000514,0,0.00021
"X890",18,0,0.000213,0.000629,0.000362,0.000446,0.000412,0.00042,0.007425,2.5e-05,0.000361,0.000464,0,0.000104
"X893",18,0,0.000258,0.000672,0.00044,0.000534,0.000491,0.000495,0.008831,2.4e-05,0.00044,0.000541,0,0.000102
"X897",18,0,0.000202,0.00086,0.000389,0.000589,0.000508,0.000526,0.009152,4.1e-05,0.000423,0.000594,0,0.000173
"X902",18,0,0.000296,0.000713,0.000416,0.000564,0.000494,0.000477,0.008885,2.7e-05,0.000437,0.00055,0,0.000114
"X913",18,0,0.000106,0.000587,0.000145,0.000224,0.000205,0.000189,0.003685,2.5e-05,0.000153,0.000257,0,0.000105
"X933",18,0,0.000235,0.000419,0.000257,0.000358,0.00031,0.000302,0.005588,1.4e-05,0.00028,0.000341,0,6.1e-05
"X945",18,0,0.000289,0.000684,0.000426,0.000587,0.000513,0.000563,0.009228,2.7e-05,0.000456,0.000569,0,0.000114
"X950",18,0,1e-06,6.8e-05,2e-06,9e-06,1e-05,3e-06,0.000172,4e-06,2e-06,1.8e-05,0,1.6e-05
"X968",18,0,0.000239,0.001497,0.000464,0.000873,0.000717,0.000611,0.012907,8.8e-05,0.000532,0.000902,0,0.000371
"X969",18,0,0.00022,0.000617,0.000346,0.000448,0.00039,0.000401,0.007019,2.5e-05,0.000338,0.000442,0,0.000105
"X989",18,0,0.000555,0.00111,0.000774,0.000966,0.00083,0.000824,0.014942,3.7e-05,0.000752,0.000908,0,0.000157
"X999",18,0,0.000311,0.001012,0.000478,0.000754,0.000617,0.000612,0.011114,4.4e-05,0.000525,0.00071,0,0.000186
"X1000",18,0,0.000621,0.002172,0.000911,0.001209,0.001134,0.001027,0.020421,9.6e-05,0.000932,0.001337,0,0.000407
"X1012",18,0,0.000397,0.000687,0.000505,0.000617,0.00055,0.000556,0.009895,2.1e-05,0.000505,0.000595,0,9e-05
"X1029",18,0,0.000297,0.000524,0.000355,0.00043,0.000396,0.000398,0.00712,1.5e-05,0.000364,0.000427,0,6.3e-05
"X1041",18,0,0.000133,0.000826,0.000305,0.000487,0.000411,0.000385,0.007399,4.1e-05,0.000325,0.000497,0,0.000174
"X1056",18,0,0.000317,0.00064,0.00036,0.000532,0.000449,0.000414,0.008087,2.4e-05,0.000398,0.000501,0,0.000103
"X1058",18,0,0.000244,0.000727,0.000285,0.000531,0.000428,0.000408,0.007701,3.5e-05,0.000354,0.000501,0,0.000148
"X1059",18,0,0.000595,0.001397,0.000727,0.000789,0.000789,0.000762,0.0142,4.1e-05,0.000703,0.000875,0,0.000174
"X1060",18,0,0.000236,0.000515,0.000277,0.000376,0.000338,0.000298,0.006081,2.1e-05,0.000293,0.000383,0,9.1e-05
"X1063",18,0,0.000501,0.00081,0.000605,0.000683,0.000646,0.00063,0.011637,1.8e-05,0.000608,0.000685,0,7.8e-05
"X1073",18,0,6.4e-05,0.000113,7.5e-05,9.8e-05,8.7e-05,8.8e-05,0.00157,4e-06,8e-05,9.5e-05,0,1.5e-05
"X1075",18,0,0.000267,0.000553,0.00036,0.000439,4e-04,0.000376,0.007199,1.9e-05,0.00036,0.00044,0,8.1e-05
"X1077",18,0,3.8e-05,0.000126,6.1e-05,0.000102,8.2e-05,8.7e-05,0.001481,7e-06,6.8e-05,9.6e-05,0,2.8e-05
"X1079",18,0,0.000292,0.001028,0.000457,0.000777,0.000618,0.000525,0.011126,5.1e-05,0.00051,0.000726,0,0.000217
"X1084",18,0,0.000396,0.000984,0.000445,0.00067,0.000588,0.00054,0.010579,4.2e-05,0.000499,0.000676,0,0.000178
"X1088",18,0,0.000268,0.000591,0.000361,0.000509,0.000436,0.000441,0.007853,2.2e-05,0.000391,0.000482,0,9.2e-05
"X1101",18,0,2.7e-05,0.000529,9.8e-05,0.000394,0.000251,0.000228,0.004511,4e-05,0.000165,0.000336,0,0.000172
"X1103",18,0,0.000292,0.001063,0.000393,0.00061,0.000528,0.000492,0.009507,4.5e-05,0.000432,0.000624,0,0.000193
"X1113",18,0,0.000479,0.001139,0.00052,0.000822,0.000715,0.000687,0.012872,4.7e-05,0.000616,0.000814,0,0.000199
"X1117",18,0,0.000371,0.000784,0.000556,0.000691,6e-04,0.000593,0.010798,2.6e-05,0.000545,0.000655,0,0.000111
"X1146",18,0,4.6e-05,0.000284,8.4e-05,0.000152,0.00014,0.000135,0.002515,1.6e-05,0.000105,0.000174,0,6.9e-05
"X1148",18,0,0.000506,0.001098,0.000602,0.000786,0.000736,0.000643,0.01324,4.5e-05,0.000641,0.000831,0,0.000191
"X1151",18,0,0.000372,0.001496,0.000618,0.00104,0.000861,8e-04,0.01549,8.1e-05,0.000689,0.001032,0,0.000345
"X1152",18,0,0.000291,0.000771,0.000356,0.000536,0.000471,0.000472,0.008479,3.2e-05,0.000403,0.000539,0,0.000137
"X1190",18,0,2e-05,0.000478,0.000147,0.000346,0.000232,2e-04,0.004179,3.3e-05,0.000163,0.000301,0,0.000139
"X1201",18,0,0.000337,0.000905,0.000398,0.000541,0.000518,0.000462,0.009325,4.2e-05,0.000429,0.000607,0,0.000179
"X1210",18,0,0.000327,0.00064,0.000405,0.00049,0.000446,0.000449,0.008032,1.8e-05,0.000407,0.000485,0,7.8e-05
"X1216",18,0,0.000315,0.001336,0.000436,0.000639,0.000565,0.000532,0.010167,5.4e-05,0.000451,0.000678,0,0.000228
"X1236",18,0,4.1e-05,0.000836,0.00041,0.00067,0.000525,0.000524,0.009447,4.6e-05,0.000428,0.000622,0,0.000195
"X1247",18,0,0.000483,0.000911,0.000542,0.000677,0.000613,0.000587,0.011039,2.6e-05,0.000558,0.000669,0,0.000111
"X1256",18,0,0.000222,0.001822,0.000378,0.000661,0.000587,0.000494,0.010567,8.7e-05,0.000404,0.000771,0,0.000369
"X1267",18,0,0.000438,0.000642,0.000501,0.000583,0.000544,0.000552,0.009794,1.4e-05,0.000514,0.000574,0,6e-05
"X1268",18,0,0.000297,0.000631,0.000321,0.000466,0.000406,0.00039,0.007301,2.3e-05,0.000357,0.000455,0,9.9e-05
"X1278",18,0,0.000223,0.002242,0.000385,0.001182,0.000835,0.000575,0.015022,0.000147,0.000524,0.001145,0,0.000624
"X1279",18,0,0.000188,0.002949,0.000228,0.000569,0.000559,0.000358,0.010058,0.000154,0.000235,0.000883,0,0.000652
"X1294",18,0,0.00042,0.000639,0.000466,0.000583,0.000519,0.000493,0.009343,1.7e-05,0.000483,0.000555,0,7.3e-05
"X1295",18,0,0.000115,0.000273,0.000151,0.00024,0.000192,0.000187,0.003459,1.2e-05,0.000166,0.000218,0,5.2e-05
"X1299",18,0,0.00018,0.001758,0.000422,0.000771,0.000633,0.000522,0.011398,8.7e-05,0.00045,0.000817,0,0.000369
"X1300",18,0,0.000413,0.000698,0.000475,0.000625,0.000557,0.000562,0.010023,2.2e-05,0.000511,0.000603,0,9.2e-05
"X1301",18,0,0.000286,0.000896,0.000419,0.000633,0.00055,0.000549,0.009904,4.2e-05,0.000461,0.000639,0,0.000179
"X1302",18,0,0.000225,0.000979,0.000382,0.000527,0.000492,0.000472,0.00885,4.3e-05,0.000402,0.000582,0,0.000181
"X1303",18,0,0.000232,0.002302,0.000344,0.001106,0.000779,0.000498,0.014028,0.000146,0.000471,0.001088,0,0.000621
"X1311",18,0,0.000303,0.000676,0.000464,0.000578,0.000506,0.000497,0.009106,2.3e-05,0.000458,0.000554,0,9.6e-05
"X1314",18,0,0.000191,0.001829,0.000323,0.000569,0.000501,0.000408,0.009024,8.7e-05,0.000317,0.000686,0,0.000371
