"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X15",16,0,0.000499,0.000655,0.000514,0.000571,0.000552,0.000536,0.008832,1.3e-05,0.000525,0.000579,0,5e-05
"X60",16,0,0.000301,0.000664,0.000399,0.000506,0.000458,0.000468,0.007323,2.5e-05,0.000405,0.00051,0,9.9e-05
"X63",16,0,0.000415,0.000742,0.000449,0.000512,0.000506,0.000486,0.008096,2.3e-05,0.000458,0.000554,0,9.1e-05
"X89",16,0,0.00035,0.000718,0.000444,0.000565,0.00051,5e-04,0.008159,2.5e-05,0.000457,0.000562,0,9.9e-05
"X96",16,0,0.000346,0.000577,0.000428,0.000512,0.000462,0.000455,0.0074,1.5e-05,0.000431,0.000494,0,5.9e-05
"X105",16,0,0.000326,0.000846,0.000448,0.000529,0.000505,0.000484,0.008077,3e-05,0.00044,0.00057,0,0.000122
"X123",16,0,0.000424,0.000748,0.000522,0.000596,0.000561,0.000556,0.008978,2.2e-05,0.000514,0.000609,0,8.9e-05
"X140",16,0,0.000309,0.001186,0.000422,0.00056,0.000525,0.000505,0.0084,4.9e-05,0.00042,0.00063,0,0.000196
"X152",16,0,0.000289,0.000803,0.000503,0.000733,0.000602,0.000629,0.009634,4.1e-05,0.000516,0.000689,0,0.000163
"X164",16,0,0.000472,0.001451,0.000583,0.000809,0.000752,0.000688,0.012038,6.6e-05,0.000612,0.000893,0,0.000263
"X185",16,0,0.000283,0.000759,0.000359,0.000516,0.000451,0.00042,0.007223,3.1e-05,0.000385,0.000518,0,0.000125
"X188",16,0,0.000445,0.00085,0.000501,0.000556,0.000548,0.000525,0.008772,2.4e-05,0.000498,0.000598,0,9.4e-05
"X201",16,0,0.000234,0.001014,0.000418,0.000722,0.000575,0.000591,0.009195,5.3e-05,0.000461,0.000688,0,0.000213
"X222",16,0,0.000433,0.000999,0.000479,0.000598,0.000574,0.000564,0.009177,3.5e-05,0.000498,0.000649,0,0.000142
"X224",16,0,3e-04,0.00098,0.000488,0.000654,0.000596,0.000565,0.009543,4.1e-05,0.000509,0.000684,0,0.000163
"X232",16,0,0.000443,0.000583,0.000461,0.000518,0.000498,0.000496,0.007966,1.1e-05,0.000474,0.000522,0,4.6e-05
"X233",16,0,0.000205,0.000863,0.000391,0.000624,0.000511,0.000526,0.008173,4.6e-05,0.000412,0.00061,0,0.000186
