"","giniImportance"
"X15",0
"X60",0.0178154477101846
"X63",0.00333333333333333
"X89",0
"X96",0.00373333333333333
"X105",0
"X123",0
"X140",0
"X152",0
"X164",0.0309833333333333
"X185",0
"X188",0
"X201",0.0140649350649351
"X222",0.00712280701754386
"X224",0.0142105263157895
"X232",0
"X233",0
"X298",0.136901604623301
"X299",0.0669840120560931
"X330",0.0162664165103189
"X347",0.0108235294117647
"X349",0.109819503862151
"X360",0.00375
"X373",0
"X376",0
"X385",0
"X418",0.00375
"X421",0.150929568264553
"X432",0
"X434",0.109173423423423
"X436",0.00749803921568628
"X461",0
"X465",0.00376470588235294
"X484",0
"X511",0
"X512",0.0141434343434343
"X515",0.0713790849673202
"X516",0
"X524",0.0145395372489194
"X529",0
"X534",0
"X543",0.0877299430740038
"X549",0.00377777777777778
"X552",0
"X575",0.0202747252747253
"X578",0
"X599",0
"X628",0.241519545908382
"X638",0
"X647",0
"X662",0
"X663",0
"X673",0.00373333333333333
"X676",0
"X691",0
"X707",0
"X722",0
"X725",0
"X749",0.00466666666666666
"X750",0.0988973366921139
"X755",0
"X766",0
"X804",0.0102
"X813",0
"X814",0
"X815",0.00736204146730462
"X844",0.020739887563417
"X852",0.00375
"X859",0
"X864",0
"X867",0.0619520949003302
"X868",0
"X887",0
"X890",0.0157988721804511
"X893",0.0564271534038717
"X897",0
"X902",0
"X913",0.0291176470588235
"X933",0.0390488888888889
"X945",0.0689042380324989
"X950",0
"X968",0
"X969",0.03039650937298
"X989",0.192888335165765
"X999",0.01024
"X1000",0.0533390668902851
"X1012",0.0104166666666667
"X1029",0
"X1041",0.00377777777777778
"X1056",0
"X1058",0
"X1059",0.0792932297306029
"X1060",0
"X1063",0.0415151515151515
"X1073",0.358786220976452
"X1075",0
"X1077",0.242768304250279
"X1079",0.0259604594330401
"X1084",0.00757608695652174
"X1088",0.00474074074074074
"X1101",0.0106349206349206
"X1103",0.0112597402597403
"X1113",0
"X1117",0.0233333333333333
"X1146",0.0653796078431372
"X1148",0.0138756798756799
"X1151",0
"X1152",0
"X1190",0
"X1201",0
"X1210",0
"X1216",0.0237380116959064
"X1236",0.0175151515151515
"X1247",0
"X1256",0.00371428571428572
"X1267",0
"X1268",0
"X1278",0.0036
"X1279",0
"X1294",0.00444444444444445
"X1295",0.030622009569378
"X1299",0.00685714285714286
"X1300",0
"X1301",0
"X1302",0
"X1303",0
"X1311",0.00685714285714286
"X1314",0
"X1330",0
"X1332",0
"X1338",0
"X1339",0.196740225504847
"X1356",0.0228755760368664
"X1377",0.0495772043122824
"X1393",0
"X1415",0.0166537634408602
"X1424",0.0540710178142403
"X1429",0
"X1458",0.106251971557854
"X1465",0.232159389711298
"X1488",0.20579550746497
"X1489",0
"X1491",0.00644444444444444
"X1492",0.0170095238095238
"X1499",0.00727272727272727
"X1552",0.0054
"X1558",0
"X1564",0.00536842105263158
"X1583",0.0263960353372118
"X1584",0
"X1586",0
"X1591",0
"X1595",0
"X1596",0.19309279103742
"X1626",0.0731418098031001
"X1627",0.00371428571428572
"X1639",0
"X1648",0
"X1657",0.0179644444444444
"X1659",0
"X1666",0.00705882352941176
"X1672",0
"X1678",0
"X1694",0.0135418546365915
"X1701",0.00376470588235294
"X1706",0
"X1711",0.00266666666666667
"X1715",0.00988235294117647
"X1724",0.0158571428571429
"X1737",0.0277633477633478
"X1743",0
"X1748",0
"X1749",0.0410057731315338
"X1752",0
"X1755",0
"X1758",0
"X1759",0
"X1760",0.166659334245326
"X1761",0
"X1762",0.00905
"X1766",0
"X1776",0
"X1788",0
"X1791",0.0207384615384615
"X1797",0
"X1810",0
"X1820",0
"X1835",0.00376470588235294
"X1838",0
"X1862",0
"X1867",0
"X1868",0.00727272727272727
"X1876",0.0538608751642807
"X1885",0.428458411205961
"X1888",0
"X1889",0.0107142857142857
"X1892",0
"X1895",0.178036584034596
"X1900",0
"X1904",0
"X1909",0
"X1911",0.0100038461538462
"X1915",0
"X1921",0.00711111111111111
"X1929",0.0324006349206349
"X1933",0.180368464106914
"X1948",0
"X1949",0.0136935817805383
"X1951",0
"X1955",0.00693333333333333
"X1956",0.184734935335836
"X1959",0.00376470588235294
"X1960",0
"X1973",0.0219619047619048
"X1983",0.007
"X1987",0
"X1989",0.0263657142857143
"X1992",0
"X1993",0
"X2006",0.0266245344129555
"X2007",0
"X2024",0
"X2026",0.0211782531194296
"X2031",0.225897613780684
"X2032",0
"X2037",0
"X2042",0
"X2052",0
"X2054",0.0584434092477571
"X2060",0
"X2069",0.0487889366223328
"X2083",0.00952380952380952
"X2086",0
"X2126",0.391912440869798
"X2131",0
"X2148",0
"X2153",0.00375
"X2176",0.0275815390283475
"X2180",0.00363636363636364
"X2196",0
"X2200",0
"X2205",0
"X2209",0.0108333333333333
"X2212",0
"X2222",0.248818184339105
"X2226",0.00514285714285714
"X2232",0.0120248447204969
"X2238",0
"X2252",0.40010372728507
"X2253",0
"X2258",0.0132173913043478
"X2259",0.002
"X2280",0.0812113516113516
"X2289",0.269803477638095
"X2291",0.0207861448493027
"X2298",0
"X2299",0.00377777777777778
"X2309",0
"X2312",0
"X2313",0
"X2316",0
"X2317",0.0116744827586207
"X2318",0.205442876545417
"X2322",0.00377777777777778
"X2339",0.0700044257703081
"X2370",0.0632661616161616
"X2378",0.00947368421052631
"X2379",0
"X2392",0
"X2393",0.00369230769230769
"X2395",0.0298874458874459
"X2399",0
"X2418",0.31021499484049
"X2419",0
"X2453",0.429553675860675
"X2460",0
"X2462",0.00755
"X2467",0
"X2469",0
"X2471",0.0927448320742438
"X2472",0
"X2487",0
"X2497",0.126306776426719
"X2502",0.00927272727272727
"X2504",0.0764551549211674
"X2511",0
"X2515",0.01
"X2534",0
"X2540",0
"X2548",0
"X2555",0
"X2558",0
"X2562",0.0159420289855072
"X2584",0
"X2586",0.0598582784365393
"X2587",0.00571428571428571
"X2589",0
"X2607",0
"X2612",0
"X2616",0.0885428698752228
"X2621",0.0329411764705882
"X2625",0.0260445128603023
"X2656",0.00711111111111111
"X2661",0.316173171718681
"X2675",0.0378048756472286
"X2696",0.13839159979327
"X2699",0
"X2700",0.00735064935064935
"X2701",0
"X2705",0.0145833333333333
"X2716",0.0201666666666667
"X2717",0.00631313131313131
"X2740",0.0201025641025641
"X2746",0
"X2747",0.00566666666666667
"X2754",0
"X2767",0.099467383805181
"X2768",0.0130333333333333
"X2774",0
"X2775",0
"X2804",0
"X2810",0
"X2829",0.00382608695652174
"X2833",0.0105
"X2836",0.00378947368421053
"X2864",0
"X2872",0.255170900481165
"X2876",0.0142733137829912
"X2878",0
"X2880",0
"X2881",0
"X2890",0.0311858999617514
"X2906",0.0032
"X2923",0
"X2931",0.0397290795226279
"X2940",0.209049393850563
"X2949",0.27656926516061
"X2950",0.0754650178253119
"X2962",0.0200243469636659
"X2979",0
"X2980",0.00355555555555556
"X2981",0.0348707729468599
"X2986",0.0036
"X3005",0
"X3035",0.0177456140350877
"X3064",0.00371428571428572
"X3066",0.00380952380952381
"X3068",0.159630033897236
"X3069",0.0346078431372549
"X3079",0
"X3080",0.189652673270065
"X3106",0.0142282461371645
"X3114",0
"X3117",0.00363636363636364
"X3133",0
"X3151",0.143567087729774
"X3158",0
"X3159",0
"X3185",0.235214893619051
"X3186",0.0258277777777778
"X3191",0
"X3212",0
"X3238",0.246280856240863
"X3245",0.00363636363636364
"X3246",0.0249753694581281
"X3267",0.00378947368421053
"X3269",0.162026122565769
"X3284",0.103064326712316
"X3295",0.304684306363008
"X3301",0
"X3305",0.0716806022408964
"X3319",0.0660009231007697
"X3320",0.0697430014228418
"X3330",0.0108034188034188
"X3339",0.329106266066787
"X3350",0
"X3361",0.002
"X3391",0
"X3408",0
"X3410",0.139300420220592
"X3417",0
"X3419",0.0150178571428571
"X3430",0.503972279953515
"X3446",0.0032
"X3454",0
"X3475",0
"X3481",0
"X3486",0.01
"X3490",0.0338840294840295
"X3500",0.0537587951122478
"X3502",0.0325148667122351
"X3512",0
"X3515",0
"X3517",0.0210273114119923
"X3523",0
"X3525",0
"X3527",0.00266666666666667
"X3528",0
"X3529",0
"X3532",0
"X3541",0
"X3548",0
"X3584",0
"X3586",0
"X3595",0.347934088690363
"X3596",0.0558181818181818
"X3599",0.00366666666666667
"X3619",0.00376470588235294
"X3625",0
"X3632",0.214473743124574
"X3647",0.47855714542738
"X3649",0
"X3667",0.00723809523809524
"X3673",0.205048209144686
"X3678",0.0318713553113553
"X3679",0.412274048746157
"X3680",0.00333333333333333
"X3693",0.00525
"X3712",0
"X3715",0.204563422190561
"X3720",0.00352666666666666
"X3746",0
"X3765",0
"X3775",0.16042916610323
"X3799",0.003
"X3803",0.304963132063838
"X3813",0
"X3815",0.0103712121212121
"X3830",0
"X3831",0.00382608695652174
"X3846",0
"X3860",0.00376470588235294
"X3874",0
"X3878",0
"X3887",0
"X3892",0
"X3897",0.00700952380952381
"X3900",0.548027734824817
"X3907",0
"X3917",0
"X3921",0.0149441930618401
"X3924",0.00266666666666667
"X3928",0
"X3929",0
"X3947",0
"X3948",0
"X4003",0
"X4005",0
"X4015",0
"X4036",0.00342857142857143
"X4041",0
"X4051",0
"X4075",0
"X4077",0.0147368421052632
"X4080",0
"X4086",0
