"","Dim 1","Dim 2"
"A01",-0.177695428845578,-0.131165342732447
"A02",-0.316262751338319,0.0316057058425269
"A03",-0.368769357997413,0.0727597917408638
"A04",-0.36053886788369,-0.049703435696574
"A05",-0.338494335451351,0.115210579684313
"A06",-0.0109531231651175,-0.189489119970738
"A07",-0.335407700868535,0.0247942128825753
"A08",-0.272363447976646,-0.0885852371268722
"A09",0.0290506293513122,-0.314405029355095
"A10",-0.347291734189401,-0.0741300751058082
"A13",-0.242693406470251,0.236837318533756
"A14",-0.19232376809937,0.105006406247767
"A15",-0.365180429908907,-0.0727386407351753
"A16",-0.15851650962562,-0.165137708594381
"A17",-0.358470547219322,0.0823469434463678
"A18",-0.195229135976787,0.26458461380768
"D01",0.347753671319833,-0.0362882571578938
"D02",0.308125599924744,-0.0367807725177181
"D03",0.239672687130581,0.038471929575469
"D04",0.192074028884199,-0.0740379859858345
"D05",0.169815996627183,-0.15763123295147
"D06",0.21573320523039,-0.260164683500817
"D07",0.116048025249592,-0.246044112048332
"D08",0.334651636300623,-0.0387689424413246
"D09",0.17087653795544,0.189676754401362
"D10",0.300402337720889,0.198846150772614
"D13",0.297549018770327,0.072094695680039
"D14",0.318850427270071,0.0853545124314164
"D15",0.297731824301004,0.0828907308287486
"D16",0.174475880568468,-0.0620141165848954
"D17",0.261210059566177,0.131710922891575
"D18",0.266168978845473,0.264893423738302
