"","p-value"
"X95",0.768772895244531
"X105",0.928566432970776
"X106",0.885584547365718
"X140",0.817931801248087
"X174",0.0060576221631692
"X176",0.614239725628753
"X196",0.828551347942053
"X199",2.17663365650507e-77
"X212",0.253418564900679
"X241",0.886280182337151
"X264",0.862767502374477
"X265",0.898035054430564
"X267",0.663499976164923
"X279",0.877314520011128
"X285",0.84660750374668
"X286",0.900707718866846
"X289",0.793703596224846
"X324",0.685938418908874
"X329",0.866715691903659
"X330",0.708455748536743
"X344",0.886426967159665
"X365",0.456719257545985
"X417",0.777801554872527
"X436",0.488258450959312
"X448",0.828410745940078
"X463",0.89728995319248
"X465",0.00760841952888927
"X471",0.906175861662982
"X477",0.896327591427693
"X484",0.911678352236902
"X493",0.00270185259306264
"X513",0.917211403364092
"X515",0.841343541027077
"X517",0.162816462347565
"X520",0.909324520979804
"X528",0.622397884377741
"X533",0.866921563898109
"X535",0.924596607338221
"X536",3.87566630374933e-279
"X545",0.881429163097925
"X580",0.84719248705907
"X589",0.921044460925264
"X591",0.582286724443172
"X596",0.699986583613892
"X625",0.235190762691232
"X644",0.600948624437642
"X646",3.65088223755861e-28
"X654",0.878138913459213
"X663",0.00324621975188928
"X669",0.85946552503258
"X674",0.849470699347781
"X725",0.892626347107141
"X788",0.932139908221045
"X792",0.0530110703903935
"X796",9.89480847640284e-19
"X813",0.789494567732213
"X814",0.951109806504029
"X817",0.77767579566042
"X820",0.619508088085867
"X829",0.9504773830751
"X831",0.908067338849493
"X862",0.899206074387402
"X867",0.929610985674434
"X868",0.899992114051584
"X869",0.80608169148509
"X884",0.905408383196523
"X886",0.819136129319501
"X898",0.44590999791831
"X899",0.922049516280621
"X919",0.869133648386074
"X950",0.877906250053977
"X951",0.874869881330593
"X954",0.808049786084601
"X990",9.45043521058182e-13
"X995",0.830591835079385
"X997",0.876076361278042
"X1015",0.785090284336811
"X1016",0.73873273535527
"X1029",0.909529499421911
"X1045",0.746105775577246
"X1050",0.899974947445873
"X1051",0.861449695083786
"X1055",0.816750703519169
"X1070",0.1953901115983
"X1072",0.555715541130576
"X1090",0.107378361182216
"X1103",0.78331635870588
"X1114",0.72068044927978
"X1116",0.888291583518888
"X1128",0.337895490223905
"X1130",0.459167356913333
"X1134",0.872916156988934
"X1154",0.566080026953354
"X1159",0.821093490461179
"X1167",0.877564689220856
"X1186",0.71627235595492
"X1188",0.656220930135177
"X1212",0.876721911530926
"X1213",0.858342774519427
"X1221",0.904024524432963
"X1222",0.694089935584293
"X1226",0.856712803129556
"X1228",0.928070975778424
"X1237",0.735524652099589
"X1256",0.876194012879881
"X1264",0.899327797091095
"X1268",0.925140140471806
"X1269",0.544126514421014
"X1271",4.78804943968013e-15
