name,QC01,B17,D10,A13,D18,B14,C07,B06,B04,QC02,D08,C11,C15,B08,A08,D05,D13,A09,QC03,D03,D12,A15,B10,C14,C02,A01,B18,QC04,C12,B07,C04,C17,C01,D14,A16,C13,QC05,C03,A05,A03,D04,C09,B15,D16,A07,QC06,D15,C10,A17,D07,B03,C18,B05,A04,QC07,A18,D09,D02,C05,C16,D11,D01,A06,QC08,A14,B02,A10,B01,D17,B09,A02,B13,QC09,C08,D06,B16,C06,QC10
15,1927483.425,1689768.248,1813783.175,1911929.693,1969133.153,1464110.458,1837316.514,1853027.188,1931250.426,2033088.252,1853342.27,1797066.584,1658996.704,1768755.343,1911376.856,1952023.348,2181616.954,1198881.356,1920380.131,1965051.978,1671371.514,1827817.094,1533388.508,1639061.268,1838676.128,2009342.191,1891571.233,2067488.912,1746453.95,1629447.012,2027168.276,1677790.923,1992923.883,1824896.709,1886584.309,1738006.587,2257483.232,1792727.397,2205817.298,1995073.949,2192214.884,1558917.07,1494215.066,2004678.322,2209994.69,2037521.49,1991127.648,1512695.76,1886856.792,2135639.21,1664619.733,2097849.294,1888837.708,2155211.981,2093714.225,2050629.773,2125079.615,2072442.851,1963787.731,1765324.124,2088357.231,2375818.139,2004379.764,2197180.49,1937281.647,2202093.93,1965118.27,2146772.174,2202610.763,1747134.339,2142886.571,1800928.765,2083016.015,1673911.319,2132027.532,1856200.092,1743980.721,2217416.968
60,91445.64405,76696.85024,76608.315,80079.10158,69542.72811,59646.91085,81438.469,95621.47968,77444.3551,87655.23,63601.5072,74514.64575,76828.6361,68026.245,60487.99624,83125.90526,94755.45733,44735.5,82697.80333,68726.98,65954.27143,69756.05871,69742.13205,86872.72748,76811.24175,77438.4009,102802.0557,93839.29605,76270.43421,72941.29489,83536.07668,87049.91717,86429.93985,61019.12429,73641.19737,98235.53763,90791.23938,86426.985,105818.5639,76018.90685,80509.03095,63481.30755,62849.92252,79744.482,77510.61519,142314.017,76381.0425,65568.56735,64930.736,77673.7845,60177.8877,110952.736,66851.3043,75011.80365,84566.06925,72738.89053,79331.28873,60411.49467,90289.14685,83860.2808,65299.47535,87867.461,77628.33845,83100.97063,54827.8831,74290.32967,71285.98085,81948.26742,80956.54921,56958.3693,60201.45142,87816.32519,97698.4507,70385.57905,83356.85322,70784.8702,94371.02045,86804.9119
63,187604.775,138928.8372,129283.8763,158060.5551,161246.904,139441.8909,127394.2447,175445.1462,194816.4702,168091.6893,140786.071,180729.1643,112093.3562,167596.4974,135356.2072,105715.234,230830.5812,97714.40339,151638.6596,131056.6856,123063.7246,95487.30088,127053.4173,132672.6019,133771.036,191398.4135,197516.4648,148902.2665,126294.1018,147360.8667,183188.5663,158117.6449,254685.153,126450.8103,123066.2505,184994.8923,167787.7194,139542.8044,123717.2778,138443.1654,159695.835,127924.0479,104795.1248,133002.5952,128108.1942,140947.3199,110235.7236,140272.5438,90517.47376,125781.8535,110508.4557,238333.5551,106195.8345,158791.9957,144204.1956,160391.0618,146256.165,111979.0046,160813.1523,198831.5105,142303.7307,247386.7386,168728.4068,171910.5376,113959.0811,152917.5976,117149.097,224771.2887,134043.4852,102317.8634,105995.364,166893.1523,152573.6556,146564.6898,129096.8364,141199.8977,165754.3124,160333.5048
89,95162.742,87731.79463,75643.86869,96525.74557,79271.74631,82980.68469,116277.6439,144604.7813,149108.5416,105385.0998,89820.649,121791.836,91664.10406,106678.401,94658.57777,83472.55695,85815.59143,72511.28113,94016.9088,90010.59087,78202.84185,70204.418,72243.80172,92187.04095,134075.613,110916.1736,89827.20637,97193.51364,98907.173,112431.8876,143622.181,119003.7111,136145.9251,83681.36113,76880.1891,100316.095,91155.948,115925.7813,77214.52512,90287.64758,131560.5015,95609.9475,81043.18155,75803.29453,93926.6939,88938.751,68494.74347,70105.008,72624.56213,84985.69552,77865.3816,89933.13711,76098.1935,114411.9312,93754.804,60574.24759,61533.90173,79718.05659,104849.0736,94586.33032,64134.46316,100657.9168,101992.859,86138.29367,68720.204,107570.8796,68066.18479,106586.5317,66386.57934,73349.34963,98261.2665,98664.72219,78672.748,85947.70947,103426.2993,88259.62737,126373.271,91574.79193
96,123715.9191,119085.4176,101373.575,113193.7568,105027.986,79002.51133,109305.108,131624.3443,113076.3506,120671.4568,80683.99571,106549.7551,100082.3093,90392.58118,80951.13906,101286.25,150508.6266,42787.49563,129985.9723,99543.9418,77578.26214,81108.65906,83620.11647,113605.032,108400.3296,105805.7581,143795.2714,134651.4858,102032.0846,100472.8086,117356.8752,123594.0915,124804.7756,77373.85333,113047.1067,135047.5627,134647.4435,114791.14,103562.9504,104288.1936,107148.0296,78463.42,78187.6748,110587.2813,108030.7226,128607.6398,117471.0653,90903.291,98151.3225,111022.08,82097.8125,140393.824,86343.78433,104570.8678,121892.6606,108541.0969,110702.7363,72755.30363,112848.856,106703.6617,75335.92293,123171.6216,111802.3506,120299.1942,66850.18895,103651.9471,85845.66169,118985.2388,124366.9158,72354.17719,81556.89836,119346.0701,130359.0429,89482.436,99274.37635,100079.1468,115530.0108,121707.9467
105,68563.47643,68998.01005,53889.21232,48690.37979,42018.38433,50417.1486,81655.29304,66538.472,84002.5165,77800.12283,71236.046,78490.13143,66409.45853,88518.312,71754.12067,91813.7955,58658.985,54191.5,70895.706,61590.9075,44160.942,44670.16721,57213.66288,72997.76106,142699.48,81525.33744,75120.25635,70419.95333,73220.19492,80221.84306,135942.39,98937.71668,118730.5096,59002.12381,62292.05285,85730.46733,56721.5666,85119.4365,87167.48121,54689.4575,73910.85347,58865.50114,45203.51615,63388.79394,59813.68714,83151.13456,63435.62858,70578.70947,55002.21988,60331.1708,46442.67,79124.41217,88352.0634,79812,78885.76737,48239.8686,76936.16984,72481.0555,109897.3173,90759.66868,66156.02871,70863.51594,53253.06845,67505.3525,49597.77669,108146.857,82541.96923,113485.6852,72749.005,76138.06667,88186.02,66845.515,81057.91817,87914.76429,65167.79037,63681.32,90493.19521,77760.25911
123,5792299.862,5079493.597,6356291.331,5621930.676,5854262.192,4450392.272,5050224.674,5818711.054,6433496.878,5532038.722,6310373.959,5273637.296,5452462.971,5362516.896,5872041.956,4856726.723,4918503.767,4996078.459,5794231.091,5708920.531,4560569.105,4714267.926,5308856.508,4958095.594,4555162.348,6187056.441,5819936.386,6131412.777,5114851.98,5130610.401,6048401.536,7984574.074,6970820.159,4558559.695,5640593.505,4577623.961,6362077.297,5039348.671,4986201.54,5359334.5,6518753.257,5438037.746,4611497.971,4988609.811,6319484.236,5936075.796,5702834.949,6224305.287,5735839.671,6254369.115,4623671.251,6555810.945,4659490.167,6307741.69,6321804.134,6136991.952,7093019.602,4985583.399,4950008.475,4480805.969,5662492.867,8326286.441,5931263.838,6278025.381,5349063.292,5469836.817,6417982.58,6759323.531,7667525.935,6371343.584,5300787.147,5316878.913,6270756.987,6226799.668,7101933.186,5134618.771,5890026.483,6277347.116
140,192199.3862,94111.4725,153450.8879,128069.12,408863.75,83578.86447,80087.36867,111654.9951,107988.6761,192596.7774,131974.7018,150786.5056,93258.68445,90588.43125,144934.0241,112092.4363,194359.7666,81774.74244,187111.6937,216301.4095,255816.681,155985.8167,77507.46,63952.10153,58261.074,157815.9688,394094.8456,180815.5941,92826.74619,103882.634,76706.16188,38255.61912,77558.20588,185937.5988,126358.393,55390.67733,206659.2023,75896.59076,121543.479,152162.9625,225787.3947,48524.86765,103669.457,148622.9718,215055.036,187050.4261,168390.4171,82771.74233,124748.4151,207696.4353,90016.25506,914910.7175,88932.9225,178592.6196,173073.6541,224591.4113,127769.6909,111288.2672,67822.92227,56149.60838,236254.2626,206553.0745,164151.4229,182052.1825,192888.5765,114464.3603,149157.6321,115954.8365,110790.0613,72345.86471,132775.1991,91941.04706,188733.3251,53613.38328,151239.6538,90291.25,53192.42873,179870.1289
152,25716.317,23242.52368,26339.70267,21300.73263,35834.90307,13182.64207,7862.8355,26813.58006,35228.0115,28189.99989,27993.931,36031.95094,57176.92834,11136.08933,20103.77118,11030.37041,29845.67914,20334.1318,24016.75065,31602.96824,17120.11633,25730.77258,23322.4565,6711.473644,10315.36924,33313.5,41754.74231,21960.02956,33707.092,19180.82008,8821.656222,19827.504,30376.5255,15396.11318,14701.54894,17179.89082,30560.03744,16994.41242,13739.70688,60653.97716,21424.23329,16080.377,19446.44667,16601.48814,30183.75617,20945.34586,26013.9215,53173.16676,30501.14923,22812.36617,18232.57729,40905.51995,11460.26276,26961.44482,19944.74224,33801.73071,26360.5888,23329.13389,36723.62113,34991.62902,18193.5156,39655.85853,35530.81217,23692.66,19415.41556,31985.7355,36525.48679,29794.66,35342.37288,53573.65998,32953.88856,15567.32125,27805.86467,13536.76137,28797.635,15113.34271,47842.62624,24216.44817
164,164051.7603,180589.4577,0,143048.167,160650.0314,131981.2044,33388.31146,75518.84424,153388.308,154707.5644,155789.1264,33304.31568,36990.35327,135646.6711,211420.7145,204211.4287,195450.8565,270290.6334,139629.0482,117844.695,122324.7835,225602.0814,169948.2285,46750.97,10562.32,225103.155,140981.753,127588.9322,59512.84361,123814.7825,24896.502,12740.15434,29400.54095,117453.0104,279283.1063,65728.01448,161894.8567,25499.72789,183417.4907,199401.2479,233146.2922,83549.07772,137302.5685,379598.738,257103.9119,132993.8998,187129.3321,109130.2575,178869.501,178385.3335,115610.5696,26427.72587,116439.7569,201060.1919,131341.8611,268871.5342,155880.9576,243130.9074,46315.63267,37035.47575,138315.22,159516.8574,201486.7497,146707.5176,153308.9058,106726.9008,233654.859,172563.4561,210921.452,142543.4987,193945.3693,142009.7439,128418.4313,65484.6785,147477.447,234777.5643,57562.15933,143550.3337
